Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,6.96,7.18,6.90,6.96,1541000,6.96
2013-05-22,6.90,7.07,6.88,7.07,1389800,7.07
2013-05-21,7.20,7.20,6.85,6.92,1396300,6.92
2013-05-20,7.49,7.49,7.06,7.27,932900,7.27
2013-05-17,7.80,7.80,7.40,7.40,1868500,7.40
2013-05-16,7.53,7.60,7.30,7.60,1595500,7.60
2013-05-15,7.42,7.58,7.42,7.50,2133200,7.50
2013-05-14,7.25,7.30,7.12,7.28,1558700,7.28
2013-05-13,6.82,7.17,6.81,7.10,1501000,7.10
2013-05-10,7.30,7.30,6.86,6.92,1669500,6.92
2013-05-09,7.25,7.35,7.00,7.22,1455900,7.22
2013-05-08,6.95,7.38,6.88,7.25,7656700,7.25
2013-05-07,6.65,6.65,6.65,6.65,000,6.65
2013-05-06,6.65,6.65,6.65,6.65,000,6.65
2013-05-03,6.65,6.65,6.65,6.65,000,6.65
2013-05-02,6.45,6.65,6.40,6.65,4297600,6.65
2013-05-01,6.60,6.60,6.60,6.60,000,6.60
2013-04-30,6.59,6.79,6.53,6.60,18706800,6.60
2013-04-29,6.50,6.59,6.44,6.50,2314700,6.50
2013-04-26,6.45,6.54,6.28,6.43,1517900,6.43
2013-04-25,6.44,6.52,6.40,6.43,2337500,6.43
2013-04-24,6.24,6.37,6.18,6.29,1396400,6.29
2013-04-23,6.15,6.28,6.06,6.22,1195100,6.22
2013-04-22,6.13,6.23,6.12,6.18,859600,6.18
2013-04-19,6.17,6.30,6.05,6.05,1426000,6.05
2013-04-18,5.98,6.20,5.93,6.18,3101100,6.18
2013-04-17,5.58,5.90,5.58,5.90,3059200,5.90
2013-04-16,5.58,5.66,5.54,5.66,1193000,5.66
2013-04-15,5.52,5.72,5.49,5.68,1239700,5.68
2013-04-12,5.75,5.75,5.48,5.60,1756900,5.60
2013-04-11,5.45,5.71,5.37,5.69,1536600,5.69
2013-04-10,5.30,5.50,5.19,5.45,1721700,5.45
2013-04-09,5.00,5.39,4.99,5.27,2264200,5.27
2013-04-08,4.55,4.97,4.52,4.95,1578500,4.95
2013-04-05,4.67,4.78,4.59,4.70,2130700,4.70
2013-04-04,4.48,4.69,4.42,4.67,1233600,4.67
2013-04-03,4.60,4.65,4.39,4.43,2351900,4.43
2013-04-02,4.72,4.80,4.46,4.52,1777200,4.52
2013-04-01,4.72,4.72,4.72,4.72,000,4.72
2013-03-29,4.72,4.72,4.72,4.72,000,4.72
2013-03-28,4.39,4.75,4.31,4.72,2742600,4.72
2013-03-27,4.81,4.87,4.26,4.35,4583700,4.35
2013-03-26,5.27,5.27,4.79,4.80,4832900,4.80
2013-03-25,5.29,5.29,5.29,5.29,000,5.29
2013-03-22,5.26,5.32,5.20,5.29,1975600,5.29
2013-03-21,5.20,5.38,5.12,5.30,1413000,5.30
2013-03-20,5.23,5.38,5.16,5.20,2857900,5.20
2013-03-19,5.60,5.65,5.25,5.30,2514700,5.30
2013-03-18,5.75,5.75,5.75,5.75,000,5.75
2013-03-15,5.79,5.92,5.74,5.75,3957400,5.75
2013-03-14,5.77,5.94,5.77,5.84,1529500,5.84
2013-03-13,5.51,5.87,5.45,5.80,2344100,5.80
2013-03-12,5.58,5.71,5.53,5.56,1582900,5.56
2013-03-11,5.70,5.74,5.59,5.63,1051400,5.63
2013-03-08,5.70,5.78,5.52,5.75,1119900,5.75
2013-03-07,5.92,5.98,5.59,5.68,1959300,5.68
2013-03-06,5.95,5.98,5.86,5.92,641400,5.92
2013-03-05,5.95,6.08,5.86,5.86,1102300,5.86
2013-03-04,5.91,6.00,5.77,5.89,1294200,5.89
2013-03-01,6.27,6.30,5.92,5.92,1662200,5.92
2013-02-28,6.22,6.36,6.18,6.29,1542200,6.29
2013-02-27,6.17,6.22,6.13,6.16,948400,6.16
2013-02-26,6.02,6.17,5.94,6.10,1605800,6.10
2013-02-25,6.21,6.29,6.11,6.20,935000,6.20
2013-02-22,5.83,6.17,5.76,6.12,1707100,6.12
2013-02-21,6.12,6.15,5.83,5.83,2227400,5.83
2013-02-20,6.28,6.33,6.18,6.18,1536200,6.18
2013-02-19,6.27,6.30,6.16,6.21,1225400,6.21
2013-02-18,6.46,6.46,6.27,6.29,1036300,6.29
