Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.51,0.51,0.49,0.49,122700,0.49
2013-05-22,0.50,0.52,0.50,0.51,145500,0.51
2013-05-21,0.53,0.53,0.48,0.50,207500,0.50
2013-05-20,0.54,0.57,0.52,0.52,246800,0.52
2013-05-17,0.55,0.56,0.54,0.55,210200,0.55
2013-05-16,0.60,0.60,0.55,0.56,310500,0.56
2013-05-15,0.57,0.60,0.57,0.58,273600,0.58
2013-05-14,0.51,0.57,0.51,0.56,417900,0.56
2013-05-13,0.50,0.52,0.49,0.52,325000,0.52
2013-05-10,0.52,0.54,0.50,0.51,257700,0.51
2013-05-09,0.51,0.54,0.50,0.53,396900,0.53
2013-05-08,0.46,0.51,0.45,0.50,472800,0.50
2013-05-07,0.44,0.44,0.44,0.44,000,0.44
2013-05-06,0.44,0.44,0.44,0.44,000,0.44
2013-05-03,0.44,0.44,0.44,0.44,000,0.44
2013-05-02,0.42,0.46,0.42,0.44,50200,0.44
2013-05-01,0.44,0.44,0.44,0.44,000,0.44
2013-04-30,0.45,0.46,0.44,0.44,72700,0.44
2013-04-29,0.47,0.47,0.45,0.46,47300,0.46
2013-04-26,0.47,0.47,0.45,0.46,116800,0.46
2013-04-25,0.45,0.47,0.45,0.46,149200,0.46
2013-04-24,0.47,0.47,0.45,0.45,72400,0.45
2013-04-23,0.46,0.46,0.45,0.46,79000,0.46
2013-04-22,0.46,0.47,0.44,0.46,158500,0.46
2013-04-19,0.48,0.49,0.45,0.45,185600,0.45
2013-04-18,0.48,0.50,0.47,0.47,84000,0.47
2013-04-17,0.46,0.49,0.46,0.49,83300,0.49
2013-04-16,0.47,0.48,0.45,0.47,130500,0.47
2013-04-15,0.41,0.47,0.40,0.47,197600,0.47
2013-04-12,0.41,0.42,0.38,0.41,100000,0.41
2013-04-11,0.40,0.40,0.38,0.40,186400,0.40
2013-04-10,0.36,0.39,0.35,0.37,266800,0.37
2013-04-09,0.32,0.36,0.32,0.35,179400,0.35
2013-04-08,0.32,0.32,0.28,0.32,160500,0.32
