Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.18,1.23,1.14,1.20,2500,1.20
2013-05-22,1.25,1.25,1.16,1.20,1800,1.20
2013-05-21,1.20,1.22,1.16,1.19,7500,1.19
2013-05-20,1.22,1.25,1.21,1.21,8100,1.21
2013-05-17,1.28,1.30,1.24,1.25,8100,1.25
2013-05-16,1.30,1.32,1.25,1.30,19100,1.30
2013-05-15,1.26,1.31,1.23,1.30,29700,1.30
2013-05-14,1.20,1.27,1.20,1.22,12200,1.22
2013-05-13,1.16,1.28,1.16,1.24,3500,1.24
2013-05-10,1.24,1.26,1.21,1.22,13900,1.22
2013-05-09,1.19,1.26,1.19,1.26,17600,1.26
2013-05-08,1.15,1.22,1.15,1.22,16800,1.22
2013-05-07,1.13,1.13,1.13,1.13,000,1.13
2013-05-06,1.13,1.13,1.13,1.13,000,1.13
2013-05-03,1.13,1.13,1.13,1.13,000,1.13
2013-05-02,1.11,1.13,1.09,1.13,7200,1.13
2013-05-01,1.11,1.11,1.11,1.11,000,1.11
2013-04-30,1.11,1.12,1.09,1.11,6400,1.11
2013-04-29,1.14,1.15,1.10,1.13,4800,1.13
2013-04-26,1.14,1.18,1.10,1.12,5600,1.12
2013-04-25,1.15,1.17,1.11,1.17,20700,1.17
2013-04-24,1.16,1.17,1.13,1.13,6300,1.13
2013-04-23,1.15,1.17,1.13,1.17,9300,1.17
2013-04-22,1.17,1.19,1.13,1.19,4600,1.19
2013-04-19,1.21,1.21,1.17,1.17,1500,1.17
2013-04-18,1.15,1.21,1.15,1.20,15900,1.20
2013-04-17,1.11,1.20,1.11,1.18,2800,1.18
2013-04-16,1.05,1.17,1.05,1.17,4000,1.17
2013-04-15,1.12,1.20,1.12,1.16,4800,1.16
2013-04-12,1.10,1.18,1.10,1.18,6800,1.18
2013-04-11,1.09,1.17,1.09,1.14,19300,1.14
2013-04-10,1.03,1.12,1.03,1.10,28900,1.10
2013-04-09,1.00,1.08,1.00,1.08,39100,1.08
2013-04-08,0.94,0.99,0.94,0.99,9600,0.99
2013-04-05,1.00,1.10,0.97,1.00,20200,1.00
2013-04-04,1.06,1.07,1.00,1.06,4700,1.06
2013-04-03,1.00,1.04,1.00,1.00,11300,1.00
2013-04-02,1.04,1.13,1.04,1.06,1900,1.06
2013-04-01,1.12,1.12,1.12,1.12,000,1.12
2013-03-29,1.12,1.12,1.12,1.12,000,1.12
2013-03-28,1.11,1.13,1.10,1.12,4300,1.12
2013-03-27,1.12,1.16,1.07,1.09,7200,1.09
2013-03-26,1.20,1.20,1.14,1.17,300,1.17
2013-03-25,1.18,1.18,1.18,1.18,000,1.18
2013-03-22,1.15,1.19,1.12,1.18,22500,1.18
2013-03-21,1.20,1.22,1.13,1.14,4200,1.14
2013-03-20,1.21,1.23,1.15,1.22,8900,1.22
2013-03-19,1.18,1.23,1.18,1.19,5500,1.19
2013-03-18,1.26,1.26,1.26,1.26,000,1.26
2013-03-15,1.23,1.26,1.23,1.26,4000,1.26
2013-03-14,1.30,1.30,1.21,1.28,15800,1.28
2013-03-13,1.21,1.30,1.21,1.27,25100,1.27
2013-03-12,1.24,1.26,1.21,1.24,90800,1.24
2013-03-11,1.26,1.26,1.23,1.23,18600,1.23
2013-03-08,1.34,1.34,1.27,1.30,8700,1.30
2013-03-07,1.38,1.39,1.30,1.30,12200,1.30
2013-03-06,1.35,1.39,1.33,1.39,5400,1.39
2013-03-05,1.35,1.40,1.35,1.40,3900,1.40
2013-03-04,1.37,1.40,1.34,1.40,900,1.40
2013-03-01,1.42,1.47,1.40,1.44,6900,1.44
2013-02-28,1.46,1.50,1.40,1.44,54400,1.44
2013-02-27,1.42,1.42,1.38,1.41,12000,1.41
2013-02-26,1.36,1.44,1.36,1.40,11400,1.40
2013-02-25,1.53,1.57,1.45,1.45,17600,1.45
2013-02-22,1.37,1.58,1.35,1.53,78700,1.53
2013-02-21,1.40,1.40,1.34,1.36,50200,1.36
2013-02-20,1.38,1.46,1.37,1.43,25400,1.43
2013-02-19,1.27,1.42,1.27,1.42,4700,1.42
2013-02-18,1.39,1.42,1.35,1.40,5700,1.40
2013-02-15,1.39,1.44,1.38,1.39,130200,1.39
2013-02-14,1.25,1.35,1.25,1.34,40800,1.34
2013-02-13,1.30,1.31,1.24,1.27,17500,1.27
2013-02-12,1.25,1.31,1.25,1.31,3400,1.31
2013-02-11,1.31,1.35,1.28,1.30,2600,1.30
2013-02-08,1.35,1.35,1.30,1.35,20000,1.35
2013-02-07,1.31,1.35,1.30,1.35,43400,1.35
2013-02-06,1.30,1.35,1.30,1.33,16500,1.33
2013-02-05,1.24,1.31,1.24,1.27,3600,1.27
2013-02-04,1.27,1.30,1.24,1.30,5000,1.30
2013-02-01,1.35,1.35,1.27,1.27,9500,1.27
2013-01-31,1.29,1.32,1.28,1.32,7100,1.32
2013-01-30,1.39,1.39,1.38,1.39,1000,1.39
2013-01-29,1.45,1.45,1.36,1.37,12400,1.37
2013-01-28,1.43,1.47,1.40,1.41,31400,1.41
2013-01-25,1.31,1.43,1.30,1.43,70100,1.43
2013-01-24,1.29,1.34,1.29,1.34,61000,1.34
2013-01-23,1.29,1.31,1.26,1.30,46900,1.30
2013-01-22,1.22,1.28,1.22,1.23,23300,1.23
2013-01-21,1.29,1.30,1.24,1.24,25200,1.24
2013-01-18,1.25,1.29,1.23,1.28,11700,1.28
2013-01-17,1.25,1.25,1.19,1.23,14700,1.23
2013-01-16,1.20,1.27,1.20,1.25,33600,1.25
2013-01-15,1.19,1.22,1.17,1.20,13900,1.20
2013-01-14,1.34,1.34,1.23,1.25,20100,1.25
2013-01-11,1.36,1.36,1.28,1.31,17000,1.31
2013-01-10,1.37,1.40,1.32,1.33,41600,1.33
2013-01-09,1.39,1.39,1.36,1.38,7500,1.38
2013-01-08,1.35,1.41,1.34,1.39,17400,1.39
2013-01-07,1.40,1.46,1.37,1.37,15100,1.37
2013-01-04,1.47,1.50,1.40,1.41,29800,1.41
2013-01-03,1.39,1.48,1.32,1.47,57300,1.47
2013-01-02,1.36,1.41,1.36,1.38,26900,1.38
2013-01-01,1.35,1.35,1.35,1.35,000,1.35
2012-12-31,1.35,1.35,1.35,1.35,000,1.35
