Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,2.20,2.25,2.13,2.16,410000,2.16
2013-05-22,2.25,2.29,2.18,2.26,272400,2.26
2013-05-21,2.30,2.31,2.13,2.26,623800,2.26
2013-05-20,2.39,2.39,2.22,2.30,439000,2.30
2013-05-17,2.33,2.39,2.31,2.34,517200,2.34
2013-05-16,2.37,2.41,2.30,2.33,994200,2.33
2013-05-15,2.22,2.34,2.21,2.34,931300,2.34
2013-05-14,2.19,2.26,2.13,2.16,598900,2.16
2013-05-13,2.13,2.20,2.12,2.16,305100,2.16
2013-05-10,2.29,2.30,2.13,2.14,516400,2.14
2013-05-09,2.27,2.31,2.22,2.30,477400,2.30
2013-05-08,2.18,2.30,2.18,2.25,999400,2.25
2013-05-07,2.17,2.17,2.17,2.17,000,2.17
2013-05-06,2.17,2.17,2.17,2.17,000,2.17
2013-05-03,2.17,2.17,2.17,2.17,000,2.17
2013-05-02,2.10,2.17,2.10,2.17,506900,2.17
2013-05-01,2.08,2.08,2.08,2.08,000,2.08
2013-04-30,2.06,2.09,2.04,2.08,284300,2.08
2013-04-29,2.05,2.06,1.99,2.06,193900,2.06
2013-04-26,2.04,2.07,1.99,2.06,248400,2.06
2013-04-25,2.04,2.05,2.02,2.05,366300,2.05
2013-04-24,2.02,2.05,1.99,2.01,224200,2.01
2013-04-23,1.96,2.01,1.93,2.00,287100,2.00
2013-04-22,1.93,2.01,1.93,2.00,228800,2.00
2013-04-19,2.00,2.00,1.93,1.95,316200,1.95
2013-04-18,1.96,2.04,1.89,1.99,936600,1.99
2013-04-17,2.00,2.06,1.98,2.00,552700,2.00
2013-04-16,1.94,2.07,1.91,1.98,683500,1.98
2013-04-15,1.86,1.94,1.86,1.94,275500,1.94
2013-04-12,1.87,1.92,1.79,1.86,206100,1.86
2013-04-11,1.93,1.97,1.63,1.85,1811500,1.85
2013-04-10,1.96,2.00,1.92,1.93,786300,1.93
2013-04-09,1.89,1.97,1.87,1.95,627100,1.95
2013-04-08,1.85,1.92,1.76,1.87,557500,1.87
2013-04-05,1.86,1.90,1.82,1.87,236700,1.87
2013-04-04,1.83,1.90,1.80,1.89,478500,1.89
2013-04-03,1.94,1.94,1.81,1.83,299600,1.83
2013-04-02,1.82,1.93,1.75,1.90,641200,1.90
2013-04-01,1.83,1.83,1.83,1.83,000,1.83
2013-03-29,1.83,1.83,1.83,1.83,000,1.83
2013-03-28,1.79,1.85,1.75,1.83,596400,1.83
2013-03-27,1.95,1.98,1.61,1.80,1473600,1.80
2013-03-26,2.04,2.07,1.94,1.97,557600,1.97
2013-03-25,2.04,2.04,2.04,2.04,000,2.04
2013-03-22,2.03,2.08,2.02,2.04,532000,2.04
2013-03-21,2.05,2.12,2.02,2.06,664400,2.06
2013-03-20,2.04,2.12,1.99,2.04,671300,2.04
2013-03-19,2.13,2.16,2.01,2.06,540200,2.06
2013-03-18,2.19,2.19,2.19,2.19,000,2.19
2013-03-15,2.22,2.22,2.15,2.19,530800,2.19
2013-03-14,2.24,2.25,2.14,2.18,612000,2.18
2013-03-13,2.10,2.25,2.09,2.25,502700,2.25
2013-03-12,2.01,2.11,2.01,2.11,472800,2.11
2013-03-11,2.18,2.18,2.05,2.05,702900,2.05
2013-03-08,2.19,2.21,2.12,2.18,402500,2.18
2013-03-07,2.22,2.27,2.14,2.19,811800,2.19
