Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.67,0.73,0.67,0.73,400,0.73
2013-05-22,0.67,0.67,0.67,0.67,000,0.67
2013-05-21,0.75,0.75,0.61,0.73,3800,0.73
2013-05-20,0.67,0.70,0.66,0.68,500,0.68
2013-05-17,0.68,0.75,0.64,0.67,2400,0.67
2013-05-16,0.71,0.72,0.71,0.71,1100,0.71
2013-05-15,0.75,0.78,0.73,0.78,4200,0.78
2013-05-14,0.76,0.85,0.76,0.81,1900,0.81
2013-05-13,0.77,0.77,0.77,0.77,000,0.77
2013-05-10,0.76,0.92,0.76,0.81,1900,0.81
2013-05-09,0.83,0.84,0.83,0.84,1500,0.84
2013-05-08,0.94,0.94,0.76,0.76,6500,0.76
2013-05-07,1.22,1.22,1.22,1.22,000,1.22
2013-05-06,1.22,1.22,1.22,1.22,000,1.22
2013-05-03,1.22,1.22,1.22,1.22,000,1.22
2013-05-02,1.23,1.28,1.20,1.22,2000,1.22
2013-05-01,1.17,1.17,1.17,1.17,000,1.17
2013-04-30,1.15,1.17,1.10,1.17,900,1.17
2013-04-29,1.05,1.22,1.05,1.17,700,1.17
2013-04-26,1.11,1.11,1.11,1.11,000,1.11
2013-04-25,1.11,1.12,1.11,1.12,200,1.12
2013-04-24,1.10,1.10,1.10,1.10,000,1.10
2013-04-23,1.10,1.29,1.10,1.15,1100,1.15
2013-04-22,1.25,1.27,1.09,1.18,900,1.18
2013-04-19,1.13,1.20,1.12,1.19,500,1.19
2013-04-18,1.10,1.19,1.10,1.19,100,1.19
2013-04-17,1.14,1.18,1.14,1.18,1600,1.18
2013-04-16,1.25,1.25,1.14,1.14,400,1.14
2013-04-15,1.26,1.26,1.25,1.26,500,1.26
2013-04-12,1.28,1.28,1.18,1.28,1200,1.28
2013-04-11,1.20,1.32,1.20,1.31,2600,1.31
2013-04-10,1.20,1.20,1.20,1.20,000,1.20
2013-04-09,1.10,1.20,1.10,1.20,200,1.20
2013-04-08,1.10,1.10,1.10,1.10,400,1.10
2013-04-05,1.22,1.22,1.22,1.22,000,1.22
2013-04-04,1.22,1.22,1.22,1.22,000,1.22
2013-04-03,1.23,1.23,1.23,1.23,000,1.23
2013-04-02,1.30,1.30,1.23,1.23,400,1.23
2013-04-01,1.36,1.36,1.36,1.36,000,1.36
2013-03-29,1.36,1.36,1.36,1.36,000,1.36
2013-03-28,0.80,1.36,0.80,1.36,000,1.36
2013-03-27,1.10,1.10,0.87,1.08,500,1.08
2013-03-26,0.86,0.86,0.86,0.86,200,0.86
2013-03-25,1.23,1.23,1.23,1.23,000,1.23
2013-03-22,1.23,1.23,1.23,1.23,000,1.23
2013-03-21,1.23,1.23,1.23,1.23,000,1.23
2013-03-20,1.23,1.23,1.23,1.23,000,1.23
2013-03-19,1.23,1.23,1.23,1.23,000,1.23
2013-03-18,1.23,1.23,1.23,1.23,000,1.23
2013-03-15,0.81,1.24,0.81,1.23,100,1.23
2013-03-14,1.23,1.23,1.10,1.15,200,1.15
2013-03-13,0.76,1.22,0.76,1.22,100,1.22
2013-03-12,0.96,1.09,0.96,1.09,500,1.09
2013-03-11,0.96,0.96,0.96,0.96,000,0.96
2013-03-08,1.59,1.60,1.35,1.35,500,1.35
2013-03-07,1.51,1.51,1.51,1.51,200,1.51
2013-03-06,1.50,1.50,1.50,1.50,200,1.50
2013-03-05,1.50,1.50,1.50,1.50,100,1.50
2013-03-04,1.85,1.85,1.85,1.85,000,1.85
2013-03-01,1.85,1.85,1.85,1.85,000,1.85
2013-02-28,1.85,1.85,1.85,1.85,5100,1.85
2013-02-27,1.85,1.85,1.85,1.85,000,1.85
2013-02-26,1.00,1.43,1.00,1.43,000,1.43
2013-02-25,1.10,1.10,1.10,1.10,000,1.10
2013-02-22,1.10,1.10,1.10,1.10,000,1.10
