Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.53,0.54,0.52,0.52,445200,0.52
2013-05-22,0.51,0.55,0.51,0.55,605900,0.55
2013-05-21,0.56,0.58,0.50,0.51,1249600,0.51
2013-05-20,0.62,0.63,0.58,0.58,525000,0.58
2013-05-17,0.62,0.63,0.61,0.61,591700,0.61
2013-05-16,0.64,0.65,0.61,0.62,481900,0.62
2013-05-15,0.64,0.64,0.63,0.64,565000,0.64
2013-05-14,0.62,0.62,0.60,0.60,347700,0.60
2013-05-13,0.57,0.61,0.57,0.61,460200,0.61
2013-05-10,0.60,0.61,0.58,0.59,381800,0.59
2013-05-09,0.59,0.62,0.58,0.61,862200,0.61
2013-05-08,0.52,0.58,0.52,0.58,884200,0.58
2013-05-07,0.50,0.50,0.50,0.50,000,0.50
2013-05-06,0.50,0.50,0.50,0.50,000,0.50
2013-05-03,0.50,0.50,0.50,0.50,000,0.50
2013-05-02,0.50,0.51,0.49,0.50,377200,0.50
2013-05-01,0.50,0.50,0.50,0.50,000,0.50
2013-04-30,0.51,0.51,0.49,0.50,309400,0.50
2013-04-29,0.53,0.55,0.50,0.51,431500,0.51
2013-04-26,0.52,0.55,0.51,0.53,591500,0.53
2013-04-25,0.52,0.54,0.51,0.52,483200,0.52
2013-04-24,0.51,0.52,0.50,0.52,136800,0.52
2013-04-23,0.50,0.51,0.49,0.51,210300,0.51
2013-04-22,0.47,0.51,0.47,0.49,254300,0.49
2013-04-19,0.49,0.51,0.47,0.47,275300,0.47
2013-04-18,0.51,0.52,0.48,0.49,508800,0.49
2013-04-17,0.50,0.50,0.48,0.50,331400,0.50
2013-04-16,0.43,0.49,0.43,0.49,519400,0.49
2013-04-15,0.44,0.45,0.43,0.44,268400,0.44
2013-04-12,0.43,0.44,0.40,0.44,291900,0.44
2013-04-11,0.42,0.44,0.40,0.43,535000,0.43
2013-04-10,0.40,0.42,0.39,0.41,532200,0.41
2013-04-09,0.37,0.40,0.36,0.39,471900,0.39
