Date,Open,High,Low,Close,Volume,Adj Close
2013-02-11,0.43,0.43,0.43,0.43,000,0.43
2013-02-08,0.43,0.43,0.43,0.43,000,0.43
2013-02-07,0.43,0.43,0.43,0.43,5700,0.43
2013-02-06,0.43,0.43,0.43,0.43,900,0.43
2013-02-05,0.43,0.43,0.43,0.43,6600,0.43
2013-02-04,0.43,0.43,0.43,0.43,1400,0.43
2013-02-01,0.43,0.43,0.43,0.43,3200,0.43
2013-01-31,0.43,0.43,0.43,0.43,1500,0.43
2013-01-30,0.43,0.43,0.43,0.43,2900,0.43
2013-01-29,0.43,0.43,0.43,0.43,5500,0.43
2013-01-28,0.43,0.43,0.43,0.43,16400,0.43
2013-01-25,0.43,0.43,0.43,0.43,4300,0.43
2013-01-24,0.43,0.43,0.43,0.43,7500,0.43
2013-01-23,0.43,0.43,0.43,0.43,4800,0.43
2013-01-22,0.43,0.43,0.43,0.43,17700,0.43
2013-01-21,0.43,0.43,0.43,0.43,19700,0.43
2013-01-18,0.43,0.43,0.43,0.43,62500,0.43
2013-01-17,0.37,0.38,0.37,0.38,1300,0.38
2013-01-16,0.41,0.41,0.41,0.41,5300,0.41
2013-01-15,0.40,0.40,0.40,0.40,000,0.40
2013-01-14,0.40,0.40,0.40,0.40,200,0.40
2013-01-11,0.35,0.35,0.35,0.35,000,0.35
2013-01-10,0.34,0.40,0.34,0.35,5500,0.35
2013-01-09,0.34,0.34,0.34,0.34,9200,0.34
2013-01-08,0.34,0.34,0.34,0.34,5400,0.34
2013-01-07,0.43,0.43,0.43,0.43,000,0.43
2013-01-04,0.43,0.43,0.43,0.43,000,0.43
2013-01-03,0.43,0.43,0.43,0.43,000,0.43
2013-01-02,0.43,0.43,0.43,0.43,000,0.43
2013-01-01,0.43,0.43,0.43,0.43,000,0.43
2012-12-31,0.43,0.43,0.43,0.43,000,0.43
2012-12-28,0.43,0.43,0.43,0.43,000,0.43
2012-12-27,0.43,0.43,0.43,0.43,000,0.43
2012-12-26,0.43,0.43,0.43,0.43,000,0.43
2012-12-25,0.43,0.43,0.43,0.43,000,0.43
2012-12-24,0.43,0.43,0.43,0.43,000,0.43
2012-12-21,0.43,0.43,0.43,0.43,000,0.43
2012-12-20,0.43,0.43,0.43,0.43,000,0.43
2012-12-19,0.43,0.43,0.43,0.43,000,0.43
2012-12-18,0.43,0.43,0.43,0.43,000,0.43
2012-12-17,0.43,0.43,0.43,0.43,000,0.43
2012-12-14,0.43,0.43,0.43,0.43,000,0.43
2012-12-13,0.43,0.43,0.43,0.43,000,0.43
2012-12-12,0.43,0.43,0.43,0.43,000,0.43
2012-12-11,0.43,0.43,0.43,0.43,000,0.43
2012-12-10,0.43,0.43,0.43,0.43,000,0.43
2012-12-07,0.43,0.43,0.43,0.43,000,0.43
2012-12-06,0.43,0.43,0.43,0.43,000,0.43
2012-12-05,0.43,0.43,0.43,0.43,000,0.43
2012-12-04,0.43,0.43,0.43,0.43,000,0.43
2012-12-03,0.43,0.43,0.43,0.43,000,0.43
2012-11-30,0.43,0.43,0.43,0.43,000,0.43
2012-11-29,0.43,0.43,0.43,0.43,000,0.43
