Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.59,0.59,0.56,0.56,2300,0.56
2013-05-22,0.59,0.59,0.59,0.59,1700,0.59
2013-05-21,0.60,0.60,0.58,0.59,10300,0.59
2013-05-20,0.60,0.63,0.60,0.63,1700,0.63
2013-05-17,0.62,0.63,0.62,0.63,1600,0.63
2013-05-16,0.65,0.65,0.64,0.64,2000,0.64
2013-05-15,0.66,0.68,0.63,0.68,12300,0.68
2013-05-14,0.63,0.68,0.63,0.68,4900,0.68
2013-05-13,0.69,0.69,0.65,0.68,3500,0.68
2013-05-10,0.67,0.67,0.66,0.67,5000,0.67
2013-05-09,0.65,0.67,0.65,0.67,000,0.67
2013-05-08,0.66,0.66,0.65,0.66,6500,0.66
2013-05-07,0.61,0.61,0.61,0.61,000,0.61
2013-05-06,0.61,0.61,0.61,0.61,000,0.61
2013-05-03,0.61,0.61,0.61,0.61,000,0.61
2013-05-02,0.61,0.61,0.61,0.61,000,0.61
2013-05-01,0.61,0.61,0.61,0.61,000,0.61
2013-04-30,0.61,0.61,0.61,0.61,000,0.61
2013-04-29,0.69,0.69,0.61,0.61,1200,0.61
2013-04-26,0.66,0.66,0.66,0.66,000,0.66
2013-04-25,0.65,0.66,0.65,0.66,900,0.66
2013-04-24,0.63,0.64,0.63,0.64,300,0.64
2013-04-23,0.56,0.61,0.56,0.61,800,0.61
2013-04-22,0.65,0.68,0.60,0.62,7300,0.62
2013-04-19,0.67,0.67,0.67,0.67,1000,0.67
2013-04-18,0.62,0.67,0.62,0.67,1100,0.67
2013-04-17,0.69,0.69,0.69,0.69,500,0.69
2013-04-16,0.54,0.65,0.54,0.65,1000,0.65
2013-04-15,0.60,0.60,0.60,0.60,300,0.60
2013-04-12,0.57,0.58,0.57,0.58,2000,0.58
2013-04-11,0.55,0.55,0.55,0.55,1600,0.55
2013-04-10,0.49,0.53,0.49,0.50,1200,0.50
2013-04-09,0.50,0.50,0.45,0.50,4600,0.50
2013-04-08,0.45,0.49,0.45,0.49,1700,0.49
2013-04-05,0.45,0.50,0.45,0.50,800,0.50
2013-04-04,0.46,0.50,0.46,0.50,600,0.50
2013-04-03,0.46,0.50,0.46,0.50,1600,0.50
2013-04-02,0.46,0.50,0.46,0.50,2000,0.50
2013-04-01,0.51,0.51,0.51,0.51,000,0.51
2013-03-29,0.51,0.51,0.51,0.51,000,0.51
2013-03-28,0.51,0.51,0.51,0.51,700,0.51
2013-03-27,0.51,0.51,0.51,0.51,000,0.51
2013-03-26,0.51,0.51,0.51,0.51,2000,0.51
2013-03-25,0.54,0.54,0.54,0.54,000,0.54
2013-03-22,0.51,0.54,0.51,0.54,4600,0.54
2013-03-21,0.51,0.51,0.51,0.51,400,0.51
2013-03-20,0.55,0.55,0.55,0.55,100,0.55
2013-03-19,0.56,0.57,0.55,0.55,1500,0.55
2013-03-18,0.58,0.58,0.58,0.58,000,0.58
2013-03-15,0.58,0.58,0.58,0.58,000,0.58
2013-03-14,0.60,0.60,0.58,0.58,8000,0.58
2013-03-13,0.60,0.60,0.60,0.60,1500,0.60
2013-03-12,0.61,0.61,0.61,0.61,1600,0.61
2013-03-11,0.62,0.62,0.60,0.61,1600,0.61
2013-03-08,0.60,0.67,0.60,0.67,1100,0.67
2013-03-07,0.63,0.67,0.62,0.67,2600,0.67
2013-03-06,0.61,0.68,0.59,0.68,4200,0.68
2013-03-05,0.65,0.65,0.65,0.65,500,0.65
2013-03-04,0.65,0.65,0.65,0.65,000,0.65
2013-03-01,0.65,0.65,0.64,0.65,1000,0.65
2013-02-28,0.68,0.70,0.67,0.67,16100,0.67
2013-02-27,0.69,0.70,0.68,0.68,6100,0.68
2013-02-26,0.69,0.69,0.69,0.69,500,0.69
2013-02-25,0.67,0.69,0.67,0.68,2600,0.68
2013-02-22,0.67,0.70,0.67,0.70,700,0.70
2013-02-21,0.71,0.71,0.71,0.71,000,0.71
2013-02-20,0.69,0.72,0.69,0.71,16500,0.71
2013-02-19,0.71,0.71,0.70,0.70,2700,0.70
2013-02-18,0.72,0.72,0.71,0.71,4500,0.71
2013-02-15,0.70,0.73,0.69,0.73,4600,0.73
2013-02-14,0.70,0.74,0.70,0.73,36300,0.73
2013-02-13,0.67,0.72,0.67,0.70,7000,0.70
2013-02-12,0.66,0.74,0.66,0.70,4900,0.70
2013-02-11,0.69,0.73,0.69,0.73,800,0.73
2013-02-08,0.69,0.72,0.69,0.72,800,0.72
2013-02-07,0.73,0.74,0.73,0.74,1900,0.74
2013-02-06,0.71,0.77,0.71,0.73,6500,0.73
