Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.50,1.50,1.50,1.50,000,1.50
2013-05-22,1.50,1.50,1.50,1.50,900,1.50
2013-05-21,1.50,1.50,1.50,1.50,000,1.50
2013-05-20,1.50,1.50,1.50,1.50,500,1.50
2013-05-17,1.45,1.45,1.45,1.45,500,1.45
2013-05-16,1.46,1.46,1.46,1.46,1000,1.46
2013-05-15,1.49,1.49,1.49,1.49,500,1.49
2013-05-14,1.44,1.50,1.44,1.45,32000,1.45
2013-05-13,1.43,1.43,1.43,1.43,000,1.43
2013-05-10,1.40,1.40,1.40,1.40,000,1.40
2013-05-09,1.40,1.40,1.40,1.40,100,1.40
2013-05-08,1.44,1.44,1.44,1.44,400,1.44
2013-05-07,1.37,1.37,1.37,1.37,000,1.37
2013-05-06,1.37,1.37,1.37,1.37,000,1.37
2013-05-03,1.37,1.37,1.37,1.37,000,1.37
2013-05-02,1.37,1.37,1.37,1.37,000,1.37
2013-05-01,1.37,1.37,1.37,1.37,000,1.37
2013-04-30,1.33,1.40,1.33,1.37,5000,1.37
2013-04-29,1.33,1.33,1.33,1.33,1000,1.33
2013-04-26,1.29,1.30,1.29,1.30,8000,1.30
2013-04-25,1.25,1.25,1.25,1.25,000,1.25
2013-04-24,1.25,1.25,1.25,1.25,6600,1.25
2013-04-23,1.11,1.25,1.11,1.19,5500,1.19
2013-04-22,1.28,1.28,1.28,1.28,000,1.28
2013-04-19,1.28,1.28,1.28,1.28,200,1.28
2013-04-18,1.28,1.28,1.28,1.28,400,1.28
2013-04-17,1.28,1.28,1.28,1.28,000,1.28
2013-04-16,1.27,1.27,1.27,1.27,000,1.27
2013-04-15,1.27,1.27,1.27,1.27,300,1.27
2013-04-12,1.25,1.28,1.25,1.27,1000,1.27
2013-04-11,1.25,1.25,1.25,1.25,1100,1.25
2013-04-10,1.25,1.25,1.25,1.25,1600,1.25
2013-04-09,1.32,1.32,1.31,1.32,3700,1.32
