Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,153.00,153.00,153.00,153.00,000,153.00
2013-05-22,160.00,160.00,160.00,160.00,000,160.00
2013-05-21,152.00,152.00,152.00,152.00,000,152.00
2013-05-20,150.00,150.00,150.00,150.00,000,150.00
2013-05-17,150.00,150.00,150.00,150.00,000,150.00
2013-05-16,150.10,152.00,150.00,150.75,000,150.75
2013-05-15,152.00,152.00,152.00,152.00,000,152.00
2013-05-14,152.00,152.00,152.00,152.00,000,152.00
2013-05-13,152.00,152.00,152.00,152.00,000,152.00
2013-05-10,162.50,162.50,162.50,162.50,000,162.50
2013-05-09,155.00,155.00,155.00,155.00,100,155.00
2013-05-08,150.00,150.00,150.00,150.00,000,150.00
2013-05-07,150.00,150.00,150.00,150.00,000,150.00
2013-05-06,150.00,150.00,150.00,150.00,000,150.00
2013-05-03,150.00,150.00,150.00,150.00,000,150.00
2013-05-02,150.00,150.00,150.00,150.00,000,150.00
2013-05-01,150.00,150.00,150.00,150.00,000,150.00
2013-04-30,150.00,150.00,150.00,150.00,000,150.00
2013-04-29,150.00,152.00,150.00,151.15,000,151.15
2013-04-26,150.00,152.00,150.00,151.15,200,151.15
2013-04-25,150.00,150.00,150.00,150.00,200,150.00
2013-04-24,150.00,150.00,150.00,150.00,000,150.00
2013-04-23,157.00,157.00,157.00,157.00,000,157.00
2013-04-22,157.00,157.00,157.00,157.00,000,157.00
2013-04-19,157.00,157.00,157.00,157.00,000,157.00
2013-04-18,157.00,157.00,157.00,157.00,000,157.00
2013-04-17,157.00,157.00,157.00,157.00,000,157.00
2013-04-16,155.00,155.00,155.00,155.00,000,155.00
2013-04-15,155.00,155.00,155.00,155.00,000,155.00
2013-04-12,155.00,155.00,155.00,155.00,000,155.00
2013-04-11,155.00,155.00,155.00,155.00,000,155.00
2013-04-10,155.00,155.00,155.00,155.00,000,155.00
2013-04-09,157.00,157.00,154.10,156.50,000,156.50
2013-04-08,155.00,155.00,155.00,155.00,000,155.00
2013-04-05,155.00,155.00,155.00,155.00,200,155.00
2013-04-04,155.00,155.00,155.00,155.00,300,155.00
2013-04-03,155.00,155.00,155.00,155.00,000,155.00
2013-04-02,155.00,155.00,155.00,155.00,800,155.00
2013-04-01,135.00,135.00,135.00,135.00,000,135.00
2013-03-29,135.00,135.00,135.00,135.00,000,135.00
2013-03-28,135.00,135.00,135.00,135.00,000,135.00
2013-03-27,135.00,135.00,135.00,135.00,000,135.00
2013-03-26,135.00,135.00,135.00,135.00,000,135.00
2013-03-25,135.00,135.00,135.00,135.00,000,135.00
2013-03-22,135.00,135.00,135.00,135.00,000,135.00
2013-03-21,135.00,135.00,135.00,135.00,000,135.00
2013-03-20,140.00,140.00,140.00,140.00,000,140.00
2013-03-19,145.00,145.00,145.00,145.00,000,145.00
2013-03-18,145.00,145.00,145.00,145.00,000,145.00
2013-03-15,145.00,145.00,145.00,145.00,000,145.00
2013-03-14,145.00,145.00,145.00,145.00,000,145.00
2013-03-13,145.00,145.00,145.00,145.00,000,145.00
2013-03-12,145.00,145.00,145.00,145.00,100,145.00
2013-03-11,145.00,145.00,145.00,145.00,000,145.00
2013-03-08,145.00,145.00,145.00,145.00,000,145.00
2013-03-07,145.00,145.00,145.00,145.00,000,145.00
2013-03-06,145.00,145.00,145.00,145.00,600,145.00
2013-03-05,145.00,145.00,145.00,145.00,000,145.00
2013-03-04,145.00,145.00,145.00,145.00,000,145.00
2013-03-01,145.00,145.00,145.00,145.00,000,145.00
2013-02-28,145.00,145.00,145.00,145.00,400,145.00
2013-02-27,145.00,145.00,145.00,145.00,000,145.00
2013-02-26,145.00,145.00,145.00,145.00,000,145.00
2013-02-25,145.00,145.00,145.00,145.00,000,145.00
2013-02-22,145.00,145.00,145.00,145.00,200,145.00
2013-02-21,145.00,145.00,145.00,145.00,000,145.00
2013-02-20,145.00,145.00,145.00,145.00,300,145.00
2013-02-19,146.00,148.00,146.00,147.95,100,147.95
2013-02-18,145.00,145.00,145.00,145.00,000,145.00
2013-02-15,140.00,151.00,140.00,149.15,600,149.15
2013-02-14,130.00,130.20,130.00,130.00,1000,130.00
2013-02-13,135.85,135.85,130.00,130.15,100,130.15
2013-02-12,132.00,137.00,132.00,132.15,100,132.15
2013-02-11,132.00,132.00,132.00,132.00,200,132.00
2013-02-08,122.85,130.00,122.85,126.80,000,126.80
2013-02-07,120.00,122.00,120.00,120.00,1500,120.00
