Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,4.20,4.40,4.15,4.39,5200,4.39
2013-05-22,4.20,4.40,4.20,4.40,100,4.40
2013-05-21,4.39,4.39,4.39,4.39,000,4.39
2013-05-20,4.28,4.40,4.20,4.39,2500,4.39
2013-05-17,4.15,4.30,4.13,4.28,8500,4.28
2013-05-16,3.88,4.30,3.88,4.30,41800,4.30
2013-05-15,3.98,4.00,3.91,3.99,1200,3.99
2013-05-14,3.89,4.00,3.89,3.99,4700,3.99
2013-05-13,3.90,4.00,3.90,3.99,4900,3.99
2013-05-10,3.89,4.00,3.89,4.00,1100,4.00
2013-05-09,3.84,4.00,3.84,4.00,700,4.00
2013-05-08,3.95,4.00,3.84,3.95,1800,3.95
2013-05-07,3.94,3.94,3.94,3.94,000,3.94
2013-05-06,3.94,3.94,3.94,3.94,000,3.94
2013-05-03,3.94,3.94,3.94,3.94,000,3.94
2013-05-02,3.84,3.95,3.84,3.94,500,3.94
2013-05-01,3.94,3.94,3.94,3.94,000,3.94
2013-04-30,3.83,3.94,3.83,3.94,300,3.94
2013-04-29,3.94,3.94,3.87,3.94,800,3.94
2013-04-26,3.89,3.96,3.89,3.96,200,3.96
2013-04-25,3.83,4.00,3.83,3.97,500,3.97
2013-04-24,3.98,3.98,3.98,3.98,000,3.98
2013-04-23,3.90,4.00,3.89,3.98,1800,3.98
2013-04-22,3.82,4.00,3.82,3.99,400,3.99
2013-04-19,3.90,3.95,3.89,3.89,800,3.89
2013-04-18,3.88,4.00,3.88,3.98,4600,3.98
2013-04-17,3.86,3.95,3.85,3.93,1000,3.93
2013-04-16,3.88,3.95,3.87,3.95,2600,3.95
2013-04-15,3.94,3.94,3.89,3.94,100,3.94
2013-04-12,3.86,3.96,3.85,3.96,900,3.96
2013-04-11,3.99,3.99,3.99,3.99,000,3.99
2013-04-10,3.89,4.00,3.89,3.99,3000,3.99
2013-04-09,3.92,3.98,3.88,3.98,1500,3.98
2013-04-08,3.80,4.00,3.80,4.00,1200,4.00
2013-04-05,3.86,3.96,3.84,3.96,2800,3.96
2013-04-04,3.86,3.96,3.86,3.96,800,3.96
2013-04-03,3.82,3.98,3.82,3.98,1400,3.98
2013-04-02,3.80,3.96,3.76,3.96,3700,3.96
2013-04-01,3.98,3.98,3.98,3.98,000,3.98
2013-03-29,3.98,3.98,3.98,3.98,000,3.98
2013-03-28,3.90,3.98,3.80,3.98,2300,3.98
2013-03-27,3.75,3.98,3.70,3.95,3400,3.95
2013-03-26,3.74,3.88,3.73,3.85,1400,3.85
2013-03-25,3.85,3.85,3.85,3.85,000,3.85
2013-03-22,3.85,3.85,3.85,3.85,200,3.85
2013-03-21,3.82,3.96,3.82,3.96,100,3.96
2013-03-20,3.84,3.95,3.84,3.95,100,3.95
2013-03-19,3.81,3.98,3.81,3.97,300,3.97
2013-03-18,3.98,3.98,3.98,3.98,000,3.98
2013-03-15,3.81,3.98,3.81,3.98,1000,3.98
2013-03-14,3.85,3.95,3.85,3.95,200,3.95
2013-03-13,3.79,4.00,3.78,3.95,4700,3.95
2013-03-12,3.60,3.92,3.60,3.90,8700,3.90
2013-03-11,3.83,3.92,3.74,3.83,700,3.83
2013-03-08,3.86,3.94,3.81,3.93,1500,3.93
2013-03-07,3.91,3.97,3.81,3.91,3300,3.91
2013-03-06,3.90,3.98,3.90,3.98,200,3.98
2013-03-05,3.78,3.98,3.78,3.98,300,3.98
2013-03-04,3.99,4.00,3.89,3.99,1000,3.99
2013-03-01,3.93,4.00,3.93,4.00,3700,4.00
2013-02-28,3.90,4.00,3.90,4.00,300,4.00
2013-02-27,3.88,4.00,3.88,4.00,3700,4.00
2013-02-26,3.75,4.00,3.75,3.99,4600,3.99
2013-02-25,3.70,4.00,3.70,4.00,300,4.00
2013-02-22,4.01,4.04,3.94,4.02,600,4.02
2013-02-21,3.75,4.04,3.75,4.03,800,4.03
2013-02-20,4.01,4.01,3.86,4.00,1000,4.00
