Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.60,0.75,0.60,0.66,600,0.66
2013-05-22,0.71,0.71,0.65,0.66,100,0.66
2013-05-21,0.72,0.72,0.58,0.71,1300,0.71
2013-05-20,0.73,0.73,0.71,0.72,1600,0.72
2013-05-17,0.75,0.75,0.71,0.73,2200,0.73
2013-05-16,0.71,0.71,0.66,0.71,1300,0.71
2013-05-15,0.78,0.78,0.63,0.71,6500,0.71
2013-05-14,0.80,0.80,0.77,0.79,2600,0.79
2013-05-13,0.89,0.89,0.75,0.80,2900,0.80
2013-05-10,0.84,0.84,0.71,0.74,3000,0.74
2013-05-09,0.71,0.72,0.71,0.72,500,0.72
2013-05-08,0.71,0.72,0.71,0.71,1500,0.71
2013-05-07,0.67,0.67,0.67,0.67,000,0.67
2013-05-06,0.67,0.67,0.67,0.67,000,0.67
2013-05-03,0.67,0.67,0.67,0.67,000,0.67
2013-05-02,0.67,0.67,0.67,0.67,200,0.67
2013-05-01,0.67,0.67,0.67,0.67,000,0.67
2013-04-30,0.59,0.69,0.59,0.67,500,0.67
2013-04-29,0.49,0.60,0.49,0.59,1500,0.59
2013-04-26,0.59,0.61,0.59,0.61,1600,0.61
2013-04-25,0.59,0.59,0.59,0.59,300,0.59
2013-04-24,0.59,0.59,0.48,0.59,2100,0.59
2013-04-23,0.59,0.59,0.59,0.59,3400,0.59
2013-04-22,0.60,0.60,0.60,0.60,1300,0.60
2013-04-19,0.75,0.75,0.67,0.74,1200,0.74
2013-04-18,0.75,0.75,0.75,0.75,000,0.75
2013-04-17,0.80,0.80,0.67,0.78,1500,0.78
2013-04-16,0.67,0.67,0.67,0.67,400,0.67
2013-04-15,0.66,0.66,0.66,0.66,400,0.66
2013-04-12,0.46,0.55,0.46,0.55,900,0.55
2013-04-11,0.46,0.46,0.46,0.46,500,0.46
2013-04-10,0.35,0.41,0.35,0.39,000,0.39
2013-04-09,0.32,0.38,0.32,0.35,1700,0.35
2013-04-08,0.32,0.32,0.32,0.32,000,0.32
2013-04-05,0.41,0.41,0.38,0.40,000,0.40
2013-04-04,0.40,0.60,0.40,0.41,000,0.41
2013-04-03,0.50,0.50,0.50,0.50,2700,0.50
2013-04-02,0.43,0.50,0.43,0.45,100,0.45
2013-04-01,0.53,0.53,0.53,0.53,000,0.53
2013-03-29,0.53,0.53,0.53,0.53,000,0.53
2013-03-28,0.53,0.53,0.53,0.53,000,0.53
2013-03-27,0.51,0.51,0.51,0.51,000,0.51
2013-03-26,0.48,0.65,0.48,0.64,3000,0.64
2013-03-25,0.60,0.60,0.60,0.60,000,0.60
2013-03-22,0.60,0.60,0.60,0.60,1000,0.60
2013-03-21,0.58,0.58,0.56,0.57,1800,0.57
2013-03-20,0.54,0.60,0.54,0.58,2900,0.58
2013-03-19,0.40,0.54,0.40,0.53,1200,0.53
2013-03-18,0.50,0.50,0.50,0.50,000,0.50
2013-03-15,0.50,0.50,0.50,0.50,000,0.50
2013-03-14,0.41,0.60,0.41,0.56,1600,0.56
2013-03-13,0.45,0.54,0.45,0.52,100,0.52
2013-03-12,0.54,0.54,0.54,0.54,000,0.54
2013-03-11,0.55,0.55,0.55,0.55,400,0.55
2013-03-08,0.55,0.70,0.55,0.68,100,0.68
2013-03-07,0.57,0.64,0.57,0.64,800,0.64
2013-03-06,0.57,0.57,0.57,0.57,000,0.57
2013-03-05,0.56,0.56,0.56,0.56,000,0.56
2013-03-04,0.69,0.69,0.69,0.69,500,0.69
2013-03-01,0.70,0.70,0.68,0.69,2200,0.69
2013-02-28,0.63,0.69,0.58,0.68,7500,0.68
2013-02-27,0.50,0.63,0.50,0.63,700,0.63
2013-02-26,0.54,0.62,0.54,0.61,3800,0.61
2013-02-25,0.68,0.68,0.68,0.68,200,0.68
2013-02-22,0.72,0.72,0.56,0.71,100,0.71
2013-02-21,0.69,0.69,0.69,0.69,500,0.69
2013-02-20,0.69,0.69,0.69,0.69,000,0.69
2013-02-19,0.70,0.70,0.70,0.70,100,0.70
2013-02-18,0.78,0.78,0.70,0.74,1000,0.74
2013-02-15,0.77,0.77,0.76,0.77,1000,0.77
2013-02-14,0.77,0.77,0.77,0.77,1000,0.77
2013-02-13,0.74,0.85,0.74,0.83,200,0.83
2013-02-12,0.65,0.78,0.65,0.73,1300,0.73
2013-02-11,0.65,0.65,0.65,0.65,000,0.65
2013-02-08,0.70,0.70,0.66,0.68,1000,0.68
2013-02-07,0.77,0.77,0.66,0.70,400,0.70
2013-02-06,0.72,0.72,0.62,0.66,3300,0.66
2013-02-05,0.72,0.77,0.72,0.73,100,0.73
2013-02-04,0.72,0.72,0.72,0.72,000,0.72
2013-02-01,0.79,0.79,0.72,0.72,1000,0.72
2013-01-31,0.80,0.81,0.77,0.79,100,0.79
2013-01-30,0.64,0.80,0.64,0.78,200,0.78
2013-01-29,0.80,0.85,0.78,0.79,2000,0.79
2013-01-28,0.76,0.81,0.76,0.81,700,0.81
2013-01-25,0.78,0.78,0.78,0.78,700,0.78
2013-01-24,0.56,0.80,0.56,0.76,200,0.76
2013-01-23,0.70,0.70,0.70,0.70,000,0.70
2013-01-22,0.76,0.76,0.76,0.76,2900,0.76
2013-01-21,0.80,0.80,0.78,0.79,7000,0.79
2013-01-18,0.76,0.91,0.76,0.85,100,0.85
2013-01-17,0.76,0.76,0.76,0.76,1200,0.76
2013-01-16,0.70,0.80,0.70,0.80,2100,0.80
2013-01-15,0.70,0.70,0.70,0.70,3500,0.70
2013-01-14,0.66,0.66,0.66,0.66,5100,0.66
2013-01-11,0.66,0.66,0.66,0.66,2000,0.66
2013-01-10,0.66,0.66,0.66,0.66,19000,0.66
2013-01-09,0.55,0.55,0.45,0.55,29000,0.55
2013-01-08,0.50,0.58,0.50,0.55,26100,0.55
2013-01-07,0.50,0.50,0.50,0.50,000,0.50
2013-01-04,0.50,0.50,0.50,0.50,4000,0.50
2013-01-03,0.46,0.54,0.46,0.54,2000,0.54
2013-01-02,0.55,0.55,0.55,0.55,000,0.55
2013-01-01,0.55,0.55,0.55,0.55,000,0.55
2012-12-31,0.55,0.55,0.55,0.55,000,0.55
2012-12-28,0.55,0.55,0.55,0.55,000,0.55
2012-12-27,0.55,0.55,0.55,0.55,000,0.55
2012-12-26,0.55,0.55,0.55,0.55,000,0.55
2012-12-25,0.55,0.55,0.55,0.55,000,0.55
2012-12-24,0.55,0.55,0.55,0.55,000,0.55
2012-12-21,0.55,0.55,0.50,0.55,600,0.55
2012-12-20,0.55,0.55,0.55,0.55,000,0.55
2012-12-19,0.55,0.55,0.55,0.55,3900,0.55
2012-12-18,0.46,0.46,0.46,0.46,000,0.46
2012-12-17,0.57,0.57,0.57,0.57,000,0.57
2012-12-14,0.57,0.57,0.57,0.57,1200,0.57
2012-12-13,0.54,0.54,0.54,0.54,000,0.54
2012-12-12,0.54,0.54,0.54,0.54,400,0.54
2012-12-11,0.55,0.55,0.50,0.53,000,0.53
2012-12-10,0.53,0.64,0.53,0.55,300,0.55
2012-12-07,0.48,0.57,0.48,0.53,100,0.53
2012-12-06,0.45,0.50,0.45,0.48,000,0.48
2012-12-05,0.48,0.48,0.48,0.48,000,0.48
2012-12-04,0.59,0.59,0.59,0.59,000,0.59
2012-12-03,0.74,0.74,0.74,0.74,800,0.74
2012-11-30,0.90,0.92,0.80,0.92,000,0.92
2012-11-29,0.90,0.97,0.83,0.83,600,0.83
2012-11-28,1.00,1.00,0.92,1.00,000,1.00
2012-11-27,0.97,1.04,0.97,1.00,1300,1.00
2012-11-26,0.90,0.98,0.90,0.97,100,0.97
2012-11-23,0.64,0.98,0.64,0.98,200,0.98
2012-11-22,0.90,0.90,0.90,0.90,1200,0.90
2012-11-21,0.70,1.02,0.70,1.01,400,1.01
2012-11-20,1.10,1.20,0.90,0.90,1500,0.90
2012-11-19,1.09,1.11,0.75,1.10,1100,1.10
2012-11-16,0.91,1.05,0.91,1.05,000,1.05
2012-11-15,1.01,1.01,1.01,1.01,000,1.01
2012-11-14,1.01,1.01,1.01,1.01,100,1.01
2012-11-13,1.43,1.43,1.43,1.43,4000,1.43
2012-11-12,0.77,1.43,0.77,1.43,000,1.43
2012-11-09,1.10,1.10,1.10,1.10,200,1.10
2012-11-08,0.60,0.85,0.60,0.85,000,0.85
2012-11-07,0.65,0.70,0.65,0.70,400,0.70
2012-11-06,0.60,0.60,0.60,0.60,100,0.60
2012-11-05,0.51,0.60,0.51,0.60,1000,0.60
2012-11-02,0.49,0.49,0.49,0.49,000,0.49
2012-11-01,0.49,0.49,0.49,0.49,000,0.49
2012-10-31,0.41,0.41,0.41,0.41,15500,0.41
2012-10-30,0.41,0.41,0.41,0.41,000,0.41
2012-10-29,0.37,0.37,0.37,0.37,000,0.37
2012-10-26,0.43,0.43,0.37,0.37,000,0.37
2012-10-25,0.41,0.41,0.41,0.41,000,0.41
2012-10-24,0.37,0.37,0.37,0.37,000,0.37
2012-10-23,0.37,0.37,0.37,0.37,000,0.37
2012-10-22,0.45,0.45,0.41,0.41,400,0.41
2012-10-19,0.45,0.45,0.45,0.45,000,0.45
2012-10-18,0.43,0.47,0.42,0.45,10100,0.45
2012-10-17,0.42,0.44,0.42,0.43,25800,0.43
2012-10-16,0.40,0.40,0.40,0.40,000,0.40
2012-10-15,0.40,0.40,0.40,0.40,000,0.40
2012-10-12,0.40,0.40,0.40,0.40,000,0.40
2012-10-11,0.40,0.40,0.40,0.40,000,0.40
2012-10-10,0.34,0.40,0.34,0.40,1000,0.40
2012-10-09,0.37,0.37,0.37,0.37,000,0.37
2012-10-08,0.41,0.41,0.41,0.41,000,0.41
2012-10-05,0.41,0.41,0.41,0.41,100,0.41
2012-10-04,0.41,0.41,0.41,0.41,000,0.41
2012-10-03,0.45,0.45,0.45,0.45,400,0.45
2012-10-02,0.45,0.45,0.45,0.45,400,0.45
2012-10-01,0.50,0.50,0.50,0.50,000,0.50
2012-09-28,0.50,0.50,0.50,0.50,000,0.50
2012-09-27,0.45,0.50,0.45,0.50,10000,0.50
2012-09-26,0.41,0.50,0.41,0.50,100,0.50
2012-09-25,0.46,0.46,0.46,0.46,000,0.46
2012-09-24,0.45,0.46,0.45,0.46,000,0.46
2012-09-21,0.45,0.45,0.45,0.45,000,0.45
2012-09-20,0.44,0.44,0.44,0.44,000,0.44
2012-09-19,0.44,0.44,0.44,0.44,100,0.44
2012-09-18,0.42,0.43,0.42,0.43,000,0.43
2012-09-17,0.39,0.39,0.39,0.39,100,0.39
2012-09-14,0.39,0.39,0.39,0.39,2000,0.39
2012-09-13,0.42,0.42,0.42,0.42,000,0.42
2012-09-12,0.42,0.42,0.42,0.42,200,0.42
2012-09-11,0.42,0.42,0.42,0.42,000,0.42
2012-09-10,0.42,0.42,0.42,0.42,000,0.42
2012-09-07,0.42,0.42,0.42,0.42,000,0.42
2012-09-06,0.39,0.39,0.39,0.39,000,0.39
2012-09-05,0.34,0.39,0.34,0.39,400,0.39
2012-09-04,0.37,0.37,0.33,0.35,3400,0.35
2012-09-03,0.36,0.37,0.36,0.37,000,0.37
2012-08-31,0.37,0.37,0.37,0.37,000,0.37
2012-08-30,0.41,0.41,0.41,0.41,000,0.41
2012-08-29,0.41,0.41,0.41,0.41,000,0.41
2012-08-28,0.41,0.41,0.41,0.41,000,0.41
2012-08-27,0.41,0.41,0.41,0.41,000,0.41
2012-08-24,0.41,0.41,0.41,0.41,000,0.41
2012-08-23,0.41,0.41,0.41,0.41,000,0.41
2012-08-22,0.41,0.41,0.41,0.41,000,0.41
2012-08-21,0.45,0.45,0.45,0.45,000,0.45
2012-08-20,0.45,0.45,0.45,0.45,000,0.45
2012-08-17,0.50,0.50,0.50,0.50,000,0.50
2012-08-16,0.44,0.50,0.44,0.50,700,0.50
2012-08-15,0.46,0.46,0.46,0.46,000,0.46
2012-08-14,0.46,0.46,0.46,0.46,000,0.46
2012-08-13,0.46,0.47,0.46,0.46,800,0.46
2012-08-10,0.44,0.44,0.44,0.44,000,0.44
