Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,2.27,2.38,2.24,2.25,1300,2.25
2013-05-22,2.44,2.44,2.34,2.34,5700,2.34
2013-05-21,2.48,2.48,2.47,2.48,000,2.48
2013-05-20,2.36,2.50,2.32,2.50,300,2.50
2013-05-17,2.58,2.60,2.46,2.52,5500,2.52
2013-05-16,2.43,2.66,2.43,2.55,1100,2.55
2013-05-15,2.48,2.66,2.48,2.61,5200,2.61
2013-05-14,2.44,2.44,2.37,2.43,6300,2.43
2013-05-13,2.54,2.55,2.39,2.45,1300,2.45
2013-05-10,2.43,2.64,2.43,2.48,1600,2.48
2013-05-09,2.33,2.50,2.33,2.48,8200,2.48
2013-05-08,2.40,2.49,2.30,2.32,4600,2.32
2013-05-07,2.34,2.34,2.34,2.34,000,2.34
2013-05-06,2.34,2.34,2.34,2.34,000,2.34
2013-05-03,2.34,2.34,2.34,2.34,000,2.34
2013-05-02,2.25,2.37,2.23,2.34,3600,2.34
2013-05-01,2.31,2.31,2.31,2.31,000,2.31
2013-04-30,2.14,2.35,2.14,2.31,1200,2.31
2013-04-29,2.15,2.30,2.15,2.30,5900,2.30
2013-04-26,2.35,2.35,2.25,2.26,200,2.26
2013-04-25,2.41,2.42,2.39,2.39,3200,2.39
2013-04-24,2.22,2.43,2.21,2.39,10600,2.39
2013-04-23,2.32,2.42,2.21,2.23,2900,2.23
2013-04-22,2.35,2.40,2.35,2.40,200,2.40
2013-04-19,2.39,2.45,2.38,2.38,6000,2.38
2013-04-18,2.29,2.38,2.14,2.32,4500,2.32
2013-04-17,2.27,2.30,2.27,2.29,700,2.29
2013-04-16,1.88,2.20,1.88,2.19,9700,2.19
2013-04-15,2.05,2.05,1.92,1.93,1400,1.93
2013-04-12,2.04,2.04,1.92,2.03,1700,2.03
2013-04-11,1.95,2.04,1.95,2.00,8000,2.00
2013-04-10,1.87,1.90,1.75,1.90,3000,1.90
2013-04-09,1.79,1.96,1.79,1.86,4700,1.86
2013-04-08,1.79,1.82,1.76,1.82,7400,1.82
2013-04-05,1.89,1.90,1.81,1.82,2000,1.82
2013-04-04,1.97,1.97,1.85,1.85,4100,1.85
2013-04-03,2.00,2.00,1.95,1.95,6700,1.95
2013-04-02,2.00,2.09,1.95,2.09,700,2.09
2013-04-01,2.10,2.10,2.10,2.10,000,2.10
2013-03-29,2.10,2.10,2.10,2.10,000,2.10
2013-03-28,2.13,2.15,2.04,2.10,2600,2.10
2013-03-27,2.24,2.24,2.01,2.12,7500,2.12
2013-03-26,2.22,2.26,2.07,2.26,600,2.26
2013-03-25,2.32,2.32,2.32,2.32,000,2.32
2013-03-22,2.30,2.32,2.30,2.32,000,2.32
2013-03-21,2.34,2.34,2.32,2.32,5000,2.32
2013-03-20,2.30,2.40,2.26,2.34,2000,2.34
2013-03-19,2.31,2.50,2.30,2.35,300,2.35
2013-03-18,2.46,2.46,2.46,2.46,000,2.46
2013-03-15,2.45,2.52,2.45,2.46,4600,2.46
2013-03-14,2.45,2.53,2.41,2.52,400,2.52
2013-03-13,2.51,2.61,2.45,2.45,4100,2.45
2013-03-12,2.46,2.50,2.46,2.50,100,2.50
2013-03-11,2.51,2.51,2.51,2.51,000,2.51
2013-03-08,2.55,2.55,2.55,2.55,000,2.55
2013-03-07,2.59,2.59,2.45,2.51,100,2.51
2013-03-06,2.68,2.74,2.44,2.55,3400,2.55
2013-03-05,2.56,2.70,2.56,2.69,100,2.69
2013-03-04,2.54,2.70,2.52,2.70,500,2.70
2013-03-01,2.68,2.77,2.68,2.77,600,2.77
2013-02-28,2.60,2.74,2.46,2.73,5100,2.73
2013-02-27,2.59,2.59,2.50,2.50,1600,2.50
2013-02-26,2.62,2.68,2.50,2.54,5000,2.54
2013-02-25,2.71,2.71,2.69,2.70,1000,2.70
2013-02-22,2.65,2.77,2.60,2.77,900,2.77
2013-02-21,2.72,2.72,2.65,2.65,1700,2.65
2013-02-20,2.78,2.79,2.71,2.79,1300,2.79
2013-02-19,2.75,2.84,2.75,2.77,500,2.77
2013-02-18,2.77,2.89,2.76,2.89,1100,2.89
2013-02-15,2.80,2.86,2.77,2.86,100,2.86
2013-02-14,2.85,2.90,2.85,2.90,100,2.90
2013-02-13,2.92,2.92,2.80,2.89,400,2.89
2013-02-12,2.80,2.89,2.80,2.89,2000,2.89
2013-02-11,2.73,2.84,2.73,2.84,300,2.84
2013-02-08,2.81,2.85,2.81,2.85,700,2.85
2013-02-07,2.86,2.94,2.85,2.85,700,2.85
2013-02-06,2.90,2.96,2.82,2.91,4600,2.91
2013-02-05,2.74,3.00,2.74,2.90,2200,2.90
2013-02-04,2.79,2.86,2.75,2.79,2600,2.79
2013-02-01,2.93,2.97,2.85,2.86,2100,2.86
2013-01-31,2.95,2.97,2.84,2.97,400,2.97
2013-01-30,3.12,3.18,2.96,3.00,5200,3.00
2013-01-29,3.16,3.27,3.15,3.20,500,3.20
2013-01-28,3.27,3.30,3.20,3.29,4500,3.29
2013-01-25,3.27,3.38,3.20,3.38,6400,3.38
2013-01-24,3.35,3.44,3.24,3.27,6500,3.27
2013-01-23,3.45,3.50,3.36,3.39,3900,3.39
2013-01-22,3.31,3.40,3.26,3.40,3500,3.40
2013-01-21,3.37,3.45,3.30,3.45,4400,3.45
2013-01-18,3.39,3.45,3.29,3.37,4000,3.37
2013-01-17,3.30,3.39,3.23,3.33,3100,3.33
2013-01-16,3.50,3.50,3.26,3.26,3400,3.26
2013-01-15,3.49,3.50,3.26,3.50,4900,3.50
2013-01-14,3.53,3.79,3.48,3.53,21600,3.53
2013-01-11,3.31,3.57,3.30,3.53,16200,3.53
2013-01-10,3.09,3.37,3.09,3.26,16300,3.26
2013-01-09,3.06,3.10,2.91,3.05,5100,3.05
2013-01-08,3.06,3.17,3.01,3.08,7600,3.08
2013-01-07,2.96,3.07,2.96,3.06,6600,3.06
2013-01-04,2.89,3.10,2.80,2.96,9700,2.96
2013-01-03,2.88,2.91,2.78,2.86,2500,2.86
2013-01-02,2.70,2.89,2.69,2.83,5200,2.83
2013-01-01,2.66,2.66,2.66,2.66,000,2.66
2012-12-31,2.66,2.66,2.66,2.66,000,2.66
2012-12-28,2.68,2.69,2.60,2.66,1800,2.66
2012-12-27,2.61,2.68,2.54,2.68,4000,2.68
2012-12-26,2.53,2.53,2.53,2.53,000,2.53
2012-12-25,2.53,2.53,2.53,2.53,000,2.53
2012-12-24,2.53,2.53,2.53,2.53,000,2.53
2012-12-21,2.72,2.72,2.53,2.53,2700,2.53
2012-12-20,2.75,2.77,2.54,2.54,3100,2.54
2012-12-19,2.74,2.80,2.68,2.75,2900,2.75
2012-12-18,2.68,2.75,2.67,2.75,100,2.75
2012-12-17,2.79,2.79,2.79,2.79,000,2.79
2012-12-14,2.69,2.74,2.68,2.74,500,2.74
2012-12-13,2.75,2.80,2.68,2.75,2800,2.75
2012-12-12,2.87,2.87,2.72,2.75,2900,2.75
2012-12-11,2.88,2.95,2.80,2.86,7300,2.86
2012-12-10,2.48,2.97,2.48,2.93,8300,2.93
2012-12-07,2.43,2.59,2.42,2.58,9500,2.58
2012-12-06,2.47,2.49,2.40,2.47,3600,2.47
2012-12-05,2.48,2.48,2.30,2.39,4700,2.39
2012-12-04,2.41,2.48,2.41,2.48,100,2.48
2012-12-03,2.50,2.50,2.35,2.49,2200,2.49
2012-11-30,2.44,2.53,2.37,2.46,3700,2.46
2012-11-29,2.70,2.71,2.45,2.51,2200,2.51
2012-11-28,2.72,2.73,2.64,2.70,300,2.70
2012-11-27,2.66,2.70,2.60,2.70,1500,2.70
2012-11-26,2.82,2.82,2.70,2.72,5600,2.72
2012-11-23,2.67,2.79,2.67,2.79,2600,2.79
2012-11-22,2.70,2.86,2.66,2.76,6400,2.76
2012-11-21,2.85,2.88,2.75,2.78,4100,2.78
2012-11-20,2.90,2.95,2.81,2.92,2100,2.92
2012-11-19,2.60,2.95,2.60,2.95,9400,2.95
2012-11-16,2.55,2.62,2.52,2.59,3000,2.59
2012-11-15,2.53,2.58,2.49,2.58,900,2.58
2012-11-14,2.65,2.65,2.35,2.55,4300,2.55
2012-11-13,2.65,2.65,2.35,2.53,3900,2.53
2012-11-12,2.80,2.80,2.61,2.61,2000,2.61
2012-11-09,2.62,2.70,2.57,2.68,3700,2.68
2012-11-08,2.52,2.66,2.52,2.63,200,2.63
2012-11-07,2.70,2.70,2.60,2.68,500,2.68
2012-11-06,2.77,2.78,2.60,2.60,1700,2.60
2012-11-05,2.72,2.80,2.67,2.73,400,2.73
2012-11-02,2.50,2.70,2.50,2.70,4500,2.70
2012-11-01,2.70,2.78,2.50,2.61,5600,2.61
2012-10-31,2.70,2.85,2.68,2.85,1700,2.85
2012-10-30,2.88,2.88,2.63,2.69,1200,2.69
2012-10-29,2.99,3.06,2.70,2.73,3200,2.73
2012-10-26,2.99,3.07,2.88,3.06,2500,3.06
2012-10-25,3.04,3.08,2.81,2.99,4900,2.99
2012-10-24,2.92,2.99,2.81,2.98,4700,2.98
2012-10-23,3.02,3.10,2.91,2.99,6000,2.99
2012-10-22,3.04,3.30,2.91,3.07,28100,3.07
2012-10-19,2.50,3.05,2.50,3.04,26700,3.04
2012-10-18,2.45,2.62,2.45,2.50,11400,2.50
2012-10-17,2.45,2.53,2.35,2.50,2800,2.50
2012-10-16,2.51,2.51,2.48,2.50,7700,2.50
2012-10-15,2.52,2.59,2.45,2.54,400,2.54
2012-10-12,2.49,2.64,2.49,2.62,1600,2.62
2012-10-11,2.56,2.56,2.40,2.50,16200,2.50
2012-10-10,2.56,2.56,2.56,2.56,000,2.56
2012-10-09,2.60,2.60,2.57,2.60,4200,2.60
2012-10-08,2.57,2.60,2.53,2.60,500,2.60
2012-10-05,2.46,2.60,2.43,2.60,6800,2.60
2012-10-04,2.54,2.54,2.45,2.47,1800,2.47
2012-10-03,2.62,2.68,2.57,2.58,1800,2.58
2012-10-02,2.71,2.71,2.59,2.67,1100,2.67
2012-10-01,2.74,2.74,2.61,2.67,500,2.67
2012-09-28,2.60,2.76,2.50,2.72,4500,2.72
2012-09-27,2.79,2.79,2.65,2.65,500,2.65
2012-09-26,2.72,2.79,2.72,2.78,1000,2.78
2012-09-25,2.79,2.79,2.62,2.76,800,2.76
2012-09-24,2.69,2.80,2.65,2.70,800,2.70
2012-09-21,2.66,2.80,2.66,2.74,2800,2.74
2012-09-20,2.79,2.90,2.70,2.75,3500,2.75
2012-09-19,2.75,2.89,2.73,2.87,4600,2.87
2012-09-18,2.65,2.75,2.65,2.72,400,2.72
2012-09-17,2.78,2.78,2.59,2.74,1300,2.74
2012-09-14,2.74,2.75,2.62,2.62,1600,2.62
2012-09-13,2.97,2.97,2.76,2.87,3900,2.87
2012-09-12,2.92,2.93,2.80,2.90,2300,2.90
2012-09-11,2.94,2.94,2.80,2.84,200,2.84
2012-09-10,2.85,2.85,2.74,2.81,3300,2.81
2012-09-07,2.72,2.83,2.70,2.75,21700,2.75
2012-09-06,2.88,2.88,2.75,2.75,3700,2.75
2012-09-05,2.82,2.89,2.75,2.87,1300,2.87
2012-09-04,2.97,2.97,2.78,2.81,2200,2.81
2012-09-03,2.95,2.95,2.92,2.95,000,2.95
2012-08-31,2.81,2.97,2.74,2.91,5500,2.91
2012-08-30,2.80,2.83,2.74,2.74,2900,2.74
2012-08-29,2.95,2.95,2.95,2.95,000,2.95
2012-08-28,2.97,2.97,2.97,2.97,000,2.97
2012-08-27,2.89,2.94,2.85,2.92,2200,2.92
2012-08-24,2.97,2.98,2.97,2.98,100,2.98
2012-08-23,2.99,2.99,2.99,2.99,000,2.99
2012-08-22,3.08,3.08,2.91,2.99,600,2.99
2012-08-21,2.85,3.00,2.83,3.00,1800,3.00
2012-08-20,3.04,3.04,3.04,3.04,000,3.04
2012-08-17,2.95,2.95,2.90,2.90,400,2.90
