Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.73,1.73,1.73,1.73,000,1.73
2013-05-22,1.69,1.73,1.69,1.73,900,1.73
2013-05-21,1.71,1.71,1.71,1.71,000,1.71
2013-05-20,1.72,1.72,1.68,1.71,4800,1.71
2013-05-17,1.74,1.74,1.74,1.74,200,1.74
2013-05-16,1.72,1.72,1.67,1.71,6500,1.71
2013-05-15,1.63,1.72,1.63,1.72,28500,1.72
2013-05-14,1.65,1.67,1.63,1.63,2900,1.63
2013-05-13,1.60,1.65,1.60,1.65,1600,1.65
2013-05-10,1.60,1.68,1.60,1.68,2900,1.68
2013-05-09,1.64,1.72,1.62,1.72,19000,1.72
2013-05-08,1.65,1.67,1.56,1.62,4300,1.62
2013-05-07,1.62,1.62,1.62,1.62,000,1.62
2013-05-06,1.62,1.62,1.62,1.62,000,1.62
2013-05-03,1.62,1.62,1.62,1.62,000,1.62
2013-05-02,1.65,1.65,1.62,1.62,4200,1.62
2013-05-01,1.63,1.63,1.63,1.63,000,1.63
2013-04-30,1.67,1.67,1.63,1.63,5500,1.63
2013-04-29,1.68,1.68,1.64,1.67,3000,1.67
2013-04-26,1.64,1.69,1.64,1.68,4400,1.68
2013-04-25,1.68,1.72,1.65,1.69,15800,1.69
2013-04-24,1.72,1.79,1.71,1.75,51200,1.75
2013-04-23,1.62,1.70,1.61,1.69,9600,1.69
2013-04-22,1.63,1.68,1.61,1.64,23200,1.64
2013-04-19,1.60,1.64,1.60,1.64,11900,1.64
2013-04-18,1.60,1.65,1.56,1.60,8800,1.60
2013-04-17,1.41,1.65,1.41,1.60,82800,1.60
2013-04-16,1.35,1.47,1.35,1.47,600,1.47
2013-04-15,1.49,1.49,1.45,1.47,2200,1.47
2013-04-12,1.45,1.49,1.44,1.49,3100,1.49
2013-04-11,1.47,1.52,1.47,1.50,11000,1.50
2013-04-10,1.40,1.54,1.40,1.47,1100,1.47
2013-04-09,1.49,1.50,1.47,1.50,4900,1.50
2013-04-08,1.36,1.47,1.36,1.47,1300,1.47
2013-04-05,1.50,1.50,1.50,1.50,000,1.50
2013-04-04,1.45,1.50,1.39,1.50,5800,1.50
2013-04-03,1.27,1.45,1.27,1.45,16700,1.45
2013-04-02,1.28,1.35,1.26,1.31,14000,1.31
2013-04-01,1.26,1.26,1.26,1.26,000,1.26
2013-03-29,1.26,1.26,1.26,1.26,000,1.26
2013-03-28,1.20,1.28,1.20,1.26,8200,1.26
2013-03-27,1.33,1.38,1.21,1.25,24600,1.25
2013-03-26,1.39,1.39,1.33,1.38,600,1.38
2013-03-25,1.45,1.45,1.45,1.45,000,1.45
2013-03-22,1.39,1.45,1.37,1.45,6100,1.45
2013-03-21,1.41,1.47,1.41,1.47,1000,1.47
2013-03-20,1.47,1.47,1.43,1.47,2900,1.47
2013-03-19,1.46,1.50,1.42,1.48,2000,1.48
2013-03-18,1.55,1.55,1.55,1.55,000,1.55
2013-03-15,1.52,1.55,1.52,1.55,1500,1.55
2013-03-14,1.51,1.54,1.50,1.53,3700,1.53
2013-03-13,1.50,1.55,1.50,1.55,15700,1.55
2013-03-12,1.46,1.56,1.45,1.56,2900,1.56
2013-03-11,1.50,1.55,1.48,1.52,5000,1.52
2013-03-08,1.55,1.56,1.51,1.56,100,1.56
2013-03-07,1.53,1.59,1.51,1.54,7600,1.54
2013-03-06,1.51,1.59,1.51,1.57,2200,1.57
2013-03-05,1.55,1.58,1.49,1.58,23400,1.58
2013-03-04,1.50,1.55,1.50,1.55,5600,1.55
2013-03-01,1.47,1.56,1.47,1.56,1000,1.56
2013-02-28,1.56,1.58,1.55,1.55,3700,1.55
2013-02-27,1.57,1.59,1.57,1.59,100,1.59
2013-02-26,1.48,1.59,1.47,1.58,48500,1.58
2013-02-25,1.54,1.55,1.51,1.55,4800,1.55
2013-02-22,1.54,1.57,1.51,1.54,8900,1.54
2013-02-21,1.45,1.57,1.45,1.57,7800,1.57
2013-02-20,1.54,1.56,1.54,1.56,5000,1.56
2013-02-19,1.53,1.54,1.51,1.54,4000,1.54
2013-02-18,1.56,1.58,1.55,1.55,3300,1.55
2013-02-15,1.52,1.59,1.52,1.59,8400,1.59
2013-02-14,1.49,1.56,1.49,1.54,5500,1.54
2013-02-13,1.49,1.52,1.48,1.52,5800,1.52
2013-02-12,1.48,1.53,1.47,1.52,16200,1.52
2013-02-11,1.50,1.52,1.50,1.52,3600,1.52
2013-02-08,1.50,1.56,1.50,1.54,12900,1.54
2013-02-07,1.51,1.57,1.51,1.53,15500,1.53
2013-02-06,1.49,1.55,1.48,1.55,23600,1.55
2013-02-05,1.46,1.49,1.44,1.46,7800,1.46
2013-02-04,1.45,1.46,1.41,1.42,4200,1.42
2013-02-01,1.50,1.53,1.38,1.45,16500,1.45
2013-01-31,1.57,1.57,1.41,1.50,8100,1.50
2013-01-30,1.60,1.60,1.53,1.53,3900,1.53
2013-01-29,1.65,1.65,1.58,1.60,6100,1.60
2013-01-28,1.70,1.71,1.65,1.69,10100,1.69
2013-01-25,1.60,1.70,1.57,1.69,18600,1.69
2013-01-24,1.70,1.80,1.62,1.66,26200,1.66
2013-01-23,1.76,1.79,1.71,1.75,12000,1.75
2013-01-22,1.70,1.79,1.70,1.76,28700,1.76
2013-01-21,1.60,1.76,1.59,1.76,29500,1.76
2013-01-18,1.61,1.62,1.58,1.59,3800,1.59
2013-01-17,1.59,1.60,1.59,1.59,700,1.59
2013-01-16,1.59,1.62,1.55,1.59,5100,1.59
2013-01-15,1.55,1.62,1.50,1.58,16800,1.58
2013-01-14,1.71,1.76,1.61,1.62,30100,1.62
2013-01-11,1.79,1.79,1.69,1.70,3800,1.70
2013-01-10,1.80,1.81,1.73,1.81,7800,1.81
2013-01-09,1.80,1.83,1.77,1.83,7400,1.83
2013-01-08,1.84,1.88,1.81,1.83,36700,1.83
2013-01-07,1.74,1.88,1.74,1.85,37300,1.85
2013-01-04,1.75,1.79,1.73,1.77,22000,1.77
2013-01-03,1.72,1.81,1.68,1.78,45100,1.78
2013-01-02,1.50,1.75,1.50,1.74,27200,1.74
2013-01-01,1.47,1.47,1.47,1.47,000,1.47
2012-12-31,1.47,1.47,1.47,1.47,000,1.47
2012-12-28,1.49,1.49,1.47,1.47,3100,1.47
2012-12-27,1.48,1.53,1.47,1.50,9600,1.50
2012-12-26,1.48,1.48,1.48,1.48,000,1.48
2012-12-25,1.48,1.48,1.48,1.48,000,1.48
2012-12-24,1.48,1.48,1.48,1.48,000,1.48
2012-12-21,1.49,1.55,1.46,1.48,15900,1.48
2012-12-20,1.52,1.53,1.46,1.49,3700,1.49
2012-12-19,1.47,1.52,1.47,1.50,21000,1.50
2012-12-18,1.44,1.49,1.42,1.44,22500,1.44
2012-12-17,1.38,1.44,1.38,1.43,17000,1.43
2012-12-14,1.39,1.43,1.34,1.42,16700,1.42
2012-12-13,1.42,1.45,1.33,1.37,17100,1.37
2012-12-12,1.40,1.44,1.34,1.42,25500,1.42
2012-12-11,1.37,1.41,1.34,1.39,17900,1.39
2012-12-10,1.38,1.38,1.30,1.34,13000,1.34
2012-12-07,1.30,1.35,1.29,1.35,15600,1.35
2012-12-06,1.25,1.26,1.22,1.25,4500,1.25
2012-12-05,1.24,1.24,1.15,1.21,3000,1.21
2012-12-04,1.22,1.25,1.18,1.20,6600,1.20
2012-12-03,1.11,1.20,1.11,1.20,8500,1.20
2012-11-30,1.13,1.13,1.05,1.09,300,1.09
2012-11-29,1.11,1.11,1.11,1.11,100,1.11
2012-11-28,1.13,1.13,1.06,1.08,2400,1.08
2012-11-27,1.13,1.14,1.05,1.12,5000,1.12
2012-11-26,1.10,1.14,1.08,1.12,700,1.12
2012-11-23,1.12,1.18,1.12,1.12,16400,1.12
2012-11-22,1.12,1.17,1.11,1.14,8000,1.14
2012-11-21,1.09,1.12,1.09,1.12,7600,1.12
2012-11-20,1.02,1.12,1.02,1.08,5100,1.08
2012-11-19,1.01,1.07,1.01,1.07,1200,1.07
2012-11-16,1.08,1.08,1.00,1.00,2600,1.00
2012-11-15,1.05,1.05,1.04,1.04,2200,1.04
2012-11-14,0.90,1.07,0.90,1.05,7800,1.05
2012-11-13,1.05,1.05,1.05,1.05,000,1.05
2012-11-12,1.09,1.13,1.05,1.05,3300,1.05
2012-11-09,1.09,1.09,1.09,1.09,000,1.09
2012-11-08,1.05,1.06,1.05,1.05,2000,1.05
2012-11-07,1.09,1.10,1.03,1.07,700,1.07
2012-11-06,1.01,1.10,1.01,1.08,4100,1.08
2012-11-05,1.12,1.12,1.10,1.12,4500,1.12
2012-11-02,1.10,1.13,1.10,1.12,2000,1.12
2012-11-01,1.08,1.10,1.07,1.09,4900,1.09
2012-10-31,1.15,1.18,1.13,1.18,5000,1.18
2012-10-30,1.18,1.20,1.04,1.14,10000,1.14
2012-10-29,1.19,1.20,1.16,1.16,4400,1.16
2012-10-26,1.18,1.18,1.18,1.18,000,1.18
2012-10-25,1.18,1.19,1.18,1.18,200,1.18
2012-10-24,1.15,1.18,1.15,1.18,2600,1.18
2012-10-23,1.18,1.23,1.15,1.18,19000,1.18
2012-10-22,1.15,1.23,1.15,1.18,10100,1.18
2012-10-19,1.13,1.14,1.08,1.14,5600,1.14
2012-10-18,1.15,1.15,1.06,1.14,9400,1.14
2012-10-17,1.12,1.15,1.05,1.13,11500,1.13
2012-10-16,1.00,1.05,0.96,1.05,10300,1.05
2012-10-15,1.10,1.10,1.00,1.05,1700,1.05
2012-10-12,0.99,1.04,0.97,1.00,5000,1.00
2012-10-11,0.99,0.99,0.95,0.95,4200,0.95
2012-10-10,0.98,0.99,0.94,0.99,11700,0.99
2012-10-09,0.96,1.05,0.96,0.96,2400,0.96
2012-10-08,0.96,1.00,0.94,0.94,10500,0.94
2012-10-05,0.86,0.97,0.86,0.96,12300,0.96
2012-10-04,0.86,0.87,0.85,0.87,11200,0.87
2012-10-03,0.85,0.85,0.82,0.85,3900,0.85
2012-10-02,0.85,0.86,0.83,0.85,6700,0.85
2012-10-01,0.86,0.86,0.86,0.86,000,0.86
2012-09-28,0.87,0.87,0.84,0.85,2600,0.85
2012-09-27,0.85,0.87,0.85,0.86,7300,0.86
2012-09-26,0.84,0.85,0.84,0.85,1000,0.85
2012-09-25,0.82,0.84,0.82,0.84,5700,0.84
2012-09-24,0.83,0.86,0.82,0.84,7800,0.84
2012-09-21,0.77,0.85,0.77,0.82,31700,0.82
2012-09-20,0.72,0.89,0.72,0.75,10700,0.75
2012-09-19,0.72,0.75,0.71,0.72,2000,0.72
2012-09-18,0.72,0.73,0.69,0.72,8800,0.72
2012-09-17,0.72,0.73,0.71,0.73,5000,0.73
2012-09-14,0.73,0.74,0.70,0.73,11600,0.73
2012-09-13,0.72,0.74,0.71,0.73,5600,0.73
2012-09-12,0.70,0.74,0.70,0.74,6500,0.74
2012-09-11,0.69,0.71,0.69,0.71,25100,0.71
