Date,Open,High,Low,Close,Volume,Adj Close
2011-12-05,0.08,0.08,0.08,0.08,000,0.08
2011-05-09,0.08,0.08,0.08,0.08,6800,0.08
2011-03-31,0.08,0.08,0.08,0.08,000,0.08
2011-03-24,0.07,0.08,0.07,0.08,12100,0.08
2011-03-11,0.08,0.08,0.08,0.08,100,0.08
2011-03-10,0.08,0.08,0.08,0.08,000,0.08
2011-03-08,0.07,0.07,0.07,0.07,000,0.07
2011-03-04,0.06,0.06,0.06,0.06,400,0.06
2011-03-02,0.05,0.06,0.05,0.06,4500,0.06
2011-02-22,0.06,0.06,0.06,0.06,2500,0.06
2011-02-21,0.06,0.07,0.06,0.06,2200,0.06
2011-02-18,0.06,0.06,0.06,0.06,1000,0.06
2011-02-16,0.06,0.06,0.06,0.06,1000,0.06
2011-02-15,0.06,0.06,0.06,0.06,10000,0.06
2011-02-08,0.06,0.06,0.06,0.06,300,0.06
2011-02-04,0.06,0.06,0.06,0.06,500,0.06
2011-02-03,0.05,0.06,0.05,0.06,1500,0.06
2011-02-02,0.06,0.06,0.06,0.06,100,0.06
2011-02-01,0.06,0.06,0.06,0.06,5000,0.06
2011-01-31,0.06,0.06,0.06,0.06,1400,0.06
2011-01-28,0.06,0.06,0.06,0.06,000,0.06
2011-01-27,0.06,0.06,0.06,0.06,5000,0.06
2011-01-21,0.05,0.06,0.05,0.06,2900,0.06
2011-01-20,0.05,0.05,0.05,0.05,23500,0.05
2011-01-19,0.05,0.05,0.04,0.05,8000,0.05
2011-01-17,0.05,0.05,0.05,0.05,4800,0.05
2011-01-13,0.05,0.06,0.05,0.05,5000,0.05
2010-12-23,0.06,0.06,0.06,0.06,100,0.06
2010-12-16,0.05,0.06,0.05,0.06,9300,0.06
2010-12-15,0.05,0.06,0.05,0.06,500,0.06
2010-12-14,0.06,0.06,0.06,0.06,14600,0.06
2010-12-10,0.06,0.06,0.06,0.06,11000,0.06
2010-12-09,0.06,0.06,0.06,0.06,5000,0.06
2010-12-02,0.07,0.07,0.07,0.07,100,0.07
2010-11-29,0.07,0.07,0.07,0.07,400,0.07
2010-11-19,0.06,0.07,0.06,0.07,800,0.07
2010-11-18,0.05,0.06,0.05,0.06,11800,0.06
2010-11-17,0.05,0.05,0.05,0.05,48800,0.05
2010-11-12,0.05,0.05,0.05,0.05,4000,0.05
2010-11-10,0.05,0.05,0.05,0.05,2700,0.05
2010-11-09,0.05,0.05,0.05,0.05,4400,0.05
2010-11-08,0.05,0.05,0.05,0.05,1700,0.05
2010-11-05,0.06,0.06,0.06,0.06,300,0.06
2010-10-29,0.06,0.06,0.06,0.06,4000,0.06
2010-10-26,0.06,0.06,0.05,0.06,10400,0.06
2010-10-20,0.06,0.06,0.05,0.06,2600,0.06
2010-10-19,0.06,0.06,0.06,0.06,12000,0.06
2010-10-13,0.06,0.06,0.06,0.06,4500,0.06
2010-10-12,0.07,0.07,0.07,0.07,1000,0.07
2010-09-20,0.08,0.08,0.08,0.08,1000,0.08
2010-09-09,0.08,0.08,0.08,0.08,92500,0.08
2010-09-07,0.09,0.09,0.09,0.09,100,0.09
2010-09-01,0.09,0.10,0.09,0.09,9000,0.09
2010-08-10,0.10,0.11,0.10,0.11,300,0.11
2010-08-02,0.09,0.10,0.09,0.10,000,0.10
2010-07-30,0.09,0.09,0.08,0.09,000,0.09
2010-07-15,0.07,0.08,0.07,0.08,9100,0.08
2010-07-14,0.07,0.07,0.07,0.07,32000,0.07
2010-07-13,0.07,0.07,0.07,0.07,100,0.07
2010-07-12,0.07,0.07,0.06,0.06,11200,0.06
2010-07-09,0.07,0.07,0.07,0.07,2300,0.07
2010-07-02,0.08,0.08,0.08,0.08,700,0.08
2010-06-04,0.09,0.09,0.09,0.09,000,0.09
2010-06-02,0.08,0.08,0.08,0.08,12000,0.08
2010-06-01,0.08,0.08,0.08,0.08,6200,0.08
2010-03-17,0.09,0.09,0.09,0.09,2000,0.09
2010-02-12,0.08,0.09,0.08,0.09,900,0.09
2010-02-11,0.07,0.08,0.07,0.08,4800,0.08
2010-02-10,0.07,0.07,0.06,0.07,9000,0.07
2010-02-09,0.07,0.07,0.07,0.07,8000,0.07
2010-02-08,0.08,0.08,0.07,0.08,5200,0.08
2010-02-05,0.08,0.08,0.07,0.08,21500,0.08
2010-02-03,0.08,0.08,0.08,0.08,15000,0.08
2010-02-02,0.08,0.08,0.08,0.08,5000,0.08
2010-02-01,0.09,0.09,0.09,0.09,000,0.09
2010-01-28,0.08,0.08,0.08,0.08,6000,0.08
2009-08-17,0.16,0.16,0.16,0.16,3500,0.16
2009-05-29,0.10,0.12,0.10,0.12,43700,0.12
2009-05-28,0.11,0.11,0.11,0.11,5000,0.11
2009-05-27,0.12,0.12,0.12,0.12,200,0.12
