Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.43,1.43,1.27,1.27,300,1.27
2013-05-22,1.39,1.39,1.39,1.39,000,1.39
2013-05-21,1.35,1.35,1.35,1.35,000,1.35
2013-05-20,1.25,1.30,1.25,1.27,1100,1.27
2013-05-17,1.38,1.38,1.38,1.38,000,1.38
2013-05-16,1.36,1.38,1.35,1.38,1300,1.38
2013-05-15,1.50,1.58,1.40,1.48,1200,1.48
2013-05-14,1.44,1.44,1.44,1.44,000,1.44
2013-05-13,1.38,1.44,1.38,1.44,3000,1.44
2013-05-10,1.30,1.48,1.30,1.44,16800,1.44
2013-05-09,1.38,1.38,1.32,1.38,400,1.38
2013-05-08,1.35,1.49,1.35,1.46,10000,1.46
2013-05-07,1.49,1.49,1.49,1.49,000,1.49
2013-05-06,1.49,1.49,1.49,1.49,000,1.49
2013-05-03,1.49,1.49,1.49,1.49,000,1.49
2013-05-02,1.35,1.49,1.35,1.49,100,1.49
2013-05-01,1.49,1.49,1.49,1.49,000,1.49
2013-04-30,1.35,1.49,1.35,1.49,100,1.49
2013-04-29,1.48,1.48,1.48,1.48,000,1.48
2013-04-26,1.35,1.35,1.35,1.35,600,1.35
2013-04-25,1.48,1.48,1.48,1.48,600,1.48
2013-04-24,1.35,1.35,1.35,1.35,000,1.35
2013-04-23,1.50,1.50,1.35,1.35,600,1.35
2013-04-22,1.49,1.49,1.49,1.49,000,1.49
2013-04-19,1.49,1.49,1.49,1.49,100,1.49
2013-04-18,1.50,1.50,1.50,1.50,000,1.50
2013-04-17,1.50,1.50,1.50,1.50,000,1.50
2013-04-16,1.50,1.50,1.50,1.50,000,1.50
2013-04-15,1.50,1.50,1.50,1.50,000,1.50
2013-04-12,1.50,1.50,1.50,1.50,2400,1.50
2013-04-11,1.40,1.50,1.40,1.50,1500,1.50
2013-04-10,1.46,1.48,1.46,1.48,700,1.48
2013-04-09,1.35,1.46,1.35,1.46,200,1.46
2013-04-08,1.35,1.35,1.35,1.35,000,1.35
2013-04-05,1.35,1.35,1.35,1.35,100,1.35
2013-04-04,1.36,1.36,1.36,1.36,000,1.36
2013-04-03,1.36,1.36,1.36,1.36,300,1.36
2013-04-02,1.51,1.51,1.51,1.51,000,1.51
2013-04-01,1.51,1.51,1.51,1.51,000,1.51
2013-03-29,1.51,1.51,1.51,1.51,000,1.51
2013-03-28,1.51,1.51,1.51,1.51,000,1.51
2013-03-27,1.51,1.51,1.51,1.51,000,1.51
2013-03-26,1.51,1.51,1.51,1.51,000,1.51
2013-03-25,1.51,1.51,1.51,1.51,000,1.51
2013-03-22,1.51,1.51,1.51,1.51,000,1.51
2013-03-21,1.51,1.51,1.51,1.51,000,1.51
2013-03-20,1.51,1.51,1.51,1.51,000,1.51
2013-03-19,1.51,1.51,1.51,1.51,000,1.51
2013-03-18,1.51,1.51,1.51,1.51,000,1.51
2013-03-15,1.30,1.51,1.30,1.51,500,1.51
2013-03-14,1.45,1.45,1.26,1.26,1000,1.26
2013-03-13,1.49,1.49,1.25,1.27,1800,1.27
2013-03-12,1.36,1.36,1.36,1.36,000,1.36
2013-03-11,1.36,1.36,1.36,1.36,000,1.36
2013-03-08,1.36,1.36,1.36,1.36,000,1.36
2013-03-07,1.36,1.36,1.36,1.36,000,1.36
2013-03-06,1.30,1.30,1.30,1.30,000,1.30
2013-03-05,1.30,1.30,1.30,1.30,000,1.30
2013-03-04,1.30,1.30,1.30,1.30,000,1.30
2013-03-01,1.26,1.26,1.26,1.26,000,1.26
2013-02-28,1.26,1.26,1.26,1.26,000,1.26
2013-02-27,1.26,1.26,1.26,1.26,000,1.26
2013-02-26,1.26,1.26,1.26,1.26,000,1.26
2013-02-25,1.26,1.26,1.26,1.26,000,1.26
2013-02-22,1.26,1.26,1.26,1.26,000,1.26
2013-02-21,1.26,1.26,1.26,1.26,000,1.26
2013-02-20,1.26,1.26,1.26,1.26,000,1.26
2013-02-19,1.26,1.26,1.26,1.26,000,1.26
2013-02-18,1.26,1.26,1.26,1.26,000,1.26
2013-02-15,1.26,1.26,1.26,1.26,000,1.26
2013-02-14,1.26,1.26,1.26,1.26,000,1.26
2013-02-13,1.26,1.26,1.26,1.26,500,1.26
2013-02-12,1.17,1.26,1.17,1.26,1100,1.26
2013-02-11,1.07,1.07,1.07,1.07,1000,1.07
2013-02-08,1.50,1.50,1.50,1.50,000,1.50
2013-02-07,1.58,1.58,1.50,1.50,100,1.50
2013-02-06,1.56,1.56,1.50,1.50,700,1.50
2013-02-05,1.38,1.50,1.38,1.50,27500,1.50
2013-02-04,1.50,1.51,1.50,1.51,1000,1.51
2013-02-01,1.51,1.51,1.51,1.51,000,1.51
2013-01-31,1.51,1.51,1.51,1.51,000,1.51
2013-01-30,1.51,1.51,1.51,1.51,000,1.51
2013-01-29,1.51,1.51,1.51,1.51,000,1.51
2013-01-28,1.42,1.42,1.42,1.42,100,1.42
2013-01-25,1.49,1.49,1.49,1.49,000,1.49
2013-01-24,1.38,1.42,1.38,1.39,500,1.39
2013-01-23,1.50,1.50,1.35,1.36,7700,1.36
2013-01-22,1.50,1.50,1.50,1.50,5000,1.50
2013-01-21,1.60,1.69,1.60,1.65,3000,1.65
2013-01-18,1.76,1.76,1.76,1.76,000,1.76
2013-01-17,1.76,1.76,1.76,1.76,000,1.76
2013-01-16,1.76,1.76,1.76,1.76,000,1.76
2013-01-15,1.76,1.76,1.76,1.76,000,1.76
2013-01-14,1.76,1.76,1.76,1.76,000,1.76
2013-01-11,1.78,1.78,1.65,1.76,1100,1.76
2013-01-10,1.82,1.83,1.82,1.83,200,1.83
2013-01-09,1.69,1.69,1.69,1.69,000,1.69
2013-01-08,1.69,1.69,1.69,1.69,1000,1.69
2013-01-07,1.54,1.54,1.54,1.54,5000,1.54
2013-01-04,1.40,1.40,1.40,1.40,200,1.40
2013-01-03,1.55,1.55,1.55,1.55,500,1.55
2013-01-02,1.70,1.70,1.70,1.70,000,1.70
2013-01-01,1.70,1.70,1.70,1.70,000,1.70
2012-12-31,1.70,1.70,1.70,1.70,000,1.70
2012-12-28,1.70,1.70,1.70,1.70,000,1.70
2012-12-27,1.70,1.70,1.70,1.70,000,1.70
2012-12-26,1.70,1.70,1.70,1.70,000,1.70
2012-12-25,1.70,1.70,1.70,1.70,000,1.70
2012-12-24,1.70,1.70,1.70,1.70,000,1.70
2012-12-21,1.70,1.70,1.70,1.70,000,1.70
2012-12-20,1.70,1.70,1.70,1.70,000,1.70
2012-12-19,1.70,1.70,1.70,1.70,000,1.70
2012-12-18,1.70,1.70,1.70,1.70,000,1.70
2012-12-17,1.70,1.70,1.70,1.70,000,1.70
2012-12-14,1.70,1.70,1.70,1.70,000,1.70
2012-12-13,1.70,1.73,1.62,1.70,8600,1.70
2012-12-12,1.63,1.63,1.61,1.63,1300,1.63
2012-12-11,1.49,1.49,1.49,1.49,000,1.49
2012-12-10,1.65,1.71,1.49,1.49,2100,1.49
2012-12-07,1.53,1.65,1.53,1.65,500,1.65
2012-12-06,1.69,1.69,1.69,1.69,000,1.69
2012-12-05,1.69,1.69,1.69,1.69,000,1.69
2012-12-04,1.69,1.69,1.69,1.69,000,1.69
2012-12-03,1.57,1.57,1.57,1.57,000,1.57
2012-11-30,1.57,1.57,1.57,1.57,000,1.57
2012-11-29,1.57,1.57,1.57,1.57,000,1.57
2012-11-28,1.43,1.43,1.43,1.43,000,1.43
2012-11-27,1.30,1.30,1.30,1.30,400,1.30
2012-11-26,1.30,1.30,1.30,1.30,700,1.30
2012-11-23,1.48,1.50,1.30,1.31,700,1.31
2012-11-22,1.37,1.37,1.37,1.37,000,1.37
2012-11-21,1.37,1.37,1.37,1.37,000,1.37
2012-11-20,1.25,1.25,1.25,1.25,000,1.25
2012-11-19,1.25,1.25,1.25,1.25,000,1.25
2012-11-16,1.25,1.25,1.25,1.25,000,1.25
2012-11-15,1.25,1.25,1.25,1.25,000,1.25
2012-11-14,1.25,1.25,1.25,1.25,000,1.25
2012-11-13,1.18,1.25,1.18,1.25,200,1.25
2012-11-12,1.30,1.30,1.27,1.30,300,1.30
2012-11-09,1.39,1.39,1.39,1.39,000,1.39
2012-11-08,1.39,1.42,1.39,1.39,300,1.39
2012-11-07,1.54,1.54,1.54,1.54,000,1.54
2012-11-06,1.54,1.54,1.54,1.54,300,1.54
2012-11-05,1.71,1.71,1.71,1.71,000,1.71
2012-11-02,1.99,2.00,1.71,1.71,3900,1.71
2012-11-01,1.89,1.89,1.89,1.89,000,1.89
2012-10-31,1.89,1.89,1.89,1.89,000,1.89
2012-10-30,1.89,1.89,1.89,1.89,000,1.89
2012-10-29,1.74,1.74,1.74,1.74,000,1.74
2012-10-26,1.74,1.74,1.74,1.74,000,1.74
2012-10-25,1.60,1.60,1.60,1.60,000,1.60
2012-10-24,1.59,1.60,1.59,1.60,000,1.60
2012-10-23,1.60,1.60,1.60,1.60,000,1.60
2012-10-22,1.60,1.60,1.60,1.60,500,1.60
2012-10-19,1.59,1.59,1.59,1.59,000,1.59
2012-10-18,1.58,1.59,1.58,1.59,000,1.59
2012-10-17,1.49,1.49,1.49,1.49,000,1.49
2012-10-16,1.49,1.49,1.49,1.49,000,1.49
2012-10-15,1.21,1.21,1.21,1.21,000,1.21
2012-10-12,1.21,1.21,1.21,1.21,000,1.21
2012-10-11,0.96,0.96,0.96,0.96,000,0.96
2012-10-10,1.57,1.57,0.96,0.96,300,0.96
2012-10-09,1.12,1.75,1.12,1.25,2000,1.25
2012-10-08,0.97,1.43,0.97,1.36,2500,1.36
2012-10-05,1.28,1.30,1.28,1.30,800,1.30
2012-10-04,0.99,1.00,0.93,1.00,3400,1.00
2012-10-03,0.99,0.99,0.99,0.99,000,0.99
2012-10-02,0.90,0.90,0.90,0.90,1500,0.90
2012-10-01,0.90,0.90,0.90,0.90,000,0.90
2012-09-28,0.90,0.90,0.90,0.90,000,0.90
2012-09-27,0.90,0.90,0.90,0.90,000,0.90
2012-09-26,0.90,0.90,0.90,0.90,200,0.90
2012-09-25,0.90,0.90,0.90,0.90,200,0.90
2012-09-24,0.90,0.90,0.90,0.90,000,0.90
2012-09-21,0.89,0.97,0.89,0.97,2600,0.97
2012-09-20,0.89,0.89,0.89,0.89,000,0.89
2012-09-19,0.87,0.89,0.87,0.89,500,0.89
2012-09-18,0.85,0.85,0.85,0.85,300,0.85
2012-09-17,0.83,0.85,0.83,0.85,8300,0.85
2012-09-14,0.82,0.82,0.82,0.82,000,0.82
2012-09-13,0.82,0.82,0.82,0.82,000,0.82
2012-09-12,0.78,0.91,0.78,0.82,1700,0.82
2012-09-11,0.87,0.87,0.87,0.87,000,0.87
2012-09-10,0.75,0.82,0.75,0.80,4200,0.80
2012-09-07,0.83,0.83,0.75,0.75,1600,0.75
2012-09-06,0.76,0.76,0.69,0.75,1000,0.75
2012-09-05,0.76,0.82,0.76,0.76,100,0.76
2012-09-04,0.88,0.88,0.78,0.78,7900,0.78
2012-09-03,0.73,0.81,0.73,0.81,100,0.81
2012-08-31,0.70,0.80,0.70,0.80,100,0.80
2012-08-30,0.77,0.77,0.77,0.77,000,0.77
2012-08-29,0.77,0.77,0.77,0.77,000,0.77
2012-08-28,0.77,0.77,0.77,0.77,000,0.77
2012-08-27,0.77,0.77,0.77,0.77,000,0.77
2012-08-24,0.77,0.77,0.77,0.77,000,0.77
2012-08-23,0.70,0.70,0.70,0.70,000,0.70
2012-08-22,0.77,0.77,0.77,0.77,000,0.77
2012-08-21,0.77,0.77,0.77,0.77,000,0.77
2012-08-20,0.77,0.77,0.77,0.77,000,0.77
2012-08-17,0.77,0.77,0.77,0.77,000,0.77
2012-08-16,0.77,0.77,0.77,0.77,000,0.77
2012-08-15,0.77,0.77,0.77,0.77,000,0.77
2012-08-14,0.77,0.77,0.77,0.77,000,0.77
2012-08-13,0.77,0.77,0.77,0.77,000,0.77
2012-08-10,0.77,0.77,0.77,0.77,100,0.76
2012-08-09,0.75,0.75,0.75,0.75,000,0.74
2012-08-08,0.66,0.75,0.66,0.75,200,0.74
2012-08-07,0.73,0.73,0.73,0.73,000,0.72
2012-08-06,0.70,0.73,0.70,0.73,200,0.72
2012-08-03,0.59,0.70,0.59,0.70,100,0.69
2012-08-02,0.65,0.65,0.65,0.65,000,0.64
2012-08-01,0.65,0.65,0.65,0.65,000,0.64
2012-07-31,0.65,0.65,0.65,0.65,000,0.64
2012-07-30,0.63,0.63,0.63,0.63,000,0.63
2012-07-27,0.63,0.63,0.63,0.63,000,0.63
2012-07-26,0.63,0.63,0.63,0.63,800,0.63
2012-07-25,0.70,0.70,0.70,0.70,000,0.70
2012-07-24,0.70,0.70,0.70,0.70,100,0.70
2012-07-23,0.78,0.78,0.78,0.78,800,0.77
2012-07-20,0.78,0.78,0.78,0.78,300,0.78
2012-07-19,0.87,0.87,0.87,0.87,000,0.86
2012-07-18,0.87,0.87,0.87,0.87,000,0.86
2012-07-17,0.87,0.87,0.87,0.87,000,0.86
2012-07-16,0.79,0.79,0.79,0.79,000,0.78
2012-07-13,0.79,0.79,0.79,0.79,000,0.78
2012-07-12,0.79,0.79,0.79,0.79,000,0.78
2012-07-11,0.79,0.79,0.79,0.79,000,0.78
2012-07-10,0.79,0.79,0.79,0.79,000,0.78
2012-07-09,0.79,0.79,0.79,0.79,000,0.78
2012-07-06,0.79,0.79,0.79,0.79,000,0.78
2012-07-05,0.79,0.79,0.79,0.79,000,0.78
2012-07-04,0.73,0.80,0.73,0.79,1200,0.78
2012-07-03,0.72,0.72,0.72,0.72,000,0.72
2012-07-02,0.72,0.72,0.72,0.72,000,0.72
2012-06-29,0.72,0.72,0.72,0.72,000,0.72
2012-06-28,0.72,0.72,0.72,0.72,000,0.72
2012-06-27,0.72,0.72,0.72,0.72,600,0.72
2012-06-26,0.80,0.80,0.66,0.66,1300,0.65
2012-06-25,0.75,0.75,0.73,0.73,100,0.72
2012-06-22,0.68,0.68,0.68,0.68,000,0.67
2012-06-21,0.68,0.68,0.68,0.68,000,0.67
2012-06-20,0.68,0.68,0.68,0.68,000,0.67
2012-06-19,0.68,0.68,0.68,0.68,000,0.67
2012-06-18,0.68,0.68,0.68,0.68,000,0.67
2012-06-15,0.68,0.68,0.68,0.68,000,0.67
2012-06-14,0.68,0.68,0.68,0.68,000,0.67
2012-06-13,0.68,0.68,0.68,0.68,000,0.67
2012-06-12,0.68,0.68,0.68,0.68,000,0.67
2012-06-11,0.68,0.68,0.68,0.68,000,0.67
2012-06-08,0.68,0.68,0.68,0.68,000,0.67
2012-06-07,0.68,0.68,0.68,0.68,000,0.67
2012-06-06,0.68,0.68,0.68,0.68,000,0.67
2012-06-05,0.68,0.68,0.68,0.68,000,0.67
2012-06-04,0.68,0.68,0.68,0.68,000,0.67
2012-06-01,0.62,0.68,0.62,0.68,2000,0.67
2012-05-31,0.62,0.62,0.62,0.62,000,0.61
2012-05-30,0.62,0.62,0.62,0.62,1200,0.61
2012-05-29,0.62,0.62,0.62,0.62,000,0.62
2012-05-28,0.62,0.62,0.62,0.62,000,0.62
2012-05-25,0.62,0.62,0.62,0.62,000,0.62
2012-05-24,0.61,0.61,0.61,0.61,000,0.60
2012-05-23,0.61,0.61,0.61,0.61,100,0.60
2012-05-22,0.61,0.61,0.61,0.61,000,0.60
2012-05-21,0.61,0.61,0.61,0.61,000,0.60
2012-05-18,0.61,0.61,0.61,0.61,000,0.60
2012-05-17,0.59,0.59,0.59,0.59,000,0.58
2012-05-16,0.59,0.59,0.59,0.59,000,0.58
2012-05-15,0.59,0.59,0.59,0.59,000,0.58
2012-05-14,0.59,0.59,0.59,0.59,900,0.58
