Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,3.49,3.50,3.30,3.50,1400,3.50
2013-05-22,3.50,3.50,3.37,3.43,1000,3.43
2013-05-21,3.43,3.50,3.40,3.45,1900,3.45
2013-05-20,3.46,3.56,3.41,3.50,4500,3.50
2013-05-17,3.52,3.57,3.43,3.57,6400,3.57
2013-05-16,3.72,3.83,3.54,3.58,16500,3.58
2013-05-15,3.45,3.70,3.45,3.70,13000,3.70
2013-05-14,3.54,3.54,3.42,3.52,2800,3.52
2013-05-13,3.46,3.61,3.45,3.54,7400,3.54
2013-05-10,3.64,3.64,3.50,3.62,1400,3.62
2013-05-09,3.55,3.75,3.50,3.65,45100,3.65
2013-05-08,3.46,3.70,3.46,3.58,5800,3.58
2013-05-07,3.57,3.57,3.57,3.57,000,3.57
2013-05-06,3.57,3.57,3.57,3.57,000,3.57
2013-05-03,3.57,3.57,3.57,3.57,000,3.57
2013-05-02,3.40,3.59,3.36,3.57,1400,3.57
2013-05-01,3.53,3.53,3.53,3.53,000,3.53
2013-04-30,3.43,3.53,3.42,3.53,1300,3.53
2013-04-29,3.66,3.70,3.51,3.53,2600,3.53
2013-04-26,3.45,3.70,3.45,3.66,400,3.66
2013-04-25,3.59,3.66,3.43,3.57,2600,3.57
2013-04-24,3.46,3.60,3.46,3.58,2100,3.58
2013-04-23,3.46,3.62,3.46,3.62,300,3.62
2013-04-22,3.56,3.63,3.55,3.63,200,3.63
2013-04-19,3.70,3.88,3.54,3.66,1000,3.66
2013-04-18,3.69,3.69,3.48,3.60,100,3.60
2013-04-17,3.40,3.58,3.40,3.56,2000,3.56
2013-04-16,3.65,3.65,3.51,3.53,2100,3.53
2013-04-15,3.70,3.70,3.70,3.70,000,3.70
2013-04-12,3.85,3.85,3.60,3.70,100,3.70
2013-04-11,3.60,3.80,3.54,3.78,2100,3.78
2013-04-10,3.60,3.70,3.60,3.70,200,3.70
2013-04-09,3.52,3.75,3.52,3.75,2600,3.75
2013-04-08,3.78,3.78,3.46,3.69,500,3.69
2013-04-05,3.69,3.70,3.69,3.70,000,3.70
2013-04-04,3.60,3.89,3.60,3.66,1300,3.66
2013-04-03,3.55,3.58,3.50,3.58,300,3.58
2013-04-02,3.40,3.60,3.40,3.60,700,3.60
2013-04-01,3.59,3.59,3.59,3.59,000,3.59
2013-03-29,3.59,3.59,3.59,3.59,000,3.59
2013-03-28,3.43,3.59,3.42,3.59,1400,3.59
2013-03-27,3.67,3.80,3.58,3.58,2600,3.58
2013-03-26,3.86,3.86,3.70,3.70,1500,3.70
2013-03-25,3.86,3.86,3.86,3.86,000,3.86
2013-03-22,3.67,3.86,3.67,3.86,1100,3.86
2013-03-21,3.94,3.95,3.60,3.89,100,3.89
