Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.18,0.19,0.17,0.17,2900,0.17
2013-05-22,0.19,0.19,0.19,0.19,7100,0.19
2013-05-21,0.18,0.20,0.18,0.19,5300,0.19
2013-05-20,0.20,0.20,0.20,0.20,10500,0.20
2013-05-17,0.20,0.20,0.20,0.20,56000,0.20
2013-05-16,0.20,0.21,0.20,0.20,18200,0.20
2013-05-15,0.20,0.20,0.20,0.20,25600,0.20
2013-05-14,0.20,0.20,0.20,0.20,1200,0.20
2013-05-13,0.19,0.19,0.19,0.19,8000,0.19
2013-05-10,0.19,0.19,0.19,0.19,000,0.19
2013-05-09,0.23,0.23,0.19,0.19,22000,0.19
2013-05-08,0.24,0.24,0.20,0.21,11400,0.21
2013-05-07,0.20,0.20,0.20,0.20,000,0.20
2013-05-06,0.20,0.20,0.20,0.20,000,0.20
2013-05-03,0.20,0.20,0.20,0.20,000,0.20
2013-05-02,0.20,0.20,0.20,0.20,10600,0.20
2013-05-01,0.20,0.20,0.20,0.20,000,0.20
2013-04-30,0.20,0.20,0.20,0.20,000,0.20
2013-04-29,0.20,0.20,0.20,0.20,1100,0.20
2013-04-26,0.20,0.20,0.20,0.20,5100,0.20
2013-04-25,0.25,0.25,0.25,0.25,000,0.25
2013-04-24,0.25,0.25,0.25,0.25,1500,0.25
2013-04-23,0.24,0.24,0.24,0.24,400,0.24
2013-04-22,0.26,0.26,0.24,0.24,5100,0.24
2013-04-19,0.21,0.22,0.21,0.22,3700,0.22
2013-04-18,0.20,0.21,0.20,0.21,11200,0.21
2013-04-17,0.19,0.19,0.19,0.19,5000,0.19
2013-04-16,0.18,0.19,0.18,0.18,3300,0.18
2013-04-15,0.18,0.19,0.18,0.19,8300,0.19
2013-04-12,0.18,0.18,0.18,0.18,2100,0.18
2013-04-11,0.17,0.17,0.17,0.17,6600,0.17
2013-04-10,0.17,0.18,0.17,0.17,8100,0.17
2013-04-09,0.16,0.16,0.16,0.16,36100,0.16
2013-04-08,0.19,0.19,0.19,0.19,12400,0.19
2013-04-05,0.30,0.30,0.24,0.24,4800,0.24
2013-04-04,0.29,0.30,0.29,0.30,1700,0.30
2013-04-03,0.29,0.29,0.29,0.29,1900,0.29
2013-04-02,0.32,0.32,0.32,0.32,3000,0.32
2013-04-01,0.36,0.36,0.36,0.36,000,0.36
2013-03-29,0.36,0.36,0.36,0.36,000,0.36
2013-03-28,0.36,0.36,0.36,0.36,500,0.36
2013-03-27,0.40,0.40,0.40,0.40,000,0.40
2013-03-26,0.40,0.40,0.40,0.40,000,0.40
2013-03-25,0.40,0.40,0.40,0.40,000,0.40
2013-03-22,0.40,0.40,0.40,0.40,000,0.40
2013-03-21,0.40,0.40,0.40,0.40,000,0.40
2013-03-20,0.40,0.40,0.40,0.40,000,0.40
2013-03-19,0.40,0.40,0.40,0.40,000,0.40
2013-03-18,0.32,0.32,0.32,0.32,000,0.32
2013-03-15,0.39,0.39,0.31,0.32,7200,0.32
2013-03-14,0.39,0.39,0.35,0.35,1800,0.35
2013-03-13,0.28,0.40,0.28,0.40,200,0.40
2013-03-12,0.41,0.41,0.41,0.41,000,0.41
2013-03-11,0.41,0.41,0.41,0.41,000,0.41
2013-03-08,0.41,0.41,0.41,0.41,000,0.41
2013-03-07,0.41,0.41,0.41,0.41,200,0.41
2013-03-06,0.35,0.43,0.35,0.43,500,0.43
2013-03-05,0.45,0.45,0.45,0.45,000,0.45
2013-03-04,0.42,0.42,0.42,0.42,000,0.42
2013-03-01,0.42,0.42,0.42,0.42,000,0.42
2013-02-28,0.42,0.42,0.42,0.42,000,0.42
2013-02-27,0.40,0.40,0.40,0.40,000,0.40
2013-02-26,0.40,0.40,0.40,0.40,700,0.40
2013-02-25,0.40,0.40,0.40,0.40,100,0.40
2013-02-22,0.41,0.41,0.40,0.40,200,0.40
2013-02-21,0.37,0.37,0.37,0.37,000,0.37
2013-02-20,0.37,0.37,0.37,0.37,1000,0.37
2013-02-19,0.37,0.37,0.37,0.37,200,0.37
2013-02-18,0.38,0.40,0.38,0.40,3300,0.40
2013-02-15,0.43,0.43,0.38,0.38,1600,0.38
2013-02-14,0.43,0.43,0.38,0.41,600,0.41
2013-02-13,0.44,0.44,0.44,0.44,100,0.44
2013-02-12,0.39,0.42,0.39,0.40,1300,0.40
2013-02-11,0.40,0.42,0.39,0.39,7700,0.39
2013-02-08,0.44,0.44,0.42,0.42,1200,0.42
2013-02-07,0.44,0.44,0.44,0.44,000,0.44
2013-02-06,0.47,0.47,0.44,0.44,2500,0.44
2013-02-05,0.48,0.48,0.44,0.45,3600,0.45
2013-02-04,0.40,0.44,0.40,0.44,600,0.44
2013-02-01,0.45,0.45,0.40,0.44,4600,0.44
2013-01-31,0.47,0.47,0.47,0.47,100,0.47
2013-01-30,0.47,0.47,0.47,0.47,000,0.47
2013-01-29,0.54,0.54,0.46,0.47,19100,0.47
2013-01-28,0.55,0.55,0.54,0.54,1100,0.54
2013-01-25,0.55,0.55,0.55,0.55,000,0.55
2013-01-24,0.55,0.55,0.55,0.55,400,0.55
2013-01-23,0.54,0.56,0.50,0.55,2000,0.55
2013-01-22,0.54,0.54,0.52,0.54,2200,0.54
2013-01-21,0.53,0.54,0.53,0.54,400,0.54
2013-01-18,0.51,0.55,0.50,0.54,2300,0.54
2013-01-17,0.53,0.57,0.47,0.51,4300,0.51
2013-01-16,0.50,0.58,0.49,0.53,5900,0.53
2013-01-15,0.50,0.53,0.50,0.51,3800,0.51
2013-01-14,0.56,0.56,0.53,0.54,19200,0.54
2013-01-11,0.51,0.54,0.51,0.54,11300,0.54
2013-01-10,0.50,0.53,0.50,0.51,17300,0.51
2013-01-09,0.50,0.51,0.46,0.50,21300,0.50
2013-01-08,0.47,0.49,0.43,0.49,2100,0.49
2013-01-07,0.49,0.49,0.47,0.47,3600,0.47
2013-01-04,0.48,0.49,0.48,0.49,9900,0.49
2013-01-03,0.44,0.48,0.44,0.47,11700,0.47
2013-01-02,0.45,0.48,0.44,0.45,14100,0.45
2013-01-01,0.44,0.44,0.44,0.44,000,0.44
2012-12-31,0.44,0.44,0.44,0.44,000,0.44
2012-12-28,0.45,0.45,0.44,0.44,5600,0.44
2012-12-27,0.41,0.45,0.40,0.45,41100,0.45
2012-12-26,0.39,0.39,0.39,0.39,000,0.39
2012-12-25,0.39,0.39,0.39,0.39,000,0.39
2012-12-24,0.39,0.39,0.39,0.39,000,0.39
2012-12-21,0.40,0.40,0.39,0.39,3100,0.39
2012-12-20,0.39,0.39,0.39,0.39,2500,0.39
2012-12-19,0.37,0.40,0.36,0.39,28900,0.39
2012-12-18,0.37,0.37,0.36,0.37,26000,0.37
2012-12-17,0.35,0.40,0.35,0.39,28500,0.39
2012-12-14,0.35,0.38,0.35,0.38,6900,0.38
2012-12-13,0.32,0.38,0.32,0.37,33800,0.37
2012-12-12,0.41,0.41,0.33,0.33,42200,0.33
2012-12-11,0.43,0.44,0.39,0.40,12800,0.40
2012-12-10,0.34,0.42,0.34,0.42,23300,0.42
2012-12-07,0.33,0.34,0.32,0.34,13000,0.34
2012-12-06,0.32,0.32,0.32,0.32,2000,0.32
2012-12-05,0.27,0.30,0.27,0.30,5200,0.30
2012-12-04,0.32,0.32,0.32,0.32,000,0.32
