Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.92,2.02,1.90,2.00,21600,2.00
2013-05-22,2.04,2.06,2.00,2.03,51000,2.03
2013-05-21,1.94,1.99,1.94,1.99,4400,1.99
2013-05-20,1.98,2.00,1.94,1.95,29500,1.95
2013-05-17,1.92,1.99,1.92,1.98,8100,1.98
2013-05-16,1.95,2.04,1.95,1.97,48500,1.97
2013-05-15,1.94,2.00,1.91,2.00,51000,2.00
2013-05-14,1.98,1.98,1.92,1.96,19300,1.96
2013-05-13,1.88,1.98,1.88,1.98,9300,1.98
2013-05-10,1.93,2.00,1.92,1.95,4200,1.95
2013-05-09,1.92,1.98,1.87,1.98,58000,1.98
2013-05-08,1.87,1.95,1.84,1.92,28900,1.92
2013-05-07,1.87,1.87,1.87,1.87,000,1.87
2013-05-06,1.87,1.87,1.87,1.87,000,1.87
2013-05-03,1.87,1.87,1.87,1.87,000,1.87
2013-05-02,1.73,1.91,1.73,1.87,7700,1.87
2013-05-01,1.84,1.84,1.84,1.84,000,1.84
2013-04-30,1.86,1.86,1.77,1.84,2700,1.84
2013-04-29,1.89,1.91,1.82,1.82,1000,1.82
2013-04-26,1.85,1.89,1.84,1.89,4100,1.89
2013-04-25,1.91,1.93,1.84,1.89,3500,1.89
2013-04-24,1.89,1.93,1.86,1.89,6300,1.89
2013-04-23,1.82,1.90,1.82,1.89,10400,1.89
2013-04-22,1.79,1.81,1.74,1.81,13500,1.81
2013-04-19,1.80,1.81,1.76,1.81,1200,1.81
2013-04-18,1.83,1.83,1.76,1.80,2900,1.80
2013-04-17,1.70,1.83,1.70,1.80,2900,1.80
2013-04-16,1.75,1.76,1.75,1.76,3900,1.76
2013-04-15,1.78,1.79,1.70,1.75,8400,1.75
2013-04-12,1.72,1.76,1.70,1.73,6700,1.73
2013-04-11,1.69,1.75,1.68,1.70,6500,1.70
2013-04-10,1.73,1.79,1.67,1.72,8000,1.72
2013-04-09,1.75,1.80,1.71,1.71,2700,1.71
2013-04-08,1.65,1.70,1.52,1.67,7600,1.67
2013-04-05,1.67,1.72,1.64,1.67,3100,1.67
2013-04-04,1.67,1.71,1.67,1.70,700,1.70
2013-04-03,1.65,1.66,1.65,1.66,200,1.66
2013-04-02,1.71,1.71,1.69,1.70,1300,1.70
2013-04-01,1.71,1.71,1.71,1.71,000,1.71
2013-03-29,1.71,1.71,1.71,1.71,000,1.71
2013-03-28,1.67,1.73,1.67,1.71,3700,1.71
2013-03-27,1.67,1.70,1.57,1.66,20200,1.66
2013-03-26,1.70,1.70,1.70,1.70,000,1.70
2013-03-25,1.70,1.70,1.70,1.70,000,1.70
2013-03-22,1.68,1.70,1.68,1.70,5400,1.70
2013-03-21,1.64,1.66,1.63,1.65,1300,1.65
2013-03-20,1.62,1.67,1.53,1.64,4200,1.64
2013-03-19,1.74,1.74,1.53,1.60,27600,1.60
2013-03-18,1.75,1.75,1.75,1.75,000,1.75
2013-03-15,1.78,1.78,1.74,1.75,2800,1.75
2013-03-14,1.74,1.84,1.74,1.77,2200,1.77
2013-03-13,1.86,1.86,1.84,1.85,1500,1.85
2013-03-12,1.78,1.84,1.74,1.81,34400,1.81
2013-03-11,1.84,1.84,1.84,1.84,000,1.84
2013-03-08,1.87,1.92,1.78,1.84,5000,1.84
2013-03-07,1.87,1.94,1.80,1.84,31100,1.84
2013-03-06,1.71,1.86,1.71,1.86,16800,1.86
2013-03-05,1.70,1.74,1.66,1.74,7700,1.74
2013-03-04,1.75,1.75,1.70,1.74,700,1.74
2013-03-01,1.79,1.81,1.73,1.78,9200,1.78
2013-02-28,1.73,1.79,1.70,1.79,19600,1.79
2013-02-27,1.75,1.75,1.68,1.72,8400,1.72
2013-02-26,1.68,1.74,1.66,1.73,35200,1.73
2013-02-25,1.76,1.76,1.73,1.74,8900,1.74
2013-02-22,1.66,1.74,1.62,1.73,23800,1.73
2013-02-21,1.74,1.76,1.64,1.67,28000,1.67
2013-02-20,1.78,1.80,1.73,1.76,11000,1.76
2013-02-19,1.74,1.80,1.70,1.72,10800,1.72
2013-02-18,1.85,1.85,1.78,1.78,5800,1.78
2013-02-15,1.88,1.88,1.82,1.82,6300,1.82
2013-02-14,1.72,1.82,1.71,1.80,11900,1.80
2013-02-13,1.77,1.77,1.71,1.76,2000,1.76
2013-02-12,1.72,1.76,1.68,1.72,16500,1.72
2013-02-11,1.80,1.80,1.71,1.73,9800,1.73
2013-02-08,1.82,1.82,1.77,1.78,10300,1.78
2013-02-07,1.87,1.87,1.79,1.82,27300,1.82
2013-02-06,1.82,1.88,1.81,1.87,16400,1.87
2013-02-05,1.86,1.86,1.80,1.83,18500,1.83
2013-02-04,1.75,1.89,1.75,1.88,9700,1.88
2013-02-01,1.83,1.85,1.75,1.84,23900,1.84
2013-01-31,1.89,1.89,1.80,1.83,11500,1.83
2013-01-30,1.98,1.98,1.86,1.91,10400,1.91
2013-01-29,2.01,2.01,1.88,1.91,5400,1.91
2013-01-28,2.05,2.05,1.93,1.93,29700,1.93
2013-01-25,1.87,1.99,1.87,1.99,159100,1.99
2013-01-24,1.84,1.92,1.81,1.92,26900,1.92
2013-01-23,1.89,1.93,1.80,1.89,29900,1.89
2013-01-22,1.80,1.87,1.80,1.84,12400,1.84
2013-01-21,1.82,1.87,1.80,1.80,13300,1.80
2013-01-18,1.80,1.84,1.77,1.79,8900,1.79
2013-01-17,1.83,1.83,1.78,1.79,12400,1.79
2013-01-16,1.81,1.85,1.72,1.77,36800,1.77
2013-01-15,1.81,1.90,1.76,1.81,29200,1.81
2013-01-14,1.99,2.02,1.89,1.89,9200,1.89
2013-01-11,2.04,2.04,1.94,2.00,40200,2.00
2013-01-10,2.00,2.05,1.92,1.99,107400,1.99
2013-01-09,1.80,2.03,1.80,2.00,72400,2.00
2013-01-08,1.77,1.86,1.72,1.82,85600,1.82
2013-01-07,1.70,1.85,1.70,1.79,65800,1.79
2013-01-04,1.59,1.70,1.58,1.70,39700,1.70
2013-01-03,1.59,1.60,1.55,1.59,28800,1.59
2013-01-02,1.52,1.60,1.52,1.59,9200,1.59
2013-01-01,1.58,1.58,1.58,1.58,000,1.58
2012-12-31,1.58,1.58,1.58,1.58,000,1.58
2012-12-28,1.58,1.58,1.50,1.58,25300,1.58
2012-12-27,1.57,1.60,1.55,1.57,21500,1.57
2012-12-26,1.56,1.56,1.56,1.56,000,1.56
2012-12-25,1.56,1.56,1.56,1.56,000,1.56
2012-12-24,1.56,1.56,1.56,1.56,000,1.56
2012-12-21,1.56,1.61,1.56,1.56,22200,1.56
2012-12-20,1.59,1.60,1.56,1.56,8100,1.56
2012-12-19,1.57,1.61,1.56,1.59,20200,1.59
2012-12-18,1.60,1.62,1.59,1.60,14300,1.60
2012-12-17,1.64,1.64,1.60,1.60,8700,1.60
2012-12-14,1.60,1.64,1.60,1.63,4700,1.63
2012-12-13,1.57,1.67,1.57,1.64,16600,1.64
2012-12-12,1.67,1.68,1.62,1.63,25400,1.63
2012-12-11,1.56,1.65,1.56,1.61,51600,1.61
2012-12-10,1.56,1.66,1.51,1.60,54500,1.60
2012-12-07,1.55,1.65,1.47,1.58,348600,1.58
2012-12-06,1.19,1.50,1.18,1.50,150600,1.50
2012-12-05,1.18,1.18,1.16,1.17,800,1.17
2012-12-04,1.18,1.19,1.16,1.16,2800,1.16
2012-12-03,1.17,1.18,1.17,1.18,7400,1.18
2012-11-30,1.23,1.23,1.16,1.16,900,1.16
2012-11-29,1.28,1.30,1.20,1.21,12900,1.21
2012-11-28,1.24,1.27,1.22,1.27,23600,1.27
2012-11-27,1.20,1.20,1.11,1.19,8300,1.19
2012-11-26,1.27,1.27,1.18,1.20,4900,1.20
2012-11-23,1.30,1.30,1.15,1.20,28000,1.20
2012-11-22,1.17,1.26,1.17,1.24,42000,1.24
2012-11-21,1.10,1.17,1.10,1.17,29200,1.17
2012-11-20,1.10,1.15,1.10,1.13,13000,1.13
2012-11-19,1.03,1.10,1.03,1.10,18800,1.10
2012-11-16,1.00,1.02,1.00,1.02,4500,1.02
2012-11-15,0.96,1.00,0.96,1.00,19900,1.00
2012-11-14,0.90,0.93,0.90,0.92,75400,0.92
2012-11-13,0.90,0.90,0.90,0.90,000,0.90
2012-11-12,0.90,0.90,0.90,0.90,000,0.90
2012-11-09,0.90,0.90,0.90,0.90,400,0.90
2012-11-08,0.88,0.88,0.88,0.88,20400,0.88
2012-11-07,0.88,0.88,0.88,0.88,000,0.88
2012-11-06,0.88,0.88,0.88,0.88,000,0.88
2012-11-05,0.88,0.88,0.88,0.88,5100,0.88
2012-11-02,0.95,0.95,0.89,0.89,2300,0.89
2012-11-01,0.93,0.97,0.90,0.90,22500,0.90
2012-10-31,0.93,0.93,0.93,0.93,000,0.93
2012-10-30,0.93,0.93,0.93,0.93,400,0.93
2012-10-29,0.90,0.92,0.90,0.90,800,0.90
2012-10-26,0.96,0.96,0.96,0.96,000,0.96
2012-10-25,0.95,0.96,0.95,0.96,700,0.96
2012-10-24,0.91,0.95,0.91,0.95,8000,0.95
2012-10-23,0.97,0.97,0.96,0.96,400,0.96
2012-10-22,0.94,1.00,0.94,0.98,1700,0.98
2012-10-19,0.95,0.96,0.95,0.96,3600,0.96
2012-10-18,0.96,0.98,0.94,0.96,1900,0.96
2012-10-17,0.91,0.97,0.91,0.97,700,0.97
2012-10-16,0.93,0.93,0.93,0.93,100,0.93
2012-10-15,0.93,0.93,0.93,0.93,600,0.93
2012-10-12,0.92,0.93,0.90,0.90,2200,0.90
2012-10-11,0.90,0.91,0.89,0.91,1600,0.91
2012-10-10,0.95,0.95,0.92,0.92,11900,0.92
2012-10-09,1.04,1.04,1.04,1.04,000,1.04
2012-10-08,1.06,1.06,1.04,1.04,13400,1.04
2012-10-05,1.00,1.05,0.97,1.05,70900,1.05
2012-10-04,0.97,1.00,0.97,1.00,39700,1.00
2012-10-03,0.95,0.98,0.95,0.96,12900,0.96
2012-10-02,0.94,0.95,0.92,0.94,10600,0.94
2012-10-01,0.92,0.95,0.90,0.90,5500,0.90
2012-09-28,0.90,0.90,0.90,0.90,000,0.90
2012-09-27,0.87,0.90,0.87,0.90,14700,0.90
2012-09-26,0.84,0.87,0.84,0.87,2500,0.87
2012-09-25,0.83,0.85,0.82,0.84,21700,0.84
2012-09-24,0.83,0.88,0.83,0.83,7700,0.83
2012-09-21,0.82,0.85,0.81,0.84,16400,0.84
2012-09-20,0.79,0.82,0.79,0.82,36000,0.82
2012-09-19,0.78,0.79,0.78,0.78,2700,0.78
2012-09-18,0.82,0.82,0.75,0.77,5600,0.77
2012-09-17,0.87,0.87,0.87,0.87,000,0.87
2012-09-14,0.86,0.88,0.82,0.87,3000,0.87
2012-09-13,0.85,0.88,0.85,0.87,5200,0.87
2012-09-12,0.84,0.84,0.79,0.83,8100,0.83
2012-09-11,0.80,0.84,0.80,0.82,1300,0.82
2012-09-10,0.81,0.81,0.80,0.80,5000,0.80
2012-09-07,0.80,0.81,0.80,0.80,4100,0.80
2012-09-06,0.81,0.81,0.79,0.79,3600,0.79
2012-09-05,0.77,0.80,0.77,0.79,10000,0.79
2012-09-04,0.76,0.77,0.76,0.77,1600,0.77
2012-09-03,0.68,0.76,0.68,0.76,8600,0.76
2012-08-31,0.72,0.75,0.72,0.75,11500,0.75
2012-08-30,0.75,0.77,0.71,0.74,22300,0.74
2012-08-29,0.69,0.77,0.69,0.76,9300,0.76
2012-08-28,0.66,0.69,0.66,0.68,5300,0.68
2012-08-27,0.63,0.64,0.61,0.64,1100,0.64
2012-08-24,0.61,0.64,0.61,0.64,800,0.64
2012-08-23,0.64,0.64,0.64,0.64,000,0.64
2012-08-22,0.62,0.64,0.62,0.64,100,0.64
2012-08-21,0.62,0.62,0.62,0.62,000,0.62
2012-08-20,0.62,0.62,0.62,0.62,000,0.62
2012-08-17,0.62,0.62,0.62,0.62,000,0.62
2012-08-16,0.62,0.62,0.62,0.62,000,0.62
2012-08-15,0.63,0.63,0.63,0.63,000,0.63
2012-08-14,0.63,0.63,0.63,0.63,000,0.63
2012-08-13,0.63,0.63,0.63,0.63,000,0.63
2012-08-10,0.61,0.61,0.61,0.61,000,0.61
2012-08-09,0.63,0.63,0.61,0.61,2500,0.61
2012-08-08,0.65,0.65,0.63,0.63,1000,0.63
2012-08-07,0.66,0.66,0.63,0.65,4600,0.65
2012-08-06,0.65,0.65,0.65,0.65,100,0.65
2012-08-03,0.60,0.66,0.60,0.66,1000,0.66
2012-08-02,0.65,0.65,0.65,0.65,000,0.65
2012-08-01,0.65,0.65,0.65,0.65,100,0.65
2012-07-31,0.61,0.63,0.61,0.62,3000,0.62
2012-07-30,0.64,0.64,0.64,0.64,300,0.64
2012-07-27,0.64,0.64,0.64,0.64,000,0.64
2012-07-26,0.60,0.64,0.60,0.64,1100,0.64
2012-07-25,0.64,0.64,0.64,0.64,000,0.64
2012-07-24,0.64,0.64,0.63,0.64,5000,0.64
2012-07-23,0.61,0.64,0.61,0.64,2600,0.64
2012-07-20,0.64,0.64,0.64,0.64,3500,0.64
2012-07-19,0.64,0.64,0.64,0.64,1500,0.64
2012-07-18,0.64,0.64,0.64,0.64,1500,0.64
2012-07-17,0.64,0.64,0.64,0.64,700,0.64
2012-07-16,0.63,0.63,0.63,0.63,1500,0.63
2012-07-13,0.61,0.61,0.61,0.61,500,0.61
2012-07-12,0.60,0.61,0.60,0.60,44700,0.60
2012-07-11,0.60,0.60,0.60,0.60,100,0.60
2012-07-10,0.62,0.64,0.60,0.60,7800,0.60
2012-07-09,0.65,0.65,0.65,0.65,400,0.65
2012-07-06,0.66,0.66,0.66,0.66,000,0.66
2012-07-05,0.66,0.66,0.66,0.66,000,0.66
2012-07-04,0.66,0.66,0.66,0.66,5600,0.66
2012-07-03,0.66,0.66,0.66,0.66,000,0.66
2012-07-02,0.66,0.66,0.66,0.66,000,0.66
2012-06-29,0.60,0.66,0.60,0.66,4100,0.66
2012-06-28,0.66,0.66,0.66,0.66,300,0.66
2012-06-27,0.67,0.67,0.66,0.66,8900,0.66
2012-06-26,0.67,0.67,0.67,0.67,000,0.67
2012-06-25,0.67,0.68,0.67,0.68,10000,0.68
2012-06-22,0.67,0.68,0.67,0.68,2500,0.68
2012-06-21,0.67,0.67,0.67,0.67,4000,0.67
2012-06-20,0.66,0.67,0.66,0.67,300,0.67
2012-06-19,0.61,0.62,0.61,0.62,4800,0.62
2012-06-18,0.58,0.62,0.58,0.61,5000,0.61
2012-06-15,0.58,0.58,0.58,0.58,000,0.58
2012-06-14,0.57,0.58,0.57,0.58,700,0.58
2012-06-13,0.57,0.57,0.57,0.57,000,0.57
2012-06-12,0.57,0.57,0.57,0.57,3300,0.57
2012-06-11,0.55,0.57,0.55,0.57,2900,0.57
2012-06-08,0.55,0.55,0.55,0.55,500,0.55
2012-06-07,0.54,0.54,0.54,0.54,000,0.54
2012-06-06,0.52,0.54,0.52,0.54,1000,0.54
2012-06-05,0.56,0.56,0.53,0.54,1500,0.54
2012-06-04,0.55,0.55,0.55,0.55,000,0.55
2012-06-01,0.55,0.56,0.55,0.55,79700,0.55
2012-05-31,0.57,0.57,0.56,0.56,1600,0.56
2012-05-30,0.56,0.56,0.56,0.56,1000,0.56
2012-05-29,0.55,0.55,0.55,0.55,1200,0.55
2012-05-28,0.55,0.57,0.55,0.57,4300,0.57
2012-05-25,0.57,0.57,0.57,0.57,5600,0.57
2012-05-24,0.60,0.60,0.56,0.57,4700,0.57
2012-05-23,0.60,0.60,0.60,0.60,3000,0.60
2012-05-22,0.59,0.61,0.56,0.61,7200,0.61
2012-05-21,0.62,0.62,0.60,0.60,13000,0.60
2012-05-18,0.59,0.62,0.59,0.62,2000,0.62
2012-05-17,0.60,0.64,0.60,0.62,5000,0.62
2012-05-16,0.64,0.64,0.64,0.64,000,0.64
2012-05-15,0.66,0.66,0.64,0.64,1000,0.64
2012-05-14,0.64,0.64,0.64,0.64,000,0.64
2012-05-11,0.64,0.64,0.64,0.64,100,0.64
2012-05-10,0.65,0.66,0.65,0.66,2500,0.66
2012-05-09,0.61,0.61,0.60,0.60,2500,0.60
2012-05-08,0.63,0.63,0.63,0.63,300,0.63
2012-05-07,0.64,0.64,0.63,0.63,2500,0.63
2012-05-04,0.64,0.64,0.64,0.64,000,0.64
2012-05-03,0.64,0.64,0.64,0.64,000,0.64
2012-05-02,0.64,0.64,0.64,0.64,200,0.64
2012-05-01,0.68,0.68,0.68,0.68,000,0.68
2012-04-30,0.68,0.68,0.68,0.68,000,0.68
2012-04-27,0.68,0.68,0.68,0.68,900,0.68
2012-04-26,0.68,0.68,0.68,0.68,100,0.68
2012-04-25,0.67,0.67,0.67,0.67,000,0.67
2012-04-24,0.67,0.67,0.67,0.67,000,0.67
2012-04-23,0.67,0.67,0.67,0.67,000,0.67
2012-04-20,0.67,0.67,0.67,0.67,000,0.67
2012-04-19,0.64,0.67,0.64,0.67,300,0.67
2012-04-18,0.66,0.69,0.66,0.69,400,0.69
2012-04-17,0.69,0.69,0.69,0.69,000,0.69
2012-04-16,0.69,0.69,0.69,0.69,000,0.69
2012-04-13,0.69,0.69,0.69,0.69,000,0.69
2012-04-12,0.69,0.69,0.69,0.69,000,0.69
2012-04-11,0.69,0.69,0.69,0.69,000,0.69
2012-04-10,0.67,0.69,0.67,0.69,3200,0.69
2012-04-09,0.68,0.68,0.68,0.68,000,0.68
2012-04-06,0.68,0.68,0.68,0.68,000,0.68
2012-04-05,0.68,0.68,0.68,0.68,000,0.68
2012-04-04,0.68,0.68,0.68,0.68,200,0.68
2012-04-03,0.69,0.69,0.69,0.69,000,0.69
2012-04-02,0.65,0.70,0.65,0.69,2200,0.69
2012-03-30,0.65,0.65,0.65,0.65,000,0.65
2012-03-29,0.65,0.65,0.65,0.65,3700,0.65
2012-03-28,0.68,0.68,0.68,0.68,000,0.68
2012-03-27,0.68,0.68,0.68,0.68,000,0.68
2012-03-26,0.68,0.68,0.68,0.68,000,0.68
2012-03-23,0.67,0.68,0.67,0.68,2300,0.68
2012-03-22,0.67,0.67,0.67,0.67,1100,0.67
2012-03-21,0.68,0.68,0.68,0.68,000,0.68
2012-03-20,0.68,0.68,0.68,0.68,400,0.68
2012-03-19,0.68,0.68,0.68,0.68,200,0.68
2012-03-16,0.68,0.68,0.65,0.65,3600,0.65
2012-03-15,0.65,0.68,0.65,0.65,500,0.65
2012-03-14,0.70,0.70,0.70,0.70,000,0.70
2012-03-13,0.70,0.70,0.70,0.70,500,0.70
2012-03-12,0.70,0.70,0.70,0.70,000,0.70
2012-03-09,0.70,0.70,0.70,0.70,1000,0.70
2012-03-08,0.67,0.67,0.65,0.65,1200,0.65
2012-03-07,0.66,0.66,0.66,0.66,1200,0.66
2012-03-06,0.70,0.70,0.66,0.66,1100,0.66
2012-03-05,0.65,0.66,0.65,0.66,1900,0.66
2012-03-02,0.70,0.70,0.70,0.70,500,0.70
2012-03-01,0.70,0.70,0.70,0.70,000,0.70
2012-02-29,0.70,0.70,0.70,0.70,200,0.70
2012-02-28,0.67,0.68,0.65,0.68,1300,0.68
2012-02-27,0.70,0.70,0.70,0.70,000,0.70
