Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.87,0.87,0.77,0.84,1600,0.84
2013-05-22,0.96,0.96,0.81,0.85,2300,0.85
2013-05-21,0.90,0.90,0.90,0.90,200,0.90
2013-05-20,0.91,0.91,0.81,0.90,1900,0.90
2013-05-17,0.85,0.90,0.85,0.89,4000,0.89
2013-05-16,1.00,1.01,0.92,0.92,5000,0.92
2013-05-15,0.89,0.99,0.89,0.94,6300,0.94
2013-05-14,0.90,0.90,0.81,0.90,1500,0.90
2013-05-13,0.85,0.93,0.85,0.87,4000,0.87
2013-05-10,1.03,1.03,0.90,0.94,1400,0.94
2013-05-09,0.90,0.96,0.90,0.96,200,0.96
2013-05-08,0.95,1.01,0.92,0.98,1100,0.98
2013-05-07,1.01,1.01,1.01,1.01,000,1.01
2013-05-06,1.01,1.01,1.01,1.01,000,1.01
2013-05-03,1.01,1.01,1.01,1.01,000,1.01
2013-05-02,1.01,1.01,1.01,1.01,000,1.01
2013-05-01,1.01,1.01,1.01,1.01,000,1.01
2013-04-30,1.01,1.01,1.01,1.01,000,1.01
2013-04-29,1.01,1.01,1.01,1.01,000,1.01
2013-04-26,1.01,1.01,1.01,1.01,000,1.01
2013-04-25,0.97,0.97,0.97,0.97,000,0.97
2013-04-24,0.89,0.97,0.89,0.97,500,0.97
2013-04-23,0.94,0.99,0.94,0.99,000,0.99
2013-04-22,1.04,1.04,1.04,1.04,000,1.04
2013-04-19,1.00,1.04,1.00,1.04,700,1.04
2013-04-18,1.11,1.11,1.11,1.11,000,1.11
2013-04-17,1.11,1.11,1.11,1.11,000,1.11
2013-04-16,1.11,1.11,1.11,1.11,000,1.11
2013-04-15,1.11,1.11,1.11,1.11,000,1.11
2013-04-12,1.11,1.11,1.11,1.11,000,1.11
2013-04-11,1.11,1.11,1.11,1.11,000,1.11
2013-04-10,1.11,1.11,1.11,1.11,000,1.11
2013-04-09,1.11,1.11,1.11,1.11,000,1.11
2013-04-08,1.11,1.11,1.11,1.11,000,1.11
2013-04-05,1.11,1.11,1.11,1.11,000,1.11
2013-04-04,1.05,1.11,1.05,1.11,300,1.11
2013-04-03,1.15,1.15,1.15,1.15,000,1.15
2013-04-02,1.15,1.15,1.15,1.15,000,1.15
2013-04-01,1.15,1.15,1.15,1.15,000,1.15
2013-03-29,1.15,1.15,1.15,1.15,000,1.15
2013-03-28,1.15,1.15,1.15,1.15,000,1.15
2013-03-27,1.15,1.15,1.15,1.15,000,1.15
2013-03-26,1.15,1.15,1.15,1.15,000,1.15
2013-03-25,1.15,1.15,1.15,1.15,000,1.15
2013-03-22,1.15,1.15,1.15,1.15,000,1.15
2013-03-21,1.15,1.15,1.15,1.15,000,1.15
2013-03-20,1.15,1.15,1.15,1.15,000,1.15
2013-03-19,1.15,1.15,1.15,1.15,000,1.15
2013-03-18,1.15,1.15,1.15,1.15,000,1.15
2013-03-15,1.15,1.15,1.15,1.15,000,1.15
2013-03-14,1.15,1.15,1.15,1.15,500,1.15
2013-03-13,0.80,1.12,0.80,1.11,4100,1.11
2013-03-12,0.63,0.98,0.63,0.98,3500,0.98
2013-03-11,0.90,0.90,0.90,0.90,000,0.90
2013-03-08,0.90,0.90,0.90,0.90,000,0.90
2013-03-07,0.90,0.90,0.90,0.90,000,0.90
2013-03-06,0.90,0.90,0.90,0.90,000,0.90
2013-03-05,0.72,0.92,0.72,0.90,1300,0.90
2013-03-04,0.98,0.98,0.98,0.98,000,0.98
2013-03-01,0.98,0.98,0.98,0.98,000,0.98
2013-02-28,0.81,0.98,0.81,0.98,100,0.98
2013-02-27,0.86,1.00,0.86,0.94,1300,0.94
2013-02-26,1.02,1.02,1.02,1.02,000,1.02
2013-02-25,1.20,1.20,0.99,1.02,800,1.02
2013-02-22,1.10,1.10,1.10,1.10,000,1.10
2013-02-21,1.19,1.19,1.19,1.19,000,1.19
2013-02-20,1.29,1.29,1.23,1.24,200,1.24
2013-02-19,1.30,1.30,1.03,1.03,100,1.03
2013-02-18,1.00,1.08,1.00,1.01,6900,1.01
2013-02-15,1.06,1.06,1.06,1.06,000,1.06
2013-02-14,1.00,1.00,0.99,1.00,10000,1.00
2013-02-13,1.00,1.00,0.98,1.00,15200,1.00
2013-02-12,0.99,1.01,0.98,1.00,15500,1.00
2013-02-11,0.97,1.06,0.97,1.02,1200,1.02
2013-02-08,0.99,1.00,0.97,0.97,2900,0.97
2013-02-07,0.96,1.00,0.96,0.98,3800,0.98
2013-02-06,1.01,1.01,0.97,1.00,3400,1.00
2013-02-05,0.96,0.97,0.95,0.96,2100,0.96
2013-02-04,0.68,0.96,0.68,0.96,000,0.96
2013-02-01,1.00,1.00,0.96,0.96,1700,0.96
2013-01-31,1.00,1.01,0.97,0.98,5700,0.98
2013-01-30,1.18,1.18,1.00,1.00,3200,1.00
2013-01-29,1.03,1.14,1.00,1.00,4500,1.00
2013-01-28,1.28,1.28,1.08,1.16,600,1.16
2013-01-25,1.04,1.16,1.00,1.09,19900,1.09
2013-01-24,1.10,1.20,1.10,1.14,600,1.14
2013-01-23,1.11,1.22,1.11,1.22,2800,1.22
2013-01-22,1.16,1.23,1.14,1.23,2500,1.23
2013-01-21,1.20,1.20,0.96,1.16,6300,1.16
2013-01-18,1.15,1.20,1.14,1.17,5600,1.17
2013-01-17,1.25,1.25,1.12,1.14,3800,1.14
2013-01-16,1.25,1.27,1.19,1.21,2100,1.21
2013-01-15,1.30,1.35,1.25,1.30,7300,1.30
2013-01-14,1.25,1.49,1.25,1.36,34200,1.36
2013-01-11,1.14,1.25,1.07,1.22,31000,1.22
2013-01-10,1.04,1.20,1.04,1.09,16300,1.09
2013-01-09,0.94,0.95,0.94,0.95,18500,0.95
2013-01-08,0.96,0.96,0.95,0.95,000,0.95
2013-01-07,0.93,1.04,0.92,0.95,3800,0.95
2013-01-04,0.86,0.86,0.86,0.86,000,0.86
2013-01-03,0.72,0.79,0.72,0.79,500,0.79
2013-01-02,0.88,0.88,0.76,0.76,500,0.76
2013-01-01,0.79,0.79,0.79,0.79,000,0.79
2012-12-31,0.79,0.79,0.79,0.79,000,0.79
2012-12-28,0.80,0.80,0.79,0.79,000,0.79
2012-12-27,0.74,0.74,0.68,0.74,900,0.74
2012-12-26,0.68,0.68,0.68,0.68,000,0.68
2012-12-25,0.68,0.68,0.68,0.68,000,0.68
2012-12-24,0.68,0.68,0.68,0.68,000,0.68
2012-12-21,0.68,0.68,0.68,0.68,3600,0.68
2012-12-20,0.68,0.68,0.68,0.68,200,0.68
2012-12-19,0.71,0.73,0.62,0.72,13800,0.72
2012-12-18,0.65,0.67,0.65,0.66,12700,0.66
2012-12-17,0.65,0.65,0.62,0.65,33700,0.65
2012-12-14,0.59,0.59,0.59,0.59,1300,0.59
2012-12-13,0.60,0.66,0.60,0.66,5400,0.66
2012-12-12,0.61,0.61,0.61,0.61,000,0.61
2012-12-11,0.56,0.61,0.56,0.61,144300,0.61
2012-12-10,0.51,0.56,0.51,0.55,1800,0.55
2012-12-07,0.56,0.56,0.56,0.56,000,0.56
2012-12-06,0.56,0.56,0.56,0.56,000,0.56
2012-12-05,0.56,0.56,0.56,0.56,000,0.56
