Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.85,0.88,0.84,0.84,4200,0.84
2013-05-22,0.83,0.85,0.83,0.83,5000,0.83
2013-05-21,0.88,0.88,0.86,0.86,3400,0.86
2013-05-20,0.89,0.89,0.88,0.88,3000,0.88
2013-05-17,0.89,0.90,0.88,0.90,5500,0.90
2013-05-16,0.86,0.90,0.86,0.89,3600,0.89
2013-05-15,0.83,0.89,0.83,0.86,8300,0.86
2013-05-14,0.83,0.85,0.82,0.83,3300,0.83
2013-05-13,0.83,0.84,0.81,0.83,7100,0.83
2013-05-10,0.81,0.83,0.81,0.83,2000,0.83
2013-05-09,0.83,0.83,0.80,0.82,3600,0.82
2013-05-08,0.82,0.84,0.80,0.83,1800,0.83
2013-05-07,0.80,0.80,0.80,0.80,000,0.80
2013-05-06,0.80,0.80,0.80,0.80,000,0.80
2013-05-03,0.80,0.80,0.80,0.80,000,0.80
2013-05-02,0.80,0.80,0.80,0.80,2000,0.80
2013-05-01,0.80,0.80,0.80,0.80,000,0.80
2013-04-30,0.76,0.81,0.76,0.80,15500,0.80
2013-04-29,0.81,0.81,0.77,0.77,37900,0.77
2013-04-26,0.82,0.82,0.81,0.81,1400,0.81
2013-04-25,0.82,0.82,0.82,0.82,6400,0.82
2013-04-24,0.79,0.82,0.79,0.82,7700,0.82
2013-04-23,0.82,0.82,0.78,0.78,1600,0.78
2013-04-22,0.81,0.85,0.80,0.84,6800,0.84
2013-04-19,0.81,0.83,0.80,0.81,7600,0.81
2013-04-18,0.81,0.81,0.81,0.81,1600,0.81
2013-04-17,0.78,0.79,0.78,0.78,5800,0.78
2013-04-16,0.79,0.80,0.77,0.80,5800,0.80
2013-04-15,0.81,0.81,0.81,0.81,1400,0.81
2013-04-12,0.79,0.81,0.77,0.81,1700,0.81
2013-04-11,0.81,0.81,0.79,0.79,1200,0.79
2013-04-10,0.83,0.83,0.78,0.79,6200,0.79
2013-04-09,0.81,0.82,0.81,0.82,2500,0.82
2013-04-08,0.76,0.82,0.74,0.81,4700,0.81
2013-04-05,0.78,0.81,0.76,0.81,5800,0.81
2013-04-04,0.81,0.81,0.77,0.78,6100,0.78
2013-04-03,0.82,0.82,0.78,0.80,3600,0.80
2013-04-02,0.85,0.85,0.78,0.79,4300,0.79
2013-04-01,0.85,0.85,0.85,0.85,000,0.85
2013-03-29,0.85,0.85,0.85,0.85,000,0.85
2013-03-28,0.81,0.85,0.81,0.85,3500,0.85
2013-03-27,0.83,0.83,0.82,0.82,2700,0.82
2013-03-26,0.85,0.85,0.77,0.83,4500,0.83
2013-03-25,0.81,0.81,0.81,0.81,000,0.81
2013-03-22,0.78,0.83,0.78,0.81,6000,0.81
2013-03-21,0.80,0.80,0.75,0.78,10100,0.78
2013-03-20,0.75,0.80,0.75,0.80,5400,0.80
2013-03-19,0.81,0.81,0.74,0.76,9700,0.76
2013-03-18,0.81,0.81,0.81,0.81,000,0.81
2013-03-15,0.82,0.83,0.81,0.81,7500,0.81
2013-03-14,0.81,0.81,0.81,0.81,11200,0.81
2013-03-13,0.85,0.85,0.80,0.81,8400,0.81
2013-03-12,0.82,0.82,0.82,0.82,4400,0.82
2013-03-11,0.81,0.82,0.75,0.81,5200,0.81
2013-03-08,0.80,0.85,0.80,0.80,79800,0.80
2013-03-07,0.84,0.85,0.80,0.84,17000,0.84
2013-03-06,0.89,0.89,0.85,0.85,1800,0.85
2013-03-05,0.90,0.90,0.87,0.90,1500,0.90
2013-03-04,0.88,0.88,0.88,0.88,2700,0.88
2013-03-01,0.90,0.90,0.90,0.90,1200,0.90
2013-02-28,0.91,0.91,0.90,0.90,1500,0.90
2013-02-27,0.90,0.90,0.85,0.88,5400,0.88
2013-02-26,0.90,0.90,0.89,0.90,3000,0.90
2013-02-25,0.90,0.90,0.90,0.90,6200,0.90
2013-02-22,0.91,0.91,0.90,0.90,4500,0.90
2013-02-21,0.92,0.95,0.90,0.91,2100,0.91
