Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.79,0.79,0.79,0.79,000,0.79
2013-05-22,0.79,0.79,0.79,0.79,000,0.79
2013-05-21,0.88,0.88,0.88,0.88,000,0.88
2013-05-20,0.88,0.88,0.88,0.88,300,0.88
2013-05-17,0.86,0.86,0.86,0.86,1400,0.86
2013-05-16,0.84,0.84,0.84,0.84,000,0.84
2013-05-15,0.84,0.84,0.84,0.84,000,0.84
2013-05-14,0.84,0.84,0.84,0.84,000,0.84
2013-05-13,0.84,0.84,0.84,0.84,000,0.84
2013-05-10,0.84,0.84,0.84,0.84,000,0.84
2013-05-09,0.79,0.79,0.79,0.79,000,0.79
2013-05-08,0.70,0.84,0.69,0.79,1300,0.79
2013-05-07,0.76,0.76,0.76,0.76,000,0.76
2013-05-06,0.76,0.76,0.76,0.76,000,0.76
2013-05-03,0.76,0.76,0.76,0.76,000,0.76
2013-05-02,0.63,0.76,0.63,0.76,2000,0.76
2013-05-01,0.69,0.69,0.69,0.69,000,0.69
2013-04-30,0.69,0.69,0.69,0.69,000,0.69
2013-04-29,0.69,0.69,0.69,0.69,000,0.69
2013-04-26,0.69,0.69,0.69,0.69,000,0.69
2013-04-25,0.69,0.69,0.69,0.69,000,0.69
2013-04-24,0.69,0.69,0.69,0.69,000,0.69
2013-04-23,0.69,0.69,0.69,0.69,000,0.69
2013-04-22,0.69,0.69,0.69,0.69,000,0.69
2013-04-19,0.69,0.69,0.69,0.69,000,0.69
2013-04-18,0.69,0.69,0.69,0.69,000,0.69
2013-04-17,0.69,0.69,0.69,0.69,000,0.69
2013-04-16,0.69,0.69,0.69,0.69,000,0.69
2013-04-15,0.69,0.69,0.69,0.69,000,0.69
2013-04-12,0.69,0.69,0.69,0.69,000,0.69
2013-04-11,0.64,0.70,0.64,0.69,600,0.69
2013-04-10,0.64,0.64,0.64,0.64,000,0.64
2013-04-09,0.64,0.64,0.64,0.64,000,0.64
2013-04-08,0.64,0.64,0.64,0.64,000,0.64
2013-04-05,0.64,0.64,0.64,0.64,000,0.64
2013-04-04,0.64,0.64,0.64,0.64,000,0.64
2013-04-03,0.64,0.64,0.64,0.64,000,0.64
2013-04-02,0.64,0.64,0.64,0.64,000,0.64
2013-04-01,0.64,0.64,0.64,0.64,000,0.64
2013-03-29,0.64,0.64,0.64,0.64,000,0.64
2013-03-28,0.64,0.64,0.64,0.64,000,0.64
2013-03-27,0.64,0.64,0.64,0.64,000,0.64
2013-03-26,0.64,0.64,0.64,0.64,000,0.64
2013-03-25,0.64,0.64,0.64,0.64,000,0.64
2013-03-22,0.64,0.64,0.64,0.64,000,0.64
2013-03-21,0.64,0.64,0.64,0.64,000,0.64
2013-03-20,0.64,0.64,0.64,0.64,000,0.64
2013-03-19,0.64,0.64,0.64,0.64,000,0.64
2013-03-18,0.64,0.64,0.64,0.64,000,0.64
2013-03-15,0.64,0.64,0.64,0.64,000,0.64
2013-03-14,0.64,0.64,0.64,0.64,000,0.64
2013-03-13,0.64,0.64,0.64,0.64,000,0.64
2013-03-12,0.64,0.64,0.64,0.64,000,0.64
2013-03-11,0.64,0.64,0.64,0.64,000,0.64
2013-03-08,0.64,0.64,0.64,0.64,000,0.64
2013-03-07,0.64,0.64,0.64,0.64,000,0.64
2013-03-06,0.64,0.64,0.64,0.64,100,0.64
2013-03-05,0.71,0.71,0.71,0.71,000,0.71
2013-03-04,0.71,0.71,0.71,0.71,000,0.71
2013-03-01,0.71,0.71,0.71,0.71,200,0.71
2013-02-28,0.71,0.71,0.71,0.71,100,0.71
2013-02-27,0.71,0.71,0.71,0.71,100,0.71
2013-02-26,0.71,0.71,0.71,0.71,000,0.71
2013-02-25,0.71,0.71,0.71,0.71,000,0.71
2013-02-22,0.71,0.71,0.71,0.71,000,0.71
2013-02-21,0.71,0.71,0.71,0.71,000,0.71
2013-02-20,0.71,0.71,0.71,0.71,000,0.71
2013-02-19,0.71,0.71,0.71,0.71,000,0.71
2013-02-18,0.71,0.71,0.71,0.71,000,0.71
2013-02-15,0.71,0.71,0.71,0.71,000,0.71
2013-02-14,0.71,0.71,0.71,0.71,000,0.71
2013-02-13,0.72,0.72,0.72,0.72,100,0.72
2013-02-12,0.75,0.75,0.75,0.75,000,0.75
2013-02-11,0.75,0.75,0.75,0.75,100,0.75
2013-02-08,0.77,0.77,0.77,0.77,000,0.77
2013-02-07,0.79,0.79,0.79,0.79,000,0.79
2013-02-06,0.79,0.79,0.79,0.79,000,0.79
2013-02-05,0.79,0.79,0.79,0.79,000,0.79
2013-02-04,0.79,0.79,0.79,0.79,000,0.79
2013-02-01,0.79,0.79,0.79,0.79,000,0.79
2013-01-31,0.79,0.79,0.79,0.79,100,0.79
2013-01-30,0.72,0.72,0.72,0.72,000,0.72
2013-01-29,0.70,0.72,0.70,0.72,100,0.72
2013-01-28,0.71,0.71,0.71,0.71,500,0.71
2013-01-25,0.71,0.71,0.71,0.71,100,0.71
2013-01-24,0.79,0.79,0.79,0.79,900,0.79
2013-01-23,0.79,0.79,0.79,0.79,000,0.79
2013-01-22,0.79,0.79,0.79,0.79,200,0.79
2013-01-21,0.80,0.80,0.80,0.80,200,0.80
2013-01-18,0.87,0.87,0.87,0.87,000,0.87
2013-01-17,0.87,0.87,0.87,0.87,000,0.87
2013-01-16,0.87,0.87,0.87,0.87,000,0.87
2013-01-15,0.87,0.87,0.87,0.87,000,0.87
2013-01-14,0.80,0.87,0.80,0.87,1100,0.87
2013-01-11,0.79,0.79,0.79,0.79,000,0.79
2013-01-10,0.79,0.79,0.79,0.79,000,0.79
2013-01-09,0.79,0.79,0.79,0.79,000,0.79
2013-01-08,0.79,0.79,0.79,0.79,000,0.79
2013-01-07,0.78,0.78,0.78,0.78,000,0.78
2013-01-04,0.78,0.78,0.78,0.78,000,0.78
2013-01-03,0.78,0.78,0.78,0.78,000,0.78
2013-01-02,0.78,0.78,0.78,0.78,000,0.78
2013-01-01,0.78,0.78,0.78,0.78,000,0.78
2012-12-31,0.78,0.78,0.78,0.78,000,0.78
2012-12-28,0.78,0.78,0.78,0.78,000,0.78
2012-12-27,0.78,0.78,0.78,0.78,000,0.78
2012-12-26,0.78,0.78,0.78,0.78,000,0.78
2012-12-25,0.78,0.78,0.78,0.78,000,0.78
2012-12-24,0.78,0.78,0.78,0.78,000,0.78
2012-12-21,0.78,0.78,0.78,0.78,000,0.78
2012-12-20,0.78,0.78,0.78,0.78,000,0.78
2012-12-19,0.78,0.78,0.78,0.78,000,0.78
2012-12-18,0.78,0.78,0.78,0.78,000,0.78
2012-12-17,0.78,0.78,0.78,0.78,000,0.78
2012-12-14,0.78,0.78,0.78,0.78,000,0.78
2012-12-13,0.78,0.78,0.78,0.78,000,0.78
2012-12-12,0.78,0.78,0.78,0.78,000,0.78
2012-12-11,0.78,0.78,0.78,0.78,000,0.78
2012-12-10,0.78,0.78,0.78,0.78,000,0.78
2012-12-07,0.78,0.78,0.78,0.78,000,0.78
2012-12-06,0.78,0.78,0.78,0.78,000,0.78
2012-12-05,0.78,0.78,0.78,0.78,000,0.78
2012-12-04,0.78,0.78,0.78,0.78,000,0.78
2012-12-03,0.78,0.78,0.78,0.78,000,0.78
2012-11-30,0.78,0.78,0.78,0.78,000,0.78
2012-11-29,0.78,0.78,0.78,0.78,000,0.78
2012-11-28,0.78,0.78,0.78,0.78,000,0.78
2012-11-27,0.78,0.78,0.78,0.78,000,0.78
2012-11-26,0.78,0.78,0.78,0.78,000,0.78
2012-11-23,0.78,0.78,0.78,0.78,000,0.78
2012-11-22,0.78,0.78,0.78,0.78,000,0.78
2012-11-21,0.78,0.78,0.78,0.78,200,0.78
2012-11-20,0.80,0.80,0.78,0.78,400,0.78
2012-11-19,0.78,0.78,0.78,0.78,000,0.78
2012-11-16,0.78,0.78,0.78,0.78,000,0.78
2012-11-15,0.80,0.80,0.80,0.80,000,0.80
2012-11-14,0.80,0.80,0.80,0.80,000,0.80
2012-11-13,0.80,0.80,0.80,0.80,000,0.80
2012-11-12,0.82,0.82,0.80,0.80,2000,0.80
2012-11-09,0.77,0.77,0.77,0.77,000,0.77
2012-11-08,0.77,0.77,0.77,0.77,000,0.77
