Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,4.60,4.60,4.36,4.36,4700,4.36
2013-05-22,4.94,4.99,4.52,4.54,3500,4.54
2013-05-21,4.57,4.67,4.49,4.60,6600,4.60
2013-05-20,4.85,4.85,4.55,4.67,17100,4.67
2013-05-17,5.01,5.05,4.82,4.85,7900,4.85
2013-05-16,5.03,5.10,4.95,5.00,14600,5.00
2013-05-15,5.10,5.10,5.00,5.01,6100,5.01
2013-05-14,4.94,5.05,4.91,5.00,3100,5.00
2013-05-13,4.75,5.06,4.74,5.06,200,5.06
2013-05-10,5.00,5.00,4.61,4.98,2700,4.98
2013-05-09,5.00,5.05,5.00,5.00,4100,5.00
2013-05-08,4.99,5.13,4.99,5.09,19400,5.09
2013-05-07,4.90,4.90,4.90,4.90,000,4.90
2013-05-06,4.90,4.90,4.90,4.90,000,4.90
2013-05-03,4.90,4.90,4.90,4.90,000,4.90
2013-05-02,4.87,4.90,4.87,4.90,1200,4.90
2013-05-01,4.98,4.98,4.98,4.98,000,4.98
2013-04-30,4.98,4.98,4.98,4.98,000,4.98
2013-04-29,4.98,4.98,4.98,4.98,000,4.98
2013-04-26,4.90,4.98,4.86,4.98,3600,4.98
2013-04-25,5.05,5.19,4.90,4.91,7200,4.91
2013-04-24,5.00,5.00,5.00,5.00,400,5.00
2013-04-23,4.85,5.00,4.85,5.00,200,5.00
2013-04-22,5.00,5.00,4.90,4.90,1700,4.90
2013-04-19,5.00,5.00,5.00,5.00,200,5.00
2013-04-18,5.00,5.00,5.00,5.00,300,5.00
2013-04-17,5.00,5.00,4.75,5.00,2800,5.00
2013-04-16,4.52,5.00,4.52,5.00,700,5.00
2013-04-15,4.71,4.71,4.71,4.71,300,4.71
2013-04-12,4.70,4.86,4.56,4.73,800,4.73
2013-04-11,4.60,4.80,4.60,4.80,200,4.80
2013-04-10,4.84,4.85,4.55,4.64,4600,4.64
2013-04-09,4.55,4.65,4.55,4.55,2300,4.55
2013-04-08,4.60,4.60,4.37,4.55,4900,4.55
2013-04-05,4.66,4.88,4.61,4.70,1700,4.70
2013-04-04,4.42,4.98,4.42,4.98,1800,4.98
2013-04-03,4.01,4.50,4.01,4.48,200,4.48
2013-04-02,4.55,4.75,4.37,4.46,2100,4.46
2013-04-01,4.42,4.42,4.42,4.42,000,4.42
2013-03-29,4.42,4.42,4.42,4.42,000,4.42
2013-03-28,4.42,4.45,4.42,4.42,700,4.42
2013-03-27,4.42,4.42,4.12,4.30,6800,4.30
2013-03-26,4.40,4.48,4.25,4.46,4400,4.46
2013-03-25,4.54,4.54,4.54,4.54,000,4.54
2013-03-22,4.60,4.70,4.53,4.54,5000,4.54
2013-03-21,4.61,4.79,4.55,4.61,1700,4.61
2013-03-20,4.90,4.90,4.72,4.88,2000,4.88
2013-03-19,4.81,4.90,4.59,4.80,1200,4.80
2013-03-18,4.98,4.98,4.98,4.98,000,4.98
2013-03-15,5.05,5.06,4.94,4.98,700,4.98
2013-03-14,5.07,5.07,4.90,4.94,1900,4.94
2013-03-13,4.90,4.96,4.27,4.84,8400,4.84
2013-03-12,4.67,4.67,4.60,4.61,2500,4.61
2013-03-11,4.75,4.75,4.27,4.45,53400,4.45
2013-03-08,4.64,4.64,4.33,4.45,10400,4.45
2013-03-07,4.65,4.75,4.52,4.58,7200,4.58
2013-03-06,5.08,5.09,4.80,4.82,5300,4.82
2013-03-05,5.09,5.19,4.81,4.99,2800,4.99
2013-03-04,5.10,5.20,4.98,5.10,2300,5.10
2013-03-01,5.16,5.24,5.16,5.23,1700,5.23
2013-02-28,5.03,5.35,5.03,5.26,36000,5.26
2013-02-27,5.59,5.59,5.27,5.35,1500,5.35
2013-02-26,5.28,5.35,5.20,5.35,5600,5.35
2013-02-25,5.31,5.44,5.20,5.37,1000,5.37
2013-02-22,5.33,5.50,5.32,5.50,200,5.50
2013-02-21,5.45,5.45,5.34,5.41,5800,5.41
2013-02-20,5.75,5.79,5.45,5.45,27300,5.45
2013-02-19,5.80,5.80,5.53,5.70,31000,5.70
2013-02-18,5.80,6.00,5.78,5.85,4300,5.85
2013-02-15,6.11,6.14,5.90,6.07,3200,6.07
2013-02-14,6.30,6.30,6.17,6.30,16000,6.30
2013-02-13,6.18,6.30,6.11,6.30,12200,6.30
2013-02-12,6.43,6.43,6.09,6.18,2800,6.18
2013-02-11,6.20,6.44,6.09,6.20,5400,6.20
