Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.29,0.31,0.26,0.31,1500,0.31
2013-05-22,0.29,0.29,0.29,0.29,000,0.29
2013-05-21,0.29,0.29,0.29,0.29,300,0.29
2013-05-20,0.26,0.27,0.26,0.26,4000,0.26
2013-05-17,0.27,0.29,0.27,0.29,4500,0.29
2013-05-16,0.25,0.27,0.25,0.27,100,0.27
2013-05-15,0.25,0.25,0.25,0.25,12000,0.25
2013-05-14,0.23,0.25,0.23,0.25,2100,0.25
2013-05-13,0.24,0.25,0.24,0.25,2000,0.25
2013-05-10,0.24,0.24,0.24,0.24,500,0.24
2013-05-09,0.24,0.24,0.24,0.24,000,0.24
2013-05-08,0.22,0.22,0.22,0.22,100,0.22
2013-05-07,0.20,0.20,0.20,0.20,000,0.20
2013-05-06,0.20,0.20,0.20,0.20,000,0.20
2013-05-03,0.20,0.20,0.20,0.20,000,0.20
2013-05-02,0.20,0.20,0.20,0.20,000,0.20
2013-05-01,0.20,0.20,0.20,0.20,000,0.20
2013-04-30,0.20,0.20,0.20,0.20,300,0.20
2013-04-29,0.22,0.22,0.22,0.22,500,0.22
2013-04-26,0.23,0.23,0.23,0.23,000,0.23
2013-04-25,0.23,0.23,0.23,0.23,000,0.23
2013-04-24,0.23,0.23,0.23,0.23,200,0.23
2013-04-23,0.26,0.26,0.26,0.26,000,0.26
2013-04-22,0.26,0.26,0.26,0.26,000,0.26
2013-04-19,0.26,0.26,0.26,0.26,000,0.26
2013-04-18,0.23,0.26,0.23,0.26,900,0.26
2013-04-17,0.26,0.26,0.26,0.26,000,0.26
2013-04-16,0.23,0.23,0.23,0.23,000,0.23
2013-04-15,0.23,0.23,0.23,0.23,000,0.23
2013-04-12,0.23,0.23,0.23,0.23,000,0.23
2013-04-11,0.23,0.23,0.23,0.23,000,0.23
2013-04-10,0.23,0.23,0.23,0.23,000,0.23
2013-04-09,0.23,0.23,0.23,0.23,2100,0.23
2013-04-08,0.26,0.26,0.26,0.26,100,0.26
2013-04-05,0.29,0.29,0.29,0.29,000,0.29
2013-04-04,0.29,0.29,0.29,0.29,100,0.29
2013-04-03,0.29,0.29,0.29,0.29,000,0.29
2013-04-02,0.29,0.29,0.29,0.29,000,0.29
2013-04-01,0.29,0.29,0.29,0.29,000,0.29
2013-03-29,0.29,0.29,0.29,0.29,000,0.29
2013-03-28,0.29,0.29,0.29,0.29,000,0.29
2013-03-27,0.29,0.29,0.29,0.29,500,0.29
2013-03-26,0.25,0.31,0.25,0.31,400,0.31
2013-03-25,0.30,0.30,0.30,0.30,000,0.30
2013-03-22,0.30,0.30,0.30,0.30,000,0.30
2013-03-21,0.30,0.30,0.30,0.30,000,0.30
2013-03-20,0.30,0.30,0.30,0.30,000,0.30
2013-03-19,0.30,0.30,0.30,0.30,000,0.30
2013-03-18,0.30,0.30,0.30,0.30,000,0.30
2013-03-15,0.30,0.30,0.30,0.30,000,0.30
2013-03-14,0.30,0.30,0.30,0.30,6800,0.30
2013-03-13,0.35,0.35,0.35,0.35,000,0.35
2013-03-12,0.34,0.35,0.34,0.35,000,0.35
2013-03-11,0.31,0.34,0.31,0.34,1400,0.34
2013-03-08,0.40,0.40,0.40,0.40,000,0.40
2013-03-07,0.40,0.40,0.40,0.40,000,0.40
2013-03-06,0.40,0.40,0.40,0.40,000,0.40
2013-03-05,0.40,0.40,0.40,0.40,000,0.40
2013-03-04,0.40,0.40,0.40,0.40,000,0.40
2013-03-01,0.26,0.40,0.26,0.40,200,0.40
2013-02-28,0.36,0.36,0.36,0.36,000,0.36
2013-02-27,0.36,0.36,0.36,0.36,100,0.36
2013-02-26,0.36,0.36,0.36,0.36,000,0.36
2013-02-25,0.36,0.36,0.36,0.36,000,0.36
2013-02-22,0.36,0.36,0.36,0.36,000,0.36
2013-02-21,0.31,0.36,0.31,0.36,000,0.36
2013-02-20,0.30,0.30,0.30,0.30,400,0.30
2013-02-19,0.38,0.38,0.38,0.38,000,0.38
2013-02-18,0.38,0.38,0.38,0.38,000,0.38
2013-02-15,0.39,0.41,0.35,0.38,900,0.38
2013-02-14,0.41,0.41,0.41,0.41,000,0.41
2013-02-13,0.40,0.41,0.40,0.41,4100,0.41
2013-02-12,0.49,0.49,0.49,0.49,000,0.49
2013-02-11,0.38,0.49,0.38,0.49,100,0.49
2013-02-08,0.43,0.49,0.38,0.42,200,0.42
2013-02-07,0.40,0.43,0.40,0.43,300,0.43
2013-02-06,0.45,0.47,0.34,0.47,5200,0.47
2013-02-05,0.52,0.52,0.47,0.47,2000,0.47
2013-02-04,0.59,0.59,0.47,0.47,5000,0.47
2013-02-01,0.66,0.66,0.54,0.54,400,0.54
2013-01-31,0.60,0.60,0.60,0.60,000,0.60
2013-01-30,0.60,0.60,0.50,0.56,100,0.56
2013-01-29,0.56,0.56,0.56,0.56,000,0.56
2013-01-28,0.51,0.51,0.51,0.51,000,0.51
2013-01-25,0.48,0.51,0.48,0.51,200,0.51
2013-01-24,0.48,0.48,0.40,0.48,000,0.48
2013-01-23,0.44,0.44,0.44,0.44,100,0.44
2013-01-22,0.45,0.49,0.45,0.49,7100,0.49
2013-01-21,0.50,0.50,0.50,0.50,000,0.50
2013-01-18,0.50,0.50,0.50,0.50,000,0.50
2013-01-17,0.50,0.50,0.50,0.50,000,0.50
2013-01-16,0.50,0.50,0.50,0.50,000,0.50
2013-01-15,0.47,0.47,0.46,0.46,1100,0.46
2013-01-14,0.44,0.44,0.44,0.44,100,0.44
2013-01-11,0.41,0.42,0.41,0.41,2400,0.41
2013-01-10,0.39,0.41,0.38,0.41,3900,0.41
2013-01-09,0.39,0.39,0.39,0.39,1500,0.39
2013-01-08,0.36,0.36,0.36,0.36,000,0.36
2013-01-07,0.37,0.38,0.36,0.36,2800,0.36
2013-01-04,0.36,0.36,0.36,0.36,4300,0.36
2013-01-03,0.35,0.36,0.32,0.36,7900,0.36
2013-01-02,0.32,0.35,0.32,0.35,1800,0.35
2013-01-01,0.30,0.30,0.30,0.30,000,0.30
2012-12-31,0.30,0.30,0.30,0.30,000,0.30
2012-12-28,0.30,0.30,0.30,0.30,000,0.30
2012-12-27,0.31,0.32,0.31,0.32,4600,0.32
2012-12-26,0.34,0.34,0.34,0.34,000,0.34
2012-12-25,0.34,0.34,0.34,0.34,000,0.34
2012-12-24,0.34,0.34,0.34,0.34,000,0.34
2012-12-21,0.34,0.34,0.34,0.34,1500,0.34
2012-12-20,0.34,0.34,0.34,0.34,000,0.34
2012-12-19,0.34,0.34,0.34,0.34,000,0.34
2012-12-18,0.34,0.34,0.34,0.34,000,0.34
