Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.42,0.42,0.41,0.41,1600,0.41
2013-05-15,0.37,0.40,0.37,0.40,10000,0.40
2013-04-10,0.31,0.41,0.31,0.41,5000,0.41
2013-03-26,0.44,0.44,0.44,0.44,5300,0.44
2013-03-22,0.59,0.59,0.49,0.49,1500,0.49
2013-02-07,0.54,0.54,0.54,0.54,200,0.54
2013-02-06,0.55,0.55,0.55,0.55,200,0.55
2013-02-05,0.56,0.56,0.56,0.56,700,0.56
2013-02-01,0.80,0.80,0.80,0.80,000,0.80
2013-01-31,0.77,0.77,0.77,0.77,000,0.77
2013-01-30,0.60,0.60,0.60,0.60,000,0.60
2013-01-29,0.52,0.52,0.40,0.52,1000,0.52
2013-01-28,0.67,0.67,0.40,0.40,2100,0.40
2013-01-23,0.52,0.52,0.52,0.52,000,0.52
2013-01-22,0.44,0.45,0.44,0.45,200,0.45
2013-01-21,0.45,0.45,0.45,0.45,000,0.45
2013-01-18,0.41,0.41,0.35,0.35,1000,0.35
2013-01-15,0.47,0.47,0.40,0.46,2500,0.46
2013-01-14,0.43,0.43,0.43,0.43,000,0.43
2013-01-11,0.37,0.37,0.37,0.37,6000,0.37
2013-01-07,0.40,0.40,0.40,0.40,000,0.40
2013-01-04,0.36,0.39,0.36,0.39,400,0.39
2013-01-03,0.40,0.40,0.40,0.40,000,0.40
2012-12-27,0.32,0.35,0.32,0.32,10000,0.32
2012-12-14,0.46,0.46,0.46,0.46,1600,0.46
2012-11-28,0.65,0.65,0.65,0.65,7000,0.65
2012-10-30,0.66,0.66,0.66,0.66,000,0.66
2012-10-09,0.73,0.73,0.73,0.73,500,0.73
2012-10-08,0.73,0.73,0.73,0.73,000,0.73
2012-10-05,0.67,0.67,0.67,0.67,000,0.67
2012-10-03,0.71,0.79,0.71,0.74,10500,0.74
2012-09-21,0.79,0.79,0.79,0.79,000,0.79
2012-01-05,0.88,0.88,0.88,0.88,2000,0.88
2012-01-04,0.89,0.89,0.88,0.88,4200,0.88
2011-12-16,0.89,0.89,0.49,0.89,100,0.89
2011-12-15,0.70,0.70,0.70,0.70,000,0.70
2011-12-09,0.55,0.55,0.55,0.55,000,0.55
