Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.60,0.60,0.60,0.60,200,0.60
2013-05-22,0.60,0.60,0.60,0.60,000,0.60
2013-05-21,0.55,0.55,0.55,0.55,000,0.55
2013-05-20,0.52,0.52,0.52,0.52,000,0.52
2013-05-17,0.52,0.52,0.52,0.52,000,0.52
2013-05-16,0.48,0.48,0.48,0.48,000,0.48
2013-05-15,0.48,0.48,0.48,0.48,000,0.48
2013-05-14,0.44,0.44,0.44,0.44,000,0.44
2013-05-13,0.45,0.45,0.40,0.40,200,0.40
2013-05-10,0.41,0.41,0.41,0.41,200,0.41
2013-05-09,0.41,0.41,0.41,0.41,000,0.41
2013-05-08,0.43,0.43,0.39,0.39,4000,0.39
2013-05-07,0.43,0.43,0.43,0.43,000,0.43
2013-05-06,0.43,0.43,0.43,0.43,000,0.43
2013-05-03,0.43,0.43,0.43,0.43,000,0.43
2013-05-02,0.43,0.43,0.43,0.43,000,0.43
2013-05-01,0.43,0.43,0.43,0.43,000,0.43
2013-04-30,0.43,0.43,0.43,0.43,200,0.43
2013-04-29,0.48,0.48,0.48,0.48,000,0.48
2013-04-26,0.48,0.48,0.48,0.48,1000,0.48
2013-04-25,0.46,0.46,0.46,0.46,300,0.46
2013-04-24,0.42,0.42,0.42,0.42,000,0.42
2013-04-23,0.42,0.42,0.42,0.42,000,0.42
2013-04-22,0.37,0.42,0.37,0.42,800,0.42
2013-04-19,0.41,0.41,0.41,0.41,000,0.41
2013-04-18,0.41,0.41,0.41,0.41,200,0.41
2013-04-17,0.41,0.41,0.41,0.41,000,0.41
2013-04-16,0.41,0.41,0.41,0.41,000,0.41
2013-04-15,0.41,0.41,0.41,0.41,000,0.41
2013-04-12,0.41,0.41,0.41,0.41,000,0.41
2013-04-11,0.41,0.41,0.41,0.41,000,0.41
2013-04-10,0.41,0.41,0.41,0.41,1600,0.41
2013-04-09,0.41,0.41,0.41,0.41,1000,0.41
2013-04-08,0.41,0.41,0.41,0.41,000,0.41
2013-04-05,0.41,0.41,0.41,0.41,100,0.41
2013-04-04,0.46,0.46,0.46,0.46,000,0.46
2013-04-03,0.46,0.46,0.46,0.46,000,0.46
2013-04-02,0.46,0.46,0.46,0.46,000,0.46
2013-04-01,0.46,0.46,0.46,0.46,000,0.46
2013-03-29,0.46,0.46,0.46,0.46,000,0.46
2013-03-28,0.46,0.46,0.46,0.46,000,0.46
2013-03-27,0.46,0.46,0.46,0.46,000,0.46
2013-03-26,0.46,0.46,0.46,0.46,000,0.46
2013-03-25,0.46,0.46,0.46,0.46,000,0.46
2013-03-22,0.46,0.46,0.46,0.46,000,0.46
2013-03-21,0.46,0.46,0.46,0.46,000,0.46
2013-03-20,0.46,0.46,0.46,0.46,600,0.46
2013-03-19,0.40,0.46,0.40,0.46,1200,0.46
2013-03-18,0.44,0.44,0.44,0.44,000,0.44
2013-03-15,0.44,0.44,0.44,0.44,2000,0.44
2013-03-14,0.47,0.47,0.47,0.47,3000,0.47
2013-03-13,0.52,0.52,0.52,0.52,000,0.52
2013-03-12,0.52,0.52,0.52,0.52,000,0.52
2013-03-11,0.52,0.52,0.52,0.52,000,0.52
2013-03-08,0.48,0.52,0.48,0.52,600,0.52
2013-03-07,0.52,0.52,0.52,0.52,000,0.52
2013-03-06,0.52,0.52,0.52,0.52,000,0.52
2013-03-05,0.52,0.52,0.52,0.52,000,0.52
2013-03-04,0.52,0.52,0.52,0.52,000,0.52
2013-03-01,0.47,0.47,0.47,0.47,000,0.47
2013-02-28,0.47,0.47,0.47,0.47,000,0.47
2013-02-27,0.47,0.47,0.47,0.47,000,0.47
2013-02-26,0.47,0.50,0.47,0.47,3000,0.47
2013-02-25,0.52,0.52,0.52,0.52,1200,0.52
2013-02-22,0.58,0.58,0.58,0.58,200,0.58
2013-02-21,0.52,0.52,0.52,0.52,000,0.52
2013-02-20,0.58,0.58,0.58,0.58,000,0.58
2013-02-19,0.58,0.58,0.58,0.58,000,0.58
2013-02-18,0.58,0.58,0.58,0.58,000,0.58
2013-02-15,0.58,0.58,0.58,0.58,000,0.58
2013-02-14,0.58,0.58,0.58,0.58,000,0.58
2013-02-13,0.58,0.58,0.58,0.58,000,0.58
2013-02-12,0.58,0.58,0.58,0.58,000,0.58
2013-02-11,0.58,0.58,0.58,0.58,000,0.58
2013-02-08,0.58,0.58,0.58,0.58,000,0.58
2013-02-07,0.58,0.58,0.58,0.58,1000,0.58
2013-02-06,0.58,0.58,0.58,0.58,000,0.58
2013-02-05,0.65,0.65,0.65,0.65,1000,0.65
2013-02-04,0.72,0.72,0.72,0.72,100,0.72
2013-02-01,0.80,0.80,0.80,0.80,000,0.80
2013-01-31,0.80,0.80,0.80,0.80,000,0.80
2013-01-30,0.80,0.80,0.80,0.80,000,0.80
2013-01-29,0.80,0.80,0.80,0.80,100,0.80
2013-01-28,0.86,0.86,0.86,0.86,3300,0.86
2013-01-25,1.23,1.23,1.23,1.23,000,1.23
2013-01-24,1.23,1.23,1.23,1.23,000,1.23
2013-01-23,1.23,1.23,1.23,1.23,000,1.23
2013-01-22,1.23,1.23,1.23,1.23,000,1.23
2013-01-21,1.23,1.23,1.23,1.23,000,1.23
2013-01-18,1.00,1.00,1.00,1.00,000,1.00
2013-01-17,1.00,1.00,1.00,1.00,000,1.00
2013-01-16,0.78,0.78,0.76,0.77,1000,0.77
2013-01-15,0.60,0.60,0.60,0.60,000,0.60
2013-01-14,0.60,0.60,0.60,0.60,000,0.60
2013-01-11,0.60,0.60,0.60,0.60,000,0.60
2013-01-10,0.60,0.60,0.60,0.60,1400,0.60
2013-01-09,0.67,0.67,0.67,0.67,000,0.67
2013-01-08,0.67,0.67,0.67,0.67,000,0.67
2013-01-07,0.67,0.67,0.67,0.67,000,0.67
2013-01-04,0.67,0.67,0.67,0.67,000,0.67
2013-01-03,0.67,0.67,0.67,0.67,000,0.67
2013-01-02,0.56,0.67,0.56,0.67,400,0.67
2013-01-01,0.61,0.61,0.61,0.61,000,0.61
2012-12-31,0.61,0.61,0.61,0.61,000,0.61
2012-12-28,0.61,0.61,0.61,0.61,000,0.61
2012-12-27,0.67,0.67,0.61,0.61,10300,0.61
2012-12-26,0.61,0.61,0.61,0.61,000,0.61
2012-12-25,0.61,0.61,0.61,0.61,000,0.61
2012-12-24,0.61,0.61,0.61,0.61,000,0.61
2012-12-21,0.61,0.61,0.61,0.61,000,0.61
2012-12-20,0.61,0.61,0.61,0.61,000,0.61
2012-12-19,0.61,0.61,0.61,0.61,000,0.61
2012-12-18,0.61,0.61,0.61,0.61,000,0.61
2012-12-17,0.61,0.61,0.61,0.61,000,0.61
2012-12-14,0.61,0.61,0.61,0.61,000,0.61
2012-12-13,0.61,0.61,0.61,0.61,000,0.61
2012-12-12,0.61,0.61,0.61,0.61,000,0.61
2012-12-11,0.61,0.61,0.61,0.61,000,0.61
2012-12-10,0.55,0.67,0.55,0.61,2500,0.61
2012-12-07,0.61,0.61,0.61,0.61,000,0.61
2012-12-06,0.55,0.61,0.55,0.61,500,0.61
2012-12-05,0.61,0.61,0.61,0.61,1500,0.61
2012-12-04,0.68,0.68,0.68,0.68,000,0.68
2012-12-03,0.68,0.68,0.68,0.68,000,0.68
