Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.58,1.63,1.55,1.62,2700,1.62
2013-05-22,1.53,1.65,1.52,1.65,300,1.65
2013-05-21,1.60,1.64,1.55,1.63,12100,1.63
2013-05-20,1.59,1.65,1.53,1.61,5800,1.61
2013-05-17,1.57,1.64,1.56,1.60,3100,1.60
2013-05-16,1.65,1.65,1.64,1.65,1100,1.65
2013-05-15,1.67,1.67,1.60,1.65,7500,1.65
2013-05-14,1.52,1.65,1.50,1.63,12200,1.63
2013-05-13,1.58,1.63,1.58,1.62,4100,1.62
2013-05-10,1.50,1.56,1.50,1.56,10000,1.56
2013-05-09,1.55,1.56,1.52,1.56,13500,1.56
2013-05-08,1.45,1.55,1.45,1.55,28700,1.55
2013-05-07,1.45,1.45,1.45,1.45,000,1.45
2013-05-06,1.45,1.45,1.45,1.45,000,1.45
2013-05-03,1.45,1.45,1.45,1.45,000,1.45
2013-05-02,1.44,1.45,1.44,1.45,000,1.45
2013-05-01,1.44,1.44,1.44,1.44,000,1.44
2013-04-30,1.40,1.44,1.38,1.44,500,1.44
2013-04-29,1.41,1.48,1.40,1.47,13300,1.47
2013-04-26,1.34,1.45,1.34,1.45,17000,1.45
2013-04-25,1.32,1.40,1.32,1.40,3900,1.40
2013-04-24,1.40,1.40,1.37,1.40,1600,1.40
2013-04-23,1.40,1.40,1.40,1.40,000,1.40
2013-04-22,1.38,1.40,1.37,1.40,2000,1.40
2013-04-19,1.37,1.40,1.37,1.40,5100,1.40
2013-04-18,1.37,1.37,1.34,1.37,3000,1.37
2013-04-17,1.31,1.37,1.31,1.37,4000,1.37
2013-04-16,1.30,1.32,1.30,1.31,7300,1.31
2013-04-15,1.25,1.32,1.25,1.30,500,1.30
2013-04-12,1.32,1.32,1.25,1.30,1700,1.30
2013-04-11,1.25,1.30,1.23,1.29,1700,1.29
2013-04-10,1.20,1.26,1.20,1.25,2100,1.25
2013-04-09,1.23,1.26,1.23,1.24,2300,1.24
2013-04-08,1.10,1.20,1.10,1.20,2300,1.20
2013-04-05,1.20,1.20,1.18,1.18,2500,1.18
2013-04-04,1.24,1.24,1.15,1.23,4600,1.23
2013-04-03,1.19,1.25,1.19,1.24,3200,1.24
2013-04-02,1.20,1.27,1.18,1.27,3600,1.27
2013-04-01,1.25,1.25,1.25,1.25,000,1.25
2013-03-29,1.25,1.25,1.25,1.25,000,1.25
2013-03-28,1.18,1.26,1.18,1.25,3700,1.25
2013-03-27,1.21,1.29,1.16,1.18,13800,1.18
2013-03-26,1.26,1.29,1.26,1.29,700,1.29
2013-03-25,1.30,1.30,1.30,1.30,000,1.30
2013-03-22,1.23,1.33,1.20,1.30,12500,1.30
2013-03-21,1.37,1.42,1.26,1.26,18200,1.26
2013-03-20,1.45,1.45,1.45,1.45,000,1.45
2013-03-19,1.45,1.45,1.45,1.45,000,1.45
2013-03-18,1.45,1.45,1.45,1.45,000,1.45
2013-03-15,1.46,1.46,1.45,1.45,2300,1.45
2013-03-14,1.49,1.50,1.47,1.47,1500,1.47
2013-03-13,1.42,1.48,1.40,1.48,3200,1.48
2013-03-12,1.40,1.44,1.36,1.42,9300,1.42
2013-03-11,1.40,1.44,1.37,1.40,3100,1.40
2013-03-08,1.43,1.45,1.43,1.45,1000,1.45
2013-03-07,1.40,1.45,1.40,1.45,2200,1.45
2013-03-06,1.43,1.47,1.43,1.47,900,1.47
2013-03-05,1.46,1.48,1.43,1.47,600,1.47
2013-03-04,1.42,1.50,1.42,1.46,2600,1.46
2013-03-01,1.48,1.48,1.45,1.48,3800,1.48
2013-02-28,1.49,1.51,1.48,1.48,9400,1.48
2013-02-27,1.51,1.52,1.47,1.48,800,1.48
2013-02-26,1.49,1.53,1.46,1.50,2300,1.50
2013-02-25,1.48,1.52,1.46,1.50,1600,1.50
2013-02-22,1.49,1.54,1.46,1.52,10800,1.52
2013-02-21,1.52,1.57,1.46,1.54,28000,1.54
2013-02-20,1.50,1.54,1.47,1.54,15900,1.54
2013-02-19,1.48,1.49,1.43,1.49,2600,1.49
2013-02-18,1.45,1.50,1.45,1.47,4700,1.47
2013-02-15,1.50,1.52,1.45,1.48,9800,1.48
2013-02-14,1.41,1.53,1.39,1.53,1900,1.53
2013-02-13,1.48,1.54,1.46,1.54,1700,1.54
2013-02-12,1.55,1.55,1.52,1.52,1700,1.52
2013-02-11,1.56,1.56,1.53,1.56,1100,1.56
2013-02-08,1.53,1.56,1.52,1.56,1000,1.56
2013-02-07,1.53,1.58,1.52,1.57,28600,1.57
2013-02-06,1.51,1.56,1.50,1.55,32200,1.55
2013-02-05,1.46,1.51,1.45,1.50,7500,1.50
2013-02-04,1.47,1.51,1.47,1.47,5300,1.47
2013-02-01,1.52,1.55,1.49,1.50,6800,1.50
2013-01-31,1.52,1.53,1.48,1.52,2000,1.52
2013-01-30,1.58,1.59,1.52,1.56,17000,1.56
2013-01-29,1.57,1.59,1.52,1.58,8900,1.58
2013-01-28,1.65,1.67,1.60,1.63,5000,1.63
2013-01-25,1.61,1.65,1.58,1.65,18500,1.65
2013-01-24,1.63,1.70,1.60,1.63,51400,1.63
2013-01-23,1.59,1.65,1.57,1.61,22100,1.61
