Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.25,0.25,0.25,0.25,100,0.25
2013-05-22,0.35,0.35,0.35,0.35,000,0.35
2013-05-21,0.35,0.35,0.35,0.35,000,0.35
2013-05-20,0.35,0.35,0.35,0.35,000,0.35
2013-05-17,0.35,0.35,0.35,0.35,000,0.35
2013-05-16,0.35,0.35,0.35,0.35,000,0.35
2013-05-15,0.35,0.35,0.35,0.35,100,0.35
2013-05-14,0.33,0.33,0.33,0.33,1000,0.33
2013-05-13,0.35,0.35,0.24,0.33,1400,0.33
2013-05-10,0.21,0.27,0.21,0.27,1000,0.27
2013-05-09,0.29,0.29,0.22,0.25,1500,0.25
2013-05-08,0.22,0.22,0.22,0.22,700,0.22
2013-05-07,0.22,0.22,0.22,0.22,000,0.22
2013-05-06,0.22,0.22,0.22,0.22,000,0.22
2013-05-03,0.22,0.22,0.22,0.22,000,0.22
2013-05-02,0.22,0.22,0.22,0.22,000,0.22
2013-05-01,0.21,0.21,0.21,0.21,000,0.21
2013-04-30,0.21,0.21,0.21,0.21,000,0.21
2013-04-29,0.23,0.23,0.23,0.23,000,0.23
2013-04-26,0.21,0.21,0.21,0.21,000,0.21
2013-04-25,0.23,0.23,0.23,0.23,000,0.23
2013-04-24,0.23,0.23,0.23,0.23,3600,0.23
2013-04-23,0.24,0.24,0.24,0.24,000,0.24
2013-04-22,0.24,0.24,0.24,0.24,5800,0.24
2013-04-19,0.25,0.25,0.25,0.25,1500,0.25
2013-04-18,0.25,0.25,0.25,0.25,1000,0.25
2013-04-17,0.24,0.24,0.24,0.24,7400,0.24
2013-04-16,0.23,0.24,0.23,0.24,1500,0.24
2013-04-15,0.25,0.30,0.25,0.25,5100,0.25
2013-04-12,0.28,0.28,0.28,0.28,1500,0.28
2013-04-11,0.31,0.31,0.31,0.31,000,0.31
2013-04-10,0.31,0.31,0.31,0.31,000,0.31
2013-04-09,0.31,0.31,0.31,0.31,100,0.31
2013-04-08,0.34,0.34,0.34,0.34,000,0.34
2013-04-05,0.34,0.34,0.34,0.34,000,0.34
2013-04-04,0.34,0.34,0.34,0.34,000,0.34
2013-04-03,0.34,0.34,0.34,0.34,000,0.34
2013-04-02,0.34,0.34,0.34,0.34,000,0.34
2013-04-01,0.34,0.34,0.34,0.34,000,0.34
2013-03-29,0.34,0.34,0.34,0.34,000,0.34
2013-03-28,0.34,0.34,0.34,0.34,000,0.34
2013-03-27,0.28,0.28,0.28,0.28,000,0.28
2013-03-26,0.28,0.28,0.28,0.28,3800,0.28
2013-03-25,0.26,0.26,0.26,0.26,000,0.26
2013-03-22,0.26,0.26,0.26,0.26,000,0.26
2013-03-21,0.37,0.37,0.37,0.37,000,0.37
2013-03-20,0.37,0.37,0.37,0.37,400,0.37
2013-03-19,0.31,0.31,0.31,0.31,000,0.31
2013-03-18,0.31,0.31,0.31,0.31,000,0.31
2013-03-15,0.31,0.31,0.31,0.31,3500,0.31
2013-03-14,0.31,0.31,0.31,0.31,000,0.31
2013-03-13,0.31,0.31,0.31,0.31,000,0.31
2013-03-12,0.31,0.31,0.31,0.31,000,0.31
2013-03-11,0.31,0.31,0.31,0.31,100,0.31
2013-03-08,0.24,0.24,0.24,0.24,000,0.24
2013-03-07,0.24,0.24,0.24,0.24,000,0.24
2013-03-06,0.24,0.24,0.24,0.24,3800,0.24
2013-03-05,0.23,0.34,0.23,0.34,1000,0.34
2013-03-04,0.33,0.33,0.33,0.33,000,0.33
2013-03-01,0.33,0.33,0.33,0.33,000,0.33
2013-02-28,0.33,0.33,0.33,0.33,000,0.33
2013-02-27,0.33,0.33,0.33,0.33,000,0.33
2013-02-26,0.33,0.33,0.33,0.33,000,0.33
2013-02-25,0.28,0.33,0.28,0.33,4200,0.33
2013-02-22,0.39,0.39,0.39,0.39,000,0.39
2013-02-21,0.32,0.39,0.32,0.39,000,0.39
2013-02-20,0.39,0.39,0.39,0.39,000,0.39
2013-02-19,0.39,0.39,0.39,0.39,300,0.39
2013-02-18,0.40,0.40,0.40,0.40,000,0.40
2013-02-15,0.40,0.40,0.40,0.40,000,0.40
2013-02-14,0.40,0.40,0.40,0.40,000,0.40
2013-02-13,0.29,0.40,0.29,0.40,300,0.40
2013-02-12,0.40,0.40,0.29,0.33,15300,0.33
