Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.61,0.61,0.61,0.61,000,0.61
2013-05-22,0.61,0.61,0.61,0.61,000,0.61
2013-05-21,0.61,0.61,0.61,0.61,700,0.61
2013-05-20,0.61,0.62,0.61,0.61,1300,0.61
2013-05-17,0.73,0.73,0.73,0.73,100,0.73
2013-05-16,0.71,0.75,0.71,0.73,2400,0.73
2013-05-15,0.89,0.89,0.89,0.89,000,0.89
2013-05-14,1.00,1.00,0.88,0.89,100,0.89
2013-05-13,0.97,0.97,0.97,0.97,000,0.97
2013-05-10,0.89,0.89,0.89,0.89,000,0.89
2013-05-09,0.89,0.89,0.89,0.89,000,0.89
2013-05-08,0.91,0.91,0.91,0.91,000,0.91
2013-05-07,0.91,0.91,0.91,0.91,000,0.91
2013-05-06,0.91,0.91,0.91,0.91,000,0.91
2013-05-03,0.91,0.91,0.91,0.91,000,0.91
2013-05-02,0.91,0.91,0.91,0.91,000,0.91
2013-05-01,0.91,0.91,0.91,0.91,000,0.91
2013-04-30,0.91,0.91,0.91,0.91,000,0.91
2013-04-29,0.91,0.91,0.91,0.91,000,0.91
2013-04-26,0.89,0.89,0.89,0.89,000,0.89
2013-04-25,0.89,0.89,0.89,0.89,000,0.89
2013-04-24,0.89,0.89,0.89,0.89,000,0.89
2013-04-23,0.89,0.89,0.89,0.89,000,0.89
2013-04-22,0.89,0.89,0.89,0.89,000,0.89
2013-04-19,0.89,0.89,0.89,0.89,000,0.89
2013-04-18,0.89,0.89,0.89,0.89,000,0.89
2013-04-17,0.89,0.89,0.89,0.89,000,0.89
2013-04-16,0.89,0.89,0.89,0.89,100,0.89
2013-04-15,0.90,0.90,0.90,0.90,000,0.90
2013-04-12,0.90,0.90,0.90,0.90,000,0.90
2013-04-11,0.90,0.90,0.90,0.90,000,0.90
2013-04-10,0.90,0.90,0.90,0.90,000,0.90
2013-04-09,0.90,0.90,0.90,0.90,000,0.90
2013-04-08,0.90,0.90,0.90,0.90,000,0.90
2013-04-05,0.90,0.90,0.90,0.90,000,0.90
2013-04-04,0.90,0.90,0.90,0.90,000,0.90
2013-04-03,0.90,0.90,0.90,0.90,5000,0.90
2013-04-02,0.94,0.94,0.94,0.94,000,0.94
2013-04-01,0.94,0.94,0.94,0.94,000,0.94
2013-03-29,0.94,0.94,0.94,0.94,000,0.94
2013-03-28,0.94,0.94,0.94,0.94,000,0.94
2013-03-27,0.94,0.94,0.94,0.94,000,0.94
2013-03-26,0.94,0.94,0.94,0.94,000,0.94
2013-03-25,0.94,0.94,0.94,0.94,000,0.94
2013-03-22,0.94,0.94,0.94,0.94,000,0.94
2013-03-21,0.94,0.94,0.94,0.94,000,0.94
2013-03-20,0.94,0.94,0.94,0.94,000,0.94
2013-03-19,0.94,0.94,0.94,0.94,000,0.94
2013-03-18,0.94,0.94,0.94,0.94,000,0.94
2013-03-15,0.94,0.94,0.94,0.94,000,0.94
2013-03-14,0.94,0.94,0.94,0.94,000,0.94
2013-03-13,0.94,0.94,0.94,0.94,000,0.94
2013-03-12,0.94,0.94,0.94,0.94,000,0.94
2013-03-11,0.94,0.94,0.94,0.94,000,0.94
2013-03-08,0.94,0.94,0.94,0.94,000,0.94
2013-03-07,0.86,0.86,0.86,0.86,900,0.86
2013-03-06,0.95,0.95,0.95,0.95,2200,0.95
2013-03-05,0.95,0.95,0.95,0.95,000,0.95
2013-03-04,0.95,0.95,0.95,0.95,000,0.95
2013-03-01,0.87,0.87,0.87,0.87,000,0.87
