Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,4.11,4.40,4.10,4.38,300,4.38
2013-05-22,4.53,4.54,4.53,4.54,000,4.54
2013-05-21,4.20,4.50,4.20,4.43,200,4.43
2013-05-20,4.58,4.58,4.58,4.58,000,4.58
2013-05-17,4.48,4.58,4.48,4.58,100,4.58
2013-05-16,4.64,4.64,4.64,4.64,000,4.64
2013-05-15,4.81,4.81,4.30,4.64,800,4.64
2013-05-14,4.42,4.55,4.41,4.54,800,4.54
2013-05-13,4.65,4.65,4.01,4.25,400,4.25
2013-05-10,4.45,4.50,4.41,4.49,300,4.49
2013-05-09,4.82,4.82,4.47,4.49,200,4.49
2013-05-08,4.45,4.45,4.45,4.45,000,4.45
2013-05-07,4.20,4.20,4.20,4.20,000,4.20
2013-05-06,4.20,4.20,4.20,4.20,000,4.20
2013-05-03,4.20,4.20,4.20,4.20,000,4.20
2013-05-02,4.50,4.50,4.20,4.20,000,4.20
2013-05-01,4.22,4.22,4.22,4.22,000,4.22
2013-04-30,4.52,4.52,4.00,4.22,300,4.22
2013-04-29,4.35,4.35,4.35,4.35,000,4.35
2013-04-26,4.20,4.20,4.01,4.05,400,4.05
2013-04-25,4.12,4.20,4.00,4.08,300,4.08
2013-04-24,4.56,4.56,4.01,4.43,000,4.43
2013-04-23,4.22,4.24,4.22,4.23,100,4.23
2013-04-22,4.29,4.29,4.21,4.21,000,4.21
2013-04-19,4.31,4.31,4.31,4.31,000,4.31
2013-04-18,4.62,4.62,3.92,3.95,500,3.95
2013-04-17,4.20,4.20,4.20,4.20,000,4.20
2013-04-16,4.30,4.30,4.30,4.30,000,4.30
2013-04-15,4.30,4.30,4.30,4.30,000,4.30
2013-04-12,4.20,4.30,4.20,4.30,200,4.30
2013-04-11,4.79,4.80,4.10,4.35,200,4.35
2013-04-10,4.63,4.63,4.63,4.63,000,4.63
2013-04-09,4.38,4.38,4.05,4.27,100,4.27
2013-04-08,4.46,4.46,3.87,4.00,000,4.00
2013-04-05,4.40,4.40,4.35,4.35,000,4.35
2013-04-04,4.02,4.03,4.01,4.02,100,4.02
2013-04-03,4.00,4.04,3.83,3.92,400,3.92
2013-04-02,4.07,4.08,3.90,3.92,500,3.92
2013-04-01,4.06,4.06,4.06,4.06,000,4.06
