Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,12.03,12.04,11.17,11.17,76800,11.17
2013-05-22,12.55,12.55,12.01,12.38,32700,12.38
2013-05-21,12.70,12.70,12.19,12.55,30500,12.55
2013-05-20,12.50,12.70,12.20,12.70,29400,12.70
2013-05-17,11.98,12.50,11.72,12.50,49200,12.50
2013-05-16,11.80,11.99,11.71,11.98,31300,11.98
2013-05-15,11.90,12.21,11.90,12.02,71400,12.02
2013-05-14,11.88,11.90,11.61,11.76,69400,11.76
2013-05-13,11.69,12.00,11.56,11.65,51100,11.65
2013-05-10,12.30,12.30,11.55,11.55,47400,11.55
2013-05-09,12.25,12.54,12.19,12.40,88500,12.40
2013-05-08,12.00,12.25,12.00,12.25,45100,12.25
2013-05-07,11.80,11.80,11.80,11.80,000,11.80
2013-05-06,11.80,11.80,11.80,11.80,000,11.80
2013-05-03,11.80,11.80,11.80,11.80,000,11.80
2013-05-02,11.53,11.90,11.53,11.80,27000,11.80
2013-05-01,11.53,11.53,11.53,11.53,000,11.53
2013-04-30,11.41,11.60,11.22,11.53,28200,11.53
2013-04-29,11.77,11.77,11.31,11.43,10200,11.43
2013-04-26,12.00,12.11,11.70,11.77,27600,11.77
2013-04-25,11.80,12.03,11.77,11.96,196000,11.96
2013-04-24,11.65,11.91,11.62,11.91,26300,11.91
2013-04-23,11.60,11.65,11.42,11.65,20100,11.65
2013-04-22,11.55,11.60,11.23,11.60,20800,11.60
2013-04-19,11.40,11.68,11.17,11.21,22200,11.21
2013-04-18,11.35,11.75,11.35,11.50,46300,11.50
2013-04-17,11.50,11.75,11.39,11.50,45300,11.50
2013-04-16,11.06,11.75,10.92,11.31,98000,11.31
2013-04-15,10.82,11.37,10.82,11.17,22300,11.17
2013-04-12,11.30,11.40,10.90,11.05,50200,11.05
2013-04-11,11.08,11.50,11.04,11.29,46700,11.29
2013-04-10,10.82,11.43,10.79,11.40,53800,11.40
2013-04-09,9.48,10.85,9.48,10.82,59600,10.82
2013-04-08,9.15,9.70,9.15,9.59,30300,9.59
2013-04-05,9.50,9.75,9.50,9.50,18500,9.50
2013-04-04,9.49,9.94,9.22,9.71,160000,9.71
2013-04-03,9.44,9.60,9.12,9.40,73900,9.40
2013-04-02,10.20,10.20,9.30,9.44,46400,9.44
2013-04-01,10.17,10.17,10.17,10.17,000,10.17
2013-03-29,10.17,10.17,10.17,10.17,000,10.17
2013-03-28,9.40,10.30,9.40,10.17,54100,10.17
2013-03-27,10.15,10.39,9.00,9.40,110500,9.40
2013-03-26,10.80,10.80,10.20,10.24,31000,10.24
2013-03-25,10.96,10.96,10.96,10.96,000,10.96
2013-03-22,10.96,11.07,10.82,10.96,38600,10.96
2013-03-21,11.20,11.30,11.14,11.21,22700,11.21
2013-03-20,11.00,11.64,11.00,11.30,53600,11.30
2013-03-19,11.37,11.63,11.06,11.20,25500,11.20
2013-03-18,12.00,12.00,12.00,12.00,000,12.00
2013-03-15,11.84,12.00,11.47,12.00,62400,12.00
2013-03-14,11.94,11.94,11.64,11.85,16000,11.85
2013-03-13,11.30,11.84,11.20,11.83,71700,11.83
2013-03-12,11.03,11.50,11.03,11.44,22500,11.44
2013-03-11,11.55,11.55,11.01,11.22,25600,11.22
2013-03-08,11.80,11.80,11.68,11.70,81800,11.70
2013-03-07,11.84,12.00,11.76,11.80,118200,11.80
2013-03-06,11.80,12.00,11.70,11.84,55700,11.84
2013-03-05,11.50,12.00,11.50,11.80,90500,11.80
2013-03-04,11.70,11.70,11.17,11.40,66800,11.40
2013-03-01,12.12,12.12,11.33,11.92,22600,11.92
2013-02-28,12.04,12.20,11.87,12.20,25300,12.20
2013-02-27,12.00,12.04,11.83,12.04,13700,12.04
2013-02-26,11.56,12.00,11.56,11.80,66600,11.80
2013-02-25,12.01,12.10,11.75,12.00,102800,12.00
2013-02-22,11.80,12.02,11.63,11.99,28400,11.99
2013-02-21,12.05,12.21,11.73,11.80,83000,11.80
2013-02-20,12.40,12.50,12.30,12.30,34700,12.30
2013-02-19,12.20,12.59,11.99,12.40,65900,12.40
2013-02-18,12.42,12.50,12.27,12.30,42300,12.30
2013-02-15,12.30,12.78,12.20,12.50,75700,12.50
2013-02-14,11.92,12.39,11.92,12.30,71200,12.30
2013-02-13,11.96,12.04,11.80,11.92,86100,11.92
2013-02-12,11.92,12.06,11.75,11.95,210500,11.95
2013-02-11,11.82,11.98,11.80,11.92,55600,11.92
2013-02-08,12.00,12.15,11.80,11.98,48900,11.98
2013-02-07,12.10,12.10,11.77,11.95,113600,11.95
2013-02-06,11.45,12.10,11.45,12.10,112500,12.10
2013-02-05,11.00,11.50,10.86,11.30,90900,11.30
2013-02-04,11.09,11.22,10.90,11.00,70400,11.00
2013-02-01,11.20,11.25,11.00,11.01,219000,11.01
2013-01-31,11.14,11.23,10.98,11.20,57200,11.20
2013-01-30,11.28,11.30,11.12,11.30,162400,11.30
2013-01-29,11.30,11.40,11.18,11.28,49900,11.28
2013-01-28,11.26,11.50,11.26,11.42,112400,11.42
2013-01-25,11.16,11.35,11.03,11.21,44800,11.21
2013-01-24,11.40,11.50,11.10,11.30,155400,11.30
2013-01-23,11.32,11.40,11.08,11.40,71800,11.40
2013-01-22,11.19,11.37,10.94,11.32,48200,11.32
2013-01-21,11.35,11.35,11.10,11.18,25300,11.18
2013-01-18,11.30,11.35,10.97,11.20,103200,11.20
2013-01-17,11.15,11.37,11.10,11.20,33200,11.20
2013-01-16,10.86,11.30,10.86,11.15,212200,11.15
2013-01-15,11.00,11.00,10.60,10.86,31700,10.86
2013-01-14,11.09,11.09,10.82,11.00,93100,11.00
2013-01-11,10.56,11.00,10.56,10.98,135700,10.98
2013-01-10,10.50,10.82,10.50,10.60,126100,10.60
2013-01-09,10.60,10.68,10.45,10.68,65000,10.68
2013-01-08,10.38,10.77,10.30,10.69,98000,10.69
2013-01-07,10.25,10.57,10.02,10.38,94400,10.38
2013-01-04,10.04,10.28,9.95,10.28,102200,10.28
