Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.40,1.42,1.40,1.40,2000,1.40
2013-05-22,1.39,1.39,1.38,1.38,200,1.38
2013-05-21,1.50,1.50,1.50,1.50,200,1.50
2013-05-20,1.37,1.53,1.36,1.52,2100,1.52
2013-05-17,1.50,1.50,1.50,1.50,000,1.50
2013-05-16,1.46,1.52,1.45,1.50,3000,1.50
2013-05-15,1.34,1.50,1.34,1.47,7000,1.47
2013-05-14,1.43,1.48,1.43,1.48,1700,1.48
2013-05-13,1.36,1.43,1.36,1.43,1300,1.43
2013-05-10,1.38,1.46,1.38,1.40,8600,1.40
2013-05-09,1.35,1.35,1.35,1.35,1100,1.35
2013-05-08,1.37,1.37,1.32,1.32,1400,1.32
2013-05-07,1.30,1.30,1.30,1.30,000,1.30
2013-05-06,1.30,1.30,1.30,1.30,000,1.30
2013-05-03,1.30,1.30,1.30,1.30,000,1.30
2013-05-02,1.30,1.30,1.30,1.30,000,1.30
2013-05-01,1.30,1.30,1.30,1.30,000,1.30
2013-04-30,1.30,1.30,1.30,1.30,1000,1.30
2013-04-29,1.30,1.30,1.26,1.29,2600,1.29
2013-04-26,1.25,1.25,1.25,1.25,000,1.25
2013-04-25,1.25,1.25,1.25,1.25,000,1.25
2013-04-24,1.25,1.25,1.25,1.25,1000,1.25
2013-04-23,1.31,1.31,1.30,1.30,1000,1.30
2013-04-22,1.20,1.30,1.20,1.30,3800,1.30
2013-04-19,1.25,1.28,1.25,1.28,2100,1.28
2013-04-18,1.11,1.34,1.11,1.27,10900,1.27
2013-04-17,1.23,1.23,1.23,1.23,000,1.23
2013-04-16,1.22,1.23,1.22,1.23,000,1.23
2013-04-15,1.27,1.27,1.27,1.27,000,1.27
2013-04-12,1.27,1.27,1.27,1.27,000,1.27
2013-04-11,1.20,1.27,1.16,1.20,600,1.20
2013-04-10,1.10,1.15,1.10,1.15,1300,1.15
2013-04-09,1.06,1.06,1.06,1.06,000,1.06
2013-04-08,1.05,1.06,1.05,1.06,1200,1.06
2013-04-05,1.20,1.29,1.11,1.11,300,1.11
2013-04-04,1.14,1.14,1.14,1.14,300,1.14
2013-04-03,1.01,1.10,1.01,1.09,1300,1.09
2013-04-02,1.20,1.20,1.20,1.20,000,1.20
2013-04-01,1.20,1.20,1.20,1.20,000,1.20
2013-03-29,1.20,1.20,1.20,1.20,000,1.20
2013-03-28,1.10,1.20,1.10,1.20,1200,1.20
2013-03-27,1.10,1.10,1.04,1.04,3200,1.04
2013-03-26,1.10,1.10,1.07,1.07,1400,1.07
2013-03-25,1.10,1.10,1.10,1.10,000,1.10
2013-03-22,1.11,1.11,1.10,1.10,200,1.10
2013-03-21,1.15,1.15,1.15,1.15,900,1.15
2013-03-20,1.15,1.15,1.15,1.15,000,1.15
2013-03-19,1.20,1.20,1.15,1.15,300,1.15
2013-03-18,1.20,1.20,1.20,1.20,000,1.20
2013-03-15,1.20,1.21,1.20,1.20,300,1.20
2013-03-14,1.21,1.21,1.21,1.21,000,1.21
2013-03-13,1.21,1.21,1.21,1.21,400,1.21
2013-03-12,1.24,1.24,1.21,1.21,2100,1.21
2013-03-11,1.29,1.29,1.24,1.24,2600,1.24
2013-03-08,1.27,1.30,1.27,1.30,1000,1.30
2013-03-07,1.28,1.28,1.28,1.28,700,1.28
2013-03-06,1.29,1.30,1.29,1.30,3000,1.30
2013-03-05,1.34,1.35,1.25,1.25,1300,1.25
2013-03-04,1.27,1.30,1.27,1.30,1000,1.30
2013-03-01,1.30,1.30,1.26,1.26,1800,1.26
2013-02-28,1.34,1.34,1.34,1.34,200,1.34
2013-02-27,1.29,1.29,1.27,1.27,1400,1.27
2013-02-26,1.37,1.37,1.30,1.31,3100,1.31
