Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.11,0.11,0.11,0.11,700,0.11
2013-05-22,0.12,0.12,0.12,0.12,200,0.12
2013-05-21,0.12,0.13,0.12,0.12,10600,0.12
2013-05-20,0.12,0.12,0.12,0.12,10000,0.12
2013-05-17,0.13,0.13,0.12,0.13,6700,0.13
2013-05-16,0.13,0.13,0.12,0.13,33800,0.13
2013-05-15,0.12,0.13,0.12,0.13,40300,0.13
2013-05-14,0.12,0.12,0.12,0.12,5400,0.12
2013-05-13,0.12,0.12,0.12,0.12,11200,0.12
2013-05-10,0.13,0.13,0.12,0.12,900,0.12
2013-05-09,0.11,0.13,0.11,0.12,5200,0.12
2013-05-08,0.14,0.14,0.13,0.13,3800,0.13
2013-05-07,0.13,0.13,0.13,0.13,000,0.13
2013-05-06,0.13,0.13,0.13,0.13,000,0.13
2013-05-03,0.13,0.13,0.13,0.13,000,0.13
2013-05-02,0.13,0.13,0.13,0.13,1600,0.13
2013-05-01,0.12,0.12,0.12,0.12,000,0.12
2013-04-30,0.12,0.12,0.12,0.12,000,0.12
2013-04-29,0.12,0.12,0.12,0.12,7900,0.12
2013-04-26,0.13,0.13,0.12,0.12,2600,0.12
2013-04-25,0.11,0.12,0.11,0.12,6000,0.12
2013-04-24,0.13,0.13,0.13,0.13,1000,0.13
2013-04-23,0.14,0.14,0.12,0.13,4000,0.13
2013-04-22,0.14,0.15,0.14,0.14,2100,0.14
2013-04-19,0.13,0.13,0.13,0.13,500,0.13
2013-04-18,0.13,0.13,0.13,0.13,5600,0.13
2013-04-17,0.14,0.14,0.12,0.13,700,0.13
2013-04-16,0.13,0.13,0.13,0.13,400,0.13
2013-04-15,0.14,0.14,0.13,0.13,1500,0.13
2013-04-12,0.12,0.12,0.12,0.12,700,0.12
2013-04-11,0.09,0.10,0.09,0.10,1000,0.10
2013-04-10,0.11,0.12,0.11,0.12,7100,0.12
2013-04-09,0.10,0.10,0.10,0.10,1600,0.10
2013-04-08,0.08,0.10,0.08,0.09,6100,0.09
2013-04-05,0.09,0.09,0.09,0.09,4000,0.09
2013-04-04,0.10,0.10,0.10,0.10,4000,0.10
2013-04-03,0.10,0.10,0.10,0.10,4300,0.10
2013-04-02,0.10,0.12,0.10,0.11,100,0.11
2013-04-01,0.11,0.11,0.11,0.11,000,0.11
2013-03-29,0.11,0.11,0.11,0.11,000,0.11
2013-03-28,0.11,0.11,0.11,0.11,9700,0.11
2013-03-27,0.14,0.14,0.11,0.13,4100,0.13
2013-03-26,0.11,0.14,0.11,0.14,500,0.14
2013-03-25,0.12,0.12,0.12,0.12,000,0.12
2013-03-22,0.12,0.12,0.12,0.12,2000,0.12
2013-03-21,0.12,0.12,0.12,0.12,1000,0.12
2013-03-20,0.12,0.12,0.12,0.12,000,0.12
2013-03-19,0.12,0.14,0.12,0.13,1200,0.13
2013-03-18,0.14,0.14,0.14,0.14,000,0.14
2013-03-15,0.14,0.14,0.14,0.14,1000,0.14
2013-03-14,0.13,0.15,0.13,0.14,4500,0.14
2013-03-13,0.12,0.16,0.12,0.15,1100,0.15
2013-03-12,0.12,0.14,0.12,0.14,1100,0.14
2013-03-11,0.12,0.12,0.12,0.12,9800,0.12
2013-03-08,0.14,0.14,0.13,0.13,5500,0.13
2013-03-07,0.13,0.14,0.13,0.13,1600,0.13
2013-03-06,0.13,0.13,0.13,0.13,4400,0.13
2013-03-05,0.12,0.14,0.12,0.13,3100,0.13
2013-03-04,0.14,0.14,0.14,0.14,1000,0.14
2013-03-01,0.14,0.14,0.14,0.14,2300,0.14
2013-02-28,0.14,0.14,0.13,0.14,11000,0.14
2013-02-27,0.15,0.15,0.15,0.15,12900,0.15
2013-02-26,0.16,0.16,0.15,0.16,5900,0.16
2013-02-25,0.17,0.17,0.14,0.15,6600,0.15
2013-02-22,0.17,0.17,0.17,0.17,4500,0.17
2013-02-21,0.17,0.17,0.14,0.16,6000,0.16
2013-02-20,0.18,0.18,0.17,0.17,1500,0.17
2013-02-19,0.17,0.17,0.17,0.17,5000,0.17
2013-02-18,0.17,0.17,0.15,0.16,4200,0.16
2013-02-15,0.15,0.15,0.15,0.15,5100,0.15
2013-02-14,0.14,0.16,0.14,0.15,7700,0.15
2013-02-13,0.17,0.17,0.17,0.17,2000,0.17
