Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.41,0.41,0.39,0.39,2883000,0.39
2013-05-22,0.41,0.43,0.39,0.41,2811200,0.41
2013-05-21,0.42,0.43,0.39,0.41,3544800,0.41
2013-05-20,0.46,0.49,0.42,0.43,7172200,0.43
2013-05-17,0.41,0.46,0.40,0.45,9902200,0.45
2013-05-16,0.40,0.41,0.39,0.40,6106000,0.40
2013-05-15,0.41,0.42,0.40,0.40,11887900,0.40
2013-05-14,0.34,0.38,0.33,0.38,8971200,0.38
2013-05-13,0.32,0.35,0.32,0.33,6000800,0.33
2013-05-10,0.34,0.35,0.32,0.32,3928100,0.32
2013-05-09,0.36,0.37,0.34,0.34,4231700,0.34
2013-05-08,0.35,0.37,0.35,0.36,5328200,0.36
2013-05-07,0.34,0.34,0.34,0.34,000,0.34
2013-05-06,0.34,0.34,0.34,0.34,000,0.34
2013-05-03,0.34,0.34,0.34,0.34,000,0.34
2013-05-02,0.34,0.35,0.33,0.34,757000,0.34
2013-05-01,0.34,0.34,0.34,0.34,000,0.34
2013-04-30,0.33,0.34,0.31,0.34,889900,0.34
2013-04-29,0.35,0.36,0.32,0.33,1011600,0.33
2013-04-26,0.36,0.37,0.33,0.34,2045000,0.34
2013-04-25,0.34,0.36,0.34,0.35,1935100,0.35
2013-04-24,0.32,0.34,0.32,0.33,682000,0.33
2013-04-23,0.32,0.33,0.31,0.32,1545700,0.32
2013-04-22,0.32,0.34,0.32,0.32,1431600,0.32
2013-04-19,0.34,0.34,0.31,0.32,2647100,0.32
2013-04-18,0.31,0.35,0.30,0.34,4436300,0.34
2013-04-17,0.28,0.31,0.28,0.30,2040300,0.30
2013-04-16,0.25,0.28,0.25,0.27,1632200,0.27
2013-04-15,0.27,0.28,0.25,0.25,1497300,0.25
2013-04-12,0.29,0.29,0.26,0.27,1305400,0.27
2013-04-11,0.28,0.29,0.26,0.28,2128700,0.28
2013-04-10,0.25,0.28,0.25,0.27,3125400,0.27
2013-04-09,0.22,0.25,0.22,0.25,2832200,0.25
2013-04-08,0.18,0.21,0.17,0.21,2388000,0.21
2013-04-05,0.21,0.22,0.20,0.20,1946300,0.20
2013-04-04,0.23,0.24,0.21,0.21,1496100,0.21
2013-04-03,0.25,0.25,0.23,0.23,904200,0.23
2013-04-02,0.27,0.27,0.24,0.24,1432100,0.24
2013-04-01,0.27,0.27,0.27,0.27,000,0.27
2013-03-29,0.27,0.27,0.27,0.27,000,0.27
2013-03-28,0.26,0.27,0.26,0.27,1498300,0.27
2013-03-27,0.25,0.26,0.23,0.25,2104900,0.25
2013-03-26,0.27,0.27,0.21,0.25,5467500,0.25
2013-03-25,0.28,0.28,0.28,0.28,000,0.28
2013-03-22,0.27,0.29,0.26,0.28,3729000,0.28
2013-03-21,0.30,0.31,0.26,0.27,4096400,0.27
2013-03-20,0.29,0.33,0.29,0.31,3117400,0.31
2013-03-19,0.35,0.36,0.29,0.29,4507900,0.29
2013-03-18,0.38,0.38,0.38,0.38,000,0.38
2013-03-15,0.38,0.39,0.37,0.38,1030600,0.38
2013-03-14,0.38,0.39,0.37,0.38,1146400,0.38
2013-03-13,0.36,0.38,0.36,0.38,1503700,0.38
2013-03-12,0.36,0.37,0.36,0.36,936900,0.36
2013-03-11,0.39,0.39,0.36,0.36,1591800,0.36
2013-03-08,0.38,0.39,0.38,0.39,1774300,0.39
2013-03-07,0.38,0.39,0.38,0.38,1805600,0.38
2013-03-06,0.38,0.40,0.38,0.38,951900,0.38
2013-03-05,0.40,0.41,0.38,0.38,1549500,0.38
2013-03-04,0.41,0.42,0.40,0.40,1888800,0.40
2013-03-01,0.44,0.44,0.42,0.42,782700,0.42
2013-02-28,0.44,0.45,0.43,0.43,1427300,0.43
2013-02-27,0.44,0.45,0.42,0.43,1261600,0.43
2013-02-26,0.42,0.44,0.42,0.44,1756400,0.44
2013-02-25,0.47,0.47,0.43,0.43,1804100,0.43
2013-02-22,0.46,0.47,0.45,0.47,1216300,0.47
2013-02-21,0.50,0.50,0.46,0.46,3023200,0.46
2013-02-20,0.51,0.52,0.50,0.51,1923100,0.51
2013-02-19,0.50,0.51,0.49,0.51,1211100,0.51
2013-02-18,0.50,0.51,0.49,0.50,1005000,0.50
2013-02-15,0.47,0.51,0.47,0.50,3005600,0.50
2013-02-14,0.48,0.49,0.47,0.48,1068500,0.48
2013-02-13,0.48,0.49,0.47,0.48,1034800,0.48
2013-02-12,0.47,0.49,0.46,0.48,1485100,0.48
2013-02-11,0.48,0.49,0.47,0.47,1313900,0.47
2013-02-08,0.48,0.50,0.48,0.48,1394800,0.48
2013-02-07,0.50,0.50,0.48,0.49,1628600,0.49
2013-02-06,0.49,0.51,0.49,0.50,2820200,0.50
2013-02-05,0.48,0.50,0.48,0.49,2360000,0.49
2013-02-04,0.46,0.48,0.45,0.48,1657400,0.48
2013-02-01,0.49,0.49,0.46,0.46,1636500,0.46
2013-01-31,0.49,0.49,0.47,0.48,2366300,0.48
2013-01-30,0.51,0.52,0.49,0.50,1703200,0.50
2013-01-29,0.53,0.54,0.50,0.51,2467200,0.51
2013-01-28,0.53,0.54,0.52,0.53,3018500,0.53
2013-01-25,0.50,0.52,0.49,0.52,2703700,0.52
2013-01-24,0.54,0.55,0.49,0.50,3835400,0.50
2013-01-23,0.50,0.55,0.50,0.54,4961700,0.54
2013-01-22,0.47,0.51,0.47,0.50,2655600,0.50
2013-01-21,0.47,0.48,0.45,0.47,2797600,0.47
2013-01-18,0.46,0.47,0.46,0.46,1919300,0.46
2013-01-17,0.47,0.47,0.46,0.46,1183200,0.46
2013-01-16,0.48,0.49,0.47,0.47,1839000,0.47
2013-01-15,0.45,0.48,0.44,0.47,3349300,0.47
2013-01-14,0.49,0.53,0.46,0.46,5844400,0.46
2013-01-11,0.52,0.52,0.49,0.50,3694600,0.50
2013-01-10,0.54,0.54,0.51,0.52,3529300,0.52
2013-01-09,0.53,0.54,0.50,0.54,4793400,0.54
2013-01-08,0.54,0.56,0.52,0.53,4438500,0.53
2013-01-07,0.56,0.56,0.52,0.54,4594600,0.54
2013-01-04,0.49,0.56,0.49,0.54,7089200,0.54
2013-01-03,0.46,0.49,0.45,0.49,3768500,0.49
2013-01-02,0.44,0.46,0.44,0.46,2475000,0.46
2013-01-01,0.42,0.42,0.42,0.42,000,0.42
2012-12-31,0.42,0.42,0.42,0.42,000,0.42
2012-12-28,0.45,0.45,0.42,0.42,1841800,0.42
2012-12-27,0.44,0.47,0.43,0.44,3705100,0.44
2012-12-26,0.44,0.44,0.44,0.44,000,0.44
2012-12-25,0.44,0.44,0.44,0.44,000,0.44
2012-12-24,0.44,0.44,0.44,0.44,000,0.44
2012-12-21,0.42,0.44,0.41,0.44,3557100,0.44
2012-12-20,0.42,0.43,0.41,0.42,2677500,0.42
2012-12-19,0.40,0.43,0.40,0.43,3421600,0.43
2012-12-18,0.40,0.40,0.38,0.39,1682500,0.39
2012-12-17,0.42,0.42,0.38,0.40,3082600,0.40
2012-12-14,0.42,0.43,0.41,0.42,2280600,0.42
2012-12-13,0.39,0.43,0.38,0.41,6069800,0.41
2012-12-12,0.40,0.40,0.38,0.39,1885500,0.39
2012-12-11,0.38,0.40,0.37,0.39,5452000,0.39
2012-12-10,0.33,0.38,0.33,0.38,2785800,0.38
2012-12-07,0.33,0.34,0.32,0.33,647800,0.33
2012-12-06,0.32,0.33,0.32,0.33,919600,0.33
2012-12-05,0.32,0.32,0.31,0.31,552600,0.31
2012-12-04,0.33,0.33,0.31,0.32,699300,0.32
2012-12-03,0.31,0.33,0.31,0.32,1002800,0.32
2012-11-30,0.33,0.33,0.30,0.32,1401500,0.32
2012-11-29,0.34,0.35,0.33,0.33,901800,0.33
2012-11-28,0.36,0.36,0.33,0.34,1002800,0.34
2012-11-27,0.37,0.37,0.34,0.36,1674700,0.36
2012-11-26,0.36,0.37,0.35,0.36,786500,0.36
2012-11-23,0.36,0.37,0.35,0.36,1710500,0.36
2012-11-22,0.34,0.36,0.34,0.35,1386100,0.35
2012-11-21,0.31,0.34,0.31,0.34,1295800,0.34
2012-11-20,0.34,0.34,0.33,0.34,1254000,0.34
2012-11-19,0.31,0.34,0.30,0.34,2056600,0.34
2012-11-16,0.32,0.34,0.30,0.31,1426200,0.31
2012-11-15,0.31,0.35,0.31,0.32,1782900,0.32
2012-11-14,0.31,0.32,0.30,0.32,1367100,0.32
2012-11-13,0.29,0.30,0.28,0.29,1861800,0.29
2012-11-12,0.32,0.33,0.28,0.29,1676400,0.29
2012-11-09,0.29,0.32,0.29,0.31,1784000,0.31
2012-11-08,0.33,0.34,0.30,0.30,1547800,0.30
2012-11-07,0.35,0.35,0.33,0.34,1049500,0.34
2012-11-06,0.34,0.36,0.33,0.34,2086800,0.34
2012-11-05,0.34,0.36,0.32,0.34,3175200,0.34
2012-11-02,0.31,0.34,0.29,0.34,3576700,0.34
2012-11-01,0.34,0.35,0.29,0.30,4105700,0.30
