Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.86,0.86,0.86,0.86,000,0.86
2013-05-22,0.86,0.86,0.86,0.86,000,0.86
2013-05-21,0.86,0.86,0.86,0.86,000,0.86
2013-05-20,0.86,0.86,0.86,0.86,000,0.86
2013-05-17,0.86,0.86,0.86,0.86,000,0.86
2013-05-16,0.86,0.86,0.86,0.86,000,0.86
2013-05-15,0.86,0.86,0.86,0.86,000,0.86
2013-05-14,0.86,0.86,0.86,0.86,000,0.86
2013-05-13,0.86,0.86,0.86,0.86,000,0.86
2013-05-10,0.86,0.86,0.86,0.86,000,0.86
2013-05-09,0.86,0.86,0.86,0.86,000,0.86
2013-05-08,0.86,0.86,0.86,0.86,000,0.86
2013-05-07,0.86,0.86,0.86,0.86,000,0.86
2013-05-06,0.86,0.86,0.86,0.86,000,0.86
2013-05-03,0.86,0.86,0.86,0.86,000,0.86
2013-05-02,0.86,0.86,0.86,0.86,000,0.86
2013-05-01,0.86,0.86,0.86,0.86,000,0.86
2013-04-30,0.86,0.86,0.86,0.86,000,0.86
2013-04-29,0.86,0.86,0.86,0.86,000,0.86
2013-04-26,0.86,0.86,0.86,0.86,000,0.86
2013-04-25,0.86,0.86,0.86,0.86,000,0.86
2013-04-24,0.86,0.86,0.86,0.86,000,0.86
2013-04-23,0.86,0.86,0.86,0.86,000,0.86
2013-04-22,0.86,0.86,0.86,0.86,000,0.86
2013-04-19,0.86,0.86,0.86,0.86,000,0.86
2013-04-18,0.79,0.79,0.79,0.79,000,0.79
2013-04-17,0.79,0.79,0.79,0.79,000,0.79
2013-04-16,0.79,0.79,0.79,0.79,000,0.79
2013-04-15,0.71,0.71,0.71,0.71,000,0.71
2013-04-12,0.71,0.71,0.71,0.71,000,0.71
2013-04-11,0.71,0.71,0.71,0.71,000,0.71
2013-04-10,0.58,0.65,0.58,0.65,100,0.65
2013-04-09,0.65,0.65,0.65,0.65,000,0.65
2013-04-08,0.65,0.65,0.65,0.65,2700,0.65
2013-04-05,0.65,0.65,0.65,0.65,000,0.65
2013-04-04,0.65,0.65,0.65,0.65,000,0.65
2013-04-03,0.65,0.65,0.65,0.65,000,0.65
2013-04-02,0.65,0.65,0.65,0.65,000,0.65
2013-04-01,0.62,0.62,0.62,0.62,000,0.62
2013-03-29,0.62,0.62,0.62,0.62,000,0.62
2013-03-28,0.62,0.62,0.62,0.62,000,0.62
2013-03-27,0.62,0.62,0.62,0.62,000,0.62
2013-03-26,0.62,0.62,0.62,0.62,000,0.62
2013-03-25,0.62,0.62,0.62,0.62,000,0.62
2013-03-22,0.62,0.62,0.62,0.62,000,0.62
2013-03-21,0.62,0.62,0.62,0.62,000,0.62
2013-03-20,0.61,0.61,0.61,0.61,000,0.61
2013-03-19,0.61,0.61,0.61,0.61,000,0.61
2013-03-18,0.61,0.61,0.61,0.61,000,0.61
2013-03-15,0.61,0.61,0.61,0.61,000,0.61
2013-03-14,0.61,0.61,0.61,0.61,000,0.61
2013-03-13,0.61,0.61,0.61,0.61,000,0.61
2013-03-12,0.61,0.61,0.61,0.61,000,0.61
2013-03-11,0.54,0.61,0.53,0.61,500,0.61
2013-03-08,0.62,0.62,0.62,0.62,000,0.62
2013-03-07,0.62,0.62,0.62,0.62,000,0.62
2013-03-06,0.53,0.62,0.53,0.62,6800,0.62
2013-03-05,0.63,0.63,0.63,0.63,000,0.63
2013-03-04,0.63,0.63,0.63,0.63,000,0.63
2013-03-01,0.63,0.63,0.63,0.63,000,0.63
2013-02-28,0.64,0.64,0.57,0.57,1400,0.57
2013-02-27,0.61,0.64,0.61,0.63,1300,0.63
2013-02-26,0.65,0.65,0.54,0.60,100,0.60
2013-02-25,0.66,0.66,0.59,0.60,2000,0.60
2013-02-22,0.66,0.66,0.66,0.66,000,0.66
2013-02-21,0.63,0.63,0.63,0.63,000,0.63
2013-02-20,0.56,0.61,0.56,0.61,1000,0.61
2013-02-19,0.58,0.62,0.55,0.62,2900,0.62
2013-02-18,0.56,0.58,0.56,0.58,600,0.58
2013-02-15,0.55,0.55,0.55,0.55,000,0.55
2013-02-14,0.59,0.59,0.59,0.59,1300,0.59
2013-02-13,0.54,0.54,0.54,0.54,800,0.54
2013-02-12,0.59,0.60,0.59,0.60,700,0.60
2013-02-11,0.66,0.66,0.61,0.65,1400,0.65
2013-02-08,0.63,0.63,0.57,0.60,600,0.60
2013-02-07,0.66,0.66,0.63,0.63,800,0.63
2013-02-06,0.70,0.70,0.70,0.70,000,0.70
2013-02-05,0.70,0.70,0.69,0.70,1200,0.70
2013-02-04,0.76,0.77,0.76,0.77,2000,0.77
2013-02-01,0.79,0.79,0.72,0.76,2500,0.76
2013-01-31,0.72,0.72,0.72,0.72,000,0.72
2013-01-30,0.72,0.72,0.72,0.72,000,0.72
2013-01-29,0.72,0.72,0.72,0.72,300,0.72
2013-01-28,0.80,0.80,0.80,0.80,000,0.80
2013-01-25,0.80,0.80,0.80,0.80,000,0.80
2013-01-24,0.80,0.80,0.80,0.80,700,0.80
2013-01-23,0.79,0.86,0.79,0.80,3700,0.80
2013-01-22,0.88,0.88,0.88,0.88,000,0.88
2013-01-21,0.88,0.89,0.85,0.85,1100,0.85
2013-01-18,0.90,0.90,0.86,0.90,600,0.90
2013-01-17,0.95,0.95,0.95,0.95,000,0.95
2013-01-16,0.95,0.95,0.95,0.95,000,0.95
2013-01-15,0.95,0.95,0.95,0.95,000,0.95
2013-01-14,0.95,0.95,0.95,0.95,000,0.95
2013-01-11,0.95,0.95,0.95,0.95,000,0.95
2013-01-10,0.95,0.95,0.95,0.95,000,0.95
2013-01-09,0.95,0.95,0.95,0.95,200,0.95
2013-01-08,0.95,0.95,0.95,0.95,000,0.95
2013-01-07,0.95,0.95,0.95,0.95,000,0.95
2013-01-04,0.95,0.95,0.95,0.95,000,0.95
2013-01-03,0.88,0.88,0.88,0.88,000,0.88
2013-01-02,0.82,0.82,0.80,0.80,1000,0.80
2013-01-01,0.75,0.75,0.75,0.75,000,0.75
2012-12-31,0.75,0.75,0.75,0.75,000,0.75
2012-12-28,0.75,0.75,0.75,0.75,000,0.75
2012-12-27,0.75,0.75,0.75,0.75,100,0.75
2012-12-26,0.68,0.68,0.68,0.68,000,0.68
2012-12-25,0.68,0.68,0.68,0.68,000,0.68
2012-12-24,0.68,0.68,0.68,0.68,000,0.68
2012-12-21,0.68,0.68,0.68,0.68,000,0.68
2012-12-20,0.68,0.68,0.68,0.68,100,0.68
2012-12-19,0.63,0.63,0.63,0.63,200,0.63
2012-12-18,0.63,0.63,0.63,0.63,000,0.63
2012-12-17,0.63,0.63,0.63,0.63,000,0.63
2012-12-14,0.58,0.64,0.58,0.63,500,0.63
2012-12-13,0.58,0.58,0.58,0.58,000,0.58
2012-12-12,0.58,0.58,0.58,0.58,000,0.58
2012-12-11,0.58,0.58,0.58,0.58,000,0.58
2012-12-10,0.58,0.58,0.58,0.58,000,0.58
2012-12-07,0.58,0.58,0.58,0.58,10200,0.58
2012-12-06,0.59,0.59,0.59,0.59,000,0.59
2012-12-05,0.59,0.59,0.59,0.59,000,0.59
2012-12-04,0.59,0.59,0.59,0.59,000,0.59
2012-12-03,0.59,0.59,0.59,0.59,000,0.59
2012-11-30,0.59,0.59,0.59,0.59,000,0.59
2012-11-29,0.59,0.59,0.59,0.59,000,0.59
2012-11-28,0.59,0.59,0.59,0.59,000,0.59
2012-11-27,0.59,0.59,0.59,0.59,000,0.59
2012-11-26,0.59,0.59,0.59,0.59,000,0.59
2012-11-23,0.59,0.59,0.59,0.59,000,0.59
2012-11-22,0.59,0.59,0.59,0.59,000,0.59
2012-11-21,0.59,0.59,0.59,0.59,300,0.59
2012-11-20,0.60,0.60,0.60,0.60,000,0.60
2012-11-19,0.60,0.60,0.60,0.60,000,0.60
2012-11-16,0.60,0.60,0.60,0.60,000,0.60
2012-11-15,0.60,0.60,0.60,0.60,000,0.60
2012-11-14,0.46,0.60,0.46,0.60,600,0.60
2012-11-13,0.65,0.65,0.65,0.65,000,0.65
2012-11-12,0.54,0.54,0.54,0.54,000,0.54
2012-11-09,0.54,0.54,0.54,0.54,000,0.54
2012-11-08,0.35,0.55,0.35,0.54,2000,0.54
2012-11-07,0.50,0.50,0.50,0.50,000,0.50
2012-11-06,0.50,0.50,0.50,0.50,000,0.50
2012-11-05,0.50,0.50,0.50,0.50,000,0.50
2012-11-02,0.50,0.50,0.50,0.50,000,0.50
2012-11-01,0.50,0.50,0.50,0.50,000,0.50
2012-10-31,0.50,0.50,0.50,0.50,500,0.50
2012-10-30,0.49,0.49,0.49,0.49,000,0.49
2012-10-29,0.45,0.55,0.45,0.49,500,0.49
2012-10-26,0.56,0.56,0.56,0.56,000,0.56
2012-10-25,0.56,0.56,0.56,0.56,000,0.56
2012-10-24,0.40,0.56,0.40,0.56,100,0.56
2012-10-23,0.57,0.57,0.57,0.57,000,0.57
2012-10-22,0.52,0.57,0.52,0.57,800,0.57
2012-10-19,0.52,0.52,0.52,0.52,100,0.52
2012-10-18,0.49,0.49,0.49,0.49,000,0.49
2012-10-17,0.42,0.49,0.42,0.49,7300,0.49
2012-10-16,0.47,0.49,0.38,0.46,900,0.46
2012-10-15,0.47,0.47,0.47,0.47,000,0.47
2012-10-12,0.47,0.47,0.47,0.47,000,0.47
2012-10-11,0.45,0.48,0.45,0.47,1100,0.47
2012-10-10,0.39,0.45,0.39,0.45,2100,0.45
2012-10-09,0.39,0.39,0.39,0.39,600,0.39
2012-10-08,0.35,0.36,0.35,0.36,1700,0.36
2012-10-05,0.36,0.37,0.36,0.37,6700,0.37
2012-10-04,0.31,0.37,0.31,0.36,24900,0.36
2012-10-03,0.23,0.31,0.23,0.31,36500,0.31
2012-10-02,0.25,0.25,0.24,0.24,20400,0.24
2012-10-01,0.34,0.34,0.34,0.34,000,0.34
2012-09-28,0.34,0.34,0.34,0.34,000,0.34
2012-09-27,0.32,0.34,0.31,0.34,3100,0.34
2012-09-26,0.35,0.35,0.35,0.35,000,0.35
2012-09-25,0.42,0.42,0.35,0.35,000,0.35
2012-09-24,0.38,0.38,0.38,0.38,000,0.38
2012-09-21,0.38,0.38,0.38,0.38,5200,0.38
2012-09-20,0.42,0.42,0.42,0.42,000,0.42
2012-09-19,0.42,0.42,0.42,0.42,000,0.42
2012-09-18,0.42,0.42,0.41,0.42,45000,0.42
2012-09-17,0.35,0.38,0.35,0.38,300,0.38
2012-09-14,0.39,0.39,0.39,0.39,000,0.39
2012-09-13,0.42,0.42,0.35,0.39,3600,0.39
2012-09-12,0.36,0.38,0.36,0.38,2700,0.38
2012-09-11,0.40,0.40,0.40,0.40,000,0.40
