Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.91,1.96,1.90,1.92,11600,1.92
2013-05-22,2.00,2.00,1.91,1.96,4600,1.96
2013-05-21,2.00,2.00,2.00,2.00,1500,2.00
2013-05-20,1.93,2.00,1.93,1.96,4800,1.96
2013-05-17,2.00,2.00,1.90,2.00,1200,2.00
2013-05-16,2.00,2.00,2.00,2.00,1200,2.00
2013-05-15,2.00,2.10,2.00,2.07,2500,2.07
2013-05-14,1.70,2.00,1.70,2.00,1900,2.00
2013-05-13,2.00,2.00,2.00,2.00,2000,2.00
2013-05-10,2.00,2.00,2.00,2.00,1200,2.00
2013-05-09,2.00,2.00,1.96,1.98,1600,1.98
2013-05-08,2.00,2.00,2.00,2.00,1200,2.00
2013-05-07,2.00,2.00,2.00,2.00,000,2.00
2013-05-06,2.00,2.00,2.00,2.00,000,2.00
2013-05-03,2.00,2.00,2.00,2.00,000,2.00
2013-05-02,2.00,2.00,2.00,2.00,600,2.00
2013-05-01,2.00,2.00,2.00,2.00,000,2.00
2013-04-30,2.00,2.00,2.00,2.00,1500,2.00
2013-04-29,2.00,2.00,2.00,2.00,2400,2.00
2013-04-26,1.94,2.00,1.94,1.97,6700,1.97
2013-04-25,1.96,2.00,1.96,1.99,2100,1.99
2013-04-24,2.00,2.00,2.00,2.00,2000,2.00
2013-04-23,2.00,2.00,1.95,1.99,3000,1.99
2013-04-22,2.00,2.00,2.00,2.00,1400,2.00
2013-04-19,2.00,2.00,2.00,2.00,2000,2.00
2013-04-18,2.00,2.00,2.00,2.00,2000,2.00
2013-04-17,2.00,2.00,2.00,2.00,2400,2.00
2013-04-16,1.91,1.99,1.91,1.96,5200,1.96
2013-04-15,2.00,2.00,1.90,1.96,10200,1.96
2013-04-12,2.00,2.00,1.94,1.97,6000,1.97
2013-04-11,2.00,2.00,2.00,2.00,4000,2.00
2013-04-10,2.00,2.00,2.00,2.00,2400,2.00
2013-04-09,2.00,2.00,2.00,2.00,2000,2.00
2013-04-08,2.04,2.04,2.00,2.04,7500,2.04
2013-04-05,2.00,2.00,1.90,1.97,2700,1.97
2013-04-04,1.98,1.98,1.92,1.97,1700,1.97
2013-04-03,1.99,1.99,1.93,1.98,3000,1.98
2013-04-02,1.93,1.93,1.93,1.93,3800,1.93
2013-04-01,2.00,2.00,2.00,2.00,000,2.00
2013-03-29,2.00,2.00,2.00,2.00,000,2.00
2013-03-28,2.00,2.00,2.00,2.00,1200,2.00
2013-03-27,2.00,2.00,2.00,2.00,800,2.00
2013-03-26,2.00,2.00,2.00,2.00,1400,2.00
2013-03-25,2.00,2.00,2.00,2.00,000,2.00
2013-03-22,2.00,2.00,2.00,2.00,1600,2.00
2013-03-21,2.00,2.00,2.00,2.00,2000,2.00
2013-03-20,2.00,2.00,2.00,2.00,600,2.00
2013-03-19,2.00,2.00,2.00,2.00,1100,2.00
2013-03-18,2.00,2.00,2.00,2.00,000,2.00
2013-03-15,2.00,2.00,2.00,2.00,2000,2.00
2013-03-14,2.00,2.00,2.00,2.00,1500,2.00
2013-03-13,2.00,2.00,2.00,2.00,3000,2.00
2013-03-12,1.99,1.99,1.99,1.99,1000,1.99
2013-03-11,2.00,2.00,1.96,1.99,4000,1.99
2013-03-08,1.99,1.99,1.99,1.99,3300,1.99
2013-03-07,1.99,1.99,1.99,1.99,2000,1.99
2013-03-06,1.99,1.99,1.91,1.96,2600,1.96
2013-03-05,1.99,1.99,1.99,1.99,2400,1.99
2013-03-04,1.99,1.99,1.99,1.99,2500,1.99
2013-03-01,1.97,1.99,1.97,1.98,2500,1.98
2013-02-28,1.94,1.99,1.94,1.97,2800,1.97
2013-02-27,2.00,2.00,2.00,2.00,800,2.00
2013-02-26,2.00,2.00,2.00,2.00,2500,2.00
2013-02-25,2.00,2.00,2.00,2.00,3000,2.00
2013-02-22,2.00,2.00,2.00,2.00,1000,2.00
2013-02-21,2.00,2.00,2.00,2.00,1200,2.00
2013-02-20,2.00,2.00,2.00,2.00,2000,2.00
2013-02-19,2.00,2.00,1.96,1.99,2600,1.99
2013-02-18,2.00,2.00,2.00,2.00,900,2.00
2013-02-15,2.00,2.00,2.00,2.00,1900,2.00
2013-02-14,1.99,1.99,1.99,1.99,1500,1.99
2013-02-13,1.81,2.00,1.81,1.97,1800,1.97
2013-02-12,2.00,2.00,2.00,2.00,600,2.00
2013-02-11,1.96,2.00,1.96,1.99,2700,1.99
2013-02-08,2.00,2.00,1.94,1.99,1600,1.99
2013-02-07,1.98,1.98,1.98,1.98,3700,1.98
2013-02-06,2.00,2.00,1.94,1.98,3900,1.98
2013-02-05,2.00,2.00,1.90,1.96,3000,1.96
2013-02-04,2.00,2.00,2.00,2.00,2500,2.00
2013-02-01,1.91,1.99,1.91,1.92,3700,1.92
2013-01-31,2.00,2.00,1.99,2.00,500,2.00
2013-01-30,1.92,2.00,1.92,1.96,4300,1.96
2013-01-29,2.00,2.00,2.00,2.00,400,2.00
2013-01-28,2.00,2.00,2.00,2.00,500,2.00
2013-01-25,2.00,2.00,2.00,2.00,800,2.00
2013-01-24,2.00,2.00,2.00,2.00,500,2.00
2013-01-23,2.00,2.00,2.00,2.00,800,2.00
2013-01-22,1.90,2.00,1.90,2.00,2600,2.00
2013-01-21,2.00,2.00,2.00,2.00,1000,2.00
2013-01-18,1.86,2.00,1.86,2.00,1900,2.00
2013-01-17,2.00,2.00,1.88,2.00,1300,2.00
2013-01-16,2.00,2.00,2.00,2.00,400,2.00
2013-01-15,2.00,2.00,2.00,2.00,1500,2.00
2013-01-14,2.00,2.00,1.90,1.95,1400,1.95
2013-01-11,2.00,2.03,1.90,1.96,6000,1.96
2013-01-10,2.00,2.00,1.92,1.99,2400,1.99
2013-01-09,2.00,2.00,1.84,2.00,1800,2.00
2013-01-08,1.97,1.98,1.97,1.97,6000,1.97
2013-01-07,1.86,1.95,1.84,1.92,6500,1.92
2013-01-04,1.88,1.90,1.84,1.86,2900,1.86
2013-01-03,1.92,1.92,1.92,1.92,1500,1.92
2013-01-02,2.00,2.00,2.00,2.00,000,2.00
2013-01-01,2.00,2.00,2.00,2.00,000,2.00
2012-12-31,2.00,2.00,2.00,2.00,000,2.00
2012-12-28,2.00,2.00,2.00,2.00,1500,2.00
2012-12-27,2.00,2.00,2.00,2.00,1700,2.00
2012-12-26,1.94,1.94,1.94,1.94,000,1.94
2012-12-25,1.94,1.94,1.94,1.94,000,1.94
2012-12-24,1.94,1.94,1.94,1.94,000,1.94
2012-12-21,1.94,1.95,1.94,1.94,5000,1.94
2012-12-20,1.94,1.94,1.89,1.94,7200,1.94
2012-12-19,1.72,1.72,1.72,1.72,12000,1.72
2012-12-18,2.00,2.00,2.00,2.00,1000,2.00
2012-12-17,1.87,2.00,1.87,1.99,2700,1.99
2012-12-14,2.00,2.00,2.00,2.00,2000,2.00
2012-12-13,2.00,2.00,1.95,1.98,1300,1.98
2012-12-12,2.00,2.00,1.90,2.00,800,2.00
2012-12-11,1.92,1.92,1.92,1.92,1500,1.92
2012-12-10,2.00,2.00,2.00,2.00,1500,2.00
2012-12-07,1.97,1.97,1.97,1.97,600,1.97
2012-12-06,2.00,2.00,2.00,2.00,1000,2.00
2012-12-05,1.95,2.00,1.95,1.99,1700,1.99
2012-12-04,1.99,1.99,1.99,1.99,000,1.99
2012-12-03,1.99,1.99,1.99,1.99,000,1.99
2012-11-30,2.00,2.00,1.85,1.99,1600,1.99
2012-11-29,1.99,1.99,1.99,1.99,3000,1.99
2012-11-28,1.92,1.92,1.92,1.92,3000,1.92
2012-11-27,1.86,1.89,1.52,1.78,11400,1.78
