Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,2.74,2.84,2.72,2.77,11500,2.77
2013-05-22,2.76,2.79,2.71,2.79,12000,2.79
2013-05-21,2.73,2.75,2.66,2.75,318900,2.75
2013-05-20,2.72,2.74,2.66,2.71,8900,2.71
2013-05-17,2.67,2.75,2.67,2.75,12400,2.75
2013-05-16,2.67,2.73,2.67,2.73,38000,2.73
2013-05-15,2.70,2.72,2.66,2.70,14900,2.70
2013-05-14,2.70,2.70,2.63,2.70,7500,2.70
2013-05-13,2.69,2.70,2.62,2.70,8800,2.70
2013-05-10,2.70,2.72,2.62,2.68,25600,2.68
2013-05-09,2.72,2.72,2.67,2.70,3200,2.70
2013-05-08,2.70,2.73,2.66,2.72,6800,2.72
2013-05-07,2.70,2.70,2.70,2.70,000,2.70
2013-05-06,2.70,2.70,2.70,2.70,000,2.70
2013-05-03,2.70,2.70,2.70,2.70,000,2.70
2013-05-02,2.68,2.70,2.63,2.70,3100,2.70
2013-05-01,2.68,2.68,2.68,2.68,000,2.68
2013-04-30,2.68,2.68,2.61,2.68,7300,2.68
2013-04-29,2.66,2.70,2.62,2.67,6100,2.67
2013-04-26,2.70,2.71,2.65,2.70,4800,2.70
2013-04-25,2.70,2.70,2.63,2.70,42500,2.70
2013-04-24,2.68,2.70,2.65,2.68,5200,2.68
2013-04-23,2.75,2.75,2.66,2.68,11500,2.68
2013-04-22,2.73,2.77,2.69,2.74,8300,2.74
2013-04-19,2.68,2.73,2.68,2.73,26500,2.73
2013-04-18,2.73,2.74,2.69,2.73,5900,2.73
2013-04-17,2.73,2.74,2.68,2.73,8700,2.73
2013-04-16,2.69,2.73,2.67,2.73,7400,2.73
2013-04-15,2.73,2.73,2.63,2.73,52400,2.73
2013-04-12,2.73,2.73,2.67,2.70,5200,2.70
2013-04-11,2.78,2.78,2.69,2.73,8800,2.73
2013-04-10,2.74,2.78,2.71,2.78,5800,2.78
2013-04-09,2.73,2.74,2.66,2.74,2200,2.74
2013-04-08,2.72,2.73,2.62,2.73,6400,2.73
2013-04-05,2.72,2.73,2.64,2.72,5700,2.72
2013-04-04,2.69,2.72,2.65,2.72,2400,2.72
2013-04-03,2.67,2.73,2.62,2.67,14800,2.67
2013-04-02,2.70,2.73,2.62,2.67,7400,2.67
2013-04-01,2.68,2.68,2.68,2.68,000,2.68
2013-03-29,2.68,2.68,2.68,2.68,000,2.68
2013-03-28,2.70,2.74,2.62,2.68,14900,2.68
2013-03-27,2.68,2.72,2.60,2.67,19800,2.67
2013-03-26,2.72,2.72,2.60,2.68,3700,2.68
2013-03-25,2.72,2.72,2.72,2.72,000,2.72
2013-03-22,2.69,2.73,2.62,2.72,10900,2.72
2013-03-21,2.72,2.72,2.61,2.67,12100,2.67
2013-03-20,2.68,2.72,2.61,2.72,9200,2.72
2013-03-19,2.70,2.75,2.65,2.68,8600,2.68
2013-03-18,2.76,2.76,2.76,2.76,000,2.76
2013-03-15,2.75,2.77,2.70,2.76,55300,2.76
2013-03-14,2.74,2.74,2.70,2.74,4500,2.74
2013-03-13,2.75,2.76,2.71,2.74,5300,2.74
2013-03-12,2.81,2.81,2.70,2.75,71500,2.75
2013-03-11,2.75,2.81,2.68,2.81,8800,2.81
2013-03-08,2.74,2.75,2.68,2.75,4600,2.75
2013-03-07,2.77,2.77,2.69,2.71,4800,2.71
2013-03-06,2.74,2.78,2.68,2.75,12400,2.75
2013-03-05,2.76,2.76,2.66,2.74,2500,2.74
2013-03-04,2.79,2.79,2.70,2.75,13900,2.75
2013-03-01,2.80,2.82,2.74,2.77,15400,2.77
2013-02-28,2.80,2.80,2.74,2.78,8000,2.78
2013-02-27,2.84,2.84,2.75,2.79,12000,2.79
2013-02-26,2.81,2.82,2.75,2.80,72100,2.80
2013-02-25,2.82,2.83,2.76,2.81,26500,2.81
2013-02-22,2.81,2.81,2.71,2.81,8500,2.81
2013-02-21,2.77,2.81,2.74,2.79,19400,2.79
2013-02-20,2.85,2.85,2.77,2.77,41500,2.77
2013-02-19,2.86,2.88,2.80,2.85,5100,2.85
2013-02-18,2.91,2.91,2.80,2.85,10800,2.85
2013-02-15,2.85,2.92,2.78,2.92,23600,2.92
2013-02-14,2.87,2.90,2.81,2.84,12800,2.84
2013-02-13,2.87,2.88,2.75,2.86,95900,2.86
2013-02-12,2.90,2.90,2.80,2.86,6800,2.86
2013-02-11,2.90,2.90,2.82,2.82,7000,2.82
