Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.77,2.00,1.77,2.00,1200,2.00
2013-05-22,1.82,1.99,1.82,1.91,1700,1.91
2013-05-21,1.94,2.04,1.94,1.99,500,1.99
2013-05-20,2.02,2.06,2.01,2.02,6200,2.02
2013-05-17,2.06,2.17,2.01,2.17,8500,2.17
2013-05-16,2.08,2.26,2.04,2.19,6900,2.19
2013-05-15,2.38,2.38,2.08,2.17,3600,2.17
2013-05-14,2.18,2.18,2.10,2.17,6700,2.17
2013-05-13,2.02,2.30,2.02,2.20,2500,2.20
2013-05-10,2.13,2.50,2.00,2.24,8000,2.24
2013-05-09,2.00,2.09,1.89,2.09,7500,2.09
2013-05-08,1.82,2.06,1.82,2.05,2500,2.05
2013-05-07,2.02,2.02,2.02,2.02,000,2.02
2013-05-06,2.02,2.02,2.02,2.02,000,2.02
2013-05-03,2.02,2.02,2.02,2.02,000,2.02
2013-05-02,2.02,2.02,1.75,2.02,3200,2.02
2013-05-01,1.90,1.90,1.90,1.90,000,1.90
2013-04-30,1.94,2.07,1.89,1.90,3400,1.90
2013-04-29,1.93,2.08,1.93,2.08,100,2.08
2013-04-26,1.96,2.09,1.89,2.08,5500,2.08
2013-04-25,2.09,2.09,2.09,2.09,1000,2.09
2013-04-24,1.90,2.05,1.90,2.04,8400,2.04
2013-04-23,1.93,2.10,1.92,1.99,800,1.99
2013-04-22,1.95,2.03,1.90,2.02,7400,2.02
2013-04-19,1.80,2.00,1.80,1.99,6200,1.99
2013-04-18,1.92,1.95,1.88,1.89,3400,1.89
2013-04-17,1.92,2.00,1.82,1.93,10900,1.93
2013-04-16,2.10,2.14,1.96,2.02,3300,2.02
2013-04-15,1.92,2.13,1.92,2.10,10500,2.10
2013-04-12,1.76,2.05,1.76,2.05,11800,2.05
2013-04-11,1.80,2.10,1.80,1.93,6900,1.93
2013-04-10,2.04,2.04,2.00,2.00,1800,2.00
2013-04-09,1.74,1.92,1.74,1.92,5800,1.92
2013-04-08,1.83,1.96,1.81,1.93,900,1.93
2013-04-05,1.99,1.99,1.99,1.99,000,1.99
2013-04-04,1.99,1.99,1.99,1.99,1500,1.99
2013-04-03,1.83,1.96,1.82,1.94,900,1.94
2013-04-02,1.80,2.05,1.80,1.99,1100,1.99
2013-04-01,1.98,1.98,1.98,1.98,000,1.98
2013-03-29,1.98,1.98,1.98,1.98,000,1.98
2013-03-28,2.10,2.10,1.82,1.98,800,1.98
2013-03-27,2.20,2.20,1.79,2.02,1300,2.02
2013-03-26,2.00,2.16,2.00,2.16,000,2.16
2013-03-25,2.06,2.06,2.06,2.06,000,2.06
2013-03-22,2.07,2.12,1.96,2.06,3000,2.06
2013-03-21,1.94,2.10,1.85,2.05,4400,2.05
2013-03-20,2.04,2.05,1.88,1.97,1700,1.97
2013-03-19,1.96,2.08,1.96,2.08,1100,2.08
2013-03-18,2.14,2.14,2.14,2.14,000,2.14
2013-03-15,2.00,2.15,2.00,2.14,3800,2.14
2013-03-14,2.10,2.13,1.95,2.13,8900,2.13
2013-03-13,2.01,2.10,1.99,2.08,4500,2.08
2013-03-12,1.84,2.03,1.84,2.01,1200,2.01
2013-03-11,1.81,2.06,1.81,2.03,7500,2.03
2013-03-08,1.95,2.00,1.80,1.99,3300,1.99
2013-03-07,2.01,2.06,1.80,1.98,4900,1.98
2013-03-06,2.13,2.13,2.00,2.10,2600,2.10
2013-03-05,2.10,2.19,2.06,2.13,3700,2.13
2013-03-04,2.20,2.24,2.10,2.20,4500,2.20
2013-03-01,2.20,2.33,2.16,2.29,3800,2.29
2013-02-28,2.19,2.25,2.15,2.24,3200,2.24
2013-02-27,2.32,2.32,2.19,2.23,2100,2.23
2013-02-26,2.20,2.25,2.15,2.24,5400,2.24
2013-02-25,2.12,2.30,2.10,2.28,7100,2.28
2013-02-22,2.16,2.28,2.16,2.28,4400,2.28
2013-02-21,2.10,2.30,2.10,2.29,9500,2.29
2013-02-20,2.36,2.36,2.28,2.30,1000,2.30
2013-02-19,2.45,2.45,2.24,2.39,3800,2.39
2013-02-18,2.32,2.45,2.32,2.43,1700,2.43
2013-02-15,2.23,2.46,2.23,2.45,10000,2.45
2013-02-14,2.16,2.40,2.16,2.38,12800,2.38
2013-02-13,2.10,2.35,2.10,2.35,7200,2.35
2013-02-12,2.30,2.30,2.24,2.27,400,2.27
2013-02-11,2.20,2.30,2.10,2.26,8700,2.26
2013-02-08,2.06,2.24,2.04,2.24,4600,2.24
2013-02-07,2.20,2.48,2.17,2.27,7100,2.27
2013-02-06,2.43,2.43,2.20,2.31,4500,2.31
2013-02-05,2.38,2.38,2.29,2.36,1600,2.36
2013-02-04,2.59,2.59,2.00,2.31,3800,2.31
2013-02-01,2.19,2.60,2.19,2.59,1000,2.59
2013-01-31,2.23,2.23,1.92,2.21,7800,2.21
2013-01-30,2.00,2.23,2.00,2.23,2700,2.23
2013-01-29,2.38,2.38,2.10,2.27,1800,2.27
2013-01-28,2.35,2.44,2.30,2.36,6400,2.36
2013-01-25,2.44,2.47,2.39,2.46,3000,2.46
2013-01-24,2.48,2.52,2.38,2.44,4500,2.44
2013-01-23,2.45,2.55,2.40,2.48,7200,2.48
2013-01-22,2.30,2.49,2.30,2.45,5200,2.45
2013-01-21,2.26,2.39,2.26,2.36,7200,2.36
2013-01-18,2.12,2.28,2.06,2.26,22000,2.26
2013-01-17,2.02,2.12,2.02,2.12,10100,2.12
2013-01-16,2.22,2.22,2.10,2.14,4400,2.14
2013-01-15,2.25,2.25,2.05,2.20,6000,2.20
2013-01-14,2.07,2.25,2.07,2.25,700,2.25
2013-01-11,2.16,2.25,2.10,2.25,22700,2.25
2013-01-10,2.02,2.17,1.97,2.16,27100,2.16
2013-01-09,2.10,2.10,1.92,2.02,9600,2.02
2013-01-08,1.95,2.14,1.95,2.04,3300,2.04
2013-01-07,1.75,2.02,1.70,1.95,20000,1.95
2013-01-04,1.72,1.80,1.65,1.73,16600,1.73
2013-01-03,1.50,1.75,1.47,1.72,15300,1.72
2013-01-02,1.12,1.43,1.12,1.41,24900,1.41
2013-01-01,1.00,1.00,1.00,1.00,000,1.00
2012-12-31,1.00,1.00,1.00,1.00,000,1.00
2012-12-28,0.97,1.00,0.86,1.00,1100,1.00
2012-12-27,0.90,0.98,0.89,0.94,700,0.94
2012-12-26,0.99,0.99,0.99,0.99,000,0.99
2012-12-25,0.99,0.99,0.99,0.99,000,0.99
2012-12-24,0.99,0.99,0.99,0.99,000,0.99
2012-12-21,0.81,0.99,0.81,0.99,100,0.99
2012-12-20,0.90,0.90,0.90,0.90,200,0.90
2012-12-19,0.79,0.94,0.79,0.94,500,0.94
2012-12-18,0.87,0.87,0.87,0.87,000,0.87
2012-12-17,1.00,1.00,0.87,0.87,900,0.87
2012-12-14,0.90,0.97,0.90,0.97,2000,0.97
2012-12-13,0.72,0.88,0.72,0.88,4700,0.88
2012-12-12,0.77,0.80,0.77,0.80,200,0.80
2012-12-11,0.76,0.76,0.76,0.76,000,0.76
2012-12-10,0.77,0.77,0.77,0.77,000,0.77
2012-12-07,0.77,0.77,0.77,0.77,000,0.77
2012-12-06,0.74,0.80,0.74,0.77,300,0.77
2012-12-05,0.72,0.73,0.72,0.73,000,0.73
2012-12-04,0.80,0.80,0.80,0.80,000,0.80
2012-12-03,0.75,0.88,0.75,0.88,000,0.88
2012-11-30,0.80,0.80,0.80,0.80,000,0.80
2012-11-29,1.05,1.05,1.05,1.05,000,1.05
2012-11-28,0.99,1.05,0.99,1.05,300,1.05
2012-11-27,1.00,1.00,1.00,1.00,000,1.00
2012-11-26,1.00,1.00,1.00,1.00,000,1.00
2012-11-23,1.00,1.00,1.00,1.00,000,1.00
2012-11-22,0.80,1.01,0.80,1.00,3900,1.00
2012-11-21,0.56,1.02,0.56,0.85,2400,0.85
2012-11-20,1.00,1.00,0.80,0.80,200,0.80
2012-11-19,0.95,1.00,0.70,1.00,200,1.00
2012-11-16,0.80,0.88,0.72,0.88,200,0.88
2012-11-15,0.88,0.88,0.88,0.88,000,0.88
2012-11-14,0.88,0.88,0.88,0.88,000,0.88
2012-11-13,0.70,0.70,0.70,0.70,000,0.70
2012-11-12,0.75,0.75,0.75,0.75,000,0.75
