Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.27,0.31,0.27,0.30,2600,0.30
2013-05-22,0.27,0.30,0.27,0.30,100,0.30
2013-05-21,0.25,0.30,0.25,0.30,000,0.30
2013-05-20,0.27,0.28,0.26,0.28,2100,0.28
2013-05-17,0.27,0.30,0.27,0.29,2800,0.29
2013-05-16,0.31,0.31,0.29,0.29,100,0.29
2013-05-15,0.32,0.32,0.28,0.29,6700,0.29
2013-05-14,0.34,0.34,0.28,0.31,6400,0.31
2013-05-13,0.31,0.31,0.31,0.31,900,0.31
2013-05-10,0.34,0.34,0.34,0.34,3100,0.34
2013-05-09,0.35,0.35,0.35,0.35,100,0.35
2013-05-08,0.30,0.35,0.30,0.35,000,0.35
2013-05-07,0.33,0.33,0.33,0.33,000,0.33
2013-05-06,0.33,0.33,0.33,0.33,000,0.33
2013-05-03,0.33,0.33,0.33,0.33,000,0.33
2013-05-02,0.33,0.33,0.33,0.33,000,0.33
2013-05-01,0.32,0.32,0.32,0.32,000,0.32
2013-04-30,0.32,0.32,0.28,0.32,2200,0.32
2013-04-29,0.31,0.37,0.31,0.31,300,0.31
2013-04-26,0.34,0.34,0.31,0.34,100,0.34
2013-04-25,0.34,0.34,0.34,0.34,200,0.34
2013-04-24,0.38,0.38,0.38,0.38,1200,0.38
2013-04-23,0.42,0.42,0.42,0.42,000,0.42
2013-04-22,0.42,0.42,0.42,0.42,000,0.42
2013-04-19,0.42,0.42,0.42,0.42,000,0.42
2013-04-18,0.42,0.42,0.42,0.42,000,0.42
2013-04-17,0.42,0.42,0.42,0.42,000,0.42
2013-04-16,0.42,0.42,0.42,0.42,000,0.42
2013-04-15,0.42,0.42,0.42,0.42,000,0.42
2013-04-12,0.42,0.42,0.42,0.42,000,0.42
2013-04-11,0.42,0.42,0.42,0.42,000,0.42
2013-04-10,0.42,0.42,0.42,0.42,000,0.42
2013-04-09,0.42,0.42,0.42,0.42,000,0.42
2013-04-08,0.42,0.42,0.42,0.42,000,0.42
2013-04-05,0.42,0.42,0.42,0.42,000,0.42
2013-04-04,0.42,0.42,0.42,0.42,000,0.42
2013-04-03,0.42,0.42,0.42,0.42,000,0.42
2013-04-02,0.42,0.42,0.42,0.42,000,0.42
2013-04-01,0.42,0.42,0.42,0.42,000,0.42
2013-03-29,0.42,0.42,0.42,0.42,000,0.42
2013-03-28,0.42,0.42,0.42,0.42,000,0.42
2013-03-27,0.39,0.39,0.39,0.39,000,0.39
2013-03-26,0.39,0.39,0.39,0.39,000,0.39
2013-03-25,0.36,0.36,0.36,0.36,000,0.36
2013-03-22,0.36,0.36,0.36,0.36,000,0.36
2013-03-21,0.36,0.36,0.36,0.36,000,0.36
2013-03-20,0.36,0.36,0.36,0.36,000,0.36
2013-03-19,0.31,0.36,0.31,0.36,000,0.36
2013-03-18,0.34,0.34,0.34,0.34,000,0.34
2013-03-15,0.32,0.34,0.32,0.34,8000,0.34
2013-03-14,0.36,0.36,0.36,0.36,000,0.36
2013-03-13,0.36,0.36,0.36,0.36,000,0.36
2013-03-12,0.36,0.36,0.36,0.36,000,0.36
2013-03-11,0.36,0.36,0.36,0.36,000,0.36
2013-03-08,0.36,0.36,0.36,0.36,000,0.36
2013-03-07,0.36,0.36,0.36,0.36,000,0.36
2013-03-06,0.36,0.36,0.36,0.36,000,0.36
2013-03-05,0.36,0.36,0.36,0.36,000,0.36
2013-03-04,0.36,0.36,0.36,0.36,000,0.36
2013-03-01,0.36,0.36,0.36,0.36,000,0.36
2013-02-28,0.26,0.36,0.26,0.36,100,0.36
2013-02-27,0.37,0.37,0.37,0.37,000,0.37
2013-02-26,0.37,0.37,0.37,0.37,000,0.37
2013-02-25,0.37,0.37,0.37,0.37,000,0.37
2013-02-22,0.37,0.37,0.37,0.37,000,0.37
2013-02-21,0.37,0.37,0.37,0.37,000,0.37
2013-02-20,0.34,0.34,0.34,0.34,000,0.34
2013-02-19,0.31,0.34,0.30,0.34,2400,0.34
2013-02-18,0.28,0.34,0.28,0.34,000,0.34
2013-02-15,0.34,0.34,0.34,0.34,000,0.34
2013-02-14,0.36,0.36,0.28,0.34,300,0.34
2013-02-13,0.36,0.36,0.36,0.36,100,0.36
2013-02-12,0.36,0.36,0.36,0.36,800,0.36
2013-02-11,0.36,0.36,0.36,0.36,000,0.36
2013-02-08,0.33,0.33,0.33,0.33,000,0.33
2013-02-07,0.33,0.33,0.25,0.33,000,0.33
2013-02-06,0.33,0.33,0.33,0.33,000,0.33
2013-02-05,0.32,0.32,0.32,0.32,000,0.32
2013-02-04,0.30,0.30,0.30,0.30,700,0.30
2013-02-01,0.28,0.30,0.28,0.29,200,0.29
2013-01-31,0.33,0.33,0.29,0.29,600,0.29
2013-01-30,0.30,0.33,0.30,0.32,5100,0.32
2013-01-29,0.29,0.32,0.29,0.32,2000,0.32
2013-01-28,0.38,0.38,0.32,0.32,10000,0.32
2013-01-25,0.37,0.37,0.33,0.36,1700,0.36
2013-01-24,0.36,0.36,0.36,0.36,000,0.36
