Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.34,0.42,0.33,0.40,7500,0.40
2013-05-22,0.33,0.42,0.33,0.34,400,0.34
2013-05-21,0.42,0.42,0.35,0.35,600,0.35
2013-05-20,0.42,0.42,0.37,0.40,100,0.40
2013-05-17,0.37,0.45,0.37,0.40,800,0.40
2013-05-16,0.42,0.50,0.35,0.47,7500,0.47
2013-05-15,0.34,0.40,0.32,0.39,1000,0.39
2013-05-14,0.30,0.34,0.30,0.34,2200,0.34
2013-05-13,0.31,0.31,0.31,0.31,2200,0.31
2013-05-10,0.30,0.32,0.28,0.30,1800,0.30
2013-05-09,0.30,0.34,0.28,0.30,2500,0.30
2013-05-08,0.21,0.36,0.21,0.34,600,0.34
2013-05-07,0.30,0.30,0.30,0.30,000,0.30
2013-05-06,0.30,0.30,0.30,0.30,000,0.30
2013-05-03,0.30,0.30,0.30,0.30,000,0.30
2013-05-02,0.30,0.30,0.30,0.30,200,0.30
2013-05-01,0.30,0.30,0.30,0.30,000,0.30
2013-04-30,0.28,0.30,0.28,0.30,2000,0.30
2013-04-29,0.30,0.31,0.29,0.31,1600,0.31
2013-04-26,0.29,0.31,0.28,0.31,2000,0.31
2013-04-25,0.28,0.31,0.28,0.29,8000,0.29
2013-04-24,0.30,0.33,0.30,0.30,11800,0.30
2013-04-23,0.30,0.33,0.30,0.33,200,0.33
2013-04-22,0.31,0.34,0.31,0.34,300,0.34
2013-04-19,0.31,0.37,0.31,0.34,2100,0.34
2013-04-18,0.34,0.34,0.34,0.34,3100,0.34
2013-04-17,0.31,0.38,0.31,0.38,000,0.38
2013-04-16,0.41,0.41,0.35,0.35,600,0.35
2013-04-15,0.32,0.38,0.32,0.38,2000,0.38
2013-04-12,0.36,0.36,0.36,0.36,000,0.36
2013-04-11,0.33,0.36,0.33,0.36,300,0.36
2013-04-10,0.37,0.37,0.37,0.37,000,0.37
2013-04-09,0.34,0.37,0.34,0.37,100,0.37
2013-04-08,0.36,0.36,0.36,0.36,000,0.36
2013-04-05,0.32,0.36,0.32,0.36,700,0.36
2013-04-04,0.36,0.36,0.36,0.36,000,0.36
2013-04-03,0.38,0.38,0.38,0.38,000,0.38
2013-04-02,0.32,0.39,0.32,0.38,800,0.38
2013-04-01,0.36,0.36,0.36,0.36,000,0.36
2013-03-29,0.36,0.36,0.36,0.36,000,0.36
2013-03-28,0.40,0.40,0.36,0.36,2500,0.36
2013-03-27,0.40,0.40,0.40,0.40,600,0.40
2013-03-26,0.44,0.44,0.44,0.44,000,0.44
2013-03-25,0.44,0.44,0.44,0.44,000,0.44
2013-03-22,0.44,0.44,0.44,0.44,000,0.44
2013-03-21,0.44,0.44,0.44,0.44,000,0.44
2013-03-20,0.44,0.44,0.44,0.44,000,0.44
2013-03-19,0.44,0.44,0.44,0.44,000,0.44
2013-03-18,0.44,0.44,0.44,0.44,000,0.44
2013-03-15,0.39,0.45,0.39,0.44,400,0.44
2013-03-14,0.43,0.43,0.43,0.43,000,0.43
2013-03-13,0.43,0.43,0.43,0.43,000,0.43
2013-03-12,0.43,0.43,0.43,0.43,000,0.43
2013-03-11,0.43,0.43,0.43,0.43,000,0.43
2013-03-08,0.43,0.43,0.43,0.43,000,0.43
2013-03-07,0.43,0.43,0.43,0.43,000,0.43
2013-03-06,0.43,0.43,0.43,0.43,000,0.43
2013-03-05,0.43,0.43,0.43,0.43,000,0.43
2013-03-04,0.43,0.43,0.43,0.43,000,0.43
2013-03-01,0.43,0.43,0.43,0.43,000,0.43
2013-02-28,0.36,0.43,0.36,0.43,000,0.43
2013-02-27,0.43,0.43,0.43,0.43,000,0.43
2013-02-26,0.43,0.43,0.43,0.43,000,0.43
2013-02-25,0.43,0.43,0.43,0.43,000,0.43
2013-02-22,0.43,0.43,0.43,0.43,000,0.43
2013-02-21,0.30,0.43,0.30,0.43,600,0.43
2013-02-20,0.40,0.41,0.40,0.40,800,0.40
2013-02-19,0.41,0.41,0.41,0.41,300,0.41
2013-02-18,0.39,0.43,0.35,0.41,1000,0.41
2013-02-15,0.43,0.43,0.43,0.43,000,0.43
2013-02-14,0.38,0.43,0.38,0.43,300,0.43
2013-02-13,0.38,0.44,0.38,0.43,300,0.43
2013-02-12,0.41,0.42,0.33,0.41,200,0.41
2013-02-11,0.41,0.41,0.41,0.41,200,0.41
2013-02-08,0.41,0.41,0.41,0.41,000,0.41
2013-02-07,0.30,0.42,0.30,0.41,500,0.41
2013-02-06,0.42,0.42,0.40,0.42,100,0.42
2013-02-05,0.40,0.40,0.33,0.39,2700,0.39
2013-02-04,0.40,0.40,0.40,0.40,000,0.40
2013-02-01,0.44,0.45,0.43,0.44,800,0.44
2013-01-31,0.40,0.44,0.36,0.44,2000,0.44
2013-01-30,0.40,0.40,0.40,0.40,2600,0.40
2013-01-29,0.42,0.42,0.41,0.41,100,0.41
2013-01-28,0.40,0.42,0.39,0.42,1100,0.42
2013-01-25,0.41,0.41,0.41,0.41,000,0.41
2013-01-24,0.42,0.42,0.41,0.41,700,0.41
2013-01-23,0.40,0.42,0.37,0.42,300,0.42
2013-01-22,0.40,0.44,0.40,0.41,1500,0.41
2013-01-21,0.36,0.40,0.36,0.40,4100,0.40
2013-01-18,0.40,0.40,0.40,0.40,600,0.40
2013-01-17,0.35,0.40,0.35,0.40,200,0.40
2013-01-16,0.39,0.39,0.39,0.39,000,0.39
2013-01-15,0.39,0.39,0.39,0.39,000,0.39
2013-01-14,0.45,0.45,0.38,0.39,3500,0.39
2013-01-11,0.40,0.42,0.40,0.42,500,0.42
2013-01-10,0.41,0.46,0.40,0.42,12200,0.42
2013-01-09,0.42,0.44,0.42,0.44,21000,0.44
2013-01-08,0.47,0.47,0.47,0.47,300,0.47
2013-01-07,0.52,0.52,0.52,0.52,100,0.52
2013-01-04,0.63,0.63,0.52,0.52,13600,0.52
2013-01-03,0.58,0.58,0.58,0.58,3100,0.58
2013-01-02,0.64,0.64,0.64,0.64,000,0.64
2013-01-01,0.54,0.54,0.54,0.54,000,0.54
2012-12-31,0.54,0.54,0.54,0.54,000,0.54
2012-12-28,0.54,0.54,0.54,0.54,000,0.54
2012-12-27,0.54,0.54,0.54,0.54,000,0.54
2012-12-26,0.54,0.54,0.54,0.54,000,0.54
2012-12-25,0.54,0.54,0.54,0.54,000,0.54
2012-12-24,0.54,0.54,0.54,0.54,000,0.54
2012-12-21,0.53,0.54,0.52,0.54,700,0.54
2012-12-20,0.55,0.55,0.55,0.55,000,0.55
2012-12-19,0.50,0.50,0.50,0.50,000,0.50
2012-12-18,0.50,0.50,0.50,0.50,200,0.50
2012-12-17,0.50,0.50,0.50,0.50,000,0.50
2012-12-14,0.50,0.50,0.50,0.50,000,0.50
2012-12-13,0.50,0.50,0.50,0.50,000,0.50
2012-12-12,0.50,0.50,0.50,0.50,000,0.50
2012-12-11,0.51,0.51,0.50,0.50,200,0.50
2012-12-10,0.47,0.47,0.47,0.47,100,0.47
2012-12-07,0.47,0.47,0.47,0.47,000,0.47
2012-12-06,0.47,0.47,0.47,0.47,000,0.47
2012-12-05,0.47,0.47,0.47,0.47,000,0.47
2012-12-04,0.47,0.47,0.47,0.47,000,0.47
2012-12-03,0.47,0.47,0.47,0.47,000,0.47
2012-11-30,0.47,0.47,0.47,0.47,000,0.47
2012-11-29,0.43,0.47,0.43,0.47,400,0.47
2012-11-28,0.44,0.44,0.44,0.44,000,0.44
2012-11-27,0.40,0.40,0.40,0.40,1600,0.40
2012-11-26,0.44,0.44,0.42,0.44,100,0.44
2012-11-23,0.49,0.49,0.41,0.41,2100,0.41
2012-11-22,0.47,0.50,0.45,0.45,11300,0.45
2012-11-21,0.50,0.50,0.50,0.50,000,0.50
2012-11-20,0.50,0.50,0.50,0.50,000,0.50
2012-11-19,0.50,0.50,0.50,0.50,000,0.50
2012-11-16,0.50,0.50,0.50,0.50,000,0.50
2012-11-15,0.50,0.50,0.50,0.50,000,0.50
2012-11-14,0.50,0.50,0.50,0.50,000,0.50
2012-11-13,0.50,0.50,0.50,0.50,000,0.50
