Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.43,0.50,0.43,0.50,100,0.50
2013-05-22,0.54,0.54,0.54,0.54,000,0.54
2013-05-21,0.54,0.54,0.54,0.54,000,0.54
2013-05-20,0.47,0.47,0.47,0.47,1300,0.47
2013-05-17,0.56,0.56,0.56,0.56,000,0.56
2013-05-16,0.57,0.57,0.56,0.56,100,0.56
2013-05-15,0.68,0.68,0.60,0.60,2700,0.60
2013-05-14,0.65,0.65,0.65,0.65,000,0.65
2013-05-13,0.64,0.65,0.52,0.65,3400,0.65
2013-05-10,0.45,0.64,0.45,0.64,1500,0.64
2013-05-09,0.43,0.50,0.43,0.49,1100,0.49
2013-05-08,0.51,0.51,0.36,0.48,3000,0.48
2013-05-07,0.51,0.51,0.51,0.51,000,0.51
2013-05-06,0.51,0.51,0.51,0.51,000,0.51
2013-05-03,0.51,0.51,0.51,0.51,000,0.51
2013-05-02,0.51,0.51,0.51,0.51,000,0.51
2013-05-01,0.51,0.51,0.51,0.51,000,0.51
2013-04-30,0.46,0.51,0.46,0.51,900,0.51
2013-04-29,0.44,0.50,0.42,0.50,500,0.50
2013-04-26,0.43,0.53,0.43,0.45,5700,0.45
2013-04-25,0.48,0.48,0.44,0.48,1400,0.48
2013-04-24,0.42,0.48,0.42,0.44,2800,0.44
2013-04-23,0.44,0.48,0.44,0.46,2300,0.46
2013-04-22,0.46,0.49,0.45,0.49,2900,0.49
2013-04-19,0.47,0.50,0.47,0.50,200,0.50
2013-04-18,0.52,0.52,0.52,0.52,400,0.52
2013-04-17,0.51,0.51,0.51,0.51,200,0.51
2013-04-16,0.56,0.56,0.56,0.56,000,0.56
2013-04-15,0.56,0.56,0.56,0.56,1200,0.56
2013-04-12,0.56,0.56,0.56,0.56,000,0.56
2013-04-11,0.58,0.58,0.52,0.56,20200,0.56
2013-04-10,0.58,0.58,0.58,0.58,000,0.58
2013-04-09,0.58,0.58,0.58,0.58,000,0.58
2013-04-08,0.58,0.58,0.58,0.58,000,0.58
2013-04-05,0.58,0.58,0.58,0.58,000,0.58
2013-04-04,0.58,0.58,0.58,0.58,000,0.58
2013-04-03,0.47,0.58,0.47,0.58,500,0.58
2013-04-02,0.53,0.53,0.53,0.53,000,0.53
2013-04-01,0.58,0.58,0.58,0.58,000,0.58
2013-03-29,0.58,0.58,0.58,0.58,000,0.58
2013-03-28,0.58,0.58,0.58,0.58,000,0.58
2013-03-27,0.53,0.58,0.53,0.58,100,0.58
2013-03-26,0.59,0.59,0.59,0.59,000,0.59
2013-03-25,0.59,0.59,0.59,0.59,000,0.59
2013-03-22,0.55,0.59,0.55,0.59,000,0.59
2013-03-21,0.62,0.62,0.62,0.62,000,0.62
2013-03-20,0.60,0.62,0.60,0.62,100,0.62
2013-03-19,0.67,0.67,0.67,0.67,000,0.67
2013-03-18,0.67,0.67,0.67,0.67,000,0.67
2013-03-15,0.62,0.67,0.62,0.67,200,0.67
2013-03-14,0.58,0.64,0.58,0.64,1000,0.64
2013-03-13,0.64,0.64,0.64,0.64,000,0.64
2013-03-12,0.58,0.64,0.58,0.64,1600,0.64
2013-03-11,0.63,0.65,0.63,0.64,1600,0.64
2013-03-08,0.70,0.70,0.70,0.70,000,0.70
2013-03-07,0.70,0.70,0.70,0.70,000,0.70
2013-03-06,0.70,0.70,0.70,0.70,000,0.70
2013-03-05,0.70,0.70,0.70,0.70,000,0.70
2013-03-04,0.70,0.70,0.70,0.70,000,0.70
2013-03-01,0.64,0.64,0.64,0.64,000,0.64
2013-02-28,0.64,0.64,0.64,0.64,2500,0.64
2013-02-27,0.60,0.65,0.60,0.65,100,0.65
2013-02-26,0.68,0.68,0.68,0.68,000,0.68
2013-02-25,0.68,0.68,0.68,0.68,000,0.68
2013-02-22,0.68,0.68,0.68,0.68,000,0.68
2013-02-21,0.49,0.68,0.49,0.68,400,0.68
2013-02-20,0.68,0.68,0.68,0.68,000,0.68
2013-02-19,0.61,0.68,0.61,0.68,2100,0.68
2013-02-18,0.67,0.67,0.67,0.67,000,0.67
2013-02-15,0.60,0.69,0.60,0.67,2600,0.67
2013-02-14,0.60,0.60,0.60,0.60,3400,0.60
2013-02-13,0.66,0.66,0.66,0.66,000,0.66
2013-02-12,0.51,0.66,0.51,0.66,300,0.66
2013-02-11,0.66,0.66,0.66,0.66,000,0.66
2013-02-08,0.63,0.63,0.63,0.63,000,0.63
2013-02-07,0.63,0.63,0.63,0.63,300,0.63
2013-02-06,0.60,0.64,0.60,0.64,400,0.64
2013-02-05,0.64,0.64,0.64,0.64,300,0.64
2013-02-04,0.67,0.67,0.67,0.67,1500,0.67
2013-02-01,0.67,0.67,0.67,0.67,000,0.67
2013-01-31,0.67,0.67,0.67,0.67,000,0.67
2013-01-30,0.57,0.57,0.57,0.57,100,0.57
2013-01-29,0.70,0.70,0.60,0.63,2100,0.63
2013-01-28,0.68,0.68,0.68,0.68,500,0.68
2013-01-25,0.67,0.69,0.62,0.69,2600,0.69
2013-01-24,0.67,0.67,0.67,0.67,000,0.67
2013-01-23,0.52,0.75,0.52,0.67,7300,0.67
2013-01-22,0.70,0.70,0.57,0.70,600,0.70
2013-01-21,0.69,0.69,0.69,0.69,000,0.69
2013-01-18,0.68,0.69,0.68,0.69,2000,0.69
2013-01-17,0.65,0.69,0.65,0.69,1600,0.69
2013-01-16,0.56,0.67,0.56,0.66,2200,0.66
2013-01-15,0.65,0.65,0.65,0.65,000,0.65
2013-01-14,0.70,0.72,0.64,0.65,9500,0.65
