Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.07,0.07,0.07,0.07,100,0.07
2013-05-22,0.07,0.07,0.07,0.07,200,0.07
2013-05-21,0.09,0.09,0.09,0.09,000,0.09
2013-05-20,0.09,0.09,0.09,0.09,6200,0.09
2013-05-17,0.10,0.10,0.10,0.10,5500,0.10
2013-05-16,0.08,0.09,0.08,0.08,9100,0.08
2013-05-15,0.07,0.07,0.07,0.07,3400,0.07
2013-05-14,0.09,0.09,0.09,0.09,10200,0.09
2013-05-13,0.09,0.09,0.09,0.09,000,0.09
2013-05-10,0.09,0.09,0.09,0.09,2000,0.09
2013-05-09,0.09,0.09,0.08,0.09,4400,0.09
2013-05-08,0.09,0.09,0.09,0.09,11200,0.09
2013-05-07,0.09,0.09,0.09,0.09,000,0.09
2013-05-06,0.09,0.09,0.09,0.09,000,0.09
2013-05-03,0.09,0.09,0.09,0.09,000,0.09
2013-05-02,0.09,0.09,0.09,0.09,000,0.09
2013-05-01,0.09,0.09,0.09,0.09,000,0.09
2013-04-30,0.09,0.09,0.09,0.09,000,0.09
2013-04-29,0.09,0.09,0.09,0.09,000,0.09
2013-04-26,0.09,0.09,0.09,0.09,000,0.09
2013-04-25,0.09,0.09,0.09,0.09,200,0.09
2013-04-24,0.09,0.09,0.09,0.09,2000,0.09
2013-04-23,0.09,0.09,0.08,0.09,5400,0.09
2013-04-22,0.09,0.09,0.09,0.09,1000,0.09
2013-04-19,0.09,0.09,0.09,0.09,2000,0.09
2013-04-18,0.10,0.10,0.10,0.10,000,0.10
2013-04-17,0.10,0.10,0.10,0.10,000,0.10
2013-04-16,0.10,0.10,0.10,0.10,000,0.10
2013-04-15,0.10,0.10,0.10,0.10,000,0.10
2013-04-12,0.09,0.10,0.09,0.10,3000,0.10
2013-04-11,0.09,0.09,0.09,0.09,000,0.09
2013-04-10,0.09,0.09,0.09,0.09,500,0.09
2013-04-09,0.08,0.09,0.08,0.09,3100,0.09
2013-04-08,0.08,0.08,0.08,0.08,000,0.08
2013-04-05,0.08,0.08,0.08,0.08,600,0.08
2013-04-04,0.07,0.07,0.07,0.07,400,0.07
2013-04-03,0.06,0.06,0.06,0.06,1000,0.06
2013-04-02,0.06,0.06,0.06,0.06,1300,0.06
2013-04-01,0.06,0.06,0.06,0.06,000,0.06
2013-03-29,0.06,0.06,0.06,0.06,000,0.06
2013-03-28,0.06,0.07,0.06,0.06,600,0.06
2013-03-27,0.05,0.05,0.05,0.05,000,0.05
2013-03-26,0.05,0.05,0.05,0.05,1000,0.05
2013-03-25,0.07,0.07,0.07,0.07,000,0.07
2013-03-22,0.07,0.07,0.07,0.07,000,0.07
2013-03-21,0.07,0.07,0.07,0.07,10000,0.07
2013-03-20,0.07,0.07,0.07,0.07,4000,0.07
2013-03-19,0.07,0.07,0.07,0.07,000,0.07
2013-03-18,0.07,0.07,0.07,0.07,000,0.07
2013-03-15,0.07,0.07,0.07,0.07,9000,0.07
2013-03-14,0.07,0.07,0.07,0.07,1700,0.07
2013-03-13,0.06,0.08,0.06,0.07,4000,0.07
2013-03-12,0.06,0.08,0.06,0.07,2900,0.07
2013-03-11,0.08,0.08,0.08,0.08,1500,0.08
2013-03-08,0.07,0.07,0.07,0.07,200,0.07
2013-03-07,0.08,0.08,0.08,0.08,500,0.08
2013-03-06,0.06,0.08,0.06,0.07,1600,0.07
2013-03-05,0.07,0.07,0.07,0.07,12900,0.07
2013-03-04,0.09,0.09,0.08,0.09,10900,0.09
2013-03-01,0.09,0.09,0.09,0.09,500,0.09
2013-02-28,0.08,0.08,0.07,0.08,500,0.08
2013-02-27,0.07,0.07,0.07,0.07,000,0.07
2013-02-26,0.07,0.07,0.07,0.07,3000,0.07
2013-02-25,0.07,0.07,0.07,0.07,4700,0.07
2013-02-22,0.07,0.07,0.07,0.07,2000,0.07
2013-02-21,0.06,0.07,0.06,0.06,7200,0.06
2013-02-20,0.08,0.08,0.08,0.08,6300,0.08
2013-02-19,0.08,0.08,0.08,0.08,300,0.08
2013-02-18,0.07,0.07,0.07,0.07,000,0.07
2013-02-15,0.07,0.07,0.07,0.07,17300,0.07
2013-02-14,0.08,0.08,0.07,0.07,20300,0.07
2013-02-13,0.07,0.08,0.07,0.08,2500,0.08
2013-02-12,0.07,0.07,0.07,0.07,22400,0.07
2013-02-11,0.08,0.08,0.08,0.08,000,0.08
2013-02-08,0.07,0.07,0.07,0.07,000,0.07
2013-02-07,0.07,0.07,0.07,0.07,23000,0.07
2013-02-06,0.07,0.07,0.07,0.07,11400,0.07
2013-02-05,0.07,0.08,0.07,0.07,6400,0.07
2013-02-04,0.07,0.08,0.07,0.07,2500,0.07
2013-02-01,0.07,0.08,0.07,0.07,1500,0.07
2013-01-31,0.07,0.07,0.07,0.07,000,0.07
2013-01-30,0.07,0.07,0.07,0.07,4000,0.07
2013-01-29,0.07,0.08,0.07,0.07,1700,0.07
2013-01-28,0.08,0.08,0.08,0.08,5100,0.08
2013-01-25,0.07,0.07,0.07,0.07,2500,0.07
2013-01-24,0.08,0.08,0.08,0.08,2300,0.08
2013-01-23,0.08,0.08,0.08,0.08,500,0.08
2013-01-22,0.07,0.07,0.07,0.07,800,0.07
2013-01-21,0.09,0.09,0.09,0.09,4700,0.09
2013-01-18,0.09,0.09,0.09,0.09,1100,0.09
2013-01-17,0.12,0.12,0.10,0.10,2000,0.10
2013-01-16,0.12,0.12,0.12,0.12,000,0.12
2013-01-15,0.12,0.12,0.12,0.12,500,0.12
2013-01-14,0.13,0.13,0.13,0.13,3800,0.13
2013-01-11,0.13,0.13,0.13,0.13,2500,0.13
2013-01-10,0.11,0.11,0.11,0.11,6900,0.11
2013-01-09,0.12,0.12,0.12,0.12,6300,0.12
2013-01-08,0.12,0.12,0.11,0.11,23000,0.11
2013-01-07,0.09,0.10,0.09,0.10,5500,0.10
2013-01-04,0.08,0.09,0.08,0.08,4000,0.08
2013-01-03,0.09,0.09,0.09,0.09,8100,0.09
2013-01-02,0.06,0.09,0.06,0.07,7000,0.07
2013-01-01,0.06,0.06,0.06,0.06,000,0.06
2012-12-31,0.06,0.06,0.06,0.06,000,0.06
2012-12-28,0.06,0.06,0.06,0.06,000,0.06
2012-12-27,0.05,0.05,0.05,0.05,000,0.05
2012-12-26,0.07,0.07,0.07,0.07,000,0.07
2012-12-25,0.07,0.07,0.07,0.07,000,0.07
2012-12-24,0.07,0.07,0.07,0.07,000,0.07
2012-12-21,0.07,0.07,0.07,0.07,000,0.07
2012-12-20,0.07,0.07,0.07,0.07,000,0.07
2012-12-19,0.08,0.08,0.07,0.07,2100,0.07
2012-12-18,0.06,0.06,0.06,0.06,000,0.06
2012-12-17,0.06,0.08,0.06,0.06,1000,0.06
2012-12-14,0.08,0.08,0.08,0.08,7000,0.08
2012-12-13,0.07,0.07,0.07,0.07,000,0.07
2012-12-12,0.07,0.07,0.07,0.07,1100,0.07
2012-12-11,0.06,0.06,0.06,0.06,3700,0.06
2012-12-10,0.05,0.07,0.05,0.05,2000,0.05
2012-12-07,0.06,0.06,0.06,0.06,000,0.06
2012-12-06,0.06,0.06,0.06,0.06,1900,0.06
2012-12-05,0.07,0.07,0.07,0.07,1500,0.07
2012-12-04,0.06,0.06,0.06,0.06,000,0.06
2012-12-03,0.06,0.06,0.06,0.06,500,0.06
2012-11-30,0.05,0.05,0.05,0.05,000,0.05
2012-11-29,0.05,0.05,0.05,0.05,000,0.05
2012-11-28,0.05,0.05,0.05,0.05,000,0.05
2012-11-27,0.05,0.06,0.05,0.05,8300,0.05
