Date,Open,High,Low,Close,Volume,Adj Close
2013-05-21,0.05,0.05,0.05,0.05,000,0.05
2013-05-16,0.05,0.05,0.05,0.05,100,0.05
2013-03-26,0.06,0.06,0.06,0.06,1000,0.06
2013-03-12,0.07,0.07,0.07,0.07,3200,0.07
2013-02-26,0.08,0.08,0.08,0.08,1200,0.08
2013-02-21,0.10,0.10,0.10,0.10,000,0.10
2013-02-06,0.13,0.13,0.13,0.13,000,0.13
2013-01-29,0.16,0.16,0.16,0.16,000,0.16
2013-01-15,0.20,0.20,0.20,0.20,300,0.20
2012-11-22,0.17,0.17,0.17,0.17,200,0.17
2012-08-08,0.14,0.14,0.14,0.14,4600,0.14
2012-08-03,0.13,0.13,0.13,0.13,100,0.13
2012-08-02,0.12,0.12,0.12,0.12,900,0.12
2012-07-17,0.12,0.12,0.12,0.12,200,0.12
2012-07-09,0.12,0.12,0.12,0.12,1000,0.12
2012-07-06,0.14,0.14,0.14,0.14,1000,0.14
2012-06-12,0.17,0.17,0.17,0.17,300,0.17
2012-06-05,0.22,0.22,0.22,0.22,100,0.22
2012-05-28,0.27,0.27,0.27,0.27,000,0.27
2012-05-24,0.27,0.27,0.27,0.27,100,0.27
2012-03-08,0.34,0.34,0.34,0.34,300,0.34
2012-03-07,0.43,0.43,0.43,0.43,300,0.43
2012-03-06,0.50,0.50,0.50,0.50,000,0.50
2011-12-05,0.47,0.47,0.47,0.47,000,0.47
2011-09-20,0.47,0.47,0.47,0.47,000,0.47
2011-05-18,0.47,0.47,0.47,0.47,200,0.47
2011-05-13,0.48,0.48,0.48,0.48,100,0.48
2011-03-17,0.50,0.50,0.50,0.50,000,0.50
2011-02-23,0.48,0.48,0.48,0.48,000,0.48
2011-01-11,0.44,0.44,0.44,0.44,25000,0.44
2010-12-21,0.47,0.47,0.47,0.47,100,0.47
2010-12-15,0.47,0.47,0.47,0.47,000,0.47
2010-12-08,0.44,0.44,0.44,0.44,100,0.44
2010-12-02,0.44,0.44,0.44,0.44,100,0.44
2010-11-19,0.44,0.44,0.44,0.44,000,0.44
2010-04-13,0.40,0.40,0.40,0.40,000,0.40
2010-04-09,0.37,0.37,0.37,0.37,000,0.37
2010-04-07,0.34,0.34,0.34,0.34,000,0.34
2009-05-13,0.31,0.31,0.31,0.31,400,0.31
2009-05-11,0.33,0.33,0.31,0.31,4200,0.31
2009-05-08,0.33,0.34,0.32,0.32,6000,0.32
2009-05-05,0.34,0.34,0.32,0.32,12400,0.32
2009-05-04,0.34,0.34,0.34,0.34,4000,0.34
2009-04-14,0.35,0.35,0.35,0.35,500,0.35
2009-04-08,0.34,0.34,0.34,0.34,2000,0.34
2009-03-23,0.32,0.32,0.32,0.32,500,0.32
2009-03-11,0.34,0.34,0.34,0.34,2000,0.34
2008-12-23,0.34,0.34,0.34,0.34,1500,0.34
2008-11-28,0.37,0.37,0.37,0.37,500,0.37
2008-11-27,0.41,0.41,0.41,0.41,500,0.41
2008-11-26,0.45,0.45,0.45,0.45,500,0.45
2008-11-25,0.50,0.50,0.50,0.50,500,0.50
2008-11-11,0.52,0.52,0.52,0.52,400,0.52
2008-11-05,0.51,0.56,0.51,0.56,2100,0.56
2008-10-09,0.56,0.56,0.56,0.56,000,0.56
2008-09-24,0.62,0.62,0.62,0.62,300,0.62
2008-08-28,0.68,0.68,0.68,0.68,000,0.68
2008-08-26,0.75,0.75,0.75,0.75,000,0.75
2008-06-27,0.80,0.80,0.80,0.80,000,0.80
2008-06-20,0.84,0.84,0.84,0.84,000,0.84
2008-06-10,0.81,0.86,0.81,0.86,100,0.86
2008-06-09,0.80,0.80,0.80,0.80,000,0.80
2008-06-06,0.85,0.85,0.81,0.81,000,0.81
2008-05-23,0.86,0.86,0.86,0.86,000,0.86
2008-05-22,0.83,0.83,0.83,0.83,000,0.83
2008-05-21,0.80,0.85,0.80,0.85,200,0.85
2008-05-20,0.82,0.82,0.80,0.80,000,0.80
2008-05-14,0.84,0.84,0.84,0.84,000,0.84
