Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.24,0.24,0.24,0.24,000,0.24
2013-05-22,0.22,0.24,0.22,0.24,100,0.24
2013-05-21,0.24,0.24,0.24,0.24,000,0.24
2013-05-20,0.24,0.24,0.22,0.24,1100,0.24
2013-05-17,0.24,0.24,0.24,0.24,21100,0.24
2013-05-16,0.27,0.27,0.27,0.27,000,0.27
2013-05-15,0.27,0.27,0.27,0.27,000,0.27
2013-05-14,0.27,0.27,0.27,0.27,6100,0.27
2013-05-13,0.24,0.27,0.24,0.27,400,0.27
2013-05-10,0.24,0.26,0.24,0.26,000,0.26
2013-05-09,0.24,0.27,0.24,0.27,100,0.27
2013-05-08,0.27,0.27,0.27,0.27,000,0.27
2013-05-07,0.27,0.27,0.27,0.27,000,0.27
2013-05-06,0.27,0.27,0.27,0.27,000,0.27
2013-05-03,0.27,0.27,0.27,0.27,000,0.27
2013-05-02,0.27,0.27,0.27,0.27,000,0.27
2013-05-01,0.27,0.27,0.27,0.27,000,0.27
2013-04-30,0.26,0.27,0.26,0.27,000,0.27
2013-04-29,0.26,0.26,0.26,0.26,000,0.26
2013-04-26,0.26,0.26,0.26,0.26,000,0.26
2013-04-25,0.26,0.26,0.26,0.26,000,0.26
2013-04-24,0.26,0.26,0.26,0.26,000,0.26
2013-04-23,0.22,0.26,0.22,0.26,100,0.26
2013-04-22,0.24,0.24,0.24,0.24,000,0.24
2013-04-19,0.24,0.24,0.24,0.24,1000,0.24
2013-04-18,0.22,0.22,0.22,0.22,4600,0.22
2013-04-17,0.20,0.23,0.20,0.22,16900,0.22
2013-04-16,0.22,0.22,0.22,0.22,2100,0.22
2013-04-15,0.24,0.24,0.24,0.24,7500,0.24
2013-04-12,0.26,0.28,0.26,0.27,700,0.27
2013-04-11,0.26,0.29,0.26,0.29,200,0.29
2013-04-10,0.29,0.29,0.29,0.29,000,0.29
2013-04-09,0.29,0.29,0.29,0.29,000,0.29
2013-04-08,0.24,0.29,0.24,0.29,000,0.29
2013-04-05,0.27,0.27,0.27,0.27,1500,0.27
2013-04-04,0.30,0.30,0.30,0.30,000,0.30
2013-04-03,0.30,0.30,0.30,0.30,000,0.30
2013-04-02,0.30,0.30,0.30,0.30,000,0.30
2013-04-01,0.30,0.30,0.30,0.30,000,0.30
2013-03-29,0.30,0.30,0.30,0.30,000,0.30
2013-03-28,0.30,0.30,0.30,0.30,000,0.30
2013-03-27,0.26,0.30,0.26,0.30,000,0.30
2013-03-26,0.28,0.28,0.28,0.28,000,0.28
2013-03-25,0.28,0.28,0.28,0.28,000,0.28
2013-03-22,0.28,0.28,0.28,0.28,000,0.28
2013-03-21,0.31,0.31,0.31,0.31,000,0.31
2013-03-20,0.28,0.31,0.28,0.31,000,0.31
2013-03-19,0.31,0.31,0.31,0.31,800,0.31
2013-03-18,0.32,0.32,0.32,0.32,000,0.32
2013-03-15,0.32,0.32,0.32,0.32,000,0.32
2013-03-14,0.32,0.32,0.32,0.32,000,0.32
2013-03-13,0.32,0.32,0.32,0.32,000,0.32
2013-03-12,0.32,0.32,0.32,0.32,000,0.32
2013-03-11,0.32,0.32,0.32,0.32,000,0.32
2013-03-08,0.32,0.32,0.32,0.32,000,0.32
2013-03-07,0.32,0.32,0.32,0.32,000,0.32
2013-03-06,0.29,0.32,0.29,0.32,000,0.32
2013-03-05,0.32,0.32,0.32,0.32,100,0.32
2013-03-04,0.32,0.32,0.32,0.32,000,0.32
2013-03-01,0.32,0.32,0.32,0.32,000,0.32
2013-02-28,0.27,0.32,0.27,0.32,500,0.32
2013-02-27,0.30,0.30,0.30,0.30,000,0.30
2013-02-26,0.30,0.30,0.30,0.30,000,0.30
2013-02-25,0.29,0.30,0.29,0.30,3500,0.30
2013-02-22,0.32,0.32,0.32,0.32,1000,0.32
2013-02-21,0.35,0.35,0.35,0.35,000,0.35
2013-02-20,0.35,0.35,0.35,0.35,000,0.35
2013-02-19,0.35,0.35,0.35,0.35,000,0.35
2013-02-18,0.32,0.32,0.32,0.32,000,0.32
2013-02-15,0.32,0.32,0.32,0.32,000,0.32
2013-02-14,0.32,0.32,0.29,0.32,6200,0.32
2013-02-13,0.32,0.32,0.32,0.32,000,0.32
2013-02-12,0.32,0.32,0.32,0.32,000,0.32
2013-02-11,0.32,0.32,0.32,0.32,000,0.32
2013-02-08,0.31,0.33,0.31,0.32,000,0.32
2013-02-07,0.34,0.34,0.34,0.34,000,0.34
2013-02-06,0.31,0.34,0.31,0.34,4000,0.34
2013-02-05,0.30,0.32,0.29,0.31,5000,0.31
2013-02-04,0.32,0.32,0.32,0.32,000,0.32
2013-02-01,0.32,0.32,0.32,0.32,900,0.32
2013-01-31,0.29,0.36,0.29,0.36,2400,0.36
2013-01-30,0.32,0.32,0.32,0.32,000,0.32
2013-01-29,0.33,0.33,0.32,0.32,1300,0.32
2013-01-28,0.33,0.36,0.33,0.36,1800,0.36
2013-01-25,0.33,0.36,0.33,0.36,100,0.36
2013-01-24,0.33,0.36,0.32,0.36,3000,0.36
2013-01-23,0.36,0.36,0.36,0.36,000,0.36
2013-01-22,0.36,0.36,0.36,0.36,3000,0.36
2013-01-21,0.29,0.35,0.29,0.35,3100,0.35
2013-01-18,0.32,0.32,0.32,0.32,000,0.32
2013-01-17,0.32,0.32,0.32,0.32,000,0.32
2013-01-16,0.32,0.32,0.32,0.32,000,0.32
2013-01-15,0.32,0.32,0.32,0.32,000,0.32
2013-01-14,0.32,0.32,0.32,0.32,800,0.32
2013-01-11,0.35,0.36,0.35,0.36,1300,0.36
2013-01-10,0.34,0.34,0.34,0.34,000,0.34
2013-01-09,0.31,0.34,0.31,0.34,1100,0.34
2013-01-08,0.34,0.34,0.30,0.34,3000,0.34
2013-01-07,0.32,0.33,0.32,0.33,2600,0.33
2013-01-04,0.35,0.35,0.35,0.35,000,0.35
2013-01-03,0.30,0.32,0.30,0.32,6400,0.32
2013-01-02,0.29,0.29,0.29,0.29,1500,0.29
2013-01-01,0.30,0.30,0.30,0.30,000,0.30
2012-12-31,0.30,0.30,0.30,0.30,000,0.30
2012-12-28,0.30,0.30,0.30,0.30,3000,0.30
2012-12-27,0.29,0.29,0.29,0.29,5000,0.29
2012-12-26,0.29,0.29,0.29,0.29,000,0.29
2012-12-25,0.29,0.29,0.29,0.29,000,0.29
2012-12-24,0.29,0.29,0.29,0.29,000,0.29
2012-12-21,0.29,0.29,0.29,0.29,000,0.29
2012-12-20,0.29,0.29,0.29,0.29,000,0.29
2012-12-19,0.25,0.30,0.25,0.29,2900,0.29
2012-12-18,0.28,0.28,0.28,0.28,2000,0.28
2012-12-17,0.26,0.28,0.26,0.28,3100,0.28
2012-12-14,0.25,0.29,0.25,0.29,800,0.29
2012-12-13,0.28,0.28,0.28,0.28,2700,0.28
2012-12-12,0.31,0.31,0.31,0.31,000,0.31
2012-12-11,0.31,0.31,0.28,0.31,1300,0.31
2012-12-10,0.31,0.31,0.31,0.31,300,0.31
2012-12-07,0.28,0.28,0.28,0.28,000,0.28
2012-12-06,0.28,0.28,0.28,0.28,000,0.28
2012-12-05,0.28,0.28,0.28,0.28,000,0.28
2012-12-04,0.28,0.28,0.28,0.28,000,0.28
2012-12-03,0.28,0.28,0.28,0.28,000,0.28
2012-11-30,0.28,0.28,0.28,0.28,000,0.28
2012-11-29,0.28,0.28,0.28,0.28,000,0.28
2012-11-28,0.28,0.28,0.28,0.28,000,0.28
2012-11-27,0.28,0.28,0.28,0.28,000,0.28
2012-11-26,0.23,0.28,0.23,0.28,100,0.28
2012-11-23,0.24,0.26,0.24,0.26,000,0.26
2012-11-22,0.26,0.26,0.26,0.26,2500,0.26
2012-11-21,0.27,0.27,0.27,0.27,000,0.27
2012-11-20,0.25,0.27,0.25,0.27,2000,0.27
2012-11-19,0.25,0.25,0.25,0.25,000,0.25
2012-11-16,0.25,0.25,0.25,0.25,000,0.25
2012-11-15,0.25,0.25,0.25,0.25,000,0.25
2012-11-14,0.25,0.25,0.25,0.25,000,0.25
2012-11-13,0.25,0.25,0.25,0.25,000,0.25
2012-11-12,0.25,0.25,0.25,0.25,2100,0.25
2012-11-09,0.25,0.25,0.25,0.25,000,0.25
2012-11-08,0.25,0.25,0.25,0.25,000,0.25
2012-11-07,0.25,0.25,0.25,0.25,000,0.25
