Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.63,0.63,0.63,0.63,2500,0.63
2013-05-22,0.63,0.63,0.63,0.63,000,0.63
2013-05-21,0.60,0.70,0.60,0.70,100,0.70
2013-05-20,0.65,0.65,0.65,0.65,6000,0.65
2013-05-17,0.54,0.59,0.49,0.59,3700,0.59
2013-05-16,0.54,0.54,0.54,0.54,200,0.54
2013-05-15,0.53,0.60,0.53,0.60,1000,0.60
2013-05-14,0.53,0.59,0.53,0.59,100,0.59
2013-05-13,0.58,0.59,0.53,0.59,1200,0.59
2013-05-10,0.58,0.59,0.54,0.59,3500,0.59
2013-05-09,0.57,0.64,0.54,0.60,7200,0.60
2013-05-08,0.58,0.58,0.58,0.58,000,0.58
2013-05-07,0.58,0.58,0.58,0.58,000,0.58
2013-05-06,0.58,0.58,0.58,0.58,000,0.58
2013-05-03,0.58,0.58,0.58,0.58,000,0.58
2013-05-02,0.58,0.58,0.58,0.58,000,0.58
2013-05-01,0.58,0.58,0.58,0.58,000,0.58
2013-04-30,0.53,0.58,0.53,0.58,400,0.58
2013-04-29,0.53,0.53,0.53,0.53,300,0.53
2013-04-26,0.45,0.48,0.45,0.48,900,0.48
2013-04-25,0.44,0.44,0.44,0.44,000,0.44
2013-04-24,0.40,0.44,0.40,0.44,500,0.44
2013-04-23,0.40,0.44,0.40,0.44,200,0.44
2013-04-22,0.40,0.40,0.40,0.40,000,0.40
2013-04-19,0.40,0.40,0.40,0.40,000,0.40
2013-04-18,0.33,0.36,0.33,0.36,000,0.36
2013-04-17,0.33,0.33,0.33,0.33,000,0.33
2013-04-16,0.30,0.30,0.30,0.30,000,0.30
2013-04-15,0.30,0.30,0.30,0.30,000,0.30
2013-04-12,0.30,0.30,0.30,0.30,000,0.30
2013-04-11,0.30,0.30,0.30,0.30,000,0.30
2013-04-10,0.30,0.30,0.30,0.30,000,0.30
2013-04-09,0.30,0.30,0.30,0.30,000,0.30
2013-04-08,0.30,0.30,0.30,0.30,000,0.30
2013-04-05,0.33,0.33,0.30,0.30,500,0.30
2013-04-04,0.33,0.33,0.33,0.33,700,0.33
2013-04-03,0.37,0.37,0.37,0.37,000,0.37
2013-04-02,0.37,0.37,0.37,0.37,000,0.37
2013-04-01,0.41,0.41,0.41,0.41,000,0.41
2013-03-29,0.41,0.41,0.41,0.41,000,0.41
2013-03-28,0.41,0.41,0.41,0.41,000,0.41
2013-03-27,0.41,0.41,0.41,0.41,000,0.41
2013-03-26,0.41,0.41,0.41,0.41,000,0.41
2013-03-25,0.41,0.41,0.41,0.41,000,0.41
2013-03-22,0.41,0.41,0.41,0.41,000,0.41
2013-03-21,0.36,0.40,0.36,0.40,200,0.40
2013-03-20,0.36,0.36,0.36,0.36,100,0.36
2013-03-19,0.38,0.38,0.38,0.38,100,0.38
2013-03-18,0.38,0.38,0.38,0.38,000,0.38
2013-03-15,0.32,0.38,0.32,0.38,000,0.38
2013-03-14,0.32,0.35,0.32,0.35,400,0.35
2013-03-13,0.32,0.32,0.32,0.32,000,0.32
2013-03-12,0.35,0.35,0.35,0.35,000,0.35
2013-03-11,0.35,0.35,0.35,0.35,000,0.35
2013-03-08,0.37,0.37,0.37,0.37,000,0.37
2013-03-07,0.44,0.44,0.37,0.37,000,0.37
2013-03-06,0.40,0.40,0.40,0.40,000,0.40
2013-03-05,0.40,0.42,0.40,0.40,000,0.40
2013-03-04,0.38,0.38,0.38,0.38,200,0.38
2013-03-01,0.41,0.41,0.41,0.41,500,0.41
2013-02-28,0.41,0.41,0.41,0.41,000,0.41
2013-02-27,0.39,0.39,0.39,0.39,000,0.39
2013-02-26,0.43,0.43,0.43,0.43,000,0.43
2013-02-25,0.43,0.43,0.43,0.43,000,0.43
2013-02-22,0.42,0.43,0.42,0.43,000,0.43
2013-02-21,0.44,0.47,0.44,0.47,300,0.47
2013-02-20,0.45,0.45,0.45,0.45,000,0.45
2013-02-19,0.45,0.45,0.45,0.45,000,0.45
2013-02-18,0.50,0.50,0.50,0.50,1100,0.50
2013-02-15,0.50,0.50,0.50,0.50,000,0.50
2013-02-14,0.46,0.56,0.46,0.50,1000,0.50
2013-02-13,0.50,0.50,0.50,0.50,000,0.50
2013-02-12,0.42,0.50,0.42,0.50,100,0.50
2013-02-11,0.46,0.46,0.46,0.46,000,0.46
2013-02-08,0.50,0.55,0.50,0.50,1600,0.50
2013-02-07,0.54,0.54,0.54,0.54,000,0.54
2013-02-06,0.50,0.60,0.50,0.60,000,0.60
2013-02-05,0.56,0.56,0.56,0.56,000,0.56
2013-02-04,0.56,0.56,0.56,0.56,000,0.56
2013-02-01,0.56,0.56,0.56,0.56,000,0.56
2013-01-31,0.56,0.56,0.56,0.56,000,0.56
2013-01-30,0.54,0.56,0.54,0.56,100,0.56
2013-01-29,0.55,0.55,0.52,0.54,3700,0.54
2013-01-28,0.48,0.52,0.48,0.52,200,0.52
2013-01-25,0.44,0.48,0.44,0.48,100,0.48
2013-01-24,0.41,0.44,0.41,0.44,4800,0.44
2013-01-23,0.41,0.41,0.41,0.41,000,0.41
2013-01-22,0.45,0.45,0.41,0.41,500,0.41
2013-01-21,0.37,0.45,0.37,0.45,500,0.45
2013-01-18,0.41,0.41,0.41,0.41,000,0.41
2013-01-17,0.41,0.41,0.41,0.41,000,0.41
2013-01-16,0.41,0.41,0.41,0.41,000,0.41
2013-01-15,0.43,0.44,0.43,0.44,2000,0.44
2013-01-14,0.43,0.43,0.43,0.43,000,0.43
2013-01-11,0.47,0.47,0.47,0.47,000,0.47
2013-01-10,0.47,0.47,0.47,0.47,000,0.47
2013-01-09,0.43,0.43,0.43,0.43,000,0.43
2013-01-08,0.42,0.42,0.42,0.42,000,0.42
2013-01-07,0.40,0.40,0.40,0.40,000,0.40
2013-01-04,0.41,0.41,0.41,0.41,000,0.41
2013-01-03,0.41,0.41,0.41,0.41,000,0.41
2013-01-02,0.40,0.40,0.40,0.40,000,0.40
2013-01-01,0.40,0.40,0.40,0.40,000,0.40
2012-12-31,0.40,0.40,0.40,0.40,000,0.40
2012-12-28,0.40,0.40,0.40,0.40,000,0.40
2012-12-27,0.37,0.37,0.37,0.37,000,0.37
2012-12-26,0.41,0.41,0.41,0.41,000,0.41
2012-12-25,0.41,0.41,0.41,0.41,000,0.41
2012-12-24,0.41,0.41,0.41,0.41,000,0.41
2012-12-21,0.41,0.41,0.41,0.41,000,0.41
2012-12-20,0.45,0.45,0.45,0.45,000,0.45
2012-12-19,0.45,0.45,0.45,0.45,000,0.45
2012-12-18,0.50,0.50,0.50,0.50,000,0.50
2012-12-17,0.50,0.50,0.50,0.50,000,0.50
2012-12-14,0.50,0.50,0.50,0.50,100,0.50
2012-12-13,0.53,0.53,0.53,0.53,000,0.53
2012-12-12,0.45,0.53,0.45,0.53,200,0.53
2012-12-11,0.49,0.49,0.49,0.49,000,0.49
2012-12-10,0.49,0.49,0.49,0.49,000,0.49
2012-12-07,0.42,0.49,0.42,0.49,000,0.49
2012-12-06,0.50,0.55,0.45,0.45,1000,0.45
2012-12-05,0.50,0.50,0.50,0.50,200,0.50
2012-12-04,0.45,0.45,0.45,0.45,000,0.45
2012-12-03,0.45,0.45,0.45,0.45,000,0.45
2012-11-30,0.45,0.45,0.45,0.45,000,0.45
2012-11-29,0.50,0.50,0.50,0.50,000,0.50
2012-11-28,0.50,0.50,0.50,0.50,000,0.50
2012-11-27,0.50,0.50,0.50,0.50,000,0.50
2012-11-26,0.50,0.50,0.50,0.50,000,0.50
2012-11-23,0.50,0.50,0.50,0.50,000,0.50
2012-11-22,0.50,0.50,0.50,0.50,000,0.50
2012-11-21,0.50,0.50,0.50,0.50,000,0.50
2012-11-20,0.50,0.50,0.50,0.50,000,0.50
2012-11-19,0.50,0.50,0.50,0.50,000,0.50
2012-11-16,0.50,0.50,0.50,0.50,000,0.50
2012-11-15,0.50,0.50,0.50,0.50,1000,0.50
2012-11-14,0.50,0.50,0.50,0.50,000,0.50
2012-11-13,0.50,0.50,0.50,0.50,000,0.50
2012-11-12,0.50,0.50,0.50,0.50,000,0.50
2012-11-09,0.50,0.50,0.50,0.50,000,0.50
2012-11-08,0.50,0.50,0.50,0.50,000,0.50
2012-11-07,0.50,0.50,0.50,0.50,000,0.50
2012-11-06,0.50,0.50,0.50,0.50,000,0.50
2012-11-05,0.50,0.50,0.50,0.50,000,0.50
2012-11-02,0.50,0.50,0.50,0.50,000,0.50
2012-11-01,0.50,0.50,0.50,0.50,000,0.50
2012-10-31,0.50,0.50,0.50,0.50,000,0.50
2012-10-30,0.50,0.50,0.50,0.50,000,0.50
2012-10-29,0.50,0.50,0.50,0.50,000,0.50
2012-10-26,0.50,0.50,0.50,0.50,000,0.50
2012-10-25,0.50,0.50,0.50,0.50,000,0.50
2012-10-24,0.50,0.50,0.50,0.50,000,0.50
2012-10-23,0.50,0.50,0.50,0.50,000,0.50
2012-10-22,0.50,0.50,0.50,0.50,200,0.50
2012-10-19,0.41,0.45,0.41,0.45,1500,0.45
2012-10-18,0.41,0.45,0.41,0.45,1000,0.45
2012-10-17,0.45,0.45,0.45,0.45,5200,0.45
2012-10-16,0.41,0.41,0.41,0.41,000,0.41
2012-10-15,0.41,0.41,0.41,0.41,000,0.41
2012-10-12,0.37,0.41,0.37,0.41,200,0.41
2012-10-11,0.38,0.38,0.38,0.38,000,0.38
2012-10-10,0.36,0.38,0.36,0.38,000,0.38
2012-10-09,0.39,0.39,0.39,0.39,000,0.39
2012-10-08,0.39,0.39,0.39,0.39,000,0.39
2012-10-05,0.39,0.43,0.39,0.43,000,0.43
2012-10-04,0.36,0.41,0.36,0.39,200,0.39
2012-10-03,0.37,0.37,0.37,0.37,000,0.37
2012-10-02,0.37,0.37,0.37,0.37,000,0.37
2012-10-01,0.41,0.41,0.41,0.41,400,0.41
2012-09-28,0.45,0.45,0.45,0.45,2100,0.45
2012-09-27,0.44,0.44,0.44,0.44,000,0.44
2012-09-26,0.44,0.44,0.44,0.44,400,0.44
2012-09-25,0.49,0.49,0.49,0.49,000,0.49
2012-09-24,0.49,0.49,0.49,0.49,1900,0.49
2012-09-21,0.54,0.54,0.54,0.54,100,0.54
2012-09-20,0.60,0.60,0.60,0.60,000,0.60
2012-09-19,0.67,0.67,0.67,0.67,000,0.67
2012-09-18,0.67,0.67,0.67,0.67,000,0.67
2012-09-17,0.67,0.67,0.67,0.67,000,0.67
2012-09-14,0.67,0.67,0.67,0.67,000,0.67
2012-09-13,0.67,0.67,0.67,0.67,000,0.67
2012-09-12,0.67,0.67,0.67,0.67,000,0.67
2012-09-11,0.67,0.67,0.67,0.67,000,0.67
2012-09-10,0.67,0.67,0.67,0.67,000,0.67
2012-09-07,0.67,0.67,0.67,0.67,000,0.67
2012-09-06,0.67,0.67,0.67,0.67,000,0.67
2012-09-05,0.67,0.67,0.67,0.67,000,0.67
2012-09-04,0.67,0.67,0.67,0.67,000,0.67
2012-09-03,0.67,0.67,0.67,0.67,000,0.67
2012-08-31,0.67,0.67,0.67,0.67,000,0.67
2012-08-30,0.67,0.67,0.67,0.67,000,0.67
2012-08-29,0.67,0.67,0.67,0.67,000,0.67
2012-08-28,0.67,0.67,0.67,0.67,000,0.67
2012-08-27,0.67,0.67,0.67,0.67,000,0.67
2012-08-24,0.67,0.67,0.67,0.67,000,0.67
2012-08-23,0.67,0.67,0.67,0.67,000,0.67
2012-08-22,0.67,0.67,0.67,0.67,000,0.67
2012-08-21,0.75,0.75,0.75,0.75,000,0.75
2012-08-20,0.75,0.75,0.75,0.75,000,0.75
