Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.27,0.34,0.27,0.34,000,0.34
2013-05-22,0.38,0.38,0.27,0.37,3000,0.37
2013-05-21,0.30,0.39,0.30,0.38,6200,0.38
2013-05-20,0.41,0.41,0.41,0.41,000,0.41
2013-05-17,0.41,0.41,0.41,0.41,000,0.41
2013-05-16,0.41,0.41,0.41,0.41,000,0.41
2013-05-15,0.35,0.38,0.32,0.38,1900,0.38
2013-05-14,0.41,0.41,0.30,0.41,2100,0.41
2013-05-13,0.34,0.34,0.34,0.34,000,0.34
2013-05-10,0.34,0.41,0.34,0.34,1200,0.34
2013-05-09,0.38,0.38,0.38,0.38,000,0.38
2013-05-08,0.34,0.38,0.32,0.38,4900,0.38
2013-05-07,0.46,0.46,0.46,0.46,000,0.46
2013-05-06,0.46,0.46,0.46,0.46,000,0.46
2013-05-03,0.46,0.46,0.46,0.46,000,0.46
2013-05-02,0.46,0.46,0.46,0.46,000,0.46
2013-05-01,0.46,0.46,0.46,0.46,000,0.46
2013-04-30,0.46,0.46,0.46,0.46,000,0.46
2013-04-29,0.46,0.46,0.46,0.46,000,0.46
2013-04-26,0.43,0.43,0.43,0.43,000,0.43
2013-04-25,0.43,0.43,0.43,0.43,000,0.43
2013-04-24,0.43,0.43,0.43,0.43,000,0.43
2013-04-23,0.42,0.43,0.42,0.43,000,0.43
2013-04-22,0.40,0.40,0.34,0.39,5000,0.39
2013-04-19,0.38,0.38,0.38,0.38,000,0.38
2013-04-18,0.38,0.38,0.38,0.38,000,0.38
2013-04-17,0.35,0.35,0.35,0.35,1200,0.35
2013-04-16,0.39,0.39,0.39,0.39,000,0.39
2013-04-15,0.39,0.39,0.39,0.39,000,0.39
2013-04-12,0.38,0.38,0.38,0.38,000,0.38
2013-04-11,0.29,0.34,0.29,0.34,3300,0.34
2013-04-10,0.32,0.32,0.28,0.31,5200,0.31
2013-04-09,0.37,0.37,0.31,0.31,27000,0.31
2013-04-08,0.38,0.38,0.34,0.34,6200,0.34
2013-04-05,0.38,0.38,0.38,0.38,000,0.38
2013-04-04,0.38,0.38,0.38,0.38,000,0.38
