Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.32,0.36,0.32,0.34,13500,0.34
2013-05-22,0.35,0.36,0.34,0.36,1300,0.36
2013-05-21,0.38,0.38,0.35,0.35,5200,0.35
2013-05-20,0.38,0.38,0.35,0.36,13800,0.36
2013-05-17,0.35,0.39,0.35,0.38,65700,0.38
2013-05-16,0.33,0.38,0.33,0.38,11600,0.38
2013-05-15,0.34,0.37,0.34,0.36,96300,0.36
2013-05-14,0.31,0.34,0.30,0.33,75800,0.33
2013-05-13,0.29,0.31,0.29,0.31,20900,0.31
2013-05-10,0.32,0.33,0.29,0.30,20600,0.30
2013-05-09,0.32,0.33,0.29,0.32,2800,0.32
2013-05-08,0.29,0.32,0.28,0.32,39700,0.32
2013-05-07,0.28,0.28,0.28,0.28,000,0.28
2013-05-06,0.28,0.28,0.28,0.28,000,0.28
2013-05-03,0.28,0.28,0.28,0.28,000,0.28
2013-05-02,0.27,0.28,0.27,0.28,7100,0.28
2013-05-01,0.27,0.27,0.27,0.27,000,0.27
2013-04-30,0.27,0.27,0.27,0.27,000,0.27
2013-04-29,0.27,0.27,0.26,0.26,27700,0.26
2013-04-26,0.28,0.28,0.26,0.27,3300,0.27
2013-04-25,0.27,0.28,0.26,0.27,117100,0.27
2013-04-24,0.27,0.30,0.27,0.28,34400,0.28
2013-04-23,0.30,0.31,0.28,0.30,11300,0.30
2013-04-22,0.29,0.30,0.28,0.30,47200,0.30
2013-04-19,0.31,0.33,0.31,0.33,8700,0.33
2013-04-18,0.35,0.35,0.31,0.34,4700,0.34
2013-04-17,0.31,0.33,0.29,0.32,26100,0.32
2013-04-16,0.31,0.31,0.28,0.30,128200,0.30
2013-04-15,0.33,0.33,0.28,0.29,14800,0.29
2013-04-12,0.31,0.31,0.27,0.31,57000,0.31
2013-04-11,0.28,0.29,0.26,0.29,3600,0.29
2013-04-10,0.24,0.28,0.24,0.28,6200,0.28
2013-04-09,0.26,0.27,0.26,0.27,7100,0.27
2013-04-08,0.25,0.27,0.25,0.26,2900,0.26
2013-04-05,0.28,0.28,0.26,0.26,5000,0.26
2013-04-04,0.29,0.29,0.29,0.29,000,0.29
2013-04-03,0.26,0.29,0.26,0.29,2000,0.29
2013-04-02,0.29,0.30,0.29,0.29,1400,0.29
2013-04-01,0.28,0.28,0.28,0.28,000,0.28
2013-03-29,0.28,0.28,0.28,0.28,000,0.28
2013-03-28,0.29,0.29,0.27,0.28,1500,0.28
2013-03-27,0.28,0.29,0.26,0.27,1700,0.27
2013-03-26,0.29,0.31,0.28,0.28,3500,0.28
2013-03-25,0.31,0.31,0.31,0.31,000,0.31
2013-03-22,0.33,0.33,0.29,0.31,500,0.31
2013-03-21,0.31,0.31,0.31,0.31,000,0.31
2013-03-20,0.31,0.32,0.30,0.30,5200,0.30
2013-03-19,0.30,0.31,0.30,0.30,25400,0.30
2013-03-18,0.33,0.33,0.33,0.33,000,0.33
2013-03-15,0.33,0.33,0.31,0.33,10100,0.33
2013-03-14,0.39,0.39,0.33,0.33,33400,0.33
2013-03-13,0.38,0.38,0.38,0.38,000,0.38
2013-03-12,0.38,0.38,0.38,0.38,000,0.38
2013-03-11,0.33,0.38,0.33,0.37,20400,0.37
2013-03-08,0.36,0.37,0.33,0.37,1800,0.37
2013-03-07,0.35,0.37,0.32,0.32,11700,0.32
2013-03-06,0.33,0.33,0.33,0.33,1100,0.33
