Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.60,0.60,0.57,0.58,40200,0.58
2013-05-22,0.62,0.62,0.58,0.60,49100,0.60
2013-05-21,0.61,0.62,0.59,0.60,78900,0.60
2013-05-20,0.65,0.67,0.62,0.63,62000,0.63
2013-05-17,0.67,0.67,0.64,0.65,59700,0.65
2013-05-16,0.65,0.67,0.64,0.67,143200,0.67
2013-05-15,0.64,0.67,0.64,0.67,148400,0.67
2013-05-14,0.61,0.63,0.61,0.63,44000,0.63
2013-05-13,0.63,0.64,0.60,0.64,74500,0.64
2013-05-10,0.60,0.62,0.60,0.60,48400,0.60
2013-05-09,0.60,0.61,0.58,0.61,137600,0.61
2013-05-08,0.57,0.60,0.57,0.59,179100,0.59
2013-05-07,0.56,0.56,0.56,0.56,000,0.56
2013-05-06,0.56,0.56,0.56,0.56,000,0.56
2013-05-03,0.56,0.56,0.56,0.56,000,0.56
2013-05-02,0.56,0.56,0.54,0.56,10200,0.56
2013-05-01,0.56,0.56,0.56,0.56,000,0.56
2013-04-30,0.53,0.56,0.53,0.56,13200,0.56
2013-04-29,0.58,0.58,0.54,0.57,33200,0.57
2013-04-26,0.59,0.59,0.56,0.58,38900,0.58
2013-04-25,0.57,0.59,0.56,0.58,96400,0.58
2013-04-24,0.57,0.57,0.53,0.56,61400,0.56
2013-04-23,0.55,0.57,0.54,0.56,28700,0.56
2013-04-22,0.55,0.58,0.55,0.56,17700,0.56
2013-04-19,0.56,0.58,0.55,0.57,54100,0.57
2013-04-18,0.53,0.57,0.53,0.56,114300,0.56
2013-04-17,0.50,0.54,0.50,0.53,53800,0.53
2013-04-16,0.46,0.51,0.46,0.50,42600,0.50
2013-04-15,0.49,0.50,0.47,0.49,39900,0.49
2013-04-12,0.47,0.49,0.45,0.48,34000,0.48
2013-04-11,0.45,0.48,0.45,0.48,45000,0.48
2013-04-10,0.42,0.45,0.42,0.45,74700,0.45
2013-04-09,0.40,0.44,0.40,0.42,90800,0.42
2013-04-08,0.43,0.43,0.38,0.41,123900,0.41
2013-04-05,0.44,0.46,0.43,0.43,18200,0.43
