Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.06,0.06,0.06,0.06,000,0.06
2013-05-22,0.06,0.06,0.06,0.06,1200,0.06
2013-05-21,0.06,0.06,0.06,0.06,000,0.06
2013-05-20,0.06,0.06,0.06,0.06,2700,0.06
2013-05-17,0.06,0.06,0.06,0.06,3200,0.06
2013-05-16,0.08,0.08,0.08,0.08,2500,0.08
2013-05-15,0.06,0.08,0.06,0.07,12600,0.07
2013-05-14,0.07,0.08,0.07,0.07,4000,0.07
2013-05-13,0.06,0.06,0.06,0.06,17400,0.06
2013-05-10,0.08,0.08,0.08,0.08,2000,0.08
2013-05-09,0.08,0.08,0.08,0.08,3500,0.08
2013-05-08,0.08,0.08,0.08,0.08,6000,0.08
2013-05-07,0.08,0.08,0.08,0.08,000,0.08
2013-05-06,0.08,0.08,0.08,0.08,000,0.08
2013-05-03,0.08,0.08,0.08,0.08,000,0.08
2013-05-02,0.08,0.08,0.08,0.08,1000,0.08
2013-05-01,0.07,0.07,0.07,0.07,000,0.07
2013-04-30,0.07,0.07,0.07,0.07,000,0.07
2013-04-29,0.06,0.06,0.06,0.06,100,0.06
2013-04-26,0.07,0.07,0.07,0.07,000,0.07
2013-04-25,0.06,0.08,0.06,0.07,2300,0.07
2013-04-24,0.06,0.08,0.06,0.07,900,0.07
2013-04-23,0.07,0.07,0.07,0.07,000,0.07
2013-04-22,0.06,0.09,0.06,0.07,3100,0.07
2013-04-19,0.08,0.08,0.08,0.08,16200,0.08
2013-04-18,0.10,0.10,0.10,0.10,50000,0.10
2013-04-17,0.10,0.10,0.10,0.10,000,0.10
2013-04-16,0.10,0.10,0.10,0.10,100,0.10
2013-04-15,0.08,0.08,0.08,0.08,1500,0.08
2013-04-12,0.08,0.08,0.08,0.08,1500,0.08
2013-04-11,0.08,0.08,0.08,0.08,000,0.08
2013-04-10,0.08,0.08,0.08,0.08,500,0.08
2013-04-09,0.08,0.08,0.06,0.07,36800,0.07
2013-04-08,0.08,0.08,0.08,0.08,29600,0.08
2013-04-05,0.08,0.08,0.08,0.08,16800,0.08
2013-04-04,0.06,0.06,0.06,0.06,12000,0.06
2013-04-03,0.05,0.05,0.05,0.05,2100,0.05
2013-04-02,0.05,0.05,0.05,0.05,000,0.05
2013-04-01,0.04,0.04,0.04,0.04,000,0.04
2013-03-29,0.04,0.04,0.04,0.04,000,0.04
2013-03-28,0.04,0.04,0.04,0.04,000,0.04
2013-03-27,0.04,0.04,0.04,0.04,600,0.04
2013-03-26,0.05,0.05,0.05,0.05,8200,0.05
2013-03-25,0.05,0.05,0.05,0.05,000,0.05
2013-03-22,0.05,0.05,0.05,0.05,25800,0.05
2013-03-21,0.05,0.05,0.05,0.05,4000,0.05
2013-03-20,0.05,0.05,0.05,0.05,000,0.05
2013-03-19,0.04,0.05,0.04,0.05,1100,0.05
2013-03-18,0.04,0.04,0.04,0.04,000,0.04
2013-03-15,0.04,0.05,0.04,0.04,43900,0.04
2013-03-14,0.05,0.05,0.04,0.04,18000,0.04
2013-03-13,0.04,0.04,0.04,0.04,600,0.04
2013-03-12,0.05,0.05,0.05,0.05,000,0.05
2013-03-11,0.05,0.05,0.05,0.05,101400,0.05
2013-03-08,0.05,0.05,0.05,0.05,74000,0.05
2013-03-07,0.05,0.05,0.05,0.05,19800,0.05
2013-03-06,0.04,0.05,0.04,0.05,5000,0.05
2013-03-05,0.05,0.05,0.05,0.05,2000,0.05
2013-03-04,0.05,0.05,0.05,0.05,25000,0.05
2013-03-01,0.06,0.06,0.06,0.06,25000,0.06
2013-02-28,0.06,0.06,0.06,0.06,20400,0.06
2013-02-27,0.06,0.06,0.06,0.06,30000,0.06
2013-02-26,0.08,0.08,0.08,0.08,000,0.08
2013-02-25,0.08,0.08,0.08,0.08,2000,0.08
2013-02-22,0.08,0.08,0.08,0.08,000,0.08
2013-02-21,0.08,0.08,0.08,0.08,4000,0.08
2013-02-20,0.08,0.08,0.08,0.08,000,0.08
2013-02-19,0.08,0.08,0.08,0.08,13100,0.08
2013-02-18,0.08,0.08,0.08,0.08,9300,0.08
2013-02-15,0.08,0.08,0.08,0.08,000,0.08
2013-02-14,0.08,0.09,0.08,0.08,700,0.08
2013-02-13,0.09,0.09,0.09,0.09,100,0.09
2013-02-12,0.09,0.09,0.09,0.09,000,0.09
2013-02-11,0.09,0.09,0.09,0.09,000,0.09
2013-02-08,0.09,0.09,0.08,0.09,1100,0.09
2013-02-07,0.09,0.09,0.09,0.09,800,0.09
2013-02-06,0.09,0.09,0.09,0.09,29400,0.09
2013-02-05,0.11,0.11,0.11,0.11,2000,0.11
2013-02-04,0.11,0.11,0.11,0.11,100,0.11
2013-02-01,0.10,0.10,0.10,0.10,34500,0.10
2013-01-31,0.09,0.09,0.09,0.09,26400,0.09
2013-01-30,0.06,0.08,0.06,0.07,16700,0.07
2013-01-29,0.06,0.06,0.06,0.06,5000,0.06
2013-01-28,0.08,0.08,0.08,0.08,100,0.08
2013-01-25,0.10,0.10,0.10,0.10,600,0.10
2013-01-24,0.10,0.10,0.09,0.10,9000,0.10
2013-01-23,0.10,0.10,0.10,0.10,33900,0.10
2013-01-22,0.09,0.09,0.09,0.09,100,0.09
2013-01-21,0.08,0.08,0.07,0.07,3400,0.07
2013-01-18,0.06,0.07,0.06,0.07,10000,0.07
2013-01-17,0.05,0.07,0.05,0.06,2100,0.06
2013-01-16,0.06,0.06,0.06,0.06,800,0.06
2013-01-15,0.06,0.09,0.06,0.08,1500,0.08
2013-01-14,0.10,0.10,0.08,0.08,6600,0.08
2013-01-11,0.09,0.11,0.09,0.10,26400,0.10
2013-01-10,0.10,0.10,0.07,0.09,12400,0.09
2013-01-09,0.08,0.08,0.08,0.08,3200,0.08
2013-01-08,0.10,0.10,0.10,0.10,18900,0.10
2013-01-07,0.10,0.10,0.10,0.10,000,0.10
2013-01-04,0.10,0.10,0.10,0.10,500,0.10
2013-01-03,0.10,0.10,0.10,0.10,3000,0.10
2013-01-02,0.10,0.10,0.10,0.10,000,0.10
2013-01-01,0.10,0.10,0.10,0.10,000,0.10
2012-12-31,0.10,0.10,0.10,0.10,000,0.10
2012-12-28,0.10,0.10,0.10,0.10,000,0.10
2012-12-27,0.10,0.10,0.10,0.10,20000,0.10
2012-12-26,0.10,0.10,0.10,0.10,000,0.10
2012-12-25,0.10,0.10,0.10,0.10,000,0.10
2012-12-24,0.10,0.10,0.10,0.10,000,0.10
2012-12-21,0.10,0.10,0.10,0.10,000,0.10
2012-12-20,0.10,0.10,0.10,0.10,10100,0.10
2012-12-19,0.08,0.08,0.08,0.08,100,0.08
2012-12-18,0.07,0.07,0.07,0.07,000,0.07
2012-12-17,0.07,0.07,0.07,0.07,000,0.07
2012-12-14,0.07,0.09,0.07,0.09,17000,0.09
2012-12-13,0.09,0.09,0.08,0.08,3700,0.08
2012-12-12,0.09,0.09,0.09,0.09,28800,0.09
2012-12-11,0.08,0.09,0.08,0.08,20000,0.08
2012-12-10,0.08,0.08,0.08,0.08,8500,0.08
2012-12-07,0.08,0.08,0.08,0.08,91500,0.08
2012-12-06,0.08,0.08,0.08,0.08,537300,0.08
2012-12-05,0.08,0.08,0.07,0.08,175200,0.08
2012-12-04,0.08,0.08,0.08,0.08,000,0.08
2012-12-03,0.08,0.08,0.08,0.08,1500,0.08
2012-11-30,0.07,0.07,0.07,0.07,1000,0.07
2012-11-29,0.07,0.07,0.07,0.07,3500,0.07
2012-11-28,0.09,0.09,0.09,0.09,500,0.09
2012-11-27,0.09,0.09,0.09,0.09,200,0.09
2012-11-26,0.09,0.09,0.09,0.09,000,0.09
2012-11-23,0.07,0.09,0.07,0.09,1700,0.09
2012-11-22,0.09,0.09,0.09,0.09,500,0.09
2012-11-21,0.09,0.09,0.09,0.09,6300,0.09
2012-11-20,0.09,0.09,0.09,0.09,7000,0.09
2012-11-19,0.09,0.09,0.09,0.09,000,0.09
2012-11-16,0.09,0.09,0.09,0.09,000,0.09
2012-11-15,0.09,0.09,0.09,0.09,000,0.09
2012-11-14,0.09,0.09,0.09,0.09,500,0.09
2012-11-13,0.07,0.07,0.07,0.07,300,0.07
2012-11-12,0.06,0.06,0.06,0.06,100,0.06
2012-11-09,0.05,0.05,0.05,0.05,1500,0.05
2012-11-08,0.06,0.06,0.06,0.06,000,0.06
2012-11-07,0.06,0.06,0.06,0.06,000,0.06
2012-11-06,0.06,0.06,0.06,0.06,000,0.06
2012-11-05,0.06,0.06,0.06,0.06,000,0.06
2012-11-02,0.06,0.06,0.06,0.06,000,0.06
2012-11-01,0.06,0.06,0.06,0.06,000,0.06
2012-10-31,0.06,0.06,0.06,0.06,5000,0.06
2012-10-30,0.07,0.07,0.07,0.07,000,0.07
2012-10-29,0.07,0.07,0.07,0.07,000,0.07
2012-10-26,0.07,0.07,0.07,0.07,000,0.07
2012-10-25,0.07,0.07,0.07,0.07,100,0.07
