Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,23.40,23.40,22.80,23.05,600,23.05
2013-05-22,22.52,23.80,22.52,23.77,300,23.77
2013-05-21,23.60,23.88,22.77,22.98,1700,22.98
2013-05-20,24.64,24.64,23.60,23.70,1600,23.70
2013-05-17,25.00,25.20,23.71,24.18,3200,24.18
2013-05-16,24.50,24.50,24.20,24.50,6200,24.50
2013-05-15,24.30,24.44,24.00,24.26,2300,24.26
2013-05-14,24.15,24.40,23.61,24.03,2700,24.03
2013-05-13,24.05,24.18,23.50,24.00,13900,24.00
2013-05-10,24.48,24.48,23.30,23.99,700,23.99
2013-05-09,23.54,24.60,23.54,23.80,1600,23.80
2013-05-08,23.20,24.60,23.10,24.50,9600,24.50
2013-05-07,22.72,22.72,22.72,22.72,000,22.72
2013-05-06,22.72,22.72,22.72,22.72,000,22.72
2013-05-03,22.72,22.72,22.72,22.72,000,22.72
2013-05-02,22.71,23.20,22.50,22.72,20500,22.72
2013-05-01,22.71,22.71,22.71,22.71,000,22.71
2013-04-30,22.74,23.00,22.60,22.71,3500,22.71
2013-04-29,22.30,22.50,21.62,22.47,700,22.47
2013-04-26,22.00,22.75,22.00,22.01,300,22.01
2013-04-25,21.68,22.78,21.68,22.33,2400,22.33
2013-04-24,22.60,22.78,22.44,22.45,3000,22.45
2013-04-23,22.59,22.60,22.10,22.58,1800,22.58
2013-04-22,22.64,22.80,22.10,22.50,900,22.50
2013-04-19,22.88,22.88,22.01,22.47,3500,22.47
2013-04-18,22.49,22.80,22.49,22.70,300,22.70
2013-04-17,22.50,22.50,22.00,22.44,700,22.44
2013-04-16,21.09,22.60,21.09,22.00,9200,22.00
2013-04-15,20.09,21.40,20.09,21.09,3700,21.09
2013-04-12,20.00,20.00,19.81,20.00,2700,20.00
2013-04-11,19.90,20.40,19.90,20.11,6800,20.11
2013-04-10,20.40,20.46,19.95,20.20,6100,20.20
2013-04-09,19.80,20.50,19.80,19.96,4200,19.96
2013-04-08,20.19,20.19,19.69,19.80,000,19.80
2013-04-05,20.44,20.44,19.82,19.82,000,19.82
2013-04-04,20.30,20.30,20.00,20.00,000,20.00
2013-04-03,19.80,20.45,19.40,19.59,4500,19.59
2013-04-02,19.80,20.54,19.74,19.74,3300,19.74
2013-04-01,19.92,19.92,19.92,19.92,000,19.92
2013-03-29,19.92,19.92,19.92,19.92,000,19.92
2013-03-28,20.15,20.29,19.58,19.92,600,19.92
2013-03-27,20.18,20.18,19.50,19.90,9700,19.90
2013-03-26,20.65,20.65,19.00,20.02,1800,20.02
2013-03-25,20.88,20.88,20.88,20.88,000,20.88
2013-03-22,20.11,21.00,20.11,20.88,2200,20.88
2013-03-21,21.47,21.48,20.70,20.83,1800,20.83
2013-03-20,21.65,22.10,20.61,21.30,200,21.30
2013-03-19,21.89,22.20,21.40,21.65,90900,21.65
2013-03-18,22.70,22.70,22.70,22.70,000,22.70
2013-03-15,22.79,22.79,22.12,22.70,2400,22.70
2013-03-14,22.48,23.00,22.04,22.04,3700,22.04
2013-03-13,20.60,22.48,20.60,22.06,2600,22.06
2013-03-12,21.50,21.69,20.71,21.45,2200,21.45
2013-03-11,21.26,21.88,21.26,21.30,300,21.30
2013-03-08,21.23,21.89,21.23,21.89,500,21.89
2013-03-07,22.60,23.00,21.60,21.94,3400,21.94
2013-03-06,22.48,22.60,22.00,22.50,1000,22.50
2013-03-05,22.00,22.48,21.80,22.48,5500,22.48
2013-03-04,22.27,22.50,21.92,22.36,700,22.36
2013-03-01,23.75,23.75,22.71,22.99,2100,22.99
2013-02-28,23.48,23.48,22.76,23.15,1700,23.15
2013-02-27,23.50,23.50,22.95,23.23,300,23.23
2013-02-26,22.92,23.50,22.92,23.05,1000,23.05
2013-02-25,22.66,23.82,22.44,23.82,6300,23.82
2013-02-22,22.90,22.90,21.70,22.66,900,22.66
2013-02-21,22.50,22.85,21.60,22.10,4500,22.10
2013-02-20,21.60,22.79,21.50,22.52,6700,22.52
2013-02-19,21.95,21.95,21.25,21.39,900,21.39
2013-02-18,21.10,21.70,21.10,21.62,1000,21.62
2013-02-15,21.79,21.79,20.95,21.01,100,21.01
2013-02-14,21.19,21.90,20.83,21.07,5500,21.07
2013-02-13,21.20,21.50,20.80,20.81,1200,20.81
2013-02-12,21.10,21.35,20.72,20.80,4300,20.80
2013-02-11,21.93,21.93,21.00,21.17,1800,21.17
2013-02-08,21.50,21.51,21.30,21.37,700,21.37
2013-02-07,21.14,21.95,21.02,21.51,1600,21.51
2013-02-06,21.00,22.00,21.00,22.00,5000,22.00
2013-02-05,20.78,21.65,20.64,21.00,7200,21.00
2013-02-04,20.50,21.00,20.00,20.72,3300,20.72
2013-02-01,21.24,22.13,21.24,21.50,1700,21.50
2013-01-31,22.35,22.48,20.65,21.98,4500,21.98
2013-01-30,23.00,23.30,22.35,22.56,1700,22.56
2013-01-29,23.30,23.80,22.84,22.92,1000,22.92
2013-01-28,23.50,23.50,23.10,23.30,1000,23.30
2013-01-25,23.30,23.89,23.20,23.79,1800,23.79
2013-01-24,23.60,23.60,23.00,23.39,1700,23.39
2013-01-23,23.38,23.99,23.00,23.18,7600,23.18
2013-01-22,23.32,23.40,22.70,23.38,400,23.38
2013-01-21,24.10,24.48,23.18,23.32,4000,23.32
2013-01-18,24.00,24.38,23.90,24.19,19300,24.19
2013-01-17,23.00,23.97,23.00,23.97,9700,23.97
2013-01-16,23.46,23.60,23.02,23.51,3900,23.51
2013-01-15,22.22,23.60,22.22,23.44,3800,23.44
2013-01-14,24.00,24.00,22.81,23.27,12200,23.27
2013-01-11,23.40,24.36,23.14,23.99,9900,23.99
2013-01-10,23.30,23.43,22.75,23.14,6700,23.14
2013-01-09,22.11,23.50,22.10,23.30,8600,23.30
2013-01-08,22.84,22.84,22.20,22.74,2000,22.74
2013-01-07,22.50,22.70,22.12,22.70,2000,22.70
2013-01-04,21.80,22.96,21.80,22.50,2300,22.50
2013-01-03,23.00,23.00,22.50,23.00,3500,23.00
