Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.65,1.73,1.62,1.67,3200,1.67
2013-05-22,1.59,1.75,1.59,1.71,6700,1.71
2013-05-21,1.70,1.76,1.63,1.68,12100,1.68
2013-05-20,1.79,1.79,1.71,1.77,2700,1.77
2013-05-17,1.72,1.85,1.66,1.81,32800,1.81
2013-05-16,1.80,1.80,1.70,1.75,8500,1.75
2013-05-15,1.78,1.84,1.73,1.75,24600,1.75
2013-05-14,1.94,1.94,1.76,1.78,16800,1.78
2013-05-13,2.00,2.00,1.86,1.86,9800,1.86
2013-05-10,1.95,2.00,1.91,1.91,21100,1.91
2013-05-09,1.99,2.02,1.91,2.00,26300,2.00
2013-05-08,1.90,1.97,1.83,1.95,67700,1.95
2013-05-07,1.85,1.85,1.85,1.85,000,1.85
2013-05-06,1.85,1.85,1.85,1.85,000,1.85
2013-05-03,1.85,1.85,1.85,1.85,000,1.85
2013-05-02,1.87,1.90,1.80,1.85,8700,1.85
2013-05-01,1.85,1.85,1.85,1.85,000,1.85
2013-04-30,1.80,1.87,1.75,1.85,1600,1.85
2013-04-29,1.85,1.88,1.82,1.87,1300,1.87
2013-04-26,1.90,1.95,1.80,1.90,12400,1.90
2013-04-25,1.95,1.97,1.89,1.89,10800,1.89
2013-04-24,1.84,1.98,1.76,1.86,14700,1.86
2013-04-23,1.78,1.84,1.78,1.83,4500,1.83
2013-04-22,1.79,1.85,1.75,1.85,5500,1.85
2013-04-19,1.77,1.81,1.72,1.80,36800,1.80
2013-04-18,1.80,1.85,1.75,1.80,14900,1.80
2013-04-17,1.84,1.86,1.76,1.84,6200,1.84
2013-04-16,1.95,1.95,1.75,1.80,8400,1.80
2013-04-15,1.82,1.85,1.76,1.81,47800,1.81
2013-04-12,1.55,1.80,1.55,1.76,11500,1.76
2013-04-11,1.65,1.69,1.60,1.67,41900,1.67
2013-04-10,1.65,1.66,1.59,1.65,19300,1.65
2013-04-09,1.45,1.65,1.45,1.63,11700,1.63
2013-04-08,1.48,1.64,1.48,1.60,2900,1.60
2013-04-05,1.74,1.74,1.53,1.64,6100,1.64
2013-04-04,1.55,1.72,1.55,1.61,3200,1.61
2013-04-03,1.19,1.73,1.19,1.67,6900,1.67
2013-04-02,1.69,1.69,1.60,1.65,1600,1.65
2013-04-01,1.69,1.69,1.69,1.69,000,1.69
2013-03-29,1.69,1.69,1.69,1.69,000,1.69
2013-03-28,1.71,1.71,1.62,1.69,300,1.69
2013-03-27,1.73,1.74,1.58,1.69,7700,1.69
2013-03-26,1.76,1.78,1.63,1.72,3500,1.72
2013-03-25,1.76,1.76,1.76,1.76,000,1.76
2013-03-22,1.75,1.76,1.65,1.76,7300,1.76
2013-03-21,1.72,1.78,1.65,1.78,8200,1.78
2013-03-20,1.59,1.67,1.48,1.65,1100,1.65
2013-03-19,1.57,1.69,1.55,1.55,5000,1.55
2013-03-18,1.73,1.73,1.73,1.73,000,1.73
2013-03-15,1.76,1.76,1.63,1.73,2400,1.73
2013-03-14,1.78,1.79,1.65,1.72,19500,1.72
2013-03-13,1.63,1.77,1.63,1.74,5900,1.74
2013-03-12,1.51,1.68,1.51,1.68,7800,1.68
2013-03-11,1.70,1.70,1.57,1.57,9700,1.57
2013-03-08,1.85,1.85,1.68,1.69,3700,1.69
2013-03-07,1.62,1.88,1.62,1.80,6800,1.80
2013-03-06,1.81,1.88,1.77,1.87,4700,1.87
2013-03-05,1.94,1.96,1.85,1.86,10500,1.86
2013-03-04,2.00,2.00,1.87,1.94,4300,1.94
2013-03-01,2.00,2.05,1.96,1.99,4200,1.99
2013-02-28,2.03,2.07,1.95,2.07,9300,2.07
2013-02-27,1.91,2.06,1.91,2.04,15000,2.04
2013-02-26,1.90,1.92,1.83,1.92,6400,1.92
2013-02-25,1.87,1.97,1.87,1.95,1700,1.95
2013-02-22,1.90,2.03,1.90,1.99,5400,1.99
2013-02-21,2.00,2.02,1.95,2.00,4900,2.00
2013-02-20,2.04,2.07,2.01,2.06,700,2.06
2013-02-19,2.06,2.14,2.06,2.06,4700,2.06
2013-02-18,2.07,2.14,2.06,2.11,3900,2.11
2013-02-15,2.06,2.12,2.02,2.12,12500,2.12
2013-02-14,2.18,2.18,1.98,2.07,14600,2.07
2013-02-13,2.16,2.16,2.01,2.03,15300,2.03
2013-02-12,2.08,2.17,2.04,2.13,15300,2.13
2013-02-11,2.20,2.25,2.10,2.18,9800,2.18
2013-02-08,2.24,2.25,2.15,2.22,5300,2.22
2013-02-07,2.21,2.28,2.15,2.27,8300,2.27
2013-02-06,2.18,2.36,2.18,2.23,19800,2.23
2013-02-05,2.07,2.23,2.07,2.20,6700,2.20
2013-02-04,2.13,2.19,2.01,2.17,17900,2.17
2013-02-01,2.05,2.15,1.95,2.06,19800,2.06
2013-01-31,2.09,2.10,1.93,2.07,23400,2.07
2013-01-30,2.15,2.16,2.12,2.14,5700,2.14
2013-01-29,2.22,2.34,2.13,2.14,18700,2.14
2013-01-28,2.50,2.50,2.25,2.25,19300,2.25
2013-01-25,2.30,2.49,2.30,2.40,51800,2.40
2013-01-24,2.44,2.59,2.42,2.49,26200,2.49
2013-01-23,2.69,2.71,2.50,2.58,40900,2.58
2013-01-22,2.25,2.58,2.25,2.57,79300,2.57
2013-01-21,2.10,2.28,2.10,2.24,58000,2.24
2013-01-18,1.97,2.15,1.95,2.08,48100,2.08
2013-01-17,2.00,2.00,1.92,1.97,27600,1.97
2013-01-16,1.86,2.01,1.86,1.95,28000,1.95
2013-01-15,1.90,1.90,1.75,1.81,10400,1.81
2013-01-14,1.90,2.02,1.86,1.93,8700,1.93
2013-01-11,1.92,2.08,1.86,1.94,83100,1.94
2013-01-10,1.62,1.85,1.56,1.84,85800,1.84
2013-01-09,1.65,1.70,1.59,1.61,8800,1.61
2013-01-08,1.68,1.68,1.57,1.61,8900,1.61
2013-01-07,1.60,1.68,1.55,1.63,7800,1.63
2013-01-04,1.63,1.63,1.53,1.60,6900,1.60
2013-01-03,1.65,1.69,1.61,1.65,22900,1.65
2013-01-02,1.43,1.70,1.43,1.63,48400,1.63
2013-01-01,1.38,1.38,1.38,1.38,000,1.38
2012-12-31,1.38,1.38,1.38,1.38,000,1.38
2012-12-28,1.33,1.40,1.33,1.38,14400,1.38
2012-12-27,1.28,1.33,1.28,1.33,2000,1.33
2012-12-26,1.30,1.30,1.30,1.30,000,1.30
2012-12-25,1.30,1.30,1.30,1.30,000,1.30
2012-12-24,1.30,1.30,1.30,1.30,000,1.30
2012-12-21,1.28,1.30,1.23,1.30,900,1.30
2012-12-20,1.20,1.35,1.18,1.26,11400,1.26
2012-12-19,1.27,1.27,1.22,1.26,1000,1.26
2012-12-18,1.19,1.23,1.14,1.23,1100,1.23
2012-12-17,1.20,1.30,1.17,1.25,15300,1.25
2012-12-14,1.30,1.30,1.22,1.29,100,1.29
2012-12-13,1.20,1.29,1.17,1.27,1800,1.27
