Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,7.74,7.78,7.56,7.61,668600,7.61
2013-05-22,8.00,8.00,7.62,7.74,974500,7.74
2013-05-21,8.25,8.25,7.85,8.05,1182000,8.05
2013-05-20,8.24,8.27,7.84,8.27,1134500,8.27
2013-05-17,8.12,8.23,7.89,8.22,910000,8.22
2013-05-16,7.95,8.10,7.84,8.10,862600,8.10
2013-05-15,7.75,7.94,7.68,7.94,1363400,7.94
2013-05-14,7.57,7.63,7.48,7.58,439300,7.58
2013-05-13,7.38,7.58,7.38,7.52,623100,7.52
2013-05-10,7.66,7.73,7.36,7.38,642900,7.38
2013-05-09,7.79,7.82,7.58,7.75,473000,7.75
2013-05-08,7.56,8.08,7.56,7.78,2181900,7.78
2013-05-07,7.49,7.49,7.49,7.49,000,7.49
2013-05-06,7.49,7.49,7.49,7.49,000,7.49
2013-05-03,7.49,7.49,7.49,7.49,000,7.49
2013-05-02,7.25,7.49,7.01,7.49,1221100,7.49
2013-05-01,7.49,7.49,7.49,7.49,000,7.49
2013-04-30,6.85,7.49,6.75,7.49,2794200,7.49
2013-04-29,6.93,6.93,6.70,6.88,273400,6.88
2013-04-26,6.86,6.91,6.81,6.90,401100,6.90
2013-04-25,6.90,6.95,6.81,6.88,577200,6.88
2013-04-24,6.93,6.94,6.78,6.88,492300,6.88
2013-04-23,6.70,6.89,6.65,6.80,1021100,6.80
2013-04-22,7.02,7.18,6.75,7.08,501500,7.08
2013-04-19,7.24,7.25,7.02,7.02,360800,7.02
2013-04-18,6.80,7.02,6.69,7.02,795100,7.02
2013-04-17,7.03,7.16,6.61,6.61,794900,6.61
2013-04-16,7.00,7.09,6.85,6.99,614300,6.99
2013-04-15,7.39,7.50,6.85,7.08,1219600,7.08
2013-04-12,7.30,7.40,7.05,7.39,624500,7.39
2013-04-11,6.85,7.25,6.85,7.23,616700,7.23
2013-04-10,7.00,7.05,6.70,7.05,881200,7.05
2013-04-09,6.30,7.00,6.30,7.00,966200,7.00
2013-04-08,6.05,6.35,5.95,6.25,983100,6.25
2013-04-05,6.18,6.22,6.08,6.10,796400,6.10
2013-04-04,6.29,6.32,6.10,6.10,627100,6.10
2013-04-03,6.29,6.29,6.14,6.29,453300,6.29
2013-04-02,6.23,6.34,6.11,6.25,494900,6.25
2013-04-01,6.16,6.16,6.16,6.16,000,6.16
2013-03-29,6.16,6.16,6.16,6.16,000,6.16
2013-03-28,6.37,6.40,6.10,6.16,1985700,6.16
2013-03-27,6.59,6.60,6.00,6.33,2870600,6.33
2013-03-26,6.80,6.80,6.55,6.55,2626500,6.55
2013-03-25,6.80,6.80,6.80,6.80,000,6.80
2013-03-22,6.80,6.87,6.72,6.80,733600,6.80
2013-03-21,6.72,6.82,6.62,6.80,1022400,6.80
2013-03-20,6.60,6.72,6.60,6.60,532200,6.60
