Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,2.06,2.16,2.00,2.12,31100,2.12
2013-05-22,2.18,2.18,2.06,2.06,7000,2.06
2013-05-21,2.11,2.15,2.07,2.07,33300,2.07
2013-05-20,2.20,2.20,2.10,2.12,13200,2.12
2013-05-17,2.19,2.20,2.12,2.20,5800,2.20
2013-05-16,2.20,2.20,2.13,2.16,10400,2.16
2013-05-15,2.17,2.20,2.15,2.20,67700,2.20
2013-05-14,2.14,2.14,2.10,2.12,22400,2.12
2013-05-13,2.07,2.10,2.01,2.10,114400,2.10
2013-05-10,2.02,2.08,2.00,2.07,8500,2.07
2013-05-09,2.02,2.05,2.00,2.01,13000,2.01
2013-05-08,1.90,2.00,1.90,1.98,155200,1.98
2013-05-07,1.90,1.90,1.90,1.90,000,1.90
2013-05-06,1.90,1.90,1.90,1.90,000,1.90
2013-05-03,1.90,1.90,1.90,1.90,000,1.90
2013-05-02,1.90,1.90,1.90,1.90,3700,1.90
2013-05-01,1.90,1.90,1.90,1.90,000,1.90
2013-04-30,1.90,1.90,1.85,1.90,14200,1.90
2013-04-29,1.89,1.90,1.88,1.90,15500,1.90
2013-04-26,1.90,1.90,1.81,1.89,12900,1.89
2013-04-25,1.90,1.90,1.89,1.89,10500,1.89
2013-04-24,1.90,1.90,1.89,1.89,24000,1.89
2013-04-23,1.90,1.93,1.84,1.90,30400,1.90
2013-04-22,1.81,1.91,1.81,1.87,83800,1.87
2013-04-19,1.76,1.83,1.74,1.81,8000,1.81
2013-04-18,1.75,1.79,1.75,1.76,2100,1.76
2013-04-17,1.75,1.75,1.70,1.75,3900,1.75
2013-04-16,1.73,1.75,1.73,1.75,28300,1.75
2013-04-15,1.75,1.76,1.72,1.73,108600,1.73
2013-04-12,1.75,1.75,1.74,1.75,10800,1.75
2013-04-11,1.70,1.75,1.70,1.75,8700,1.75
2013-04-10,1.69,1.71,1.69,1.70,4900,1.70
2013-04-09,1.66,1.69,1.66,1.69,400,1.69
2013-04-08,1.70,1.70,1.65,1.66,10800,1.66
2013-04-05,1.70,1.70,1.70,1.70,4600,1.70
2013-04-04,1.70,1.71,1.68,1.70,6600,1.70
2013-04-03,1.70,1.70,1.68,1.70,11500,1.70
2013-04-02,1.68,1.69,1.68,1.68,9600,1.68
2013-04-01,1.68,1.68,1.68,1.68,000,1.68
2013-03-29,1.68,1.68,1.68,1.68,000,1.68
2013-03-28,1.66,1.69,1.66,1.68,4700,1.68
2013-03-27,1.68,1.68,1.65,1.68,51700,1.68
2013-03-26,1.68,1.68,1.68,1.68,43500,1.68
2013-03-25,1.68,1.68,1.68,1.68,000,1.68
2013-03-22,1.72,1.73,1.65,1.68,3700,1.68
2013-03-21,1.68,1.73,1.68,1.72,51200,1.72
2013-03-20,1.71,1.71,1.66,1.68,8200,1.68
2013-03-19,1.72,1.72,1.67,1.71,30200,1.71
2013-03-18,1.72,1.72,1.72,1.72,000,1.72
2013-03-15,1.74,1.79,1.71,1.72,108900,1.72
