Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.33,0.33,0.33,0.33,000,0.33
2013-05-22,0.33,0.33,0.32,0.33,6400,0.33
2013-05-21,0.25,0.25,0.25,0.25,100,0.25
2013-05-20,0.25,0.35,0.25,0.35,300,0.35
2013-05-17,0.31,0.35,0.31,0.35,3200,0.35
2013-05-16,0.33,0.35,0.33,0.35,700,0.35
2013-05-15,0.32,0.32,0.32,0.32,200,0.32
2013-05-14,0.40,0.40,0.40,0.40,000,0.40
2013-05-13,0.40,0.40,0.40,0.40,000,0.40
2013-05-10,0.25,0.40,0.25,0.40,300,0.40
2013-05-09,0.35,0.35,0.35,0.35,000,0.35
2013-05-08,0.35,0.35,0.35,0.35,500,0.35
2013-05-07,0.35,0.35,0.35,0.35,000,0.35
2013-05-06,0.35,0.35,0.35,0.35,000,0.35
2013-05-03,0.35,0.35,0.35,0.35,000,0.35
2013-05-02,0.35,0.35,0.35,0.35,000,0.35
2013-05-01,0.35,0.35,0.35,0.35,000,0.35
2013-04-30,0.35,0.35,0.35,0.35,000,0.35
2013-04-29,0.35,0.35,0.35,0.35,000,0.35
2013-04-26,0.35,0.35,0.35,0.35,100,0.35
2013-04-25,0.42,0.42,0.42,0.42,000,0.42
2013-04-24,0.24,0.42,0.24,0.42,400,0.42
2013-04-23,0.34,0.34,0.34,0.34,000,0.34
2013-04-22,0.34,0.34,0.34,0.34,000,0.34
2013-04-19,0.34,0.34,0.34,0.34,000,0.34
2013-04-18,0.34,0.34,0.34,0.34,000,0.34
2013-04-17,0.25,0.34,0.25,0.34,2000,0.34
2013-04-16,0.26,0.26,0.26,0.26,000,0.26
2013-04-15,0.26,0.26,0.26,0.26,100,0.26
2013-04-12,0.37,0.37,0.37,0.37,000,0.37
2013-04-11,0.37,0.37,0.37,0.37,000,0.37
2013-04-10,0.25,0.37,0.25,0.37,000,0.37
2013-04-09,0.32,0.32,0.32,0.32,3000,0.32
2013-04-08,0.32,0.32,0.32,0.32,000,0.32
2013-04-05,0.32,0.32,0.32,0.32,000,0.32
2013-04-04,0.32,0.32,0.32,0.32,000,0.32
2013-04-03,0.32,0.32,0.32,0.32,10000,0.32
2013-04-02,0.33,0.33,0.33,0.33,000,0.33
2013-04-01,0.33,0.33,0.33,0.33,000,0.33
2013-03-29,0.33,0.33,0.33,0.33,000,0.33
2013-03-28,0.33,0.33,0.33,0.33,000,0.33
2013-03-27,0.31,0.31,0.31,0.31,1100,0.31
2013-03-26,0.32,0.32,0.32,0.32,2700,0.32
2013-03-25,0.25,0.25,0.25,0.25,000,0.25
2013-03-22,0.25,0.25,0.25,0.25,000,0.25
2013-03-21,0.25,0.25,0.25,0.25,000,0.25
2013-03-20,0.25,0.25,0.25,0.25,200,0.25
2013-03-19,0.34,0.34,0.34,0.34,000,0.34
2013-03-18,0.34,0.34,0.34,0.34,000,0.34
2013-03-15,0.24,0.44,0.24,0.34,5200,0.34
2013-03-14,0.34,0.34,0.34,0.34,400,0.34
2013-03-13,0.26,0.26,0.26,0.26,000,0.26
2013-03-12,0.26,0.26,0.26,0.26,000,0.26
2013-03-11,0.26,0.26,0.26,0.26,000,0.26
2013-03-08,0.26,0.26,0.26,0.26,1400,0.26
2013-03-07,0.25,0.30,0.25,0.25,1600,0.25
2013-03-06,0.25,0.25,0.25,0.25,100,0.25
2013-03-05,0.25,0.25,0.25,0.25,200,0.25
2013-03-04,0.25,0.25,0.25,0.25,000,0.25
2013-03-01,0.25,0.25,0.25,0.25,200,0.25
2013-02-28,0.31,0.31,0.31,0.31,000,0.31
2013-02-27,0.31,0.31,0.31,0.31,500,0.31
2013-02-26,0.27,0.27,0.27,0.27,000,0.27
2013-02-25,0.26,0.27,0.26,0.27,3400,0.27
2013-02-22,0.28,0.28,0.28,0.28,2800,0.28
2013-02-21,0.44,0.44,0.28,0.28,1500,0.28
2013-02-20,0.34,0.34,0.34,0.34,000,0.34
2013-02-19,0.23,0.34,0.23,0.34,100,0.34
2013-02-18,0.27,0.30,0.27,0.30,000,0.30
2013-02-15,0.28,0.38,0.28,0.38,300,0.38
2013-02-14,0.39,0.39,0.39,0.39,000,0.39
2013-02-13,0.39,0.39,0.39,0.39,000,0.39
2013-02-12,0.32,0.39,0.32,0.39,2400,0.39
2013-02-11,0.25,0.31,0.25,0.31,400,0.31
2013-02-08,0.33,0.36,0.33,0.33,200,0.33
2013-02-07,0.34,0.35,0.34,0.35,3500,0.35
2013-02-06,0.36,0.37,0.33,0.33,12900,0.33
2013-02-05,0.33,0.35,0.33,0.35,200,0.35
2013-02-04,0.36,0.36,0.33,0.33,6000,0.33
2013-02-01,0.33,0.36,0.33,0.36,1100,0.36
2013-01-31,0.30,0.32,0.30,0.32,2600,0.32
2013-01-30,0.38,0.38,0.35,0.35,1800,0.35
2013-01-29,0.40,0.40,0.40,0.40,400,0.40
2013-01-28,0.47,0.47,0.47,0.47,000,0.47
2013-01-25,0.47,0.47,0.47,0.47,000,0.47
2013-01-24,0.47,0.47,0.47,0.47,000,0.47
2013-01-23,0.47,0.47,0.47,0.47,000,0.47
2013-01-22,0.47,0.47,0.47,0.47,000,0.47
2013-01-21,0.47,0.47,0.47,0.47,000,0.47
2013-01-18,0.47,0.47,0.47,0.47,100,0.47
2013-01-17,0.32,0.42,0.32,0.42,1100,0.42
2013-01-16,0.45,0.45,0.45,0.45,000,0.45
2013-01-15,0.45,0.45,0.45,0.45,000,0.45
2013-01-14,0.45,0.45,0.45,0.45,500,0.45
2013-01-11,0.40,0.44,0.38,0.44,9700,0.44
2013-01-10,0.47,0.47,0.40,0.40,5000,0.40
2013-01-09,0.46,0.46,0.46,0.46,4000,0.46
2013-01-08,0.43,0.48,0.43,0.44,14200,0.44
2013-01-07,0.38,0.42,0.37,0.42,64500,0.42
2013-01-04,0.38,0.38,0.38,0.38,22600,0.38
2013-01-03,0.37,0.37,0.37,0.37,7600,0.37
2013-01-02,0.35,0.38,0.34,0.35,11300,0.35
2013-01-01,0.33,0.33,0.33,0.33,000,0.33
2012-12-31,0.33,0.33,0.33,0.33,000,0.33
2012-12-28,0.35,0.35,0.33,0.33,5500,0.33
2012-12-27,0.35,0.35,0.30,0.34,9900,0.34
2012-12-26,0.35,0.35,0.35,0.35,000,0.35
2012-12-25,0.35,0.35,0.35,0.35,000,0.35
2012-12-24,0.35,0.35,0.35,0.35,000,0.35
2012-12-21,0.36,0.37,0.35,0.35,8000,0.35
2012-12-20,0.35,0.35,0.35,0.35,000,0.35
2012-12-19,0.35,0.35,0.35,0.35,000,0.35
2012-12-18,0.35,0.35,0.35,0.35,000,0.35
2012-12-17,0.32,0.35,0.32,0.35,11600,0.35
2012-12-14,0.30,0.35,0.30,0.33,115800,0.33
2012-12-13,0.25,0.32,0.25,0.29,7100,0.29
2012-12-12,0.28,0.33,0.26,0.33,8400,0.33
2012-12-11,0.26,0.27,0.25,0.25,11700,0.25
2012-12-10,0.25,0.25,0.25,0.25,500,0.25
2012-12-07,0.25,0.25,0.25,0.25,1600,0.25
2012-12-06,0.20,0.28,0.19,0.19,300,0.19
2012-12-05,0.28,0.28,0.28,0.28,000,0.28
2012-12-04,0.28,0.28,0.28,0.28,000,0.28
2012-12-03,0.23,0.28,0.23,0.28,600,0.28
2012-11-30,0.27,0.27,0.27,0.27,000,0.27
2012-11-29,0.23,0.28,0.23,0.27,7300,0.27
2012-11-28,0.27,0.27,0.26,0.27,2700,0.27
2012-11-27,0.26,0.27,0.26,0.27,9900,0.27
2012-11-26,0.23,0.26,0.23,0.26,5100,0.26
2012-11-23,0.23,0.23,0.23,0.23,4100,0.23
2012-11-22,0.33,0.33,0.33,0.33,000,0.33
2012-11-21,0.29,0.33,0.29,0.33,2400,0.33
2012-11-20,0.37,0.37,0.37,0.37,000,0.37
2012-11-19,0.37,0.37,0.37,0.37,000,0.37
2012-11-16,0.37,0.37,0.37,0.37,000,0.37
2012-11-15,0.37,0.37,0.37,0.37,000,0.37
2012-11-14,0.37,0.37,0.37,0.37,000,0.37
2012-11-13,0.37,0.37,0.37,0.37,000,0.37
2012-11-12,0.37,0.37,0.37,0.37,000,0.37
2012-11-09,0.37,0.37,0.37,0.37,000,0.37
2012-11-08,0.37,0.37,0.37,0.37,000,0.37
2012-11-07,0.37,0.37,0.37,0.37,000,0.37
2012-11-06,0.37,0.37,0.37,0.37,000,0.37
2012-11-05,0.37,0.37,0.37,0.37,000,0.37
2012-11-02,0.37,0.37,0.37,0.37,1000,0.37
2012-11-01,0.37,0.37,0.37,0.37,000,0.37
2012-10-31,0.37,0.37,0.37,0.37,000,0.37
2012-10-30,0.37,0.37,0.37,0.37,000,0.37
2012-10-29,0.37,0.37,0.37,0.37,000,0.37
2012-10-26,0.37,0.37,0.37,0.37,000,0.37
2012-10-25,0.37,0.37,0.37,0.37,1000,0.37
2012-10-24,0.37,0.37,0.37,0.37,000,0.37
2012-10-23,0.37,0.37,0.37,0.37,000,0.37
2012-10-22,0.37,0.37,0.37,0.37,000,0.37
2012-10-19,0.37,0.37,0.37,0.37,1200,0.37
2012-10-18,0.34,0.35,0.34,0.34,1600,0.34
2012-10-17,0.33,0.33,0.28,0.32,4100,0.32
2012-10-16,0.31,0.31,0.30,0.31,3800,0.31
2012-10-15,0.31,0.31,0.31,0.31,2000,0.31
2012-10-12,0.28,0.28,0.28,0.28,400,0.28
2012-10-11,0.25,0.25,0.25,0.25,6100,0.25
2012-10-10,0.28,0.28,0.28,0.28,000,0.28
2012-10-09,0.28,0.28,0.28,0.28,3000,0.28
2012-10-08,0.31,0.31,0.31,0.31,2500,0.31
2012-10-05,0.32,0.34,0.31,0.34,4800,0.34
2012-10-04,0.34,0.34,0.34,0.34,500,0.34
2012-10-03,0.37,0.38,0.37,0.38,3000,0.38
2012-10-02,0.38,0.38,0.38,0.38,000,0.38
2012-10-01,0.38,0.38,0.38,0.38,000,0.38
2012-09-28,0.38,0.38,0.38,0.38,000,0.38
2012-09-27,0.38,0.38,0.38,0.38,000,0.38
2012-09-26,0.38,0.38,0.38,0.38,000,0.38
2012-09-25,0.38,0.38,0.38,0.38,000,0.38
2012-09-24,0.38,0.38,0.38,0.38,000,0.38
2012-09-21,0.38,0.38,0.38,0.38,100,0.38
2012-09-20,0.35,0.35,0.35,0.35,000,0.35
2012-09-19,0.31,0.34,0.31,0.34,500,0.34
2012-09-18,0.28,0.32,0.28,0.31,2900,0.31
2012-09-17,0.31,0.32,0.31,0.31,4700,0.31
2012-09-14,0.35,0.35,0.35,0.35,000,0.35
2012-09-13,0.35,0.35,0.35,0.35,000,0.35
2012-09-12,0.35,0.35,0.35,0.35,100,0.35
2012-09-11,0.35,0.35,0.35,0.35,000,0.35
