Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.55,0.58,0.55,0.56,3600,0.56
2013-05-22,0.59,0.59,0.56,0.56,3000,0.56
2013-05-21,0.57,0.59,0.52,0.58,4100,0.58
2013-05-20,0.59,0.60,0.50,0.57,5800,0.57
2013-05-17,0.55,0.59,0.53,0.59,29900,0.59
2013-05-16,0.55,0.59,0.55,0.55,4300,0.55
2013-05-15,0.55,0.62,0.55,0.57,151400,0.57
2013-05-14,0.57,0.57,0.50,0.56,19100,0.56
2013-05-13,0.57,0.57,0.57,0.57,000,0.57
2013-05-10,0.57,0.57,0.57,0.57,000,0.57
2013-05-09,0.57,0.57,0.57,0.57,4300,0.57
2013-05-08,0.57,0.57,0.57,0.57,000,0.57
2013-05-07,0.57,0.57,0.57,0.57,000,0.57
2013-05-06,0.57,0.57,0.57,0.57,000,0.57
2013-05-03,0.57,0.57,0.57,0.57,000,0.57
2013-05-02,0.57,0.57,0.57,0.57,000,0.57
2013-05-01,0.57,0.57,0.57,0.57,000,0.57
2013-04-30,0.57,0.57,0.56,0.57,100,0.57
2013-04-29,0.56,0.57,0.56,0.56,1600,0.56
2013-04-26,0.54,0.62,0.51,0.58,122000,0.58
2013-04-25,0.54,0.54,0.50,0.50,20400,0.50
2013-04-24,0.51,0.54,0.50,0.52,3000,0.52
2013-04-23,0.57,0.57,0.51,0.56,5200,0.56
2013-04-22,0.57,0.57,0.57,0.57,000,0.57
2013-04-19,0.57,0.57,0.57,0.57,000,0.57
2013-04-18,0.52,0.53,0.50,0.53,6100,0.53
2013-04-17,0.45,0.55,0.45,0.53,46900,0.53
2013-04-16,0.50,0.50,0.45,0.50,124800,0.50
2013-04-15,0.50,0.50,0.50,0.50,100,0.50
2013-04-12,0.48,0.50,0.46,0.50,2100,0.50
2013-04-11,0.50,0.50,0.50,0.50,000,0.50
2013-04-10,0.50,0.50,0.50,0.50,4000,0.50
2013-04-09,0.50,0.50,0.41,0.50,2000,0.50
2013-04-08,0.53,0.53,0.53,0.53,000,0.53
2013-04-05,0.54,0.54,0.52,0.53,2500,0.53
2013-04-04,0.55,0.55,0.55,0.55,000,0.55
2013-04-03,0.55,0.55,0.55,0.55,500,0.55
2013-04-02,0.56,0.56,0.56,0.56,1000,0.56
2013-04-01,0.57,0.57,0.57,0.57,000,0.57
2013-03-29,0.57,0.57,0.57,0.57,000,0.57
2013-03-28,0.57,0.57,0.57,0.57,000,0.57
2013-03-27,0.57,0.57,0.57,0.57,000,0.57
2013-03-26,0.57,0.57,0.57,0.57,000,0.57
2013-03-25,0.54,0.54,0.54,0.54,000,0.54
2013-03-22,0.51,0.54,0.51,0.54,4000,0.54
2013-03-21,0.49,0.49,0.49,0.49,3200,0.49
2013-03-20,0.55,0.56,0.54,0.54,14000,0.54
2013-03-19,0.54,0.60,0.50,0.60,3100,0.60
2013-03-18,0.55,0.55,0.55,0.55,000,0.55
2013-03-15,0.55,0.55,0.47,0.55,51600,0.55
2013-03-14,0.52,0.52,0.52,0.52,000,0.52
2013-03-13,0.48,0.48,0.48,0.48,100,0.48
2013-03-12,0.50,0.50,0.47,0.48,4800,0.48
2013-03-11,0.51,0.52,0.50,0.50,1900,0.50
2013-03-08,0.43,0.51,0.43,0.51,3416300,0.51
2013-03-07,0.53,0.53,0.45,0.47,200,0.47
2013-03-06,0.50,0.50,0.50,0.50,1700,0.50
2013-03-05,0.50,0.50,0.50,0.50,200,0.50
2013-03-04,0.54,0.54,0.45,0.46,2700,0.46
2013-03-01,0.50,0.50,0.50,0.50,100,0.50
2013-02-28,0.55,0.56,0.55,0.56,3100,0.56
2013-02-27,0.56,0.56,0.56,0.56,1600,0.56
2013-02-26,0.62,0.62,0.62,0.62,500,0.62
2013-02-25,0.51,0.60,0.51,0.60,200,0.60
2013-02-22,0.56,0.56,0.56,0.56,000,0.56
2013-02-21,0.56,0.56,0.56,0.56,100,0.56
2013-02-20,0.53,0.57,0.53,0.57,900,0.57
2013-02-19,0.53,0.53,0.53,0.53,100,0.53
2013-02-18,0.55,0.55,0.49,0.49,2700,0.49
2013-02-15,0.64,0.64,0.54,0.54,1700,0.54
2013-02-14,0.51,0.60,0.51,0.60,200,0.60
2013-02-13,0.55,0.55,0.55,0.55,1206100,0.55
2013-02-12,0.51,0.51,0.50,0.50,1201100,0.50
2013-02-11,0.46,0.46,0.40,0.46,900,0.46
2013-02-08,0.43,0.43,0.42,0.42,100,0.42
2013-02-07,0.40,0.40,0.40,0.40,100,0.40
2013-02-06,0.36,0.36,0.36,0.36,000,0.36
2013-02-05,0.36,0.36,0.36,0.36,000,0.36
2013-02-04,0.42,0.42,0.36,0.36,000,0.36
2013-02-01,0.46,0.46,0.38,0.38,000,0.38
2013-01-31,0.42,0.42,0.42,0.42,000,0.42
2013-01-30,0.42,0.42,0.42,0.42,100,0.42
2013-01-29,0.40,0.49,0.40,0.40,1204300,0.40
2013-01-28,0.44,0.44,0.44,0.44,000,0.44
2013-01-25,0.44,0.44,0.44,0.44,100,0.44
2013-01-24,0.49,0.49,0.49,0.49,000,0.49
2013-01-23,0.45,0.53,0.45,0.49,2300,0.49
2013-01-22,0.50,0.50,0.50,0.50,000,0.50
2013-01-21,0.55,0.55,0.55,0.55,000,0.55
2013-01-18,0.55,0.55,0.55,0.55,000,0.55
2013-01-17,0.55,0.55,0.55,0.55,000,0.55
2013-01-16,0.55,0.55,0.55,0.55,000,0.55
2013-01-15,0.55,0.55,0.55,0.55,000,0.55
2013-01-14,0.55,0.55,0.55,0.55,1900,0.55
2013-01-11,0.59,0.59,0.59,0.59,000,0.59
2013-01-10,0.59,0.59,0.59,0.59,000,0.59
2013-01-09,0.59,0.59,0.59,0.59,000,0.59
2013-01-08,0.58,0.59,0.58,0.59,7400,0.59
2013-01-07,0.57,0.57,0.57,0.57,500,0.57
2013-01-04,0.52,0.58,0.52,0.53,1900,0.53
2013-01-03,0.53,0.53,0.53,0.53,000,0.53
2013-01-02,0.53,0.53,0.53,0.53,300,0.53
2013-01-01,0.50,0.50,0.50,0.50,000,0.50
2012-12-31,0.50,0.50,0.50,0.50,000,0.50
2012-12-28,0.50,0.50,0.50,0.50,000,0.50
