Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.38,0.40,0.38,0.39,23200,0.39
2013-05-22,0.41,0.41,0.39,0.40,22700,0.40
2013-05-21,0.41,0.42,0.39,0.40,44000,0.40
2013-05-20,0.47,0.47,0.41,0.41,89300,0.41
2013-05-17,0.49,0.49,0.46,0.47,49400,0.47
2013-05-16,0.48,0.50,0.46,0.48,52100,0.48
2013-05-15,0.47,0.50,0.47,0.49,77200,0.49
2013-05-14,0.47,0.48,0.45,0.47,31200,0.47
2013-05-13,0.44,0.47,0.44,0.47,26800,0.47
2013-05-10,0.46,0.46,0.43,0.44,24600,0.44
2013-05-09,0.42,0.46,0.42,0.46,56200,0.46
2013-05-08,0.39,0.43,0.39,0.43,8200,0.43
2013-05-07,0.38,0.38,0.38,0.38,000,0.38
2013-05-06,0.38,0.38,0.38,0.38,000,0.38
2013-05-03,0.38,0.38,0.38,0.38,000,0.38
2013-05-02,0.42,0.42,0.38,0.38,8600,0.38
2013-05-01,0.40,0.40,0.40,0.40,000,0.40
2013-04-30,0.43,0.43,0.40,0.40,2500,0.40
2013-04-29,0.41,0.43,0.41,0.41,6700,0.41
2013-04-26,0.42,0.43,0.41,0.42,17200,0.42
2013-04-25,0.43,0.44,0.42,0.42,18900,0.42
2013-04-24,0.43,0.43,0.40,0.41,22700,0.41
2013-04-23,0.42,0.42,0.40,0.42,13900,0.42
2013-04-22,0.40,0.43,0.38,0.42,15400,0.42
2013-04-19,0.40,0.41,0.39,0.39,6300,0.39
2013-04-18,0.40,0.41,0.38,0.41,25700,0.41
2013-04-17,0.36,0.39,0.36,0.39,18300,0.39
2013-04-16,0.38,0.38,0.36,0.37,17500,0.37
2013-04-15,0.38,0.38,0.36,0.37,6500,0.37
2013-04-12,0.37,0.37,0.35,0.37,20900,0.37
2013-04-11,0.35,0.36,0.34,0.36,28300,0.36
2013-04-10,0.33,0.35,0.32,0.34,38500,0.34
2013-04-09,0.31,0.33,0.31,0.33,19400,0.33
2013-04-08,0.29,0.33,0.28,0.30,40300,0.30
2013-04-05,0.35,0.36,0.30,0.31,30400,0.31
2013-04-04,0.34,0.34,0.33,0.34,11600,0.34
2013-04-03,0.34,0.34,0.32,0.34,6100,0.34
2013-04-02,0.34,0.36,0.34,0.34,10800,0.34
2013-04-01,0.36,0.36,0.36,0.36,000,0.36
2013-03-29,0.36,0.36,0.36,0.36,000,0.36
2013-03-28,0.34,0.36,0.34,0.36,3500,0.36
2013-03-27,0.37,0.37,0.32,0.35,16700,0.35
2013-03-26,0.36,0.36,0.34,0.36,6500,0.36
2013-03-25,0.37,0.37,0.37,0.37,000,0.37
2013-03-22,0.37,0.38,0.36,0.37,7400,0.37
2013-03-21,0.35,0.38,0.35,0.37,18200,0.37
2013-03-20,0.33,0.40,0.33,0.37,47900,0.37
2013-03-19,0.40,0.40,0.35,0.35,34900,0.35
2013-03-18,0.42,0.42,0.42,0.42,000,0.42
2013-03-15,0.40,0.43,0.40,0.42,12400,0.42
2013-03-14,0.43,0.45,0.41,0.41,21800,0.41
2013-03-13,0.41,0.44,0.41,0.44,17400,0.44
2013-03-12,0.41,0.43,0.41,0.43,6600,0.43
2013-03-11,0.43,0.45,0.41,0.42,7300,0.42
2013-03-08,0.44,0.44,0.41,0.44,24000,0.44
2013-03-07,0.43,0.46,0.43,0.45,14000,0.45
2013-03-06,0.43,0.46,0.43,0.45,16200,0.45
2013-03-05,0.43,0.47,0.43,0.44,35200,0.44
2013-03-04,0.46,0.46,0.43,0.45,5500,0.45
2013-03-01,0.48,0.48,0.46,0.46,17500,0.46
2013-02-28,0.48,0.49,0.47,0.49,39300,0.49
2013-02-27,0.50,0.50,0.48,0.49,36200,0.49
2013-02-26,0.49,0.50,0.49,0.49,25000,0.49
2013-02-25,0.54,0.54,0.50,0.51,43800,0.51
2013-02-22,0.53,0.55,0.52,0.53,65600,0.53
2013-02-21,0.50,0.55,0.50,0.53,78800,0.53
2013-02-20,0.53,0.53,0.52,0.52,42100,0.52
2013-02-19,0.52,0.52,0.49,0.50,7800,0.50
2013-02-18,0.51,0.51,0.49,0.51,18800,0.51
2013-02-15,0.49,0.50,0.48,0.50,26600,0.50
2013-02-14,0.48,0.51,0.48,0.49,16500,0.49
2013-02-13,0.50,0.50,0.48,0.50,13000,0.50
2013-02-12,0.49,0.51,0.49,0.51,17700,0.51
2013-02-11,0.50,0.50,0.49,0.50,32500,0.50
2013-02-08,0.50,0.51,0.49,0.51,12100,0.51
2013-02-07,0.51,0.53,0.50,0.52,11100,0.52
2013-02-06,0.51,0.53,0.51,0.52,23200,0.52
2013-02-05,0.50,0.51,0.50,0.51,34400,0.51
2013-02-04,0.46,0.50,0.46,0.49,53700,0.49
2013-02-01,0.51,0.54,0.49,0.49,56500,0.49
2013-01-31,0.56,0.56,0.51,0.53,45400,0.53
2013-01-30,0.55,0.58,0.55,0.57,24600,0.57
2013-01-29,0.55,0.57,0.54,0.56,13100,0.56
2013-01-28,0.58,0.59,0.56,0.57,6700,0.57
2013-01-25,0.54,0.58,0.53,0.58,49900,0.58
2013-01-24,0.56,0.58,0.54,0.56,39200,0.56
2013-01-23,0.57,0.58,0.56,0.57,51800,0.57
2013-01-22,0.58,0.58,0.54,0.57,33900,0.57
2013-01-21,0.57,0.58,0.54,0.57,37800,0.57
2013-01-18,0.57,0.58,0.55,0.57,49100,0.57
2013-01-17,0.55,0.56,0.53,0.56,18300,0.56
2013-01-16,0.56,0.58,0.54,0.54,44400,0.54
2013-01-15,0.56,0.57,0.53,0.55,62500,0.55
2013-01-14,0.61,0.64,0.56,0.56,59300,0.56
2013-01-11,0.62,0.66,0.62,0.62,94400,0.62
2013-01-10,0.64,0.67,0.63,0.63,66200,0.63
2013-01-09,0.65,0.67,0.63,0.67,32300,0.67
2013-01-08,0.63,0.70,0.63,0.65,81400,0.65
2013-01-07,0.61,0.67,0.61,0.65,52300,0.65
2013-01-04,0.62,0.66,0.62,0.63,100600,0.63
2013-01-03,0.61,0.65,0.60,0.62,105100,0.62
2013-01-02,0.60,0.63,0.60,0.62,67800,0.62
2013-01-01,0.58,0.58,0.58,0.58,000,0.58
2012-12-31,0.58,0.58,0.58,0.58,000,0.58
2012-12-28,0.56,0.59,0.56,0.58,30800,0.58
2012-12-27,0.56,0.60,0.54,0.57,96100,0.57
2012-12-26,0.54,0.54,0.54,0.54,000,0.54
2012-12-25,0.54,0.54,0.54,0.54,000,0.54
2012-12-24,0.54,0.54,0.54,0.54,000,0.54
2012-12-21,0.53,0.56,0.53,0.54,49200,0.54
2012-12-20,0.53,0.55,0.53,0.55,81700,0.55
2012-12-19,0.51,0.53,0.51,0.53,68300,0.53
2012-12-18,0.52,0.52,0.50,0.51,40700,0.51
2012-12-17,0.54,0.56,0.52,0.54,32000,0.54
2012-12-14,0.54,0.57,0.53,0.55,60100,0.55
2012-12-13,0.57,0.59,0.53,0.55,96000,0.55
2012-12-12,0.49,0.59,0.49,0.58,244900,0.58
2012-12-11,0.50,0.52,0.50,0.50,67500,0.50
2012-12-10,0.48,0.52,0.48,0.51,134500,0.51
2012-12-07,0.46,0.49,0.45,0.48,19300,0.48
2012-12-06,0.47,0.47,0.46,0.47,14300,0.47
2012-12-05,0.46,0.47,0.45,0.46,29800,0.46
2012-12-04,0.46,0.48,0.45,0.46,21300,0.46
2012-12-03,0.46,0.48,0.46,0.47,17800,0.47
2012-11-30,0.47,0.47,0.45,0.46,26400,0.46
2012-11-29,0.48,0.50,0.45,0.48,36600,0.48
2012-11-28,0.48,0.50,0.47,0.49,19400,0.49
2012-11-27,0.49,0.51,0.47,0.49,62000,0.49
2012-11-26,0.47,0.50,0.47,0.50,115700,0.50
2012-11-23,0.49,0.51,0.46,0.48,77500,0.48
2012-11-22,0.47,0.51,0.47,0.50,137700,0.50
2012-11-21,0.42,0.48,0.41,0.48,107600,0.48
2012-11-20,0.42,0.44,0.42,0.44,55600,0.44
2012-11-19,0.39,0.43,0.38,0.43,153100,0.43
2012-11-16,0.38,0.39,0.38,0.38,16000,0.38
2012-11-15,0.39,0.40,0.38,0.39,32000,0.39
2012-11-14,0.38,0.40,0.38,0.39,27300,0.39
2012-11-13,0.36,0.38,0.35,0.38,32900,0.38
2012-11-12,0.37,0.40,0.35,0.38,18200,0.38
2012-11-09,0.34,0.38,0.34,0.38,28000,0.38
2012-11-08,0.35,0.38,0.34,0.35,81200,0.35
