Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.28,0.28,0.28,0.28,000,0.28
2013-05-22,0.26,0.28,0.26,0.28,2400,0.28
2013-05-21,0.23,0.23,0.23,0.23,1200,0.23
2013-05-20,0.22,0.23,0.21,0.23,200,0.23
2013-05-17,0.22,0.22,0.22,0.22,200,0.22
2013-05-16,0.18,0.18,0.18,0.18,000,0.18
2013-05-15,0.17,0.17,0.17,0.17,000,0.17
2013-05-14,0.17,0.17,0.17,0.17,000,0.17
2013-05-13,0.15,0.19,0.15,0.17,000,0.17
2013-05-10,0.16,0.16,0.15,0.16,300,0.16
2013-05-09,0.14,0.14,0.14,0.14,000,0.14
2013-05-08,0.12,0.13,0.12,0.12,000,0.12
2013-05-07,0.11,0.11,0.11,0.11,000,0.11
2013-05-06,0.11,0.11,0.11,0.11,000,0.11
2013-05-03,0.11,0.11,0.11,0.11,000,0.11
2013-05-02,0.10,0.12,0.10,0.11,000,0.11
2013-05-01,0.10,0.10,0.10,0.10,000,0.10
2013-04-30,0.10,0.10,0.10,0.10,000,0.10
2013-04-29,0.12,0.12,0.12,0.12,000,0.12
2013-04-26,0.10,0.10,0.10,0.10,000,0.10
2013-04-25,0.10,0.10,0.10,0.10,000,0.10
2013-04-24,0.08,0.08,0.08,0.08,000,0.08
2013-04-23,0.08,0.08,0.08,0.08,000,0.08
2013-04-22,0.06,0.09,0.06,0.08,000,0.08
2013-04-19,0.08,0.08,0.08,0.08,000,0.08
2013-04-18,0.08,0.08,0.08,0.08,100,0.08
2013-04-17,0.08,0.08,0.08,0.08,000,0.08
2013-04-16,0.06,0.08,0.06,0.08,100,0.08
2013-04-15,0.06,0.07,0.06,0.07,000,0.07
2013-04-12,0.06,0.06,0.06,0.06,000,0.06
2013-04-11,0.05,0.05,0.05,0.05,000,0.05
2013-04-10,0.05,0.05,0.05,0.05,000,0.05
2013-04-09,0.05,0.07,0.05,0.05,159900,0.05
2013-04-08,0.04,0.06,0.04,0.06,1000,0.06
2013-04-05,0.05,0.05,0.05,0.05,000,0.05
2013-04-04,0.05,0.06,0.05,0.05,000,0.05
2013-04-03,0.06,0.06,0.06,0.06,100,0.06
2013-04-02,0.04,0.07,0.04,0.06,000,0.06
2013-04-01,0.05,0.05,0.05,0.05,000,0.05
2013-03-29,0.05,0.05,0.05,0.05,000,0.05
2013-03-28,0.05,0.05,0.05,0.05,000,0.05
2013-03-27,0.06,0.07,0.06,0.07,000,0.07
2013-03-26,0.08,0.08,0.08,0.08,000,0.08
2013-03-25,0.10,0.10,0.10,0.10,000,0.10
2013-03-22,0.10,0.10,0.10,0.10,100,0.10
2013-03-21,0.12,0.12,0.12,0.12,000,0.12
2013-03-20,0.14,0.14,0.14,0.14,100,0.14
2013-03-19,0.14,0.14,0.14,0.14,000,0.14
2013-03-18,0.14,0.14,0.14,0.14,000,0.14
2013-03-15,0.14,0.14,0.14,0.14,000,0.14
2013-03-14,0.15,0.19,0.15,0.18,100,0.18
2013-03-13,0.19,0.19,0.19,0.19,000,0.19
2013-03-12,0.23,0.23,0.23,0.23,000,0.23
2013-03-11,0.29,0.29,0.29,0.29,000,0.29
2013-03-08,0.33,0.33,0.33,0.33,000,0.33
2013-03-07,0.33,0.33,0.33,0.33,000,0.33
2013-03-06,0.33,0.33,0.33,0.33,100,0.33
2013-03-05,0.39,0.39,0.39,0.39,000,0.39
2013-03-04,0.39,0.39,0.39,0.39,000,0.39
2013-03-01,0.39,0.39,0.39,0.39,000,0.39
2013-02-28,0.39,0.39,0.39,0.39,400,0.39
2013-02-27,0.39,0.39,0.39,0.39,2000,0.39
2013-02-26,0.37,0.40,0.37,0.39,600,0.39
2013-02-25,0.30,0.36,0.30,0.35,200,0.35
2013-02-22,0.30,0.30,0.30,0.30,000,0.30
2013-02-21,0.30,0.30,0.30,0.30,000,0.30
2013-02-20,0.36,0.36,0.36,0.36,000,0.36
2013-02-19,0.30,0.30,0.30,0.30,100,0.30
2013-02-18,0.28,0.28,0.19,0.25,000,0.25
2013-02-15,0.20,0.25,0.20,0.24,100,0.24
2013-02-14,0.21,0.21,0.21,0.21,000,0.21
2013-02-13,0.19,0.29,0.19,0.26,1400,0.26
2013-02-12,0.24,0.24,0.24,0.24,000,0.24
2013-02-11,0.29,0.29,0.29,0.29,200,0.29
2013-02-08,0.36,0.36,0.36,0.36,000,0.36
2013-02-07,0.45,0.45,0.45,0.45,000,0.45
2013-02-06,0.45,0.45,0.45,0.45,000,0.45
2013-02-05,0.50,0.50,0.50,0.50,000,0.50
2013-02-04,0.50,0.50,0.50,0.50,000,0.50
2013-02-01,0.50,0.50,0.50,0.50,000,0.50
2013-01-31,0.50,0.50,0.50,0.50,000,0.50
2013-01-30,0.50,0.50,0.50,0.50,000,0.50
2013-01-29,0.50,0.50,0.50,0.50,000,0.50
2013-01-28,0.50,0.50,0.50,0.50,000,0.50
2013-01-25,0.50,0.50,0.50,0.50,000,0.50
2013-01-24,0.50,0.50,0.50,0.50,000,0.50
2013-01-23,0.52,0.52,0.52,0.52,000,0.52
2013-01-22,0.52,0.52,0.52,0.52,000,0.52
2013-01-21,0.52,0.52,0.52,0.52,000,0.52
2013-01-18,0.43,0.52,0.43,0.52,800,0.52
2013-01-17,0.43,0.43,0.43,0.43,000,0.43
2013-01-16,0.54,0.54,0.54,0.54,4200,0.54
2013-01-15,0.45,0.45,0.45,0.45,000,0.45
2013-01-14,0.56,0.56,0.56,0.56,2500,0.56
2013-01-11,0.47,0.47,0.47,0.47,800,0.47
2013-01-10,0.47,0.47,0.47,0.47,2500,0.47
2013-01-09,0.39,0.39,0.39,0.39,12200,0.39
2013-01-08,0.39,0.39,0.39,0.39,2100,0.39
2013-01-07,0.40,0.40,0.39,0.39,4500,0.39
2013-01-04,0.49,0.49,0.49,0.49,000,0.49
2013-01-03,0.61,0.61,0.61,0.61,000,0.61
2013-01-02,0.61,0.61,0.61,0.61,000,0.61
2013-01-01,0.61,0.61,0.61,0.61,000,0.61
2012-12-31,0.61,0.61,0.61,0.61,000,0.61
2012-12-28,0.61,0.61,0.61,0.61,000,0.61
2012-12-27,0.61,0.61,0.61,0.61,000,0.61
2012-12-26,0.61,0.61,0.61,0.61,000,0.61
2012-12-25,0.61,0.61,0.61,0.61,000,0.61
2012-12-24,0.61,0.61,0.61,0.61,000,0.61
2012-12-21,0.61,0.61,0.61,0.61,000,0.61
2012-12-20,0.61,0.61,0.61,0.61,000,0.61
2012-12-19,0.55,0.55,0.55,0.55,000,0.55
2012-12-18,0.55,0.55,0.55,0.55,000,0.55
2012-12-17,0.46,0.46,0.46,0.46,000,0.46
2012-12-14,0.46,0.46,0.46,0.46,000,0.46
2012-12-13,0.46,0.46,0.46,0.46,000,0.46
2012-12-12,0.39,0.39,0.39,0.39,100,0.39
2012-12-11,0.46,0.46,0.46,0.46,000,0.46
2012-12-10,0.46,0.46,0.46,0.46,000,0.46
2012-12-07,0.40,0.40,0.40,0.40,1200,0.40
2012-12-06,0.47,0.47,0.47,0.47,000,0.47
2012-12-05,0.40,0.40,0.40,0.40,000,0.40
2012-12-04,0.44,0.44,0.44,0.44,000,0.44
2012-12-03,0.44,0.44,0.44,0.44,400,0.44
2012-11-30,0.55,0.55,0.55,0.55,000,0.55
2012-11-29,0.55,0.55,0.55,0.55,000,0.55
2012-11-28,0.55,0.55,0.55,0.55,000,0.55
2012-11-27,0.55,0.55,0.55,0.55,000,0.55
2012-11-26,0.55,0.55,0.55,0.55,000,0.55
2012-11-23,0.55,0.55,0.55,0.55,000,0.55
2012-11-22,0.55,0.55,0.55,0.55,000,0.55
2012-11-21,0.55,0.55,0.55,0.55,000,0.55
2012-11-20,0.50,0.50,0.50,0.50,100,0.50
2012-11-19,0.43,0.61,0.43,0.46,1300,0.46
2012-11-16,0.52,0.52,0.50,0.51,100,0.51
2012-11-15,0.43,0.43,0.43,0.43,000,0.43
2012-11-14,0.45,0.45,0.36,0.36,5000,0.36
2012-11-13,0.45,0.45,0.45,0.45,3400,0.45
2012-11-12,0.45,0.45,0.45,0.45,2100,0.45
2012-11-09,0.35,0.38,0.35,0.37,9100,0.37
2012-11-08,0.32,0.32,0.32,0.32,11200,0.32
2012-11-07,0.27,0.27,0.27,0.27,8400,0.27
2012-11-06,0.23,0.23,0.23,0.23,300,0.23
2012-11-05,0.19,0.19,0.19,0.19,1600,0.19
2012-11-02,0.16,0.16,0.16,0.16,800,0.16
2012-11-01,0.13,0.13,0.13,0.13,500,0.13
