Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,5.50,5.65,5.50,5.62,400,5.62
2013-05-22,5.11,5.60,5.11,5.60,3600,5.60
2013-05-21,5.72,5.72,5.64,5.64,1000,5.64
2013-05-20,5.74,5.74,5.74,5.74,200,5.74
2013-05-17,5.70,5.86,5.70,5.81,1700,5.81
2013-05-16,5.80,5.85,5.73,5.81,3700,5.81
2013-05-15,5.10,5.84,5.10,5.72,7200,5.72
2013-05-14,5.60,5.60,5.60,5.60,000,5.60
2013-05-13,5.70,5.70,5.50,5.66,1800,5.66
2013-05-10,5.60,5.60,5.60,5.60,000,5.60
2013-05-09,5.50,5.60,5.50,5.60,600,5.60
2013-05-08,5.19,5.60,5.10,5.45,4900,5.45
2013-05-07,5.19,5.19,5.19,5.19,000,5.19
2013-05-06,5.19,5.19,5.19,5.19,000,5.19
2013-05-03,5.19,5.19,5.19,5.19,000,5.19
2013-05-02,4.90,5.35,4.90,5.19,49000,5.19
2013-05-01,4.90,4.90,4.90,4.90,000,4.90
2013-04-30,4.90,5.00,4.90,4.90,1400,4.90
2013-04-29,4.85,4.95,4.85,4.93,800,4.93
2013-04-26,4.75,4.75,4.75,4.75,1000,4.75
2013-04-25,4.75,4.76,4.75,4.75,800,4.75
2013-04-24,4.52,4.73,4.52,4.73,500,4.73
2013-04-23,4.58,4.70,4.58,4.67,1600,4.67
2013-04-22,4.71,4.73,4.70,4.70,1700,4.70
2013-04-19,4.89,4.89,4.89,4.89,000,4.89
2013-04-18,4.75,4.75,4.74,4.74,100,4.74
2013-04-17,4.78,4.78,4.72,4.72,200,4.72
2013-04-16,4.82,4.82,4.82,4.82,100,4.82
2013-04-15,4.80,4.80,4.80,4.80,000,4.80
2013-04-12,4.65,4.80,4.60,4.80,200,4.80
2013-04-11,4.96,4.96,4.90,4.90,300,4.90
2013-04-10,4.90,4.92,4.90,4.90,42500,4.90
2013-04-09,4.90,4.91,4.90,4.90,2300,4.90
2013-04-08,4.56,4.82,4.56,4.80,1200,4.80
2013-04-05,4.35,4.80,4.35,4.79,3200,4.79
2013-04-04,6.25,6.25,4.76,4.78,2300,4.78
2013-04-03,4.82,4.82,4.81,4.81,1400,4.81
2013-04-02,5.00,5.08,5.00,5.08,200,5.08
2013-04-01,5.10,5.10,5.10,5.10,000,5.10
2013-03-29,5.10,5.10,5.10,5.10,000,5.10
2013-03-28,5.10,5.10,5.10,5.10,1500,5.10
2013-03-27,4.90,4.95,4.80,4.95,4500,4.95
2013-03-26,4.64,4.95,4.64,4.95,400,4.95
2013-03-25,5.14,5.14,5.14,5.14,000,5.14
2013-03-22,4.82,5.16,4.82,5.14,400,5.14
2013-03-21,5.14,5.14,5.14,5.14,000,5.14
2013-03-20,5.14,5.14,5.14,5.14,000,5.14
2013-03-19,4.90,5.19,4.85,5.14,42800,5.14
2013-03-18,5.40,5.40,5.40,5.40,000,5.40
2013-03-15,5.20,5.40,5.20,5.40,300,5.40
2013-03-14,4.96,4.99,4.96,4.99,200,4.99
2013-03-13,4.51,4.98,4.51,4.96,600,4.96
2013-03-12,4.70,4.95,4.70,4.92,9800,4.92
2013-03-11,4.92,4.92,4.92,4.92,000,4.92
2013-03-08,4.90,4.92,4.89,4.92,4300,4.92
2013-03-07,5.00,5.09,4.60,5.00,1600,5.00
2013-03-06,5.00,5.14,5.00,5.01,101000,5.01
2013-03-05,5.10,5.10,5.10,5.10,1000,5.10
2013-03-04,5.20,5.20,5.10,5.11,100,5.11
2013-03-01,5.02,5.02,5.00,5.00,4100,5.00
2013-02-28,5.19,5.20,5.05,5.06,700,5.06
2013-02-27,5.00,5.02,5.00,5.02,100,5.02
2013-02-26,5.07,5.12,5.00,5.09,28400,5.09
2013-02-25,5.10,5.10,5.00,5.07,1000,5.07
2013-02-22,5.00,5.15,4.90,5.14,2500,5.14
2013-02-21,4.90,5.05,4.87,4.92,23400,4.92
2013-02-20,4.70,4.70,4.70,4.70,000,4.70
2013-02-19,4.71,4.71,4.70,4.70,3500,4.70
2013-02-18,4.60,4.70,4.60,4.70,30000,4.70
2013-02-15,4.60,4.60,4.60,4.60,1500,4.60
2013-02-14,4.50,4.73,4.50,4.60,1100,4.60
2013-02-13,4.67,4.87,4.50,4.50,300,4.50
2013-02-12,4.50,4.58,4.50,4.58,300,4.58
2013-02-11,4.50,4.50,4.50,4.50,2500,4.50
2013-02-08,4.60,4.60,4.50,4.59,1300,4.59
2013-02-07,4.40,4.52,4.40,4.52,2000,4.52
2013-02-06,4.49,4.49,4.49,4.49,3000,4.49
2013-02-05,4.03,4.30,4.03,4.30,400,4.30
2013-02-04,4.10,4.25,4.10,4.21,1800,4.21
2013-02-01,4.20,4.30,4.20,4.26,51600,4.26
2013-01-31,4.10,4.20,4.10,4.20,2000,4.20
2013-01-30,4.25,4.25,4.25,4.25,50000,4.25
2013-01-29,4.10,4.20,4.10,4.13,4600,4.13
2013-01-28,4.24,4.24,4.24,4.24,500,4.24
2013-01-25,4.11,4.25,4.11,4.20,1300,4.20
2013-01-24,4.35,4.35,4.20,4.35,48100,4.35
2013-01-23,4.08,4.35,4.08,4.35,6600,4.35
2013-01-22,4.30,4.30,4.15,4.30,8600,4.30
2013-01-21,4.15,4.40,4.15,4.38,7200,4.38
2013-01-18,4.50,4.50,4.50,4.50,500,4.50
2013-01-17,4.20,4.50,4.20,4.50,700,4.50
2013-01-16,4.25,4.25,4.20,4.20,200,4.20
2013-01-15,4.30,4.30,4.24,4.24,100,4.24
2013-01-14,4.41,4.65,4.38,4.43,1600,4.43
2013-01-11,4.55,4.78,4.50,4.68,3400,4.68
2013-01-10,4.50,4.73,4.50,4.62,2600,4.62
2013-01-09,4.37,4.45,4.25,4.40,2600,4.40
2013-01-08,4.10,4.18,4.07,4.11,500,4.11
2013-01-07,3.90,4.10,3.90,4.06,2800,4.06
2013-01-04,3.92,3.95,3.92,3.94,800,3.94
2013-01-03,3.73,3.84,3.70,3.81,10900,3.81
2013-01-02,3.65,3.79,3.65,3.73,39000,3.73
2013-01-01,3.90,3.90,3.90,3.90,000,3.90
2012-12-31,3.90,3.90,3.90,3.90,000,3.90
2012-12-28,3.90,3.90,3.89,3.90,600,3.90
2012-12-27,3.50,3.62,3.50,3.62,1100,3.62
2012-12-26,3.56,3.56,3.56,3.56,000,3.56
2012-12-25,3.56,3.56,3.56,3.56,000,3.56
2012-12-24,3.56,3.56,3.56,3.56,000,3.56
2012-12-21,3.46,3.62,3.45,3.56,700,3.56
2012-12-20,3.34,3.88,3.34,3.58,100,3.58
2012-12-19,3.37,3.60,3.37,3.60,11700,3.60
2012-12-18,3.15,3.40,3.15,3.38,1500,3.38
2012-12-17,3.38,3.38,3.38,3.38,40000,3.38
2012-12-14,3.38,3.38,3.38,3.38,000,3.38
2012-12-13,3.40,3.40,3.40,3.40,000,3.40
2012-12-12,3.40,3.40,3.40,3.40,3000,3.40
2012-12-11,3.38,3.44,3.38,3.40,700,3.40
2012-12-10,3.40,3.40,3.18,3.40,3100,3.40
2012-12-07,3.35,3.35,3.25,3.30,400,3.30
2012-12-06,3.19,3.19,3.19,3.19,000,3.19
2012-12-05,3.19,3.19,3.19,3.19,000,3.19
2012-12-04,3.10,3.10,3.10,3.10,000,3.10
2012-12-03,3.10,3.11,3.10,3.10,8000,3.10
2012-11-30,3.12,3.12,3.10,3.10,400,3.10
