Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,5.34,5.34,5.34,5.34,000,5.34
2013-05-22,5.30,5.34,5.30,5.34,500,5.34
2013-05-21,5.30,5.40,5.22,5.30,3400,5.30
2013-05-20,5.45,5.45,5.32,5.32,2600,5.32
2013-05-17,5.41,5.41,5.35,5.37,3000,5.37
2013-05-16,5.40,5.51,5.39,5.45,1900,5.45
2013-05-15,5.38,5.40,5.38,5.40,1100,5.40
2013-05-14,5.35,5.38,5.30,5.38,1300,5.38
2013-05-13,5.30,5.35,5.27,5.27,1700,5.27
2013-05-10,5.38,5.39,5.25,5.25,2500,5.25
2013-05-09,5.40,5.44,5.25,5.25,8000,5.25
2013-05-08,5.40,5.41,5.21,5.38,12300,5.38
2013-05-07,5.32,5.32,5.32,5.32,000,5.32
2013-05-06,5.32,5.32,5.32,5.32,000,5.32
2013-05-03,5.32,5.32,5.32,5.32,000,5.32
2013-05-02,5.24,5.44,5.24,5.32,4400,5.32
2013-05-01,5.39,5.39,5.39,5.39,000,5.39
2013-04-30,5.23,5.40,5.23,5.39,3000,5.39
2013-04-29,5.42,5.42,5.23,5.29,800,5.29
2013-04-26,5.47,5.47,5.23,5.23,1300,5.23
2013-04-25,5.40,5.40,5.23,5.39,2100,5.39
2013-04-24,5.36,5.39,5.36,5.39,900,5.39
2013-04-23,5.20,5.37,5.19,5.30,5800,5.30
2013-04-22,5.20,5.27,5.18,5.22,5000,5.22
2013-04-19,5.26,5.26,5.19,5.20,600,5.20
2013-04-18,5.15,5.28,5.15,5.27,3600,5.27
2013-04-17,5.29,5.30,5.19,5.29,1900,5.29
2013-04-16,5.08,5.29,5.08,5.29,2100,5.29
2013-04-15,5.09,5.31,5.09,5.30,700,5.30
2013-04-12,5.22,5.31,5.22,5.31,2300,5.31
2013-04-11,5.30,5.32,5.17,5.28,5500,5.28
2013-04-10,5.20,5.30,5.10,5.18,3900,5.18
2013-04-09,5.29,5.29,5.18,5.20,1100,5.20
