Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.52,1.52,1.49,1.50,17400,1.50
2013-05-22,1.48,1.55,1.48,1.52,46300,1.52
2013-05-21,1.46,1.48,1.44,1.48,42200,1.48
2013-05-20,1.53,1.57,1.47,1.47,53300,1.47
2013-05-17,1.60,1.60,1.56,1.56,62400,1.56
2013-05-16,1.58,1.64,1.57,1.60,86200,1.60
2013-05-15,1.53,1.57,1.51,1.57,136700,1.57
2013-05-14,1.49,1.53,1.49,1.51,41900,1.51
2013-05-13,1.51,1.53,1.47,1.53,63200,1.53
2013-05-10,1.52,1.52,1.49,1.51,58700,1.51
2013-05-09,1.48,1.56,1.48,1.52,124000,1.52
2013-05-08,1.40,1.50,1.40,1.49,164900,1.49
2013-05-07,1.40,1.40,1.40,1.40,000,1.40
2013-05-06,1.40,1.40,1.40,1.40,000,1.40
2013-05-03,1.40,1.40,1.40,1.40,000,1.40
2013-05-02,1.39,1.41,1.35,1.40,32800,1.40
2013-05-01,1.39,1.39,1.39,1.39,000,1.39
2013-04-30,1.34,1.40,1.34,1.39,20600,1.39
2013-04-29,1.35,1.38,1.33,1.38,21600,1.38
2013-04-26,1.37,1.39,1.33,1.35,42400,1.35
2013-04-25,1.35,1.42,1.34,1.37,75900,1.37
2013-04-24,1.33,1.38,1.32,1.36,10500,1.36
2013-04-23,1.35,1.38,1.33,1.36,8300,1.36
2013-04-22,1.36,1.37,1.33,1.35,19800,1.35
2013-04-19,1.37,1.40,1.35,1.37,44900,1.37
2013-04-18,1.34,1.37,1.32,1.37,59100,1.37
2013-04-17,1.32,1.35,1.30,1.34,39800,1.34
2013-04-16,1.23,1.37,1.23,1.30,60200,1.30
2013-04-15,1.30,1.32,1.24,1.25,26300,1.25
2013-04-12,1.28,1.31,1.25,1.30,38400,1.30
2013-04-11,1.30,1.31,1.24,1.30,27100,1.30
2013-04-10,1.25,1.28,1.22,1.28,50900,1.28
2013-04-09,1.13,1.23,1.12,1.23,63300,1.23
2013-04-08,1.12,1.14,1.07,1.13,62400,1.13
2013-04-05,1.19,1.21,1.15,1.15,24300,1.15
2013-04-04,1.20,1.22,1.19,1.21,15400,1.21
2013-04-03,1.16,1.21,1.16,1.20,38900,1.20
2013-04-02,1.22,1.25,1.17,1.17,38200,1.17
2013-04-01,1.22,1.22,1.22,1.22,000,1.22
2013-03-29,1.22,1.22,1.22,1.22,000,1.22
2013-03-28,1.19,1.27,1.19,1.22,50200,1.22
2013-03-27,1.26,1.27,1.15,1.19,185900,1.19
2013-03-26,1.29,1.30,1.25,1.28,20700,1.28
2013-03-25,1.33,1.33,1.33,1.33,000,1.33
2013-03-22,1.27,1.34,1.26,1.33,34400,1.33
2013-03-21,1.31,1.31,1.25,1.28,30200,1.28
2013-03-20,1.26,1.29,1.20,1.28,67800,1.28
2013-03-19,1.32,1.33,1.25,1.25,47500,1.25
2013-03-18,1.36,1.36,1.36,1.36,000,1.36
2013-03-15,1.34,1.36,1.33,1.36,8700,1.36
2013-03-14,1.37,1.37,1.33,1.34,16800,1.34
2013-03-13,1.32,1.38,1.32,1.34,40500,1.34
2013-03-12,1.33,1.38,1.33,1.33,21500,1.33
2013-03-11,1.34,1.36,1.33,1.33,48400,1.33
2013-03-08,1.37,1.39,1.34,1.37,27000,1.37
2013-03-07,1.43,1.43,1.35,1.36,34300,1.36
2013-03-06,1.40,1.43,1.37,1.43,22400,1.43
2013-03-05,1.35,1.42,1.34,1.40,68700,1.40
2013-03-04,1.37,1.37,1.32,1.34,78600,1.34
2013-03-01,1.43,1.44,1.35,1.37,25700,1.37
2013-02-28,1.34,1.41,1.34,1.40,121300,1.40
2013-02-27,1.31,1.34,1.30,1.34,50900,1.34
2013-02-26,1.30,1.34,1.30,1.31,98000,1.31
2013-02-25,1.34,1.39,1.33,1.36,40400,1.36
2013-02-22,1.32,1.36,1.27,1.35,54900,1.35
2013-02-21,1.40,1.43,1.32,1.32,99200,1.32
2013-02-20,1.40,1.47,1.40,1.43,64400,1.43
2013-02-19,1.42,1.43,1.40,1.42,10600,1.42
2013-02-18,1.44,1.44,1.39,1.43,47900,1.43
2013-02-15,1.41,1.45,1.39,1.42,32100,1.42
2013-02-14,1.40,1.47,1.39,1.41,134500,1.41
2013-02-13,1.40,1.41,1.35,1.41,34400,1.41
2013-02-12,1.37,1.42,1.37,1.40,27800,1.40
2013-02-11,1.43,1.44,1.37,1.39,47300,1.39
2013-02-08,1.42,1.46,1.41,1.44,65700,1.44
2013-02-07,1.43,1.46,1.40,1.41,43800,1.41
2013-02-06,1.39,1.45,1.37,1.44,82700,1.44
2013-02-05,1.37,1.42,1.37,1.41,48900,1.41
2013-02-04,1.34,1.38,1.29,1.38,78200,1.38
2013-02-01,1.40,1.43,1.34,1.34,44000,1.34
2013-01-31,1.42,1.42,1.35,1.40,87700,1.40
2013-01-30,1.47,1.48,1.43,1.43,29300,1.43
2013-01-29,1.47,1.50,1.44,1.46,63300,1.46
2013-01-28,1.54,1.56,1.48,1.49,132900,1.49
2013-01-25,1.44,1.50,1.40,1.50,58500,1.50
2013-01-24,1.50,1.54,1.40,1.44,135800,1.44
2013-01-23,1.50,1.55,1.46,1.50,182100,1.50
2013-01-22,1.46,1.53,1.41,1.47,117500,1.47
2013-01-21,1.46,1.50,1.42,1.45,94400,1.45
2013-01-18,1.37,1.46,1.35,1.46,145300,1.46
2013-01-17,1.38,1.38,1.32,1.35,63300,1.35
2013-01-16,1.35,1.41,1.34,1.34,68100,1.34
2013-01-15,1.32,1.37,1.29,1.36,129200,1.36
2013-01-14,1.40,1.46,1.33,1.33,178400,1.33
2013-01-11,1.46,1.46,1.41,1.41,101200,1.41
2013-01-10,1.47,1.49,1.41,1.45,178900,1.45
2013-01-09,1.42,1.49,1.40,1.43,161300,1.43
2013-01-08,1.45,1.51,1.42,1.42,272200,1.42
2013-01-07,1.32,1.52,1.32,1.49,425900,1.49
2013-01-04,1.34,1.35,1.30,1.32,172700,1.32
2013-01-03,1.33,1.36,1.28,1.32,107100,1.32
2013-01-02,1.24,1.35,1.24,1.33,177600,1.33
2013-01-01,1.24,1.24,1.24,1.24,000,1.24
2012-12-31,1.24,1.24,1.24,1.24,000,1.24
2012-12-28,1.28,1.29,1.24,1.24,44100,1.24
2012-12-27,1.25,1.30,1.23,1.27,122300,1.27
2012-12-26,1.23,1.23,1.23,1.23,000,1.23
2012-12-25,1.23,1.23,1.23,1.23,000,1.23
2012-12-24,1.23,1.23,1.23,1.23,000,1.23
2012-12-21,1.25,1.28,1.20,1.23,101300,1.23
2012-12-20,1.24,1.30,1.23,1.23,191400,1.23
2012-12-19,1.23,1.24,1.20,1.22,112800,1.22
2012-12-18,1.19,1.22,1.15,1.18,55300,1.18
2012-12-17,1.25,1.29,1.14,1.17,124100,1.17
2012-12-14,1.28,1.29,1.23,1.25,50600,1.25
2012-12-13,1.31,1.32,1.22,1.26,116600,1.26
2012-12-12,1.31,1.39,1.29,1.31,150700,1.31
2012-12-11,1.26,1.34,1.25,1.33,205000,1.33
2012-12-10,1.20,1.25,1.19,1.25,89000,1.25
2012-12-07,1.23,1.27,1.18,1.22,151500,1.22
2012-12-06,1.08,1.21,1.08,1.21,177800,1.21
2012-12-05,1.08,1.08,1.03,1.07,59100,1.07
2012-12-04,1.10,1.10,1.05,1.05,83300,1.05
2012-12-03,1.17,1.18,1.10,1.10,188900,1.10
2012-11-30,1.18,1.20,1.14,1.15,49500,1.15
2012-11-29,1.22,1.27,1.17,1.19,94700,1.19
2012-11-28,1.22,1.23,1.18,1.19,220900,1.19
2012-11-27,1.23,1.24,1.16,1.22,220800,1.22
2012-11-26,1.19,1.22,1.17,1.20,264900,1.20
2012-11-23,1.16,1.19,1.11,1.18,141200,1.18
2012-11-22,1.10,1.17,1.08,1.14,216600,1.14
