Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,19.30,19.63,18.60,18.60,12600,18.60
2013-05-22,20.00,20.00,19.31,19.70,15900,19.70
2013-05-21,20.50,20.98,19.75,20.00,13200,20.00
2013-05-20,21.41,21.68,20.50,20.80,14700,20.80
2013-05-17,20.90,21.50,20.39,21.41,31700,21.41
2013-05-16,20.40,20.95,19.99,20.90,10000,20.90
2013-05-15,20.20,20.65,19.67,20.50,26600,20.50
2013-05-14,20.00,20.34,19.63,20.00,5100,20.00
2013-05-13,19.90,20.80,19.30,19.80,9100,19.80
2013-05-10,21.00,21.00,19.61,19.61,10000,19.61
2013-05-09,20.50,21.00,20.20,20.99,10900,20.99
2013-05-08,19.57,20.50,19.31,20.50,14200,20.50
2013-05-07,19.05,19.05,19.05,19.05,000,19.05
2013-05-06,19.05,19.05,19.05,19.05,000,19.05
2013-05-03,19.05,19.05,19.05,19.05,000,19.05
2013-05-02,18.81,19.05,18.81,19.05,24300,19.05
2013-05-01,19.09,19.09,19.09,19.09,000,19.09
2013-04-30,18.76,19.40,18.76,19.09,18400,19.09
2013-04-29,18.95,19.10,18.38,18.76,5100,18.76
2013-04-26,18.62,19.04,18.60,18.76,5000,18.76
2013-04-25,18.61,19.04,18.61,18.92,17200,18.92
2013-04-24,18.94,19.10,18.59,19.00,10000,19.00
2013-04-23,18.54,19.00,18.53,18.96,3200,18.96
2013-04-22,18.68,19.08,18.22,19.00,9000,19.00
2013-04-19,19.03,19.15,18.14,18.62,5900,18.62
2013-04-18,19.20,19.20,18.84,19.03,4800,19.03
2013-04-17,18.99,19.20,18.52,19.05,5500,19.05
2013-04-16,18.99,19.23,18.55,18.99,11900,18.99
2013-04-15,17.73,18.99,17.70,18.99,6300,18.99
2013-04-12,17.41,17.80,17.18,17.73,5100,17.73
2013-04-11,17.35,17.90,17.30,17.90,6200,17.90
2013-04-10,16.77,17.50,16.77,17.27,16300,17.27
2013-04-09,15.60,16.95,15.60,16.77,8200,16.77
2013-04-08,15.13,15.60,14.59,15.60,18700,15.60
2013-04-05,15.67,16.44,15.60,15.60,5900,15.60
2013-04-04,16.35,16.50,15.85,15.85,5400,15.85
2013-04-03,16.18,16.50,15.95,16.03,14600,16.03
2013-04-02,17.18,17.18,16.48,16.48,16300,16.48
2013-04-01,17.36,17.36,17.36,17.36,000,17.36
2013-03-29,17.36,17.36,17.36,17.36,000,17.36
2013-03-28,17.12,17.45,16.90,17.36,11600,17.36
2013-03-27,17.52,17.70,16.00,17.00,29300,17.00
2013-03-26,18.50,18.50,17.50,17.65,8400,17.65
2013-03-25,18.40,18.40,18.40,18.40,000,18.40
2013-03-22,18.20,18.50,17.51,18.40,7200,18.40
2013-03-21,17.93,18.05,17.53,18.00,15400,18.00
2013-03-20,17.60,18.20,17.60,18.08,7600,18.08
2013-03-19,18.18,18.37,17.85,17.85,349800,17.85
2013-03-18,18.44,18.44,18.44,18.44,000,18.44
2013-03-15,18.64,18.85,18.30,18.44,5600,18.44
2013-03-14,18.51,18.86,18.15,18.64,8300,18.64
2013-03-13,18.02,18.65,18.02,18.51,6100,18.51
2013-03-12,18.21,18.70,18.20,18.20,5300,18.20
2013-03-11,18.47,18.78,18.18,18.48,3500,18.48
2013-03-08,18.41,18.80,18.41,18.78,3700,18.78
2013-03-07,19.20,19.20,18.40,18.50,11300,18.50
2013-03-06,18.48,19.00,18.31,18.90,8700,18.90
2013-03-05,18.60,18.94,18.35,18.64,13800,18.64
2013-03-04,19.02,19.16,18.22,18.60,9200,18.60
2013-03-01,19.02,19.40,18.81,19.30,14700,19.30
2013-02-28,18.91,19.60,18.91,19.02,10100,19.02
2013-02-27,19.00,19.34,19.00,19.10,6000,19.10
2013-02-26,18.22,19.36,18.22,19.00,18400,19.00
2013-02-25,19.00,19.38,18.56,19.32,14600,19.32
2013-02-22,18.52,19.09,18.41,19.00,4500,19.00
2013-02-21,19.00,19.39,18.52,18.52,10800,18.52
2013-02-20,19.00,19.59,18.30,19.58,10500,19.58
2013-02-19,18.71,19.00,18.71,19.00,3400,19.00
2013-02-18,19.44,19.44,18.99,19.00,2200,19.00
2013-02-15,19.00,19.50,18.68,19.39,5900,19.39
2013-02-14,18.40,18.99,18.40,18.97,5800,18.97
2013-02-13,18.31,18.77,18.31,18.68,31200,18.68
2013-02-12,18.40,18.87,18.40,18.48,7600,18.48
2013-02-11,18.80,18.80,18.47,18.53,7500,18.53
2013-02-08,18.86,19.10,18.72,18.80,3300,18.80
2013-02-07,19.14,19.14,18.65,19.10,18500,19.10
2013-02-06,18.85,19.35,18.31,18.65,14000,18.65
2013-02-05,18.20,18.98,17.93,18.85,5500,18.85
2013-02-04,18.20,18.29,17.50,18.20,6000,18.20
2013-02-01,18.40,18.71,17.90,18.15,23200,18.15
2013-01-31,18.23,18.65,18.02,18.47,19000,18.47
2013-01-30,19.03,19.37,18.70,18.83,9800,18.83
2013-01-29,19.50,19.50,18.80,19.03,25900,19.03
2013-01-28,20.00,20.37,19.50,19.80,5800,19.80
2013-01-25,19.15,20.10,18.79,20.10,11100,20.10
2013-01-24,19.20,19.45,18.81,18.94,17400,18.94
2013-01-23,19.74,19.97,19.15,19.25,17400,19.25
2013-01-22,19.80,19.88,19.45,19.74,18700,19.74
2013-01-21,20.12,20.35,19.20,19.88,20400,19.88
2013-01-18,19.00,19.98,18.85,19.98,23300,19.98
2013-01-17,17.97,18.90,17.95,18.90,19200,18.90
2013-01-16,18.53,18.94,18.34,18.51,7800,18.51
2013-01-15,18.00,18.82,17.50,18.37,18200,18.37
2013-01-14,18.15,19.45,18.15,18.20,28400,18.20
2013-01-11,18.20,18.62,17.93,18.38,18700,18.38
2013-01-10,18.38,18.96,17.95,18.36,31400,18.36
2013-01-09,17.70,18.50,17.70,18.38,73100,18.38
2013-01-08,17.30,17.80,17.02,17.71,39200,17.71
2013-01-07,17.00,17.30,16.80,17.30,14600,17.30
2013-01-04,16.90,17.26,16.82,17.00,12600,17.00
2013-01-03,17.20,17.20,16.84,17.00,13500,17.00
2013-01-02,17.00,17.20,16.80,17.00,43100,17.00
2013-01-01,16.80,16.80,16.80,16.80,000,16.80
2012-12-31,16.80,16.80,16.80,16.80,000,16.80
2012-12-28,17.00,17.40,16.50,16.80,13200,16.80
2012-12-27,16.10,17.29,16.10,17.00,21900,17.00
2012-12-26,16.10,16.10,16.10,16.10,000,16.10
