Date,Open,High,Low,Close,Volume,Adj Close
2012-12-07,0.15,0.15,0.15,0.15,000,0.15
2012-12-06,0.15,0.15,0.15,0.15,000,0.15
2012-12-05,0.15,0.15,0.15,0.15,000,0.15
2012-12-04,0.14,0.15,0.14,0.15,8300,0.15
2012-12-03,0.15,0.16,0.15,0.15,8900,0.15
2012-11-30,0.14,0.16,0.14,0.15,70300,0.15
2012-11-29,0.14,0.15,0.14,0.15,21800,0.15
2012-11-28,0.14,0.16,0.10,0.15,52600,0.15
2012-11-27,0.14,0.14,0.14,0.14,600,0.14
2012-11-26,0.14,0.14,0.14,0.14,000,0.14
2012-11-23,0.14,0.14,0.14,0.14,000,0.14
2012-11-22,0.14,0.14,0.14,0.14,25600,0.14
2012-11-21,0.14,0.14,0.13,0.14,400,0.14
2012-11-20,0.13,0.13,0.13,0.13,000,0.13
2012-11-19,0.13,0.13,0.13,0.13,3700,0.13
2012-11-16,0.13,0.13,0.13,0.13,000,0.13
2012-11-15,0.13,0.13,0.13,0.13,000,0.13
2012-11-14,0.13,0.13,0.13,0.13,700,0.13
2012-11-13,0.12,0.13,0.12,0.12,1100,0.12
2012-11-12,0.13,0.13,0.13,0.13,5700,0.13
2012-11-09,0.12,0.12,0.12,0.12,000,0.12
2012-11-08,0.12,0.12,0.12,0.12,000,0.12
2012-11-07,0.11,0.12,0.11,0.12,2200,0.12
2012-11-06,0.12,0.12,0.12,0.12,1400,0.12
2012-11-05,0.12,0.12,0.10,0.12,1500,0.12
2012-11-02,0.13,0.13,0.13,0.13,2500,0.13
2012-11-01,0.13,0.13,0.13,0.13,800,0.13
2012-10-31,0.14,0.14,0.12,0.13,4100,0.13
2012-10-30,0.13,0.13,0.13,0.13,5900,0.13
2012-10-29,0.13,0.13,0.13,0.13,400,0.13
2012-10-26,0.13,0.13,0.13,0.13,000,0.13
2012-10-25,0.13,0.13,0.13,0.13,000,0.13
2012-10-24,0.13,0.13,0.13,0.13,000,0.13
2012-10-23,0.13,0.13,0.13,0.13,000,0.13
2012-10-22,0.13,0.13,0.13,0.13,1200,0.13
2012-10-19,0.13,0.13,0.13,0.13,000,0.13
2012-10-18,0.12,0.13,0.12,0.13,400,0.13
2012-10-17,0.09,0.13,0.09,0.13,11700,0.13
2012-10-16,0.12,0.12,0.12,0.12,300,0.12
2012-10-15,0.12,0.12,0.12,0.12,400,0.12
2012-10-12,0.12,0.12,0.11,0.11,4600,0.11
2012-10-11,0.11,0.12,0.11,0.11,15400,0.11
2012-10-10,0.12,0.12,0.12,0.12,1100,0.12
2012-10-09,0.14,0.14,0.13,0.13,9500,0.13
2012-10-08,0.14,0.14,0.12,0.14,24900,0.14
2012-10-05,0.12,0.12,0.11,0.12,117500,0.12
2012-10-04,0.10,0.10,0.10,0.10,11800,0.10
2012-10-03,0.12,0.12,0.12,0.12,200,0.12
2012-10-02,0.11,0.11,0.10,0.10,9000,0.10
2012-10-01,0.11,0.11,0.10,0.10,16300,0.10
2012-09-28,0.12,0.12,0.11,0.11,12000,0.11
2012-09-27,0.12,0.12,0.12,0.12,400,0.12
2012-09-26,0.12,0.12,0.11,0.12,24100,0.12
2012-09-25,0.12,0.12,0.12,0.12,000,0.12
2012-09-24,0.12,0.12,0.12,0.12,000,0.12
2012-09-21,0.12,0.12,0.12,0.12,19200,0.12
2012-09-20,0.14,0.14,0.12,0.12,28100,0.12
2012-09-19,0.13,0.13,0.13,0.13,300,0.13
2012-09-18,0.13,0.13,0.13,0.13,000,0.13
2012-09-17,0.14,0.14,0.13,0.13,7700,0.13
2012-09-14,0.14,0.14,0.13,0.14,28900,0.14
2012-09-13,0.14,0.14,0.12,0.13,18300,0.13
2012-09-12,0.11,0.15,0.11,0.15,123700,0.15
2012-09-11,0.11,0.12,0.11,0.12,5100,0.12
2012-09-10,0.10,0.12,0.10,0.12,19700,0.12
2012-09-07,0.10,0.11,0.09,0.11,14800,0.11
2012-09-06,0.09,0.09,0.09,0.09,4400,0.09
2012-09-05,0.09,0.10,0.09,0.10,6000,0.10
2012-09-04,0.09,0.09,0.09,0.09,000,0.09
2012-09-03,0.09,0.09,0.09,0.09,3500,0.09
2012-08-31,0.09,0.09,0.09,0.09,2000,0.09
2012-08-30,0.09,0.09,0.09,0.09,2400,0.09
2012-08-29,0.10,0.10,0.10,0.10,000,0.10
2012-08-28,0.09,0.09,0.09,0.09,100,0.09
2012-08-27,0.10,0.10,0.09,0.09,600,0.09
2012-08-24,0.09,0.09,0.09,0.09,000,0.09
2012-08-23,0.09,0.09,0.09,0.09,000,0.09
2012-08-22,0.09,0.09,0.09,0.09,7000,0.09
2012-08-21,0.09,0.09,0.09,0.09,000,0.09
2012-08-20,0.09,0.09,0.09,0.09,000,0.09
2012-08-17,0.08,0.09,0.08,0.09,46100,0.09
2012-08-16,0.09,0.09,0.09,0.09,000,0.09
2012-08-15,0.09,0.09,0.09,0.09,000,0.09
2012-08-14,0.09,0.09,0.09,0.09,2800,0.09
2012-08-13,0.09,0.09,0.09,0.09,1200,0.09
2012-08-10,0.10,0.10,0.10,0.10,000,0.10
2012-08-09,0.10,0.10,0.10,0.10,100,0.10
2012-08-08,0.08,0.10,0.08,0.10,15200,0.10
2012-08-07,0.09,0.09,0.09,0.09,000,0.09
2012-08-06,0.09,0.09,0.08,0.09,6800,0.09
2012-08-03,0.09,0.09,0.09,0.09,800,0.09
2012-08-02,0.08,0.09,0.08,0.09,4900,0.09
2012-08-01,0.09,0.09,0.09,0.09,35700,0.09
2012-07-31,0.09,0.09,0.09,0.09,000,0.09
2012-07-30,0.09,0.09,0.09,0.09,400,0.09
2012-07-27,0.09,0.09,0.09,0.09,000,0.09
2012-07-26,0.09,0.09,0.09,0.09,000,0.09
2012-07-25,0.09,0.09,0.09,0.09,000,0.09
2012-07-24,0.09,0.09,0.09,0.09,000,0.09
2012-07-23,0.09,0.09,0.09,0.09,000,0.09
2012-07-20,0.09,0.09,0.09,0.09,3000,0.09
2012-07-19,0.09,0.09,0.09,0.09,000,0.09
2012-07-18,0.09,0.09,0.09,0.09,000,0.09
2012-07-17,0.09,0.09,0.09,0.09,5600,0.09
2012-07-16,0.09,0.09,0.09,0.09,000,0.09
2012-07-13,0.10,0.10,0.09,0.09,000,0.09
2012-07-12,0.10,0.10,0.09,0.09,900,0.09
2012-07-11,0.10,0.10,0.10,0.10,000,0.10
2012-07-10,0.09,0.10,0.09,0.09,3600,0.09
