Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,7.70,8.00,7.58,7.80,785900,7.80
2013-05-22,8.04,8.18,7.75,7.86,622400,7.86
2013-05-21,8.16,8.18,7.89,7.99,792900,7.99
2013-05-20,8.45,8.45,8.10,8.30,370200,8.30
2013-05-17,8.36,8.48,8.08,8.40,653900,8.40
2013-05-16,8.40,8.49,8.23,8.42,582200,8.42
2013-05-15,8.25,8.44,8.10,8.44,1091600,8.44
2013-05-14,7.87,8.05,7.81,7.85,711100,7.85
2013-05-13,7.68,7.91,7.50,7.85,446700,7.85
2013-05-10,7.89,7.89,7.52,7.60,362700,7.60
2013-05-09,7.87,7.96,7.65,7.82,521200,7.82
2013-05-08,7.60,7.95,7.59,7.87,922500,7.87
2013-05-07,7.35,7.35,7.35,7.35,000,7.35
2013-05-06,7.35,7.35,7.35,7.35,000,7.35
2013-05-03,7.35,7.35,7.35,7.35,000,7.35
2013-05-02,7.30,7.38,7.14,7.35,354200,7.35
2013-05-01,7.36,7.36,7.36,7.36,000,7.36
2013-04-30,6.99,7.36,6.87,7.36,605300,7.36
2013-04-29,7.17,7.26,6.89,6.99,400700,6.99
2013-04-26,7.41,7.55,7.08,7.17,524300,7.17
2013-04-25,7.25,7.48,7.20,7.40,757500,7.40
2013-04-24,6.87,7.18,6.87,7.15,566600,7.15
2013-04-23,6.85,6.94,6.73,6.85,215500,6.85
2013-04-22,6.88,6.98,6.78,6.92,269300,6.92
2013-04-19,6.80,6.97,6.75,6.75,250200,6.75
2013-04-18,6.57,6.95,6.57,6.87,651300,6.87
2013-04-17,6.59,6.72,6.54,6.59,468100,6.59
2013-04-16,6.40,6.61,6.36,6.60,523500,6.60
2013-04-15,6.36,6.65,6.21,6.52,592900,6.52
2013-04-12,6.59,6.59,6.22,6.37,415000,6.37
2013-04-11,6.00,6.49,5.96,6.49,860900,6.49
2013-04-10,5.79,6.18,5.58,6.00,1375200,6.00
2013-04-09,5.11,5.72,5.11,5.72,1172800,5.72
2013-04-08,4.77,5.17,4.55,5.11,1425200,5.11
2013-04-05,5.17,5.20,4.85,4.91,563300,4.91
2013-04-04,5.00,5.25,4.97,5.15,508000,5.15
2013-04-03,5.26,5.38,4.91,4.91,686500,4.91
2013-04-02,5.56,5.66,5.11,5.20,630300,5.20
2013-04-01,5.56,5.56,5.56,5.56,000,5.56
2013-03-29,5.56,5.56,5.56,5.56,000,5.56
2013-03-28,5.31,5.75,5.23,5.56,1380800,5.56
2013-03-27,6.05,6.19,5.16,5.25,2206100,5.25
2013-03-26,6.59,6.59,6.04,6.04,691700,6.04
2013-03-25,6.68,6.68,6.68,6.68,000,6.68
2013-03-22,6.13,6.68,6.13,6.68,749500,6.68
2013-03-21,6.06,6.30,5.94,6.23,570700,6.23
2013-03-20,5.97,6.21,5.94,6.00,848400,6.00
2013-03-19,6.37,6.49,5.97,5.97,737600,5.97
2013-03-18,6.51,6.51,6.51,6.51,000,6.51
2013-03-15,6.74,6.81,6.47,6.51,1761500,6.51
2013-03-14,6.81,6.97,6.67,6.76,592200,6.76
2013-03-13,6.29,6.96,6.24,6.90,1255300,6.90
2013-03-12,6.40,6.52,6.28,6.35,704000,6.35
