Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.09,0.09,0.07,0.08,46500,0.08
2013-05-22,0.08,0.08,0.08,0.08,1900,0.08
2013-05-21,0.09,0.09,0.08,0.09,27600,0.09
2013-05-20,0.09,0.10,0.09,0.09,5800,0.09
2013-05-17,0.10,0.10,0.10,0.10,3500,0.10
2013-05-16,0.10,0.11,0.10,0.11,11000,0.11
2013-05-15,0.10,0.11,0.10,0.10,4600,0.10
2013-05-14,0.11,0.11,0.11,0.11,000,0.11
2013-05-13,0.11,0.11,0.11,0.11,000,0.11
2013-05-10,0.10,0.11,0.10,0.11,1500,0.11
2013-05-09,0.10,0.11,0.10,0.11,6200,0.11
2013-05-08,0.09,0.11,0.09,0.11,4100,0.11
2013-05-07,0.10,0.10,0.10,0.10,000,0.10
2013-05-06,0.10,0.10,0.10,0.10,000,0.10
2013-05-03,0.10,0.10,0.10,0.10,000,0.10
2013-05-02,0.10,0.10,0.10,0.10,000,0.10
2013-05-01,0.10,0.10,0.10,0.10,000,0.10
2013-04-30,0.10,0.10,0.10,0.10,300,0.10
2013-04-29,0.09,0.09,0.09,0.09,100,0.09
2013-04-26,0.09,0.09,0.09,0.09,800,0.09
2013-04-25,0.09,0.11,0.09,0.10,1200,0.10
2013-04-24,0.11,0.11,0.10,0.10,8100,0.10
2013-04-23,0.11,0.11,0.11,0.11,1500,0.11
2013-04-22,0.10,0.10,0.10,0.10,3000,0.10
2013-04-19,0.10,0.10,0.09,0.09,600,0.09
2013-04-18,0.09,0.10,0.09,0.09,5600,0.09
2013-04-17,0.09,0.09,0.09,0.09,6600,0.09
2013-04-16,0.10,0.10,0.10,0.10,3000,0.10
2013-04-15,0.12,0.12,0.12,0.12,000,0.12
2013-04-12,0.12,0.12,0.12,0.12,000,0.12
2013-04-11,0.11,0.12,0.11,0.12,5800,0.12
2013-04-10,0.11,0.11,0.11,0.11,2000,0.11
2013-04-09,0.12,0.12,0.12,0.12,000,0.12
2013-04-08,0.12,0.12,0.12,0.12,000,0.12
2013-04-05,0.11,0.12,0.11,0.12,2500,0.12
2013-04-04,0.12,0.12,0.12,0.12,000,0.12
2013-04-03,0.12,0.12,0.12,0.12,100,0.12
2013-04-02,0.14,0.14,0.14,0.14,000,0.14
2013-04-01,0.14,0.14,0.14,0.14,000,0.14
2013-03-29,0.14,0.14,0.14,0.14,000,0.14
2013-03-28,0.14,0.14,0.14,0.14,000,0.14
2013-03-27,0.14,0.14,0.14,0.14,1000,0.14
2013-03-26,0.11,0.11,0.11,0.11,000,0.11
2013-03-25,0.11,0.11,0.11,0.11,000,0.11
2013-03-22,0.11,0.11,0.11,0.11,000,0.11
2013-03-21,0.11,0.11,0.11,0.11,000,0.11
2013-03-20,0.10,0.13,0.10,0.11,2400,0.11
2013-03-19,0.15,0.15,0.15,0.15,3000,0.15
2013-03-18,0.12,0.12,0.12,0.12,000,0.12
2013-03-15,0.12,0.12,0.12,0.12,000,0.12
2013-03-14,0.09,0.12,0.09,0.12,000,0.12
2013-03-13,0.06,0.12,0.06,0.12,900,0.12
2013-03-12,0.09,0.09,0.09,0.09,000,0.09
2013-03-11,0.08,0.10,0.08,0.09,6500,0.09
2013-03-08,0.09,0.09,0.09,0.09,5500,0.09
2013-03-07,0.09,0.10,0.09,0.10,7400,0.10
2013-03-06,0.11,0.11,0.09,0.09,3000,0.09
2013-03-05,0.12,0.12,0.12,0.12,100,0.12
2013-03-04,0.12,0.12,0.12,0.12,000,0.12
2013-03-01,0.09,0.12,0.09,0.12,2200,0.12
2013-02-28,0.08,0.11,0.08,0.10,1000,0.10
2013-02-27,0.11,0.11,0.11,0.11,5500,0.11
2013-02-26,0.10,0.11,0.10,0.11,2100,0.11
2013-02-25,0.07,0.11,0.07,0.10,2000,0.10
2013-02-22,0.10,0.10,0.10,0.10,2400,0.10
2013-02-21,0.10,0.11,0.10,0.11,4600,0.11
2013-02-20,0.11,0.12,0.11,0.12,6000,0.12
2013-02-19,0.11,0.11,0.11,0.11,1100,0.11
2013-02-18,0.12,0.12,0.12,0.12,1200,0.12
2013-02-15,0.12,0.12,0.12,0.12,800,0.12
2013-02-14,0.13,0.13,0.12,0.12,1100,0.12
2013-02-13,0.12,0.13,0.12,0.13,5100,0.13
2013-02-12,0.13,0.13,0.12,0.12,14300,0.12
2013-02-11,0.11,0.11,0.11,0.11,4900,0.11
2013-02-08,0.11,0.13,0.11,0.11,6700,0.11
2013-02-07,0.12,0.12,0.12,0.12,8400,0.12
2013-02-06,0.11,0.11,0.11,0.11,5000,0.11
2013-02-05,0.11,0.11,0.11,0.11,10300,0.11
2013-02-04,0.12,0.12,0.12,0.12,1100,0.12
2013-02-01,0.13,0.13,0.12,0.12,1100,0.12
2013-01-31,0.12,0.12,0.12,0.12,500,0.12
2013-01-30,0.14,0.14,0.12,0.12,1300,0.12
2013-01-29,0.13,0.14,0.13,0.14,600,0.14
2013-01-28,0.13,0.13,0.13,0.13,800,0.13
2013-01-25,0.17,0.17,0.12,0.17,12500,0.17
2013-01-24,0.14,0.14,0.12,0.13,1000,0.13
2013-01-23,0.16,0.16,0.13,0.15,10200,0.15
2013-01-22,0.14,0.15,0.14,0.15,7000,0.15
2013-01-21,0.11,0.18,0.11,0.12,10300,0.12
2013-01-18,0.14,0.15,0.14,0.15,3100,0.15
2013-01-17,0.18,0.18,0.14,0.14,11400,0.14
2013-01-16,0.19,0.19,0.19,0.19,000,0.19
2013-01-15,0.19,0.19,0.19,0.19,100,0.19
2013-01-14,0.21,0.21,0.16,0.19,5000,0.19
2013-01-11,0.22,0.22,0.22,0.22,000,0.22
2013-01-10,0.21,0.22,0.21,0.22,1500,0.22
2013-01-09,0.20,0.21,0.20,0.21,1200,0.21
2013-01-08,0.21,0.22,0.21,0.22,6200,0.22
2013-01-07,0.21,0.21,0.21,0.21,12000,0.21
2013-01-04,0.18,0.22,0.18,0.22,10800,0.22
2013-01-03,0.14,0.18,0.14,0.18,6100,0.18
2013-01-02,0.13,0.14,0.13,0.14,9100,0.14
2013-01-01,0.11,0.11,0.11,0.11,000,0.11
2012-12-31,0.11,0.11,0.11,0.11,000,0.11
2012-12-28,0.08,0.11,0.08,0.11,9200,0.11
2012-12-27,0.11,0.11,0.10,0.11,10700,0.11
2012-12-26,0.10,0.10,0.10,0.10,000,0.10
2012-12-25,0.10,0.10,0.10,0.10,000,0.10
2012-12-24,0.10,0.10,0.10,0.10,000,0.10
2012-12-21,0.09,0.10,0.09,0.10,5700,0.10
2012-12-20,0.10,0.10,0.10,0.10,000,0.10
2012-12-19,0.11,0.11,0.10,0.10,2300,0.10
2012-12-18,0.08,0.10,0.08,0.10,10000,0.10
2012-12-17,0.12,0.12,0.11,0.11,3100,0.11
2012-12-14,0.12,0.12,0.12,0.12,000,0.12
2012-12-13,0.10,0.12,0.10,0.12,1000,0.12
2012-12-12,0.12,0.12,0.10,0.10,1000,0.10
2012-12-11,0.12,0.12,0.12,0.12,7500,0.12
2012-12-10,0.12,0.12,0.12,0.12,000,0.12
2012-12-07,0.10,0.12,0.10,0.12,1500,0.12
2012-12-06,0.09,0.12,0.09,0.12,1900,0.12
2012-12-05,0.13,0.13,0.13,0.13,000,0.13
2012-12-04,0.13,0.13,0.13,0.13,000,0.13
2012-12-03,0.13,0.14,0.12,0.13,1900,0.13
2012-11-30,0.13,0.13,0.12,0.13,19800,0.13
2012-11-29,0.13,0.13,0.11,0.13,30400,0.13
2012-11-28,0.08,0.11,0.07,0.10,9000,0.10
2012-11-27,0.08,0.09,0.08,0.09,10000,0.09
2012-11-26,0.11,0.11,0.11,0.11,1000,0.11
2012-11-23,0.08,0.09,0.08,0.09,1000,0.09
2012-11-22,0.08,0.08,0.08,0.08,1800,0.08
2012-11-21,0.07,0.08,0.07,0.08,2300,0.08
2012-11-20,0.07,0.08,0.07,0.08,1100,0.08
2012-11-19,0.08,0.08,0.08,0.08,1500,0.08
2012-11-16,0.07,0.07,0.07,0.07,000,0.07
2012-11-15,0.07,0.08,0.06,0.07,56400,0.07
2012-11-14,0.08,0.08,0.08,0.08,000,0.08
2012-11-13,0.08,0.08,0.08,0.08,500,0.08
2012-11-12,0.07,0.08,0.07,0.08,2500,0.08
2012-11-09,0.07,0.07,0.07,0.07,800,0.07
2012-11-08,0.07,0.08,0.07,0.07,100,0.07
2012-11-07,0.07,0.08,0.07,0.08,2700,0.08
2012-11-06,0.08,0.08,0.07,0.07,2700,0.07
2012-11-05,0.06,0.08,0.06,0.07,11200,0.07
2012-11-02,0.09,0.09,0.09,0.09,2200,0.09
2012-11-01,0.09,0.09,0.09,0.09,000,0.09
2012-10-31,0.09,0.09,0.09,0.09,000,0.09
2012-10-30,0.07,0.09,0.07,0.09,1700,0.09
2012-10-29,0.10,0.10,0.10,0.10,1000,0.10
2012-10-26,0.10,0.10,0.10,0.10,6000,0.10
2012-10-25,0.08,0.10,0.08,0.10,3300,0.10
2012-10-24,0.08,0.08,0.08,0.08,900,0.08
2012-10-23,0.08,0.08,0.08,0.08,600,0.08
2012-10-22,0.08,0.08,0.06,0.08,14500,0.08
2012-10-19,0.07,0.08,0.07,0.08,3900,0.08
2012-10-18,0.08,0.08,0.08,0.08,000,0.08
